,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,coeff_3,total_4,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,coeff_4,total_5,decoder_5,sindy_x_5,reg_5,sindy_z_5,active_coeffs_5,coeff_5,total_6,decoder_6,sindy_x_6,reg_6,sindy_z_6,active_coeffs_6,coeff_6,total_7,decoder_7,sindy_x_7,reg_7,sindy_z_7,active_coeffs_7,coeff_7,total_8,decoder_8,sindy_x_8,reg_8,sindy_z_8,active_coeffs_8,coeff_8
12,600,2.8139254936832003e-05,8.20850436866749e-06,1.4689777344756294e-05,5.240972313913517e-06,0.0,43,0.0,3.583257785066962e-05,7.998324690561276e-06,1.8849450498237275e-05,8.984805390355177e-06,0.0,43,0.0,1.7223637769347988e-05,3.184025672453572e-06,4.905787136522122e-06,9.13382518774597e-06,0.0,36,0.1428571428571428,5.735543527407572e-05,1.037486163113499e-05,4.12735425925348e-05,5.707032414647983e-06,0.0,43,0.0,3.158466279273853e-05,8.670086572237778e-06,1.6693353245500475e-05,6.221225248737028e-06,0.0,47,0.0,2.172480344597716e-05,7.1974109232542105e-06,9.13926851353608e-06,5.3881244639342185e-06,0.0,44,0.0,4.0893944969866425e-05,1.2489387700043151e-05,2.1820756956003606e-05,6.5838003138196655e-06,0.0,43,0.0,2.213901825598441e-05,5.734215392294573e-06,9.061767741513904e-06,7.343035576923285e-06,0.0,42,0.0,3.557461968739517e-05,9.941519238054752e-06,2.030635005212389e-05,5.326749487721827e-06,0.0,39,0.0
13,650,2.6273681214661337e-05,7.39792312742793e-06,1.3608600056613795e-05,5.267158030619612e-06,0.0,41,0.0,3.390973142813891e-05,7.728223863523453e-06,1.7216145351994783e-05,8.965364031610079e-06,0.0,42,0.0,1.5548026567557827e-05,2.0556969957397087e-06,4.453830570128048e-06,9.038500138558447e-06,0.0,36,0.1428571428571428,5.4945601732470095e-05,9.774660611583386e-06,3.947563163819723e-05,5.695311301678885e-06,0.0,43,0.0,2.9717199140577577e-05,8.029076525417622e-06,1.5453026207978837e-05,6.23509731667582e-06,0.0,47,0.0,2.180743467761204e-05,7.802121217537206e-06,8.588431228417903e-06,5.416881776909577e-06,0.0,43,0.0,3.632743755588308e-05,1.073381099558901e-05,1.8991031538462263e-05,6.60259365758975e-06,0.0,42,0.0,2.017232145590242e-05,4.700053523265524e-06,8.209151928895153e-06,7.263116003741743e-06,0.0,41,0.0,3.3749623980838805e-05,9.084512385015842e-06,1.9364711988600902e-05,5.300401426211465e-06,0.0,38,0.0
14,700,2.443430275889113e-05,6.635059435211588e-06,1.2518353287305216e-05,5.280889126879629e-06,0.0,41,0.0,3.218803976778872e-05,7.2518851084169e-06,1.603300370334182e-05,8.903151865524705e-06,0.0,41,0.0,1.4749495676369406e-05,1.7201540458700038e-06,4.102939783479087e-06,8.926402188080829e-06,0.0,36,0.1428571428571428,5.321708886185661e-05,9.449672688788269e-06,3.808652400039136e-05,5.680894901161082e-06,0.0,43,0.0,2.8397073037922382e-05,7.648839527973905e-06,1.4508409549307544e-05,6.239825324882986e-06,0.0,47,0.0,2.0332090571173467e-05,6.610379841731628e-06,8.294043254863936e-06,5.427667929325253e-06,0.0,43,0.0,3.3025629818439484e-05,9.528551345283631e-06,1.6892694475245662e-05,6.60438399791019e-06,0.0,42,0.0,1.923709351103753e-05,4.365164841146907e-06,7.706818905717228e-06,7.165110673668096e-06,0.0,41,0.0,3.367555109434761e-05,9.867377229966223e-06,1.851483466452919e-05,5.293339199852198e-06,0.0,37,0.0
15,750,2.3204720491776243e-05,6.245046733965864e-06,1.1682819604175164e-05,5.2768527893931605e-06,0.0,41,0.0,3.0903887818567455e-05,7.150342753448058e-06,1.49362213051063e-05,8.817322850518394e-06,0.0,40,0.0,1.4149162780086044e-05,1.5430505300173536e-06,3.803432264248841e-06,8.80267998581985e-06,0.0,36,0.1428571428571428,5.192341996007599e-05,9.355671863886528e-06,3.690376979648136e-05,5.6639787544554565e-06,0.0,43,0.0,2.8067877792636864e-05,7.825421562301926e-06,1.400685232511023e-05,6.235603450477356e-06,0.0,47,0.0,2.2211492250789888e-05,8.523353244527243e-06,8.259175046987366e-06,5.428965323517332e-06,0.0,43,0.0,3.0893519578967243e-05,8.781043106864672e-06,1.551888453832362e-05,6.593594207515707e-06,0.0,41,0.0,1.8722084860200997e-05,4.384201474749716e-06,7.267074124683859e-06,7.070809260767419e-06,0.0,41,0.0,3.1764368031872436e-05,8.69603991304757e-06,1.777412762749009e-05,5.2942000365874264e-06,0.0,37,0.0
16,800,2.251150363008492e-05,6.216123438207433e-06,1.1021463251381649e-05,5.273916485748487e-06,0.0,41,0.0,2.918651080108248e-05,6.624275556532666e-06,1.380065077682957e-05,8.761583558225539e-06,0.0,38,0.0,1.377774060529191e-05,1.5536400042037712e-06,3.5555917747842614e-06,8.668508598930202e-06,0.0,36,0.1428571428571428,5.027843144489452e-05,8.905013601179235e-06,3.57337121386081e-05,5.639704340865137e-06,0.0,43,0.0,2.857472645700909e-05,8.611505109001882e-06,1.3738697816734202e-05,6.224524440767709e-06,0.0,47,0.0,1.936642729560845e-05,6.146113719296409e-06,7.785949492244981e-06,5.434363174572354e-06,0.0,43,0.0,2.8661550459219143e-05,7.699060006416403e-06,1.4382870176632425e-05,6.5796184571809135e-06,0.0,41,0.0,1.773352960299235e-05,3.891914730047574e-06,6.8687422754010186e-06,6.972872597543756e-06,0.0,41,0.0,3.1728708563605323e-05,8.437032192887273e-06,1.7964803191716783e-05,5.326872724253917e-06,0.0,36,0.0
17,850,2.1399438992375508e-05,5.685205451300135e-06,1.0445178304507864e-05,5.269055691314861e-06,0.0,41,0.0,2.804385439958424e-05,6.284757546382025e-06,1.3034844414505642e-05,8.724250619707163e-06,0.0,38,0.0,1.3193843187764289e-05,1.3781358347841888e-06,3.2890930015128106e-06,8.526613783033099e-06,0.0,36,0.1428571428571428,4.9680937081575394e-05,9.343507372250316e-06,3.4728491300484166e-05,5.608937499346212e-06,0.0,43,0.0,2.5357829144923016e-05,6.462673809437547e-06,1.2687433809333015e-05,6.207721071405104e-06,0.0,47,0.0,1.8645701857167296e-05,5.725494247599272e-06,7.479831310774898e-06,5.440375844045775e-06,0.0,42,0.0,2.766518446151167e-05,7.503722827095771e-06,1.359035013592802e-05,6.5711114984878805e-06,0.0,41,0.0,1.6723315638955683e-05,3.449605856076232e-06,6.371510608005337e-06,6.902199402247788e-06,0.0,40,0.0,3.1927298550726846e-05,9.384853910887614e-06,1.7231875972356647e-05,5.310570031724637e-06,0.0,36,0.0
18,900,2.303598921571393e-05,6.734380349371349e-06,1.1032343536498956e-05,5.269264420348918e-06,0.0,40,0.0,2.7277041226625443e-05,6.0502438827825245e-06,1.2542000149551312e-05,8.684798558533657e-06,0.0,38,0.0,1.274723581445869e-05,1.2717976005660605e-06,3.0965256883064285e-06,8.378912752959877e-06,0.0,36,0.1428571428571428,4.792727486346848e-05,8.898800842871424e-06,3.343652861076407e-05,5.591943590843584e-06,0.0,42,0.0,2.581441185611766e-05,7.107875262590824e-06,1.2520946256699972e-05,6.185590336826863e-06,0.0,47,0.0,1.8594069842947647e-05,5.882633104192792e-06,7.267296041391091e-06,5.444139787869062e-06,0.0,42,0.0,2.677133306860924e-05,7.104900760168675e-06,1.3101343029120471e-05,6.565089279320091e-06,0.0,41,0.0,1.6231442714342847e-05,3.275772996857995e-06,6.145578481664416e-06,6.810091690567788e-06,0.0,40,0.0,2.93993107334245e-05,8.04776846052846e-06,1.6064426745288074e-05,5.2871146181132644e-06,0.0,36,0.0
19,950,2.114418020937592e-05,5.7521478993294295e-06,1.0140814083570149e-05,5.251219135971041e-06,0.0,40,0.0,2.711206252570264e-05,6.1741443460050505e-06,1.2289069672988262e-05,8.648848051961977e-06,0.0,38,0.0,1.3589438822236843e-05,1.650685021559184e-06,3.7207039440545486e-06,8.2180504250573e-06,0.0,35,0.1428571428571428,4.634866490960121e-05,8.783767952991184e-06,3.199450293323025e-05,5.570394478127128e-06,0.0,42,0.0,2.38785105466377e-05,5.800844064651756e-06,1.1919049939024262e-05,6.158616542961681e-06,0.0,47,0.0,1.7621756342123263e-05,5.2015207074873615e-06,6.977590146561852e-06,5.4426459428214e-06,0.0,42,0.0,2.5632036340539344e-05,6.55318217468448e-06,1.2525549209385645e-05,6.553304046974517e-06,0.0,41,0.0,1.561779572512023e-05,3.121735744571197e-06,5.791893272544257e-06,6.7041655711364e-06,0.0,40,0.0,3.05593348457478e-05,9.55217910814099e-06,1.5752046238048933e-05,5.255109499557875e-06,0.0,36,0.0
20,1000,2.15407617361052e-05,5.985456937196432e-06,1.03186421256396e-05,5.236663582763868e-06,0.0,39,0.0,2.9109134629834443e-05,8.301872185256798e-06,1.2198424883536065e-05,8.60883665154688e-06,0.0,38,0.0,1.3227592717157677e-05,1.5524598211413831e-06,3.433097845118027e-06,8.242035619332455e-06,0.0,33,0.1428571428571428,4.420818368089385e-05,8.006786629266571e-06,3.066742647206411e-05,5.533970579563174e-06,0.0,42,0.0,3.0426846933551133e-05,1.1249214367126116e-05,1.3049512745055836e-05,6.128120730863884e-06,0.0,47,0.0,1.7075484720407985e-05,4.832209469896043e-06,6.806570127082523e-06,5.43670512342942e-06,0.0,42,0.0,2.513893923605792e-05,6.319395652099047e-06,1.2258764400030486e-05,6.5607773649389856e-06,0.0,40,0.0,1.5366371371783316e-05,3.208357611583778e-06,5.556340056500631e-06,6.601674613193609e-06,0.0,40,0.0,2.7037080144509673e-05,7.169805940065999e-06,1.4642184396507218e-05,5.225090717431158e-06,0.0,36,0.0
21,1050,1.957103268068749e-05,5.161584340385161e-06,9.165234587271698e-06,5.2442132982832845e-06,0.0,39,0.0,2.7874866646016017e-05,7.399332389468327e-06,1.1910098692169411e-05,8.565436473872978e-06,0.0,38,0.0,1.3515234059013892e-05,2.289054691573256e-06,2.9805612484778976e-06,8.245618118962739e-06,0.0,32,0.1428571428571428,4.25009748141747e-05,7.48127376937191e-06,2.9517115763155743e-05,5.502583917404991e-06,0.0,42,0.0,2.297761420777533e-05,5.750424861616921e-06,1.1133854968647938e-05,6.093333922763122e-06,0.0,47,0.0,1.671713835094124e-05,4.709296263172291e-06,6.5815133893920574e-06,5.426328698376892e-06,0.0,42,0.0,2.422743091301527e-05,6.0218380895094015e-06,1.165924459201051e-05,6.546347776748007e-06,0.0,39,0.0,1.5403007637360133e-05,3.598164539653226e-06,5.313520432537189e-06,6.491323347290745e-06,0.0,39,0.0,2.789225436572451e-05,8.532685569662135e-06,1.4160893442749511e-05,5.198675808060216e-06,0.0,35,0.0
