,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,total_4,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,total_5,decoder_5,sindy_x_5,reg_5,sindy_z_5,active_coeffs_5
0,0,0.3848102390766144,0.38342663645744324,0.0013735905522480607,9.999999747378752e-06,0.0,60,0.3925986886024475,0.3915097415447235,0.0010789235820993781,9.999999747378752e-06,0.0,60,0.4112476408481598,0.40993183851242065,0.0013057820033282042,9.999999747378752e-06,0.0,60,0.33466044068336487,0.33369284868240356,0.0009575769072398543,9.999999747378752e-06,0.0,60,0.38501131534576416,0.3836148679256439,0.0013864319771528244,9.999999747378752e-06,0.0,60,0.4086798131465912,0.4070892333984375,0.0015805639559403062,9.999999747378752e-06,0.0,60
1,50,0.015127390623092651,0.01380531769245863,0.0013130573788657784,9.014938768814318e-06,0.0,60,0.010800439864397049,0.009765159338712692,0.0010262957075610757,8.984187843452673e-06,0.0,60,0.012391223572194576,0.011200069449841976,0.001182290492579341,8.863568837114144e-06,0.0,60,0.010647342540323734,0.009698919020593166,0.0009391113999299705,9.312252586823888e-06,0.0,60,0.013476476073265076,0.011878833174705505,0.0015890395734459162,8.60365526023088e-06,0.0,60,0.015663566067814827,0.01418198924511671,0.001472604344598949,8.972344403446186e-06,0.0,60
2,100,0.008721285499632359,0.00773389358073473,0.0009784024441614747,8.98915186553495e-06,0.0,60,0.003636904526501894,0.0027503985911607742,0.0008778080809861422,8.69780433276901e-06,0.0,60,0.007946751080453396,0.006936027202755213,0.00100203778129071,8.68659572006436e-06,0.0,60,0.004123023711144924,0.003358488669618964,0.0007554348558187485,9.100045645027421e-06,0.0,60,0.008273390121757984,0.007070355117321014,0.001194956130348146,8.079024155449588e-06,0.0,60,0.009713673032820225,0.008474458940327168,0.0012304255506023765,8.788443665252998e-06,0.0,60
3,150,0.0034455503337085247,0.0026606738101691008,0.0007760493899695575,8.827097190078348e-06,0.0,60,0.0021464074961841106,0.0012743858387693763,0.0008635694975964725,8.452163456240669e-06,0.0,60,0.0034165913239121437,0.0025261787232011557,0.0008818907663226128,8.521751624357421e-06,0.0,60,0.0019164392724633217,0.0011789790587499738,0.0007289450732059777,8.51513868838083e-06,0.0,60,0.006728180218487978,0.005675116553902626,0.0010453142458572984,7.749419637548272e-06,0.0,60,0.004489660728722811,0.0032103494741022587,0.0012709444854408503,8.36634080769727e-06,0.0,60
4,200,0.001966895069926977,0.001276008435525,0.0006823426228947937,8.543941476091277e-06,0.0,60,0.0016043575014919043,0.0008003387483768165,0.0007958277128636837,8.190941116481554e-06,0.0,60,0.0020814076997339725,0.0013077385956421494,0.0007655374938622117,8.131604772643186e-06,0.0,60,0.0013678170507773757,0.0007092483574524522,0.000650461355689913,8.107333997031674e-06,0.0,60,0.004176060203462839,0.0032230475917458534,0.000945554522331804,7.457892024831381e-06,0.0,60,0.0026587184984236956,0.0015253538731485605,0.0011255135759711266,7.851158443372697e-06,0.0,60
5,250,0.0015678604831919074,0.0009443130111321807,0.0006152134155854583,8.334041922353208e-06,0.0,59,0.0012361847329884768,0.0005751088028773665,0.0006530799437314272,7.996026397449896e-06,0.0,59,0.0016340763540938497,0.000935715448576957,0.0006905004265718162,7.860421646910254e-06,0.0,55,0.0011276856530457735,0.0005394743639044464,0.0005803105887025595,7.900634045654442e-06,0.0,59,0.0022014565765857697,0.001350804464891553,0.0008434702758677304,7.181944511103211e-06,0.0,58,0.002003047615289688,0.0010606911964714527,0.000934915617108345,7.44077851777547e-06,0.0,57
6,300,0.0013501194771379232,0.0007885304512456059,0.0005533311632461846,8.257844456238672e-06,0.0,59,0.0009094736888073385,0.0004337138088885695,0.000467795500298962,7.964403266669251e-06,0.0,59,0.0013895310694351792,0.0007565823616459966,0.0006251781014725566,7.77061541157309e-06,0.0,55,0.0009576654992997646,0.0004354113480076194,0.0005144304595887661,7.8236635090434e-06,0.0,59,0.0016945508541539311,0.0010101580992341042,0.0006773542845621705,7.0385276558226906e-06,0.0,58,0.0016340198926627636,0.0008346425020135939,0.0007922013173811138,7.176033250289038e-06,0.0,57
7,350,0.0011854619951918721,0.0006746588042005897,0.0005025860155001283,8.217219146899879e-06,0.0,55,0.0007023976068012416,0.0003139738109894097,0.00038041715743020177,8.006649295566604e-06,0.0,55,0.001223972998559475,0.0006349811446852982,0.0005811841692775488,7.807733709341846e-06,0.0,45,0.0007830076501704752,0.00033575389534235,0.00043938751332461834,7.866243322496302e-06,0.0,52,0.0014681118773296475,0.0008184820762835443,0.0006426602485589683,6.969567948544864e-06,0.0,52,0.0013347265776246786,0.0006637373007833958,0.0006638751947320998,7.114096661098301e-06,0.0,49
8,400,0.0010365210473537445,0.0005768140545114875,0.0004515508480835706,8.156119292834774e-06,0.0,55,0.0005642519681714475,0.00023355722078122199,0.0003225916007068008,8.103118489088956e-06,0.0,55,0.0010725657921284437,0.0005204901681281626,0.0005442632245831192,7.812394869688433e-06,0.0,45,0.0006312817567959428,0.0002794669126160443,0.0003437967679928988,8.018104381335434e-06,0.0,52,0.0013091538567095995,0.0006907332572154701,0.0006114924908615649,6.928108177817194e-06,0.0,52,0.00107923976611346,0.0005018049851059914,0.0005704278592020273,7.006868600001326e-06,0.0,49
9,450,0.0008482551202178001,0.00044596652151085436,0.0003941502363886684,8.138333214446902e-06,0.0,49,0.0004700642602983862,0.0001730618969304487,0.0002888052840717137,8.197054739866871e-06,0.0,46,0.0009088216465897858,0.00039764365646988153,0.0005033084307797253,7.869539331295528e-06,0.0,39,0.0005304388469085097,0.00022726079623680562,0.00029497023206204176,8.207794962800108e-06,0.0,44,0.0011709530372172594,0.0005805481341667473,0.0005834861658513546,6.918781309650512e-06,0.0,43,0.0008964758017100394,0.0003720457316376269,0.0005174203542992473,7.009688488324173e-06,0.0,40
10,500,0.0006886249757371843,0.0003433484525885433,0.00033712427830323577,8.152263944793958e-06,0.0,49,0.0004093630413990468,0.00014145755267236382,0.0002596033154986799,8.302185051434208e-06,0.0,46,0.0007768464856781065,0.0003181785868946463,0.00045074932859279215,7.918578376120422e-06,0.0,39,0.00045944168232381344,0.00019083201186731458,0.00026031522429548204,8.294458893942647e-06,0.0,44,0.0010337623534724116,0.00047319300938397646,0.0005536610260605812,6.9083612288523e-06,0.0,43,0.0007454375154338777,0.0002796230255626142,0.0004587322473526001,7.082248885126319e-06,0.0,40
11,550,0.0005576808471232653,0.00025618093786761165,0.00029322216869331896,8.277684173663147e-06,0.0,43,0.000368811481166631,0.00012756204523611814,0.00023279771266970783,8.451725079794414e-06,0.0,40,0.0006742601399309933,0.00026687802164815366,0.0003993255377281457,8.056598744587973e-06,0.0,36,0.0004091171722393483,0.0001591610925970599,0.00024161288456525654,8.343190529558342e-06,0.0,42,0.0008971881470642984,0.000369787507224828,0.0005204725894145668,6.9280531533877365e-06,0.0,39,0.0006158350734040141,0.00021668379486072809,0.00039194407872855663,7.20723437552806e-06,0.0,35
12,600,0.0005015076021663845,0.00022996387269813567,0.0002631573879625648,8.386316039832309e-06,0.0,43,0.00031674205092713237,9.711227176012471e-05,0.00021101145830471069,8.618322681286372e-06,0.0,40,0.0006023006280884147,0.00022630064631812274,0.0003678028588183224,8.197178431146313e-06,0.0,36,0.0003916117420885712,0.00016129021241795272,0.00022196814825292677,8.353373232239392e-06,0.0,42,0.0007752807578071952,0.0002847427676897496,0.00048358290223404765,6.955114258744288e-06,0.0,39,0.0005174257676117122,0.0001728808565530926,0.0003371884231455624,7.3564501690270845e-06,0.0,35
13,650,0.000434853951446712,0.0001862531207734719,0.0002400866651441902,8.514147339155897e-06,0.0,40,0.00029747578082606196,9.672650048742071e-05,0.00019195630738977343,8.79295384947909e-06,0.0,39,0.000553612073417753,0.00020015188783872873,0.00034509520628489554,8.364960194739979e-06,0.0,34,0.0003459980071056634,0.00013454610598273575,0.00020305506768636405,8.39683252706891e-06,0.0,39,0.000662472506519407,0.00021651586575899273,0.0004389687965158373,6.987834240135271e-06,0.0,36,0.00045187456998974085,0.00014549886691384017,0.00029888583230786026,7.4898671300616115e-06,0.0,35
14,700,0.00037451638490892947,0.00014465466665569693,0.00022120823268778622,8.653482836962212e-06,0.0,40,0.0002657316508702934,8.079216058831662e-05,0.00017594960809219629,8.98987036634935e-06,0.0,39,0.0005055525689385831,0.00017006020061671734,0.00032693392131477594,8.558473382436205e-06,0.0,34,0.0003369518672116101,0.0001376836735289544,0.00019077702017966658,8.49117168399971e-06,0.0,39,0.0005676740547642112,0.00016740435967221856,0.00039327764534391463,6.9919942689011805e-06,0.0,36,0.0004089522990398109,0.00012586009688675404,0.00027546953060664237,7.62266427045688e-06,0.0,35
15,750,0.000342517247190699,0.00012731834431178868,0.00020644890901166946,8.749984772293828e-06,0.0,38,0.00027614529244601727,0.00010491287684999406,0.00016204669373109937,9.18572459340794e-06,0.0,39,0.0004726400366052985,0.0001525881525594741,0.0003113005659542978,8.75131900102133e-06,0.0,34,0.0002859917585738003,0.00010032980208052322,0.0001770870148902759,8.574945240980014e-06,0.0,37,0.0004887540708296001,0.00013203952403273433,0.00034975336166098714,6.961196049815044e-06,0.0,35,0.00037440465530380607,0.00010882720380323008,0.0002577981213107705,7.779332008794881e-06,0.0,33
16,800,0.00031169611611403525,0.00011093754437752068,0.00019193164189346135,8.826942575979047e-06,0.0,38,0.00023212892119772732,7.373413973255083e-05,0.00014903294504620135,9.361830962006934e-06,0.0,39,0.00045888611930422485,0.00015139019524212927,0.0002985256724059582,8.970233466243371e-06,0.0,34,0.00026360145420767367,8.921404514694586e-05,0.00016569069703109562,8.696727491042111e-06,0.0,37,0.0004570121527649462,0.00013972872693557292,0.0003103659546468407,6.917448899912415e-06,0.0,35,0.0003601484640967101,0.00010661487613106146,0.0002455908397678286,7.942761840240564e-06,0.0,33
17,850,0.00028908412787131965,0.00010114419274032116,0.00017905604909174144,8.883885129762348e-06,0.0,38,0.00021407839085441083,6.783381832065061e-05,0.00013669767940882593,9.546892215439584e-06,0.0,38,0.0004203802382107824,0.00012324933777563274,0.00028796904371120036,9.161843991023488e-06,0.0,32,0.00023981215781532228,7.489165727747604e-05,0.00015607326349709183,8.847244316712022e-06,0.0,35,0.00037570708082057536,9.207729453919455e-05,0.0002766899415291846,6.939842023712117e-06,0.0,33,0.00033168436493724585,8.842290117172524e-05,0.0002351293951505795,8.132070433930494e-06,0.0,32
18,900,0.00026179745327681303,8.533656364306808e-05,0.0001675420644460246,8.91880517883692e-06,0.0,38,0.00019143862300552428,5.5418568081222475e-05,0.00012629639240913093,9.72366160567617e-06,0.0,38,0.0004070479772053659,0.00011903004633495584,0.00027866708114743233,9.350857908430044e-06,0.0,32,0.00021418686083052307,5.7718949392437935e-05,0.00014749237743671983,8.975537639344111e-06,0.0,35,0.0003495594428386539,9.27239452721551e-05,0.0002498477988410741,6.987678716541268e-06,0.0,33,0.0003142133937217295,7.889777043601498e-05,0.0002269878750666976,8.32773275760701e-06,0.0,32
19,950,0.00025017998996190727,8.412788884015754e-05,0.00015706339036114514,8.988708941615187e-06,0.0,36,0.00017697803559713066,4.961432932759635e-05,0.00011745638767024502,9.907317689794581e-06,0.0,36,0.0003819926641881466,0.0001034298402373679,0.0002690174151211977,9.545418834022712e-06,0.0,31,0.00020138057880103588,5.2202878578100353e-05,0.00014007966092322022,9.098037480725907e-06,0.0,34,0.0003006938786711544,6.817550456617028e-05,0.00022550065477844328,7.017729785729898e-06,0.0,31,0.00031905301148071885,9.117955778492615e-05,0.000219358887989074,8.514567525708117e-06,0.0,31
20,1000,0.0002366639964748174,7.91188795119524e-05,0.00014851920423097908,9.025905455928296e-06,0.0,36,0.0001611662155482918,4.123964754398912e-05,0.0001098398061003536,1.0086761903949082e-05,0.0,36,0.00036530790384858847,9.411375503987074e-05,0.00026145883020944893,9.735309504321776e-06,0.0,31,0.0002084414300043136,6.575202860403806e-05,0.00013348698848858476,9.202408364217263e-06,0.0,34,0.0002740821219049394,5.968172263237648e-05,0.00020734869758598506,7.05170623405138e-06,0.0,31,0.0002930889604613185,7.262307917699218e-05,0.00021176716836635023,8.698729288880713e-06,0.0,31
