,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4
0,0.0,0.3701547384262085,0.0014634912367910147,9.999999747378752e-06,0.0,60,0.3286629319190979,0.0010513433953747153,9.999999747378752e-06,0.0,60,0.3558444678783417,0.0016910277772694826,9.999999747378752e-06,0.0,60,0.43824008107185364,0.0009884022874757648,9.999999747378752e-06,0.0,60,0.3313317894935608,0.001150276162661612,9.999999747378752e-06,0.0,60
1,50.0,0.08539652824401855,0.0014651721576228738,9.748424417921342e-06,0.0,60,0.09427641332149506,0.0010670435149222612,9.865953870757949e-06,0.0,60,0.09244562685489655,0.0016939479392021894,9.928209692589007e-06,0.0,60,0.08607497066259384,0.0009963044431060553,9.886170118988957e-06,0.0,60,0.08274338394403458,0.0012778533855453134,9.600166777090635e-06,0.0,60
2,100.0,0.03926769271492958,0.0014612770173698664,9.754547136253677e-06,0.0,60,0.040023013949394226,0.0015184832736849785,8.842507668305188e-06,0.0,60,0.040475424379110336,0.0017756579909473658,9.790035619516857e-06,0.0,60,0.035709038376808167,0.0012591666309162974,9.343532838101964e-06,0.0,60,0.043022073805332184,0.0014095654478296638,8.697585144545883e-06,0.0,60
3,150.0,0.030873561277985573,0.0014004072872921824,9.709318874229211e-06,0.0,60,0.03465607389807701,0.0012117746518924832,8.610541044618003e-06,0.0,60,0.026769543066620827,0.0019082471262663603,9.74977774603758e-06,0.0,60,0.029462575912475586,0.001058334019035101,9.386461897520348e-06,0.0,60,0.039124079048633575,0.0012517634313553572,8.658817932882812e-06,0.0,60
4,200.0,0.016511118039488792,0.0013320209691300988,9.61560999712674e-06,0.0,60,0.030281126499176025,0.0011475393548607826,8.47150386107387e-06,0.0,60,0.016972333192825317,0.001758522936142981,9.282884093408938e-06,0.0,60,0.027345214039087296,0.0010024968069046736,9.465460607316345e-06,0.0,60,0.03469952940940857,0.0012657548068091273,8.62017350300448e-06,0.0,60
5,250.0,0.012665310874581337,0.0012349929893389344,9.548641173751093e-06,0.0,60,0.014520256780087948,0.001220319070853293,7.960782568261493e-06,0.0,60,0.013398870825767517,0.001613663393072784,8.963730579125695e-06,0.0,60,0.016316356137394905,0.0010578661458566785,9.41380494623445e-06,0.0,60,0.01688869297504425,0.0013667535968124866,8.389027243538294e-06,0.0,60
6,300.0,0.011038191616535187,0.0011181808076798916,9.468722055316903e-06,0.0,58,0.009914900176227093,0.0010201885597780347,7.63501702749636e-06,0.0,59,0.011592870578169823,0.0015040249563753605,8.764544872974511e-06,0.0,60,0.010685241781175137,0.0009208471747115254,9.156460691883694e-06,0.0,60,0.011678993701934814,0.0011247602524235845,8.152748705470003e-06,0.0,60
7,350.0,0.010028937831521034,0.0010377159342169762,9.300723831984214e-06,0.0,58,0.008415614254772663,0.0009235385805368423,7.46308296584175e-06,0.0,57,0.010477467440068722,0.0014184433966875076,8.646563401271123e-06,0.0,60,0.00910565908998251,0.0008529822807759047,8.958801117842086e-06,0.0,59,0.009579764679074287,0.0009713727631606162,7.876884410507046e-06,0.0,60
8,400.0,0.009296635165810585,0.0009752200567163527,9.081389180209953e-06,0.0,57,0.007582798600196838,0.0008334858575835824,7.3631672421470284e-06,0.0,55,0.009697922505438328,0.0013430846156552434,8.593473467044532e-06,0.0,59,0.008440637029707432,0.0008047389565035701,8.842794159136247e-06,0.0,58,0.008294939063489437,0.0008530718623660505,7.630971595062874e-06,0.0,58
9,450.0,0.00875132717192173,0.0009217612096108496,8.839998372422997e-06,0.0,55,0.0069306716322898865,0.0007383540505543351,7.323448699025903e-06,0.0,52,0.00908661913126707,0.0012715905904769897,8.583037015341688e-06,0.0,58,0.007995360530912876,0.0007588152657262981,8.77297770784935e-06,0.0,57,0.007360770832747221,0.0007711938815191388,7.501089839934139e-06,0.0,57
