,epoch,total_0,decoder_0,sindy_x_0,latent_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0
0,0,0.043938759714365005,42.783485412597656,1.1539897918701172,0.0006505445344373584,0.0006329234456643462,0.0,60,0.0
1,50,0.00043592677684500813,0.21417181193828583,0.21719714999198914,4.95464337291196e-06,0.0045528532937169075,0.0,60,0.0
2,100,0.00016428886738140136,0.07241125404834747,0.08464980870485306,5.30312661339849e-07,0.007227286230772734,0.0,60,0.0
3,150,9.86672384897247e-05,0.03757205232977867,0.05229621380567551,2.6118252094420313e-07,0.008798717521131039,0.0,57,0.0
4,200,6.952815601835027e-05,0.023307865485548973,0.03635428473353386,1.833090550462657e-07,0.009865819476544857,0.0,54,0.0
5,250,5.126764881424606e-05,0.014519602991640568,0.026015672832727432,1.3316775948624127e-07,0.010732239112257957,0.0,53,0.0
6,300,3.998109605163336e-05,0.00975368544459343,0.018786776810884476,9.654293364746991e-08,0.011440537869930267,0.0,52,0.0
7,350,3.343402568134479e-05,0.007162235677242279,0.014266113750636578,8.562982856119561e-08,0.01200558990240097,0.0,51,0.0
8,400,2.8816470148740336e-05,0.005183944944292307,0.011112121865153313,6.30616057151201e-08,0.012520340271294117,0.0,48,0.0
9,450,2.6494475605431944e-05,0.004401531536132097,0.009068685583770275,5.564614724562489e-08,0.013024203479290009,0.0,44,0.0
10,500,2.438742376398295e-05,0.0035004084929823875,0.007435331121087074,5.198476316081724e-08,0.013451633043587208,0.0,42,0.0
11,550,2.3445601982530206e-05,0.0032436444889754057,0.006428316701203585,4.4285194178428355e-08,0.013773594982922077,0.0,41,0.0
12,600,2.2717282263329253e-05,0.003042766358703375,0.005671858787536621,4.0867092820917605e-08,0.014002615585923195,0.0,41,0.0
13,650,2.191508247051388e-05,0.002627814654260874,0.005090240854769945,4.0385348398785936e-08,0.014196986332535744,0.0,40,0.0
14,700,2.2149410142446868e-05,0.0031538456678390503,0.00466887466609478,3.785167734804418e-08,0.014326651580631733,0.0,40,0.0
15,750,2.0953473722329363e-05,0.0022781791631132364,0.004276893101632595,4.230075489886076e-08,0.014398359693586826,0.0,40,0.0
16,800,2.091845090035349e-05,0.0024202752392739058,0.0040961201302707195,3.222833910854206e-08,0.014402023516595364,0.0,38,0.0
17,850,2.16411044675624e-05,0.0033420769032090902,0.0038482295349240303,3.189198238828794e-08,0.014450766146183014,0.0,38,0.0
18,900,2.0036171918036416e-05,0.0019440430914983153,0.0036045615561306477,3.113447633040778e-08,0.014487536624073982,0.0,38,0.0
19,950,1.9914567019441165e-05,0.0019994506146758795,0.0034158462658524513,3.049947849831369e-08,0.014499238692224026,0.0,37,0.0
20,1000,1.9532080841599964e-05,0.001730344258248806,0.0033089499920606613,3.2626129353729993e-08,0.014492753893136978,0.0,36,0.0
21,1050,1.9685143342940137e-05,0.00202176277525723,0.003183764172717929,3.197790476860973e-08,0.01447958406060934,0.0,36,0.0
22,1100,1.931078077177517e-05,0.001745011075399816,0.0031108050607144833,3.263737013980972e-08,0.014454932883381844,0.0,36,0.0
23,1150,1.8997485312866047e-05,0.001523498329333961,0.0030490169301629066,3.074833188065895e-08,0.014424938708543777,0.0,36,0.0
24,1200,1.8953458493342623e-05,0.001600376213900745,0.0029675308614969254,2.9811765500653564e-08,0.014385521411895752,0.0,35,0.0
25,1250,1.865409103629645e-05,0.0013964552199468017,0.0029071634635329247,3.512269231009668e-08,0.014350436627864838,0.0,35,0.0
26,1300,1.9057953977608122e-05,0.0018386180745437741,0.0029157160315662622,3.4817965399724926e-08,0.014303583651781082,0.0,35,0.0
27,1350,1.8679409549804404e-05,0.0015176564920693636,0.002910798182711005,3.184075225703964e-08,0.014250922948122025,0.0,35,0.0
28,1400,1.846683517214842e-05,0.0014285563956946135,0.002844594419002533,3.3784054664920404e-08,0.014193651266396046,0.0,35,0.0
29,1450,1.8469658243702725e-05,0.0014857088681310415,0.002847535302862525,3.7904666072563487e-08,0.014136375859379768,0.0,35,0.0
30,1500,1.85370518011041e-05,0.0016214653151109815,0.0028407792560756207,3.314019991762507e-08,0.014074773527681828,0.0,35,0.0
31,1550,1.806831278372556e-05,0.0012326090363785625,0.0028226282447576523,3.248444002679207e-08,0.01401304267346859,0.0,35,0.0
32,1600,1.8053122403216548e-05,0.0012840066337957978,0.0028178782667964697,3.458545450030215e-08,0.013951202854514122,0.0,35,0.0
33,1650,1.7827958799898624e-05,0.0011367213446646929,0.0028181192465126514,3.433925854778863e-08,0.013873082585632801,0.0,34,0.0
34,1700,1.802280530682765e-05,0.0014371288707479835,0.002784157171845436,3.6295858762969146e-08,0.013801483437418938,0.0,33,0.0
35,1750,1.7763912182999775e-05,0.0012590019032359123,0.0027558929286897182,3.7293052201903265e-08,0.013748979195952415,0.0,33,0.0
36,1800,1.781943501555361e-05,0.0013183691771700978,0.002791035221889615,4.010259502251756e-08,0.013709991239011288,0.0,32,0.0
37,1850,1.773923941073008e-05,0.001186707173474133,0.0029004556126892567,3.83660747615977e-08,0.013652038760483265,0.0,31,0.0
38,1900,1.748264185152948e-05,0.0009907841449603438,0.002914972836151719,3.9666396389748115e-08,0.01357684563845396,0.0,31,0.0
39,1950,1.7435664631193504e-05,0.0010459142504259944,0.002877706428989768,3.6771027112081356e-08,0.013512007892131805,0.0,31,0.0
40,2000,1.733554199745413e-05,0.0010346280178055167,0.0028402803000062704,4.0681268131947945e-08,0.013460592366755009,0.0,30,0.0
41,2050,1.7577556718606502e-05,0.0012890868820250034,0.002861602930352092,4.095793926239821e-08,0.0134268244728446,0.0,30,0.0
42,2100,1.7583564840606414e-05,0.0012335897190496325,0.0029595622327178717,4.284614263383446e-08,0.013390370644629002,0.0,30,0.0
43,2150,1.7368329281453043e-05,0.0010757198324427009,0.0029410969000309706,4.043941359554992e-08,0.013351471163332462,0.0,30,0.0
44,2200,1.7418598872609437e-05,0.0011554800439625978,0.002954132156446576,4.2317651605117135e-08,0.01330894511193037,0.0,30,0.0
45,2250,1.7243279216927476e-05,0.001052801264449954,0.0029252367094159126,4.626605942803508e-08,0.013265195302665234,0.0,30,0.0
46,2300,1.7453758118790574e-05,0.0013037589378654957,0.002926351735368371,4.451790047710347e-08,0.013223602436482906,0.0,30,0.0
47,2350,1.7201207811012864e-05,0.0010713369119912386,0.0029486618004739285,4.319744562053529e-08,0.013181166723370552,0.0,30,0.0
48,2400,1.776704993972089e-05,0.0013441763585433364,0.0032031754963099957,4.597472269551872e-08,0.013219651766121387,0.0,29,0.0
49,2450,1.7535252482048236e-05,0.0012569683603942394,0.003075425745919347,4.808935116784596e-08,0.013202810660004616,0.0,28,0.0
50,2500,1.773946496541612e-05,0.001427272567525506,0.003143139649182558,5.12806792585252e-08,0.013169001787900925,0.0,28,0.0
51,2550,1.7357691831421107e-05,0.0011867915745824575,0.003034828929230571,5.2019220930787924e-08,0.013136018067598343,0.0,28,0.0
52,2600,1.7248295989702456e-05,0.0011427922872826457,0.0030076547991484404,5.068634223448498e-08,0.013097798451781273,0.0,28,0.0
53,2650,1.7240627130377106e-05,0.0011959659168496728,0.0029877242632210255,5.471372332976898e-08,0.013056882657110691,0.0,28,0.0
54,2700,1.7451582607463934e-05,0.00148108066059649,0.0029574441723525524,5.327324004156253e-08,0.013013004325330257,0.0,28,0.0
55,2750,1.7154794477391988e-05,0.001230590045452118,0.0029576432425528765,5.561791383001946e-08,0.012966505251824856,0.0,28,0.0
56,2800,1.703087218629662e-05,0.0011750132543966174,0.0029367462266236544,5.5439095092424395e-08,0.012919057160615921,0.0,28,0.0
57,2850,1.7037098587024957e-05,0.0012423302978277206,0.002924812026321888,5.523098067783394e-08,0.012869900092482567,0.0,28,0.0
58,2900,1.698820778983645e-05,0.0012455233372747898,0.0029236783739179373,5.304944750150753e-08,0.012818953953683376,0.0,28,0.0
59,2950,1.6816538845887408e-05,0.0011635079281404614,0.0028859402518719435,5.630296584513417e-08,0.012767034582793713,0.0,28,0.0
60,3000,1.741774940455798e-05,0.0018292138120159507,0.002875583479180932,5.890191090429653e-08,0.012712893076241016,0.0,28,0.0
61,3050,1.6959138520178385e-05,0.0013863389613106847,0.0029156706295907497,5.705568639768899e-08,0.012657072395086288,0.0,28,0.0
62,3100,1.6780224541435018e-05,0.00129366060718894,0.002887328853830695,6.075222103163469e-08,0.012599174864590168,0.0,28,0.0
63,3150,1.6514626622665673e-05,0.0010547057026997209,0.0029204986058175564,6.1502646531153e-08,0.012539359740912914,0.0,28,0.0
64,3200,1.6873505956027657e-05,0.0015357129741460085,0.002860291162505746,5.593817320459493e-08,0.012477445416152477,0.0,28,0.0
65,3250,1.653580693528056e-05,0.0011575025273486972,0.003013026434928179,6.040301059329067e-08,0.012365218251943588,0.0,27,0.0
66,3300,1.640995469642803e-05,0.001109421020373702,0.0030094466637820005,6.051917011973273e-08,0.012291026301681995,0.0,26,0.0
67,3350,1.6349680663552135e-05,0.0011501555563881993,0.0030213654972612858,6.720157585959896e-08,0.012178091332316399,0.0,25,0.0
68,3400,1.654149491514545e-05,0.001344517688266933,0.0030841431580483913,6.878552483158273e-08,0.01211276464164257,0.0,25,0.0
69,3450,1.6340283764293417e-05,0.0011892069596797228,0.003093482693657279,6.293463172823976e-08,0.01205753069370985,0.0,25,0.0
70,3500,1.6161664461833425e-05,0.0010775844566524029,0.0030824902933090925,6.28091711973866e-08,0.012001527473330498,0.0,25,0.0
71,3550,1.6134661564137787e-05,0.0011911436449736357,0.003000580472871661,7.082113029355241e-08,0.011942868120968342,0.0,25,0.0
72,3600,1.6038322428357787e-05,0.0011367547558620572,0.003018854185938835,6.892592097074157e-08,0.011882645078003407,0.0,25,0.0
73,3650,1.6103349480545148e-05,0.0012586656957864761,0.003026694990694523,6.707885802370583e-08,0.01181792188435793,0.0,25,0.0
