,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0
0,0,0.10036883503198624,0.09613228589296341,0.004206548444926739,2.9999999242136255e-05,0.0,60,0.0
1,5,0.06851520389318466,0.06428319215774536,0.004202157258987427,2.9858189009246416e-05,0.0,60,0.0
2,10,0.05047538876533508,0.0462447851896286,0.004200886934995651,2.971895992232021e-05,0.0,60,0.0
3,15,0.0410764254629612,0.03684632480144501,0.0042005181312561035,2.9581682611024007e-05,0.0,60,0.0
4,20,0.03647112101316452,0.032241228967905045,0.004200445953756571,2.944550578831695e-05,0.0,60,0.0
5,25,0.03431427478790283,0.030084475874900818,0.004200489725917578,2.9309807359823026e-05,0.0,60,0.0
6,30,0.03331076353788376,0.029080955311655998,0.004200633615255356,2.9174119845265523e-05,0.0,60,0.0
7,35,0.03275170922279358,0.02852177619934082,0.004200895316898823,2.9038030334049836e-05,0.0,60,0.0
8,40,0.032384347170591354,0.02815420739352703,0.004201238974928856,2.890115683840122e-05,0.0,60,0.0
9,45,0.032129157334566116,0.027898747473955154,0.004201647359877825,2.876322832889855e-05,0.0,60,0.0
10,50,0.03192169591784477,0.02769085206091404,0.004202219657599926,2.8624128390219994e-05,0.0,60,0.0
11,55,0.03169343248009682,0.027461742982268333,0.0042032040655612946,2.848366420948878e-05,0.0,60,0.0
12,60,0.031398966908454895,0.027165550738573074,0.004205073229968548,2.8341451979940757e-05,0.0,60,0.0
13,65,0.03099137544631958,0.026754558086395264,0.004208620637655258,2.819709334289655e-05,0.0,60,0.0
14,70,0.030431516468524933,0.026188362389802933,0.0042151035740971565,2.8051585104549304e-05,0.0,60,0.0
15,75,0.029693616554141045,0.025439325720071793,0.004226381424814463,2.790939834085293e-05,0.0,60,0.0
16,80,0.02877424843609333,0.024501945823431015,0.004244526848196983,2.7777809009421617e-05,0.0,60,0.0
17,85,0.027699803933501244,0.023402029648423195,0.0042701102793216705,2.766343459370546e-05,0.0,60,0.0
18,90,0.026529725641012192,0.022202886641025543,0.00429927185177803,2.7568739824346267e-05,0.0,60,0.0
19,95,0.02533995918929577,0.020989801734685898,0.004322666674852371,2.7489963031257503e-05,0.0,60,0.0
20,100,0.02419367805123329,0.019836222752928734,0.004330035299062729,2.7421063350629993e-05,0.0,60,0.0
21,105,0.023114336654543877,0.01876872405409813,0.0043182531371712685,2.7359121304471046e-05,0.0,60,0.0
22,110,0.02209075540304184,0.01776948757469654,0.004293962847441435,2.7302538001094945e-05,0.0,60,0.0
23,115,0.021115269511938095,0.016820963472127914,0.004267058335244656,2.7246926038060337e-05,0.0,60,0.0
24,120,0.020204510539770126,0.015933645889163017,0.004243677482008934,2.7188421881874092e-05,0.0,60,0.0
25,125,0.019382335245609283,0.015129432082176208,0.004225772339850664,2.713073081395123e-05,0.0,60,0.0
26,130,0.01866161823272705,0.014421127736568451,0.004213412292301655,2.7077068807557225e-05,0.0,60,0.0
27,135,0.018040044233202934,0.013807013630867004,0.004206003155559301,2.702689016587101e-05,0.0,60,0.0
28,140,0.01749858260154724,0.013269860297441483,0.004201744217425585,2.697829586395528e-05,0.0,60,0.0
29,145,0.017022274434566498,0.012796694412827492,0.004198647569864988,2.6930569219985045e-05,0.0,60,0.0
30,150,0.016610601916909218,0.012388022616505623,0.004195696674287319,2.6884157705353573e-05,0.0,60,0.0
31,155,0.016258830204606056,0.01203923113644123,0.004192760214209557,2.6839894417207688e-05,0.0,60,0.0
