,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,epoch_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,epoch_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,epoch_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,decoder_avg,sindy_x_avg,reg_avg,sindy_z_avg,active_coeffs_avg
0,1.0,0.3339780271053314,0.0016591086750850081,9.990557373384945e-06,0.0,60.0,1.0,0.2869711220264435,0.001003051409497857,9.990557373384945e-06,0.0,60.0,1.0,0.3862072825431824,0.00118701730389148,9.990597391151823e-06,0.0,60.0,1.0,0.3378114104270935,0.0009646333637647331,9.990557373384945e-06,0.0,60.0,0.3362419605255127,0.0012034526880597696,9.990567377826665e-06,0.0,60.0
1,51.0,0.09462693333625793,0.0016607455909252167,9.580508958606515e-06,0.0,60.0,51.0,0.09077008068561554,0.001013628556393087,9.448252967558801e-06,0.0,60.0,51.0,0.10690635442733765,0.0011963925790041685,9.507771210337523e-06,0.0,60.0,51.0,0.09267377853393555,0.0009666135301813483,9.560117177898064e-06,0.0,60.0,0.09624428674578667,0.001209345064125955,9.524162578600226e-06,0.0,60.0
2,101.0,0.070655956864357,0.0017292425036430359,9.267049790651072e-06,0.0,60.0,101.0,0.06731624156236649,0.001011121436022222,8.981583960121498e-06,0.0,60.0,101.0,0.09735779464244843,0.0012009835336357355,8.93402102519758e-06,0.0,60.0,101.0,0.07085929065942764,0.001008487306535244,9.210324606101494e-06,0.0,60.0,0.07654732093214989,0.0012374586949590594,9.098244845517911e-06,0.0,60.0
3,151.0,0.04773803427815437,0.0016902986681088805,9.176720595860388e-06,0.0,60.0,151.0,0.04312393441796303,0.0010023900540545583,8.679430720803794e-06,0.0,60.0,151.0,0.058971911668777466,0.0012320816749706864,8.557674846088048e-06,0.0,60.0,151.0,0.042782388627529144,0.001034154207445681,9.082804353965912e-06,0.0,60.0,0.048154067248106,0.0012397311511449516,8.874157629179535e-06,0.0,60.0
4,201.0,0.039395127445459366,0.001659126253798604,7.676690984226298e-06,0.0,60.0,201.0,0.03468305245041847,0.0009986705845221877,7.3194460128434e-06,0.0,60.0,201.0,0.041118450462818146,0.0011895033530890942,7.097315574355889e-06,0.0,60.0,201.0,0.03450233116745949,0.0009712615865282714,7.620429641974624e-06,0.0,60.0,0.03742474038153887,0.0012046404444845393,7.428470553350053e-06,0.0,60.0
5,251.0,0.03502151742577553,0.0016545088728889823,7.590110271848971e-06,0.0,60.0,251.0,0.028012562543153763,0.0009753111517056823,7.2759553404466715e-06,0.0,60.0,251.0,0.0330805741250515,0.00118828599806875,6.910414413141552e-06,0.0,60.0,251.0,0.02986864559352398,0.0009802499553188682,7.52480627852492e-06,0.0,60.0,0.03149582492187619,0.0011995889944955707,7.325321575990529e-06,0.0,60.0
6,261.0,0.03994319215416908,0.0016524194506928325,6.335094440146349e-06,0.0,60.0,261.0,0.02487354353070259,0.0009403247386217117,6.763895726180635e-06,0.0,60.0,261.0,0.032789409160614014,0.001177899306640029,5.864306331204716e-06,0.0,60.0,261.0,0.03281095251441002,0.0009684778633527458,6.6327315835224e-06,0.0,60.0,0.03260427433997393,0.0011847803398268297,6.399007020263525e-06,0.0,60.0
7,311.0,0.0343521311879158,0.001649586483836174,6.251640570553718e-06,0.0,60.0,311.0,0.012046442367136478,0.0009214802412316203,6.721787940477952e-06,0.0,60.0,311.0,0.03096708655357361,0.0011681660544127226,5.815817075927043e-06,0.0,60.0,311.0,0.028982408344745636,0.0009679951472207904,6.5008139245037455e-06,0.0,60.0,0.02658701711334288,0.0011768069816753268,6.322514877865615e-06,0.0,60.0
8,321.0,0.037980806082487106,0.0016477267490699887,4.8750830501376186e-06,0.0,59.0,321.0,0.011296705342829227,0.0008912349585443735,6.017597115715034e-06,0.0,57.0,321.0,0.030425401404500008,0.001150989206507802,4.7802695917198434e-06,0.0,51.0,321.0,0.032094988971948624,0.0009608768159523606,5.314763711794512e-06,0.0,57.0,0.02794947545044124,0.0011627069325186312,5.246928367341752e-06,0.0,56.0
9,371.0,0.03347427770495415,0.0016428035451099277,4.8608726501697674e-06,0.0,59.0,371.0,0.009881779551506042,0.0008681718609295785,5.998335836920887e-06,0.0,57.0,371.0,0.02504872903227806,0.0011194010730832815,4.873372290603584e-06,0.0,51.0,371.0,0.027689849957823753,0.0009581439662724733,5.231466730037937e-06,0.0,57.0,0.0240236590616405,0.0011471301113488153,5.241011876933044e-06,0.0,56.0
