,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,epoch_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,epoch_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,decoder_avg,sindy_x_avg,reg_avg,sindy_z_avg,active_coeffs_avg
0,1.0,0.3769652545452118,0.000943466555327177,9.990563739847858e-06,0.0,60.0,1.0,0.37459245324134827,0.0014860486844554543,9.990530998038594e-06,0.0,60.0,1.0,0.3299482464790344,0.0013549539726227522,9.99031908577308e-06,0.0,60.0,0.3605019847551981,0.001261489737468461,9.990471274553176e-06,0.0,60.0
1,51.0,0.09000705927610397,0.0009448407217860222,9.589290129952133e-06,0.0,60,51.0,0.09352590143680573,0.001504343468695879,9.618874173611403e-06,0.0,60,51.0,0.0920252799987793,0.0013512186706066132,9.555012184137013e-06,0.0,60,0.09185274690389633,0.0012668009536961713,9.587725495900182e-06,0.0,60.0
2,101.0,0.0818667784333229,0.0009455929393880069,9.318579941464122e-06,0.0,60,101.0,0.07436218857765198,0.0014932528138160706,9.340547876490746e-06,0.0,60,101.0,0.07411929965019226,0.0013848728267475963,9.169312761514448e-06,0.0,60,0.07678275555372238,0.0012745728599838912,9.276146859823104e-06,0.0,60.0
3,151.0,0.05059710517525673,0.0009468711796216667,9.023298844113015e-06,0.0,60,151.0,0.04276363179087639,0.0014885745476931334,9.050086191564333e-06,0.0,60,151.0,0.046349018812179565,0.0013556998455896974,8.997217264550272e-06,0.0,60,0.04656991859277089,0.0012637151909681657,9.023534100075873e-06,0.0,60.0
4,201.0,0.03801233321428299,0.0009431308717466891,8.78051832842175e-06,0.0,60,201.0,0.03348279371857643,0.0014863306423649192,8.863986295182258e-06,0.0,60,201.0,0.03754075989127159,0.001352545223198831,8.89485909283394e-06,0.0,60,0.03634529560804367,0.0012606689124368131,8.846454572145982e-06,0.0,60.0
5,251.0,0.03390036150813103,0.0009460289729759097,8.462470759695861e-06,0.0,60,251.0,0.030593136325478554,0.0014863115502521396,8.706526386959013e-06,0.0,60,251.0,0.03451155126094818,0.001342819188721478,8.860096386342775e-06,0.0,60,0.03300168303151925,0.0012583865706498423,8.676364510999216e-06,0.0,60.0
6,301.0,0.0318753644824028,0.0009529638336971402,7.978232133609708e-06,0.0,60,301.0,0.029408054426312447,0.0014856883790344,8.53575602377532e-06,0.0,60,301.0,0.03164462000131607,0.001341513590887189,8.817314665066078e-06,0.0,60,0.030976012970010437,0.0012600552678729096,8.443767607483702e-06,0.0,60.0
7,351.0,0.03041965700685978,0.0009619853808544576,7.313552487175912e-06,0.0,60,351.0,0.028635667636990547,0.0014843198005110025,8.353330485988408e-06,0.0,60,351.0,0.022376777604222298,0.0014623282477259636,8.553104635211639e-06,0.0,60,0.027144034082690872,0.0013028778096971412,8.073329202791985e-06,0.0,60.0
8,401.0,0.028631599619984627,0.0009569058893248439,6.668660262221238e-06,0.0,60,401.0,0.027787145227193832,0.001483181957155466,8.12196230981499e-06,0.0,60,401.0,0.016943108290433884,0.0013896580785512924,8.090352821454871e-06,0.0,60,0.02445395104587078,0.001276581975010534,7.626991797830366e-06,0.0,60.0
9,451.0,0.024620963260531425,0.0008858066285029054,6.316299732134212e-06,0.0,60,451.0,0.026524823158979416,0.0014751561684533954,7.834481948520988e-06,0.0,60,451.0,0.014066220261156559,0.0013171894242987037,7.852148883102927e-06,0.0,60,0.021737335560222466,0.0012260507404183347,7.3343101879193755e-06,0.0,60.0
10,501.0,0.01728181354701519,0.0008956464589573443,6.16883971815696e-06,0.0,60,501.0,0.023153897374868393,0.0014205670449882746,7.65231470722938e-06,0.0,60,501.0,0.012370757758617401,0.0012654688907787204,7.708912562520709e-06,0.0,60,0.01760215622683366,0.0011938941315747797,7.176688995969016e-06,0.0,60.0
11,551.0,0.014035417698323727,0.0008307156385853887,6.017921805323567e-06,0.0,55,551.0,0.017448706552386284,0.0013661400880664587,7.575654763058992e-06,0.0,60,551.0,0.01126074232161045,0.0012284718686714768,7.609397016494768e-06,0.0,60,0.014248288857440153,0.0011417758651077747,7.067657861625776e-06,0.0,58.33333333333333
12,601.0,0.011991475708782673,0.0007983956602402031,5.9983549363096245e-06,0.0,50,601.0,0.01426495611667633,0.0012710324954241514,7.538931640738156e-06,0.0,56,601.0,0.010437289252877235,0.0011946901213377714,7.530465609306702e-06,0.0,58,0.012231240359445412,0.0010880394256673753,7.0225840621181606e-06,0.0,54.666666666666664
13,651.0,0.010595361702144146,0.0007714788080193102,6.032497822161531e-06,0.0,47,651.0,0.012240615673363209,0.001202854560688138,7.540547812823206e-06,0.0,53,651.0,0.009785517118871212,0.0011839191429316998,7.477757662854856e-06,0.0,57,0.010873831498126188,0.0010527508372130492,7.016934432613198e-06,0.0,52.33333333333333
14,701.0,0.00962214544415474,0.0007544527761638165,6.062385182303842e-06,0.0,44,701.0,0.010996943339705467,0.001152408542111516,7.557850949524436e-06,0.0,49,701.0,0.009263069368898869,0.0011710820253938437,7.4260788096580654e-06,0.0,57,0.009960719384253025,0.001025981114556392,7.015438313828781e-06,0.0,50.0
15,751.0,0.008910872042179108,0.0007393369451165199,6.089806447562296e-06,0.0,44,751.0,0.010218829847872257,0.0011132342042401433,7.59326985644293e-06,0.0,46,751.0,0.00884997844696045,0.0011540806153789163,7.3583128141763154e-06,0.0,56,0.00932656011233727,0.0010022172549118598,7.01379637272718e-06,0.0,48.666666666666664
