,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,epoch_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,decoder_avg,sindy_x_avg,reg_avg,active_coeffs_avg,sindy_z_avg
0,1.0,0.3771681785583496,0.0016803356120362878,9.990562830353156e-06,0.0,60.0,1.0,0.29914143681526184,0.0013392597902566195,9.990569196816068e-06,0.0,60.0,0.3381548076868057,0.0015097977011464536,9.990566013584612e-06,60.0,0.0
1,51.0,0.10340574383735657,0.0016802909085527062,9.51980382524198e-06,0.0,60.0,51.0,0.10312914103269577,0.0013404113706201315,9.523347216600087e-06,0.0,60.0,0.10326744243502617,0.0015103511395864189,9.521575520921033e-06,60.0,0.0
2,101.0,0.08560357987880707,0.001685475348494947,9.098605005419813e-06,0.0,60.0,101.0,0.0953139141201973,0.0013745554024353623,9.094600500247907e-06,0.0,60.0,0.09045874699950218,0.0015300153754651546,9.09660275283386e-06,60.0,0.0
3,121.0,0.0626290887594223,0.0016926121897995472,9.019080607686192e-06,0.0,60.0,121.0,0.0703810602426529,0.0017945292638614774,9.017599040817004e-06,0.0,60.0,0.0665050745010376,0.0017435707268305123,9.018339824251598e-06,60.0,0.0
4,141.0,0.0531124509871006,0.0016873105196282268,8.984749001683667e-06,0.0,60.0,141.0,0.05149010568857193,0.0029316460713744164,8.948549293563701e-06,0.0,60.0,0.052301278337836266,0.0023094782955013216,8.966649147623684e-06,60.0,0.0
5,161.0,0.048684749752283096,0.001684791874140501,8.943108696257696e-06,0.0,60.0,161.0,0.046612564474344254,0.0018886819016188383,8.882308975444175e-06,0.0,60.0,0.047648657113313675,0.0017867368878796697,8.912708835850935e-06,60.0,0.0
6,181.0,0.04455778747797012,0.0016853645211085677,8.940890438680071e-06,0.0,60.0,181.0,0.04402364045381546,0.0015203390503302217,8.863357834343333e-06,0.0,60.0,0.04429071396589279,0.0016028517857193947,8.902124136511702e-06,60.0,0.0
7,201.0,0.04286925494670868,0.001684726681560278,8.937713573686779e-06,0.0,60.0,201.0,0.0424858033657074,0.0014202274614945054,8.850754056766164e-06,0.0,60.0,0.04267752915620804,0.0015524770715273917,8.894233815226471e-06,60.0,0.0
8,221.0,0.04170374572277069,0.0016806571511551738,8.918715138861444e-06,0.0,60.0,221.0,0.04201401770114899,0.0013797347201034427,8.82895528775407e-06,0.0,60.0,0.04185888171195984,0.0015301959356293082,8.873835213307757e-06,60.0,0.0
9,241.0,0.04355624318122864,0.001678113709203899,8.891882316675037e-06,0.0,60.0,241.0,0.04207560792565346,0.0013667596504092216,8.819289178063627e-06,0.0,60.0,0.04281592555344105,0.0015224366798065603,8.855585747369332e-06,60.0,0.0
10,261.0,0.04302402585744858,0.0016751977382227778,8.87750502442941e-06,0.0,60.0,261.0,0.04311440512537956,0.0013613200280815363,8.806695404928178e-06,0.0,60.0,0.04306921549141407,0.001518258883152157,8.842100214678794e-06,60.0,0.0
11,281.0,0.04334172233939171,0.0016741466242820024,8.85932422534097e-06,0.0,60.0,281.0,0.04133296385407448,0.0013526922557502985,8.793431334197521e-06,0.0,60.0,0.04233734309673309,0.0015134194400161505,8.826377779769246e-06,60.0,0.0
12,301.0,0.04266522079706192,0.0016724418383091688,8.831004379317164e-06,0.0,60.0,301.0,0.04201072081923485,0.001347568235360086,8.781706128502265e-06,0.0,60.0,0.042337970808148384,0.0015100050368346274,8.806355253909715e-06,60.0,0.0
13,321.0,0.04278291016817093,0.0016718306578695774,8.804543540463783e-06,0.0,60.0,321.0,0.03986481949687004,0.0013424870558083057,8.763567166170105e-06,0.0,60.0,0.041323864832520485,0.0015071588568389416,8.784055353316944e-06,60.0,0.0
14,341.0,0.04228725656867027,0.0016695407684892416,8.781747965258546e-06,0.0,60.0,341.0,0.039586376398801804,0.0013365150662139058,8.739195436646696e-06,0.0,60.0,0.04093681648373604,0.0015030279173515737,8.760471700952621e-06,60.0,0.0
15,361.0,0.04200457036495209,0.001669307122938335,8.766064638621174e-06,0.0,60.0,361.0,0.036690711975097656,0.001336566056124866,8.705551408638712e-06,0.0,60.0,0.03934764117002487,0.0015029365895316005,8.735808023629943e-06,60.0,0.0
16,381.0,0.04171019792556763,0.0016663565766066313,8.747530046093743e-06,0.0,60.0,381.0,0.03454310819506645,0.0013318411074578762,8.662034815642983e-06,0.0,60.0,0.03812665306031704,0.0014990988420322537,8.704782430868363e-06,60.0,0.0
17,401.0,0.040746912360191345,0.0016667672898620367,8.72708551469259e-06,0.0,60.0,401.0,0.030146555975079536,0.0013471218990162015,8.615801561973058e-06,0.0,60.0,0.03544673416763544,0.001506944594439119,8.671443538332824e-06,60.0,0.0
18,421.0,0.0407080240547657,0.0016631336184218526,8.708686436875723e-06,0.0,60.0,421.0,0.0275835283100605,0.0013490802375599742,8.557592082070187e-06,0.0,60.0,0.0341457761824131,0.0015061069279909134,8.633139259472955e-06,60.0,0.0
19,441.0,0.038964319974184036,0.001664889045059681,8.691752555023413e-06,0.0,60.0,441.0,0.024359486997127533,0.0013771913945674896,8.499819159624167e-06,0.0,60.0,0.031661903485655785,0.0015210402198135853,8.59578585732379e-06,60.0,0.0
20,461.0,0.03904446214437485,0.0016600742237642407,8.673482625454199e-06,0.0,60.0,461.0,0.023986317217350006,0.0013548540882766247,8.442089892923832e-06,0.0,60.0,0.03151538968086243,0.0015074641560204327,8.557786259189015e-06,60.0,0.0
