,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,coeff_3,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,coeff_4,decoder_5,sindy_x_5,reg_5,sindy_z_5,active_coeffs_5,coeff_5,decoder_6,sindy_x_6,reg_6,sindy_z_6,active_coeffs_6,coeff_6,decoder_7,sindy_x_7,reg_7,sindy_z_7,active_coeffs_7,coeff_7,decoder_8,sindy_x_8,reg_8,sindy_z_8,active_coeffs_8,coeff_8,decoder_9,sindy_x_9,reg_9,sindy_z_9,active_coeffs_9,coeff_9
0,0.0,0.03622039780020714,0.0015988730592653155,9.999999747378752e-06,0.0,60,0.0,0.03703734651207924,0.0014124381123110652,9.999999747378752e-06,0.0,60,0.0,0.03524783253669739,0.0014289336977526546,9.999999747378752e-06,0.0,60,0.0,0.034945111721754074,0.0006965044885873795,9.999999747378752e-06,0.0,60,0.0,0.035817645490169525,0.0013778122374787927,9.999999747378752e-06,0.0,60,0.0,0.037311721593141556,0.0012102642795071006,9.999999747378752e-06,0.0,60,0.0,0.03947507590055466,0.0014568885089829564,9.999999747378752e-06,0.0,60,0.0,0.044806670397520065,0.0015265896217897534,9.999999747378752e-06,0.0,60,0.0,0.03959275409579277,0.001034089014865458,9.999999747378752e-06,0.0,60,0.0,0.03492292761802673,0.0012645942624658346,9.999999747378752e-06,0.0,60,0.0
1,50.0,0.00899998564273119,0.0015978302108123899,9.09773643797962e-06,0.0,60,0.0,0.007912802509963512,0.0014266108628362417,9.176858839055058e-06,0.0,60,0.0,0.008675891906023026,0.0014405114343389869,9.042150850291364e-06,0.0,60,0.0,0.007485040929168463,0.0006982972263358533,9.067156497621909e-06,0.0,60,0.0,0.007979626767337322,0.0015246589900925756,8.949444236350246e-06,0.0,60,0.0,0.009055147878825665,0.0012111893156543374,9.162215974356513e-06,0.0,60,0.0,0.009043782949447632,0.0014581765281036496,9.263921128876973e-06,0.0,60,0.0,0.009420652873814106,0.0015329283196479082,9.365739060740452e-06,0.0,60,0.0,0.007360469084233046,0.0010425604414194822,9.180850611301139e-06,0.0,60,0.0,0.008584581315517426,0.0012672330485656857,9.435588253836613e-06,0.0,60,0.0
2,100.0,0.004488413222134113,0.0015985860954970121,8.537037501810119e-06,0.0,60,0.0,0.0039226035587489605,0.0013045008527114987,9.045957085618284e-06,0.0,60,0.0,0.0038595050573349,0.0014154115924611688,8.692483788763639e-06,0.0,60,0.0,0.002814092906191945,0.0006961998296901584,8.633343895780854e-06,0.0,60,0.0,0.003887294325977564,0.0014065074501559138,8.35544960864354e-06,0.0,60,0.0,0.003936575260013342,0.0012087655486539006,8.744435945118312e-06,0.0,60,0.0,0.004347630310803652,0.001456861151382327,8.783847079030238e-06,0.0,60,0.0,0.005303333979099989,0.001531335641629994,8.894234269973822e-06,0.0,60,0.0,0.004316882696002722,0.0010318661807104945,8.705458640179131e-06,0.0,60,0.0,0.003534264862537384,0.0012552411062642932,9.100441275222693e-06,0.0,60,0.0
3,150.0,0.003909023944288492,0.001588276936672628,8.18401349533815e-06,0.0,60,0.0,0.0034036876168102026,0.001193195697851479,8.851201528159436e-06,0.0,60,0.0,0.003412343328818679,0.0013098749332129955,8.714200703252573e-06,0.0,60,0.0,0.0022341301664710045,0.0006757142837159336,8.193684152502101e-06,0.0,60,0.0,0.003292503533884883,0.0011693957494571805,8.431016794929747e-06,0.0,60,0.0,0.0030205638613551855,0.0011304568033665419,8.605207767686807e-06,0.0,60,0.0,0.0034736786037683487,0.0014511564513668418,8.487818377034273e-06,0.0,60,0.0,0.003919919952750206,0.0014470071764662862,8.768911357037723e-06,0.0,60,0.0,0.003951537422835827,0.0009997511515393853,8.390279617742635e-06,0.0,60,0.0,0.0029605443123728037,0.0011402713134884834,8.97720929060597e-06,0.0,60,0.0
4,200.0,0.0025881484616547823,0.001520895049907267,7.765917871438432e-06,0.0,60,0.0,0.002859863918274641,0.0011504341382533312,8.434042683802545e-06,0.0,60,0.0,0.0024825765285640955,0.0012004503514617682,8.713182978681289e-06,0.0,60,0.0,0.001156688085757196,0.0005633019027300179,7.941290277813096e-06,0.0,60,0.0,0.002065210370346904,0.0011075346264988184,8.364558198081795e-06,0.0,60,0.0,0.0016117667546495795,0.0010193679481744766,8.413805517193396e-06,0.0,60,0.0,0.003091203747317195,0.0014110292540863156,8.417071512667462e-06,0.0,60,0.0,0.0035553325433284044,0.0012218453921377659,8.681086910655722e-06,0.0,60,0.0,0.0038229215424507856,0.0007882321369834244,8.434738447249401e-06,0.0,60,0.0,0.0017971743363887072,0.0010249227052554488,8.883314876584336e-06,0.0,60,0.0
5,250.0,0.0016594795743003488,0.0013424881035462022,7.135499345167773e-06,0.0,60,0.0,0.002104345941916108,0.0010506766848266125,8.037510269787163e-06,0.0,60,0.0,0.0014345413073897362,0.0009433063096366823,8.616611921752337e-06,0.0,60,0.0,0.0007887182873673737,0.0004563257098197937,7.761917004245333e-06,0.0,60,0.0,0.0013373050605878234,0.0009367067250423133,8.300607078126632e-06,0.0,60,0.0,0.0011649937368929386,0.0009101811447180808,8.27198164188303e-06,0.0,60,0.0,0.0017283197958022356,0.0013232475612312555,7.755123988317791e-06,0.0,60,0.0,0.0024796437937766314,0.0011913006892427802,8.39514996187063e-06,0.0,60,0.0,0.003555580973625183,0.0007279480923898518,8.354020792467054e-06,0.0,60,0.0,0.0012127041118219495,0.0007098680944181979,8.820843504508957e-06,0.0,60,0.0
6,300.0,0.0013344594044610858,0.0011620480800047517,7.0723899625591e-06,0.0,55,1.0,0.0013914763694629073,0.0009216018370352685,7.875481969676912e-06,0.0,55,1.0,0.0010074371239170432,0.0007608035230077803,8.477851224597543e-06,0.0,60,0.0,0.0006671624723821878,0.00039084951276890934,7.661121344426647e-06,0.0,59,0.0,0.0010116210905835032,0.000737794442102313,8.1700345617719e-06,0.0,60,0.0,0.0009965731296688318,0.0007734768441878259,8.189837899408303e-06,0.0,57,0.0,0.0012487951898947358,0.0011469031451269984,7.475819984392729e-06,0.0,54,1.0,0.0015749692684039474,0.001065754215233028,8.237830115831457e-06,0.0,60,0.0,0.003015645546838641,0.0006735267234034836,8.026409886952024e-06,0.0,60,0.0,0.0009917061543092132,0.0005398224457167089,8.76563171914313e-06,0.0,59,0.0
7,350.0,0.0011640038574114442,0.0009426852921023965,7.153096703405026e-06,0.0,51,1.0,0.0010387315414845943,0.0007162824622355402,7.982623174029868e-06,0.0,51,2.0,0.0007662015850655735,0.000646419997792691,8.328659532708116e-06,0.0,58,0.0,0.0006112662376835942,0.00034046670771203935,7.537963938375469e-06,0.0,54,1.0,0.0007993322797119617,0.0005697938613593578,7.977651875989977e-06,0.0,58,0.0,0.0008637818391434848,0.000656725896988064,8.132311450026464e-06,0.0,54,1.0,0.0010691367788240314,0.0008424354600720108,7.423500392178539e-06,0.0,45,1.0,0.001189248519949615,0.0008011526078917086,8.269743375421967e-06,0.0,57,0.0,0.0022402966860681772,0.0005875779315829277,7.399497008009348e-06,0.0,58,0.0,0.000881727784872055,0.000452247477369383,8.736947165743914e-06,0.0,57,0.0
8,400.0,0.00103559042327106,0.0007871181005612016,7.128980541892815e-06,0.0,47,1.0,0.0008047393639571965,0.0005020675016567111,8.032489859033376e-06,0.0,51,2.0,0.000614816090092063,0.0005415480118244886,8.197293936973438e-06,0.0,56,0.0,0.0005722548230551183,0.0002909780014306307,7.471672233805293e-06,0.0,51,1.0,0.0006657849880866706,0.0004312906530685723,7.750883924018126e-06,0.0,56,0.0,0.0007218147511593997,0.000597924052271992,8.032611731323414e-06,0.0,53,1.0,0.0009678962524048984,0.0006637512124143541,7.5201837717031594e-06,0.0,44,1.0,0.0009471755474805832,0.0005345194949768484,8.248920494224876e-06,0.0,56,0.0,0.001612774096429348,0.00044897478073835373,6.885791663080454e-06,0.0,55,0.0,0.0007957203197292984,0.00040965230436995625,8.731786692806054e-06,0.0,56,0.0
9,450.0,0.0009355583461001515,0.0007137247594073415,7.066947546263691e-06,0.0,44,1.0,0.0006449452484957874,0.00040063541382551193,8.057867489696946e-06,0.0,50,2.0,0.0005153461243025959,0.0004438060277607292,8.061406333581544e-06,0.0,56,0.0,0.0005313129513524473,0.00025833104155026376,7.457651918230113e-06,0.0,49,1.0,0.0005775327445007861,0.0003595332382246852,7.555818228865974e-06,0.0,54,0.0,0.0005942002171650529,0.000542260124348104,7.930948413559236e-06,0.0,52,1.0,0.0008917093509808183,0.0005454996135085821,7.530067250627326e-06,0.0,42,1.0,0.0007390539394691586,0.00040910777170211077,8.04247429186944e-06,0.0,52,0.0,0.0012320935493335128,0.0003341340343467891,6.657056474068668e-06,0.0,51,1.0,0.0007172660552896559,0.0003891868400387466,8.679096026753541e-06,0.0,55,0.0
