,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,coeff_3,total_4,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,coeff_4,total_5,decoder_5,sindy_x_5,reg_5,sindy_z_5,active_coeffs_5,coeff_5
10,500,4.006825474789366e-05,1.2608455108420458e-05,2.1232222934486344e-05,6.227574885997456e-06,0.0,40,0.1428571428571428,5.785801477031782e-05,1.780698039510753e-05,3.458370701991953e-05,5.467328264785465e-06,0.0,35,0.4285714285714285,5.589316060650162e-05,1.9233817511121742e-05,3.12002666760236e-05,5.459075964608928e-06,0.0,37,0.4285714285714285,3.270064189564437e-05,1.2496918316173831e-05,1.4612355698773172e-05,5.591368335444713e-06,0.0,34,0.1428571428571428,4.970041845808737e-05,1.215009433508385e-05,3.072650360991247e-05,6.823817329859594e-06,0.0,39,0.0,0.00014136718527879566,8.26035684440285e-05,5.3731451771454886e-05,5.032165972806979e-06,0.0,33,0.2857142857142857
11,550,3.76043317373842e-05,1.1875565178343097e-05,1.95229695236776e-05,6.205793852132047e-06,0.0,40,0.1428571428571428,5.335720925359056e-05,1.670894562266767e-05,3.1152892915997654e-05,5.495369805430528e-06,0.0,34,0.4285714285714285,5.14932326041162e-05,1.7292941265623085e-05,2.870979005820118e-05,5.490502189786639e-06,0.0,37,0.4285714285714285,3.017389462911524e-05,1.1705687938956544e-05,1.2901864465675317e-05,5.56634313397808e-06,0.0,33,0.1428571428571428,4.614204590325244e-05,1.0737998309195971e-05,2.8550663046189584e-05,6.853385002614232e-06,0.0,38,0.1428571428571428,0.00013318154378794134,7.769656804157421e-05,5.037225491832942e-05,5.112721737532411e-06,0.0,32,0.2857142857142857
12,600,3.4374937968095765e-05,9.261168088414706e-06,1.89855563803576e-05,6.128214408818167e-06,0.0,39,0.1428571428571428,4.743618410429917e-05,1.4212537280400284e-05,2.77105955319712e-05,5.513052201422397e-06,0.0,33,0.4285714285714285,4.8724308726377785e-05,1.603187592991162e-05,2.7176050934940577e-05,5.516381861525588e-06,0.0,37,0.4285714285714285,2.7825193683383983e-05,1.0692388968891464e-05,1.1591943803068716e-05,5.540860911423806e-06,0.0,32,0.2857142857142857,4.429549153428525e-05,1.0613220183586236e-05,2.6808385882759467e-05,6.873884103697492e-06,0.0,38,0.1428571428571428,0.0001240998535649851,7.192036719061434e-05,4.69826627522707e-05,5.196820438868599e-06,0.0,31,0.42857142857142855
13,650,3.250837107771076e-05,8.440809324383736e-06,1.80052356881788e-05,6.062324700906174e-06,0.0,37,0.1428571428571428,4.3807554902741686e-05,1.2834740118705668e-05,2.545152892707847e-05,5.521284037968144e-06,0.0,33,0.4285714285714285,5.509358015842736e-05,2.2801941668149084e-05,2.6764862923300825e-05,5.526774202735396e-06,0.0,36,0.4285714285714285,2.546840005379636e-05,8.959965271060355e-06,1.098774100682931e-05,5.5206924116646405e-06,0.0,31,0.2857142857142857,4.188609091215767e-05,9.226688234775793e-06,2.5777348128031008e-05,6.882056823087623e-06,0.0,38,0.1428571428571428,0.00011681487376336008,6.721700628986582e-05,4.4358515879139304e-05,5.2393547775864135e-06,0.0,28,0.42857142857142855
14,700,3.180825660820119e-05,7.925729732960463e-06,1.787833753041923e-05,6.004188890074147e-06,0.0,37,0.1428571428571428,4.072568117408082e-05,1.1574480595299974e-05,2.361974839004688e-05,5.531452188733965e-06,0.0,33,0.4285714285714285,4.493535743677057e-05,1.4210972949513234e-05,2.5186976927216165e-05,5.537408014788525e-06,0.0,36,0.4285714285714285,2.431141911074519e-05,9.084177690965587e-06,9.755566679814365e-06,5.47167564945994e-06,0.0,30,0.2857142857142857,4.00599637941923e-05,8.613717909611296e-06,2.457175651215948e-05,6.874488008179469e-06,0.0,38,0.1428571428571428,0.00010737274715211242,6.120802572695538e-05,4.088657078682445e-05,5.278157914290205e-06,0.0,27,0.42857142857142855
15,750,3.167404065607116e-05,8.421349775744602e-06,1.7292644770350307e-05,5.9600474742183e-06,0.0,36,0.1428571428571428,4.076067853020504e-05,1.2642866749956738e-05,2.2585521946894005e-05,5.532290742849e-06,0.0,33,0.4285714285714285,4.306137634557672e-05,1.3287751244206447e-05,2.422937177470885e-05,5.544255145650823e-06,0.0,36,0.4285714285714285,2.346984183532186e-05,8.744294973439537e-06,9.252075869881082e-06,5.4734700825065374e-06,0.0,29,0.2857142857142857,3.977850428782404e-05,8.820119546726346e-06,2.412751382507849e-05,6.830873189755948e-06,0.0,37,0.1428571428571428,0.00010006979573518038,5.701524787582457e-05,3.772882337216288e-05,5.3257217587088235e-06,0.0,27,0.42857142857142855
16,800,3.100480535067618e-05,8.045084541663527e-06,1.7043126717908308e-05,5.916595910093747e-06,0.0,36,0.1428571428571428,3.760722393053584e-05,1.0652095625118818e-05,2.142934863513801e-05,5.5257792155316565e-06,0.0,33,0.4285714285714285,4.3763786379713565e-05,1.4556180758518169e-05,2.365191903663799e-05,5.55568840354681e-06,0.0,35,0.4285714285714285,2.1457948605529964e-05,7.295579507626826e-06,8.715791409485973e-06,5.446578143164516e-06,0.0,28,0.2857142857142857,3.749083407456055e-05,8.115501259453595e-06,2.2569787688553333e-05,6.805546036048327e-06,0.0,37,0.1428571428571428,9.308444714406505e-05,5.2504179620882496e-05,3.522112456266768e-05,5.359143870009575e-06,0.0,27,0.42857142857142855
17,850,3.12237607431598e-05,8.572616025048774e-06,1.6775755284470506e-05,5.875390797882574e-06,0.0,35,0.1428571428571428,3.494923657854088e-05,9.162929927697404e-06,2.027323171205353e-05,5.513074938789941e-06,0.0,33,0.4285714285714285,4.2136300180573016e-05,1.356163284071954e-05,2.303086694155354e-05,5.543798124563182e-06,0.0,35,0.4285714285714285,2.154840149160009e-05,7.810583156242501e-06,8.327770956384484e-06,5.410046924225753e-06,0.0,28,0.2857142857142857,3.602117794798687e-05,7.652225576748606e-06,2.158437382604461e-05,6.7845789999410044e-06,0.0,37,0.1428571428571428,8.82098829606548e-05,4.953373718308285e-05,3.3285490644630045e-05,5.390653313952498e-06,0.0,26,0.42857142857142855
18,900,2.947628854599316e-05,7.86333384894533e-06,1.5777255612192675e-05,5.8356986301078e-06,0.0,34,0.1428571428571428,3.362849383847788e-05,8.674720447743312e-06,1.945837175298948e-05,5.495403456734493e-06,0.0,33,0.4285714285714285,3.974579885834828e-05,1.2109679119021166e-05,2.208465048170183e-05,5.5514692576252855e-06,0.0,34,0.4285714285714285,2.107884211000055e-05,7.671110324736219e-06,8.043306479521561e-06,5.364424396248069e-06,0.0,28,0.2857142857142857,3.5709399526240304e-05,7.601679953950224e-06,2.135368958988693e-05,6.75402816341375e-06,0.0,35,0.1428571428571428,8.448422158835456e-05,4.728195199277252e-05,3.1784660677658394e-05,5.417613465397153e-06,0.0,26,0.42857142857142855
19,950,2.811572267091833e-05,7.001952326390892e-06,1.5327428627642803e-05,5.7863412621372845e-06,0.0,34,0.1428571428571428,3.279931115685031e-05,8.564817107981071e-06,1.876029091363307e-05,5.474204499478219e-06,0.0,33,0.4285714285714285,3.8892514567123726e-05,1.1754992556234356e-05,2.1594149075099267e-05,5.543372935790103e-06,0.0,33,0.4285714285714285,2.160916483262553e-05,8.411981070821639e-06,7.870747140259482e-06,5.3264384405338205e-06,0.0,27,0.2857142857142857,4.037933103973046e-05,1.3073282389086671e-05,2.0569481421262022e-05,6.736568138876464e-06,0.0,35,0.1428571428571428,8.17228719824925e-05,4.5410546590574086e-05,3.08630769723095e-05,5.449246600619517e-06,0.0,26,0.42857142857142855
20,1000,2.733000656007789e-05,6.820720500400057e-06,1.4767294487683102e-05,5.741990662500029e-06,0.0,34,0.1428571428571428,3.138192550977692e-05,7.95805226516677e-06,1.7974238289752975e-05,5.449633590615122e-06,0.0,33,0.4285714285714285,3.88296102755703e-05,1.1605860890995244e-05,2.170947118429467e-05,5.514278200280387e-06,0.0,32,0.4285714285714285,2.060405859083403e-05,7.672002539038658e-06,7.634436769876629e-06,5.297618827171391e-06,0.0,27,0.4285714285714285,3.3970045478781685e-05,7.355532034125645e-06,1.990821874642279e-05,6.706293788738549e-06,0.0,35,0.1428571428571428,7.894982263678685e-05,4.347545836935751e-05,2.9985259970999323e-05,5.489102932187961e-06,0.0,25,0.42857142857142855
21,1050,2.6778732717502866e-05,6.7424307417240925e-06,1.434233763575321e-05,5.693963430530857e-06,0.0,34,0.1428571428571428,3.0748211429454386e-05,7.738510248600505e-06,1.7584772649570368e-05,5.424926712294109e-06,0.0,31,0.4285714285714285,4.4280208385316655e-05,1.1949035979341716e-05,2.689626489882357e-05,5.434906142909313e-06,0.0,31,0.4285714285714285,1.949451689142733e-05,6.776455393264769e-06,7.445732990163378e-06,5.27232805325184e-06,0.0,27,0.4285714285714285,3.294418638688512e-05,6.948230293346569e-06,1.9317667465657e-05,6.678289992123609e-06,0.0,34,0.1428571428571428,7.657236710656434e-05,4.169968087808229e-05,2.937486715381965e-05,5.497813617694192e-06,0.0,25,0.42857142857142855
22,1100,2.62175890384242e-05,6.684022991976235e-06,1.3890720765630247e-05,5.64284528081771e-06,0.0,34,0.1428571428571428,2.947878238046541e-05,7.221862233564025e-06,1.6860125469975173e-05,5.396793312684167e-06,0.0,31,0.5714285714285714,4.2394876800244674e-05,1.1328316759318112e-05,2.5664206987130456e-05,5.4023516895540524e-06,0.0,31,0.4285714285714285,1.897901529446244e-05,6.084433607611572e-06,7.655179615539964e-06,5.239402071310906e-06,0.0,25,0.4285714285714285,3.2528096198802814e-05,6.884417416586075e-06,1.8992612240253948e-05,6.651064722973388e-06,0.0,34,0.1428571428571428,7.544022082583979e-05,4.077654375578277e-05,2.916486846515909e-05,5.498812697624089e-06,0.0,25,0.42857142857142855
23,1150,2.6954414352076128e-05,7.5461257438291796e-06,1.3818850675306749e-05,5.589438387687551e-06,0.0,34,0.1428571428571428,2.9351707780733705e-05,7.361905772995669e-06,1.6623551346128806e-05,5.366250661609229e-06,0.0,31,0.5714285714285714,4.3624997488223016e-05,1.3134781511325857e-05,2.5125404135906138e-05,5.364811840991024e-06,0.0,31,0.4285714285714285,1.927728226291947e-05,6.664850843662862e-06,7.4026834226970095e-06,5.2097475418122485e-06,0.0,25,0.4285714285714285,3.146471863146871e-05,6.1480895965360105e-06,1.8696737242862586e-05,6.619890882575419e-06,0.0,34,0.1428571428571428,7.387375080725178e-05,3.956063665100373e-05,2.881631735363044e-05,5.496794528880855e-06,0.0,25,0.42857142857142855
24,1200,2.5280784029746428e-05,6.779562681913376e-06,1.2967432667210232e-05,5.533786861633416e-06,0.0,33,0.1428571428571428,2.9503133191610686e-05,7.772953722451348e-06,1.639840775169432e-05,5.331772626959719e-06,0.0,31,0.5714285714285714,3.938168447348289e-05,1.0446412488818169e-05,2.359744939894881e-05,5.337819402484456e-06,0.0,31,0.4285714285714285,1.7462130927015096e-05,5.458392934087897e-06,6.822423983976478e-06,5.181313554203371e-06,0.0,25,0.4285714285714285,3.1724543077871203e-05,6.518566806335002e-06,1.8615153749124147e-05,6.5908216129173525e-06,0.0,33,0.1428571428571428,7.283814920810983e-05,3.8685491745127365e-05,2.8656497306656092e-05,5.496165158547228e-06,0.0,25,0.42857142857142855
25,1250,2.445378959237132e-05,6.39818745185039e-06,1.257903659279691e-05,5.4765660024713725e-06,0.0,33,0.1428571428571428,2.779511305561755e-05,6.730495897500077e-06,1.5763262126711197e-05,5.301355486153625e-06,0.0,31,0.5714285714285714,3.80992642021738e-05,1.0265596756653396e-05,2.2519085177918896e-05,5.314582267601509e-06,0.0,31,0.4285714285714285,1.680436616879888e-05,5.0495668801886495e-06,6.597653737117071e-06,5.157146915735211e-06,0.0,25,0.4285714285714285,3.17262347380165e-05,6.949880571482936e-06,1.8213308067061007e-05,6.563045644725207e-06,0.0,33,0.1428571428571428,7.303642632905394e-05,3.86871506634634e-05,2.885688991227653e-05,5.492386208061362e-06,0.0,25,0.42857142857142855
26,1300,2.352048977627419e-05,6.415942607418401e-06,1.1684434866765514e-05,5.420112302090274e-06,0.0,33,0.1428571428571428,2.710996704990976e-05,6.384302196238423e-06,1.5453231753781438e-05,5.272432645142544e-06,0.0,31,0.5714285714285714,3.6978122807340696e-05,1.0079765161208344e-05,2.1607153030345216e-05,5.291203706292436e-06,0.0,31,0.4285714285714285,1.7187003322760575e-05,5.511643848876702e-06,6.544694315380184e-06,5.130665158503689e-06,0.0,25,0.4285714285714285,3.1413543183589354e-05,6.756088168913266e-06,1.8127659132005647e-05,6.5297963374177925e-06,0.0,33,0.1428571428571428,7.262192957568914e-05,3.810194175457582e-05,2.903461609093938e-05,5.485375822900096e-06,0.0,25,0.42857142857142855
27,1350,2.3045555280987173e-05,6.19494085185579e-06,1.1489054486446548e-05,5.361560397432186e-06,0.0,33,0.1428571428571428,2.672387199709192e-05,6.26447672402719e-06,1.5217449799820317e-05,5.241945473244414e-06,0.0,31,0.5714285714285714,3.584280420909636e-05,9.800367479328996e-06,2.0776114979526028e-05,5.266319476504577e-06,0.0,31,0.4285714285714285,1.639836045796983e-05,5.138910182722611e-06,6.158204541861778e-06,5.10124573338544e-06,0.0,25,0.4285714285714285,3.079267480643466e-05,6.299238975771004e-06,1.7997508621192537e-05,6.495926754723769e-06,0.0,33,0.1428571428571428,7.258300320245326e-05,3.786671732086688e-05,2.9241093216114677e-05,5.475193120219046e-06,0.0,25,0.42857142857142855
28,1400,2.2805272237746976e-05,6.377929821610451e-06,1.1126062418043148e-05,5.301279088598676e-06,0.0,33,0.1428571428571428,2.622270221763756e-05,6.045965619705385e-06,1.4966019989515187e-05,5.210716608416988e-06,0.0,31,0.5714285714285714,3.7972764403093606e-05,1.2166219676146284e-05,2.056493940472137e-05,5.241605322225951e-06,0.0,31,0.4285714285714285,1.649779915169347e-05,5.320406671671663e-06,6.106884484324837e-06,5.07050754094962e-06,0.0,25,0.4285714285714285,3.03020715364255e-05,5.856083589605987e-06,1.7981368728214875e-05,6.464618763857288e-06,0.0,33,0.1428571428571428,7.275625102920458e-05,3.7814224924659356e-05,2.948025030491408e-05,5.46177534488379e-06,0.0,25,0.42857142857142855
29,1450,2.1886331524001434e-05,6.136497631814564e-06,1.0506200851523316e-05,5.243633950158255e-06,0.0,32,0.1428571428571428,2.6136876840610057e-05,6.159531949379016e-06,1.4799143173149789e-05,5.178201718081255e-06,0.0,31,0.5714285714285714,3.384656520211138e-05,9.21498485695338e-06,1.9416047507547773e-05,5.2155351113469806e-06,0.0,31,0.4285714285714285,1.6789819710538723e-05,5.753074219683185e-06,5.998887900204863e-06,5.037857590650674e-06,0.0,25,0.4285714285714285,2.9929073207313195e-05,5.5540326684422325e-06,1.794379568309523e-05,6.431243946281029e-06,0.0,33,0.1428571428571428,7.304421887965873e-05,3.7892219552304596e-05,2.9706759960390627e-05,5.445239366963506e-06,0.0,25,0.42857142857142855
30,1500,2.1835810912307352e-05,6.270205176406307e-06,1.0369899428042118e-05,5.195705853111576e-06,0.0,32,0.1428571428571428,5.872413748875261e-05,1.5250198885041756e-05,3.861204459099099e-05,4.861893557972508e-06,0.0,30,0.5714285714285714,3.483838008833118e-05,1.068423534889007e-05,1.89652419066988e-05,5.188904651731718e-06,0.0,31,0.4285714285714285,1.5214371160254814e-05,4.533748779067537e-06,5.675477041222621e-06,5.005145339964656e-06,0.0,24,0.4285714285714285,3.0341045203385875e-05,5.838700417371001e-06,1.810663343349006e-05,6.395711352524813e-06,0.0,33,0.1428571428571428,7.338194700423628e-05,3.8070349546615034e-05,2.9885648473282345e-05,5.425947620096849e-06,0.0,25,0.42857142857142855
31,1550,2.143808887922205e-05,6.369155926222447e-06,9.922918252414092e-06,5.1460151553328615e-06,0.0,32,0.1428571428571428,3.680288136820309e-05,8.348887604370248e-06,2.3632812371943143e-05,4.821180937142344e-06,0.0,28,0.5714285714285714,3.236812335671857e-05,8.791905202087946e-06,1.841503762989305e-05,5.161182343726978e-06,0.0,31,0.4285714285714285,1.479257389291888e-05,4.303767127566971e-06,5.528355359274428e-06,4.960451406077482e-06,0.0,24,0.4285714285714285,3.0243591027101505e-05,5.639847131533315e-06,1.8245624232804403e-05,6.358119208016433e-06,0.0,33,0.1428571428571428,7.371215178864077e-05,3.832034417428076e-05,2.9987590096425265e-05,5.404214334703283e-06,0.0,25,0.42857142857142855
32,1600,2.387122367508709e-05,8.724734470888507e-06,1.0050626769952942e-05,5.095861979498295e-06,0.0,32,0.1428571428571428,3.2706648198654875e-05,7.572572940262034e-06,2.0297713490435854e-05,4.836361767956987e-06,0.0,27,0.5714285714285714,3.18922902806662e-05,8.82806762092514e-06,1.793147202988621e-05,5.132752903591609e-06,0.0,31,0.4285714285714285,1.4346880561788566e-05,4.049202289024834e-06,5.371992301661521e-06,4.925685516354861e-06,0.0,24,0.4285714285714285,3.091061080340296e-05,6.313269750535255e-06,1.8279119103681296e-05,6.318220130197005e-06,0.0,33,0.1428571428571428,7.432961865561083e-05,3.887053026119247e-05,3.0079256248427555e-05,5.379837148211664e-06,0.0,25,0.42857142857142855
33,1650,2.023347951762844e-05,5.618292107101297e-06,9.57061001827242e-06,5.044577392254723e-06,0.0,32,0.1428571428571428,2.915787626989185e-05,7.003747214184841e-06,1.7335407392238267e-05,4.8187202992266975e-06,0.0,26,0.5714285714285714,3.082805415033363e-05,8.55956386658363e-06,1.7164882592624053e-05,5.103607691125944e-06,0.0,31,0.4285714285714285,1.4289051250671037e-05,4.202988293400267e-06,5.196283382247202e-06,4.889779575023567e-06,0.0,23,0.4285714285714285,3.126284354948439e-05,6.555666914209724e-06,1.843130303313956e-05,6.275874056882458e-06,0.0,33,0.1428571428571428,7.451122655766085e-05,3.9131376979639754e-05,2.9976688892929815e-05,5.403159775596578e-06,0.0,24,0.42857142857142855
34,1700,2.3461467208107933e-05,8.657379112264607e-06,9.811702511797192e-06,4.992386038793484e-06,0.0,32,0.1428571428571428,2.7440708436188288e-05,6.631467385886936e-06,1.6064401279436424e-05,4.744838861370226e-06,0.0,26,0.5714285714285714,3.3705844543874264e-05,1.1197349522262812e-05,1.7434531400795095e-05,5.073962256574305e-06,0.0,31,0.4285714285714285,1.3648581443703732e-05,3.842406385956565e-06,4.960110345564317e-06,4.84606380268815e-06,0.0,23,0.4285714285714285,3.001754157594405e-05,5.3416865739563946e-06,1.8413747966405936e-05,6.26210658083437e-06,0.0,32,0.1428571428571428,7.467886462109163e-05,3.950149402953684e-05,2.9770963010378182e-05,5.406404397945153e-06,0.0,24,0.42857142857142855
35,1750,2.002145083679352e-05,5.626197435049107e-06,9.464043614570984e-06,4.931208877678728e-06,0.0,31,0.1428571428571428,2.7363777917344123e-05,7.016880317678442e-06,1.5688732673879713e-05,4.658163561543915e-06,0.0,26,0.5714285714285714,3.0196606530807912e-05,9.035486982611474e-06,1.610895742487628e-05,5.052163487562211e-06,0.0,30,0.4285714285714285,1.3354110706131904e-05,3.714482318173396e-06,4.839651865040651e-06,4.799976068170508e-06,0.0,23,0.4285714285714285,3.0193747079465535e-05,5.389169473346556e-06,1.859063740994316e-05,6.213939741428476e-06,0.0,32,0.1428571428571428,7.484955131076276e-05,3.9805021515348926e-05,2.9667438866454177e-05,5.377093202696415e-06,0.0,24,0.42857142857142855
36,1800,2.0029128791065887e-05,5.675445208908059e-06,9.483704161539208e-06,4.8699803301133215e-06,0.0,31,0.1428571428571428,2.6535613869782537e-05,6.5421568251622375e-06,1.5421985153807327e-05,4.5714723455603234e-06,0.0,26,0.5714285714285714,2.890227915486321e-05,8.204255209420808e-06,1.5677052942919545e-05,5.020971912017558e-06,0.0,30,0.4285714285714285,1.3038964425504672e-05,3.593191649997607e-06,4.687294222094352e-06,4.758479008160066e-06,0.0,23,0.4285714285714285,3.0226536182453856e-05,5.235730441199848e-06,1.8822560377884656e-05,6.168246272864053e-06,0.0,31,0.1428571428571428,7.530042057624087e-05,4.03509329771623e-05,2.961251993838232e-05,5.336964022717439e-06,0.0,24,0.42857142857142855
