,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,coeff_3,total_4,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,coeff_4,total_5,decoder_5,sindy_x_5,reg_5,sindy_z_5,active_coeffs_5,coeff_5
10,500,4.6383836888708174e-05,1.97075387404766e-05,1.991271710721776e-05,6.763581041013822e-06,0.0,40,0.1428571428571428,5.906969454372302e-05,1.838742355175782e-05,3.5008430131711066e-05,5.6738435887382366e-06,0.0,42,0.0,9.626877726987004e-05,4.520490620052442e-05,4.504375465330668e-05,6.020115051796893e-06,0.0,36,0.1428571428571428,3.940551323466934e-05,1.166173296951456e-05,2.215168933616951e-05,5.592091383732623e-06,0.0,38,0.0,4.0917635487858206e-05,1.2149157555541024e-05,2.13059174711816e-05,7.462561370630283e-06,0.0,40,0.1428571428571428,2.8357157134450972e-05,8.88216254679719e-06,1.3399752788245678e-05,6.075241799408104e-06,0.0,42,0.0
11,550,4.515082036959939e-05,1.767699359334074e-05,2.068415233225096e-05,6.789672625018284e-06,0.0,40,0.1428571428571428,5.510991104529239e-05,1.707402952888515e-05,3.229320645914413e-05,5.742675966757815e-06,0.0,41,0.0,8.525658631697297e-05,3.8369951653294265e-05,4.0853639802662656e-05,6.03298985879519e-06,0.0,36,0.1428571428571428,3.821336940745823e-05,1.3272826436150352e-05,1.9320908904774114e-05,5.619632247544359e-06,0.0,37,0.1428571428571428,3.734316487680189e-05,1.1002467545040416e-05,1.8907203411799856e-05,7.433492555719567e-06,0.0,38,0.1428571428571428,2.617343852762133e-05,7.748104508209508e-06,1.234203500644071e-05,6.0832994677184615e-06,0.0,41,0.0
12,600,4.435222945176065e-05,1.6025918739615008e-05,2.1533298422582448e-05,6.793013199057896e-06,0.0,40,0.1428571428571428,5.124733070260845e-05,1.563574915053323e-05,2.9845565222785808e-05,5.766017238784116e-06,0.0,41,0.0,7.386448123725131e-05,3.162351276841946e-05,3.621698488132097e-05,6.02398677074234e-06,0.0,36,0.1428571428571428,3.2356270821765065e-05,9.869681889540516e-06,1.6907160897972062e-05,5.579428034252487e-06,0.0,37,0.1428571428571428,3.484077751636505e-05,1.0227337952528616e-05,1.7204209143528715e-05,7.40922951081302e-06,0.0,37,0.1428571428571428,2.689587745408062e-05,8.750444067118224e-06,1.2106250323995482e-05,6.039183062966913e-06,0.0,40,0.0
13,650,4.470223939279094e-05,1.534420698590111e-05,2.256708830827847e-05,6.790944098611362e-06,0.0,39,0.1428571428571428,4.756850830744952e-05,1.403024998580804e-05,2.7771555323852223e-05,5.766702543041902e-06,0.0,40,0.0,6.387626490322873e-05,2.460737596265972e-05,3.3281325158895925e-05,5.9875605984416325e-06,0.0,34,0.1428571428571428,2.9636510589625686e-05,9.093748303712346e-06,1.50116811710177e-05,5.531082024390344e-06,0.0,36,0.1428571428571428,3.279723023297265e-05,9.377804417454172e-06,1.602679185452871e-05,7.392635779979173e-06,0.0,37,0.1428571428571428,2.3393306037178263e-05,6.426960226235678e-06,1.0986973393301014e-05,5.97937196289422e-06,0.0,39,0.0
14,700,4.411370173329488e-05,1.4606135664507748e-05,2.27182299568085e-05,6.789334747736575e-06,0.0,39,0.1428571428571428,4.497390182223171e-05,1.3165323252906092e-05,2.604309884191025e-05,5.765481546404772e-06,0.0,40,0.0,6.0102916904725134e-05,2.277039129694458e-05,3.1391940865432844e-05,5.9405861065897625e-06,0.0,32,0.1428571428571428,2.70713098871056e-05,7.872774403949734e-06,1.3714397937292231e-05,5.484137545863632e-06,0.0,36,0.1428571428571428,3.138800457236357e-05,8.763643563725054e-06,1.5217548025248108e-05,7.406810709653655e-06,0.0,36,0.1428571428571428,2.2586220438824967e-05,6.130879228294361e-06,1.0539502000028733e-05,5.915840119996574e-06,0.0,39,0.0
15,750,4.4861426431452855e-05,1.4703480701427908e-05,2.335596400371287e-05,6.801984000048833e-06,0.0,38,0.1428571428571428,4.598567102220841e-05,1.523436549177859e-05,2.4977247448987328e-05,5.7740571719477884e-06,0.0,40,0.0,6.497973663499579e-05,2.804093855957035e-05,3.096263753832318e-05,5.976157808618154e-06,0.0,31,0.1428571428571428,2.640115053509362e-05,8.23764185042819e-06,1.2725417036563158e-05,5.438091648102272e-06,0.0,36,0.1428571428571428,3.047141217393801e-05,8.809529390418902e-06,1.4296656445367262e-05,7.365226338151842e-06,0.0,35,0.1428571428571428,2.1772239051642828e-05,5.814063570142025e-06,1.0107496564160101e-05,5.850679826835403e-06,0.0,39,0.0
16,800,4.42861819465179e-05,1.3493668120645452e-05,2.39911114476854e-05,6.801400559197646e-06,0.0,38,0.1428571428571428,4.054759847349487e-05,1.1416119377827272e-05,2.3348944523604587e-05,5.782534117315663e-06,0.0,40,0.0,5.614152178168297e-05,1.9410153981880285e-05,3.074037886108272e-05,5.990987119730562e-06,0.0,30,0.1428571428571428,2.443210905767046e-05,7.129584901122144e-06,1.1888965673279016e-05,5.413557573774597e-06,0.0,33,0.1428571428571428,2.8282549465075132e-05,7.6178253038960975e-06,1.33472858578898e-05,7.317437393794535e-06,0.0,34,0.1428571428571428,2.100726851494983e-05,5.58939700567862e-06,9.636431968829129e-06,5.7814386309473775e-06,0.0,39,0.0
17,850,4.331469244789332e-05,1.3543045497499406e-05,2.298186336702201e-05,6.789784947613953e-06,0.0,37,0.1428571428571428,3.891544110956602e-05,1.0879781257244758e-05,2.224570198450237e-05,5.789955139334779e-06,0.0,40,0.0,5.76230013393797e-05,1.8186909073847343e-05,3.342177296872251e-05,6.014320661051897e-06,0.0,30,0.1428571428571428,2.318293263670057e-05,6.708671662636334e-06,1.1083167919423431e-05,5.391094418882858e-06,0.0,32,0.1428571428571428,2.81211960100336e-05,7.516405730711995e-06,1.3331524314708076e-05,7.273265055118827e-06,0.0,33,0.1428571428571428,2.0384224626468495e-05,5.496431640494848e-06,9.13752410269808e-06,5.750268428528216e-06,0.0,38,0.0
18,900,4.203136631986126e-05,1.4040538189874496e-05,2.1246751202852465e-05,6.744077836629003e-06,0.0,36,0.1428571428571428,3.82776306651067e-05,1.1002388419001363e-05,2.148611019947566e-05,5.789133865619078e-06,0.0,38,0.0,5.978871195111424e-05,1.802969381969888e-05,3.5749613743973896e-05,6.009402113704709e-06,0.0,29,0.1428571428571428,2.1955083866487257e-05,6.08315485806088e-06,1.0498541996639688e-05,5.373387921281392e-06,0.0,32,0.1428571428571428,2.839816443156451e-05,8.039917702262755e-06,1.314989731326932e-05,7.208350325527135e-06,0.0,32,0.1428571428571428,1.9326296751387417e-05,4.986569820175646e-06,8.655383680888917e-06,5.684342795575503e-06,0.0,38,0.0
19,950,4.02892692363821e-05,1.2234962014190389e-05,2.1346351786633026e-05,6.7079567998007406e-06,0.0,35,0.1428571428571428,3.642012234195136e-05,1.0114542419614736e-05,2.0515893993433565e-05,5.789688202639809e-06,0.0,38,0.0,6.274870247580111e-05,1.837770651036408e-05,3.835151073872112e-05,6.019489774189424e-06,0.0,29,0.1428571428571428,2.197751382482238e-05,6.330904852802632e-06,1.0292569641023874e-05,5.354037966753822e-06,0.0,32,0.1428571428571428,2.642897015903145e-05,6.744851361872861e-06,1.255808001587866e-05,7.126039236027282e-06,0.0,32,0.1428571428571428,1.877090471680276e-05,5.004092145100003e-06,8.171664376277477e-06,5.5951472859305795e-06,0.0,38,0.0
