,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,coeff_3,total_4,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,coeff_4,total_5,decoder_5,sindy_x_5,reg_5,sindy_z_5,active_coeffs_5,coeff_5
19,950,8.330523269250989e-05,1.975702434720006e-05,5.504709770320915e-05,8.501111551595386e-06,0.0,32,0.0,7.956325134728104e-05,1.5615965821780264e-05,5.565879837376997e-05,8.2884844232467e-06,0.0,38,0.0,2.1028972696512938e-05,4.412331236380851e-06,8.895837709133048e-06,7.720805115241092e-06,0.0,46,0.0,3.484237095108256e-05,5.3396643124870025e-06,1.835281364037656e-05,1.11498920887243e-05,0.0,37,0.1428571428571428,0.0001325053744949,4.5177177526056767e-05,7.993302278919145e-05,7.3951737249444705e-06,0.0,28,0.1428571428571428,4.7343037294922397e-05,1.588505256222561e-05,2.4441873392788693e-05,7.016110885160742e-06,0.0,27,0.14285714285714285
20,1000,7.846094376873225e-05,1.8330340026295744e-05,5.156188490218483e-05,8.56872065924108e-06,0.0,32,0.0,3.754211502382532e-05,7.63942898629466e-06,2.1547097276197743e-05,8.355589670827612e-06,0.0,36,0.0,2.3447631974704564e-05,6.659603513980983e-06,9.014349416247567e-06,7.773677680233959e-06,0.0,46,0.0,3.373996150912717e-05,4.0832760532794055e-06,1.878228795249015e-05,1.087439522962086e-05,0.0,35,0.1428571428571428,0.0001421607885276,4.482462827581912e-05,8.987426554085687e-05,7.461893801519182e-06,0.0,28,0.1428571428571428,4.7003970394143835e-05,1.613141103007365e-05,2.37879175983835e-05,7.084639491949929e-06,0.0,27,0.14285714285714285
21,1050,7.514644676120952e-05,1.7413576642866246e-05,4.910181451123208e-05,8.631054697616491e-06,0.0,32,0.0,2.886814036173746e-05,6.117102657299256e-06,1.4184293831931429e-05,8.566744327254128e-06,0.0,36,0.0,2.1061716324766167e-05,4.007260940852575e-06,9.225615940522404e-06,7.828839443391189e-06,0.0,44,0.0,3.251031012041494e-05,3.922499217878794e-06,1.7616432160139084e-05,1.097137646866031e-05,0.0,34,0.1428571428571428,0.0001549282605992,4.459312185645104e-05,0.0001028136830427,7.521458883275045e-06,0.0,27,0.1428571428571428,4.549477671389468e-05,1.533041722723283e-05,2.301710264873691e-05,7.147257292672293e-06,0.0,26,0.14285714285714285
22,1100,6.899129220983014e-05,1.5754058040329255e-05,4.454492955119349e-05,8.69230461830739e-06,0.0,32,0.0,2.43581562244799e-05,4.970633654011181e-06,1.0593433216854464e-05,8.794090717856307e-06,0.0,36,0.0,2.055991353699937e-05,3.693709686558577e-06,8.973396688816138e-06,7.892806024756283e-06,0.0,44,0.0,3.1519342883257195e-05,3.911894509656122e-06,1.6458028767374344e-05,1.1149418241984677e-05,0.0,34,0.1428571428571428,0.0001711191289359,4.516055196290836e-05,0.0001183851418318,7.5734424171969295e-06,0.0,27,0.1428571428571428,4.5165896153775975e-05,1.5470681319129653e-05,2.2478983737528324e-05,7.216232916107401e-06,0.0,26,0.14285714285714285
23,1150,6.721446698065847e-05,1.7861004380392842e-05,4.0546517993789166e-05,8.80694278748706e-06,0.0,30,0.0,2.155288893845864e-05,4.199606792099075e-06,8.385850378545001e-06,8.967433132056613e-06,0.0,35,0.0,2.159807991120033e-05,4.867753887083381e-06,8.79146591614699e-06,7.938860107969958e-06,0.0,44,0.0,3.049811130040325e-05,3.4985664569830988e-06,1.567689105286263e-05,1.1322655154799575e-05,0.0,34,0.1428571428571428,0.0001816964359022,4.5038279495202005e-05,0.0001290144282393,7.643723620276432e-06,0.0,26,0.1428571428571428,4.55061745014973e-05,1.6291645806632005e-05,2.1931577066425234e-05,7.282948899955954e-06,0.0,26,0.14285714285714285
24,1200,6.0383630625437945e-05,1.3594588381238282e-05,3.789359107031487e-05,8.895452083379496e-06,0.0,30,0.0,2.010878233704716e-05,4.016573711851379e-06,6.99827296557487e-06,9.093936569115613e-06,0.0,35,0.0,1.9889717805199325e-05,3.5638586268760264e-06,8.344927664438728e-06,7.980930604389869e-06,0.0,44,0.0,3.003167876158841e-05,3.583579882615595e-06,1.4972744793340098e-05,1.1475355677248444e-05,0.0,34,0.1428571428571428,0.0001859281328506,4.47529018856585e-05,0.000133499604999,7.67562505643582e-06,0.0,26,0.1428571428571428,4.355320561444387e-05,1.5037046068755444e-05,2.116870200552512e-05,7.3474579949106555e-06,0.0,26,0.14285714285714285
25,1201,0.0411241203546524,0.0395294837653636,0.0015941793099045,4.5978015350556244e-07,0.0,30,0.0,0.0387632437050342,0.0374026410281658,0.0013602181570604,3.840602573745855e-07,0.0,35,0.0,0.0306177176535129,0.0297640897333621,0.0008531440398655,4.836333573621232e-07,0.0,44,0.0,0.040272518992424,0.0389871262013912,0.0012849912745878,4.019188395432138e-07,0.0,34,0.0,0.0371608957648277,0.0354958064854145,0.0016647145384922,3.748638732758991e-07,0.0,26,0.0,0.035925377160310745,0.03495889529585838,0.0009660401847213507,4.431303466390091e-07,0.0,26,0.0
26,1251,0.0012037599226459,0.0004944018437527,0.0007062143995426,3.143723461107584e-06,0.0,30,0.0,0.0007202434935607,0.0004306200135033,0.0002860779350157,3.5455166198516963e-06,0.0,35,0.0,0.0007087636040523,0.0004627643793355,0.0002421776443952,3.821569407591596e-06,0.0,44,0.0,0.0006668555433861,0.0003507433866616,0.0003132825659122,2.8296103664615657e-06,0.0,34,0.1428571428571428,0.0008241261239163,0.0003620012139435,0.0004596890939865,2.435790293020545e-06,0.0,26,0.1428571428571428,0.0006593603757210076,0.0004491958243306726,0.00020806319662369788,2.1013772766309557e-06,0.0,26,0.14285714285714285
27,1301,0.000405184138799,0.0001732734672259,0.0002275431615998,4.367523160908604e-06,0.0,27,0.0,0.0003350343613419,0.0001922072697198,0.000138554838486,4.272232672519749e-06,0.0,31,0.0,0.0002670114627107,0.0001198405661853,0.0001427192764822,4.451598670129897e-06,0.0,41,0.0,0.00032046897104,0.0001094691469916,0.0002077298850053,3.2699285839044023e-06,0.0,26,0.1428571428571428,0.0005024408455938,0.0001971951714949,0.000302033353364,3.2122998163686134e-06,0.0,24,0.1428571428571428,0.00036064357846044004,0.00021116096468176693,0.00014707799709867686,2.404604856565129e-06,0.0,26,0.14285714285714285
28,1351,0.0002349814749322,9.940982999978588e-05,0.000130622080178,4.949571120960172e-06,0.0,26,0.0,0.0002057641104329,0.0001079864232451,9.265275002690032e-05,5.124941708345432e-06,0.0,30,0.1428571428571428,0.000144094999996,5.047245213063434e-05,8.812204032437876e-05,5.500507086253492e-06,0.0,37,0.0,0.0002176051639253,6.403074803529307e-05,0.0001496251352364,3.949294750782428e-06,0.0,24,0.2857142857142857,0.0003882912860717,0.0001383035996695,0.0002460144169162,3.973294496972812e-06,0.0,22,0.2857142857142857,0.0002681647602003068,0.00013911171117797494,0.00012613195576705039,2.921089389928966e-06,0.0,25,0.14285714285714285
