,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1
0,12,0.1464000344276428,0.1404391825199127,0.0059564113616943,4.421329322212841e-06,0.0,60,0.0,0.16169902682304382,0.15858392417430878,0.0031089545227587223,6.167862920847256e-06,0.0,60,0.0
1,17,0.0250037964433431,0.0190456677228212,0.0059546343982219,3.494561951811193e-06,0.0,60,0.0,0.022082863375544548,0.018970120698213577,0.0031100399792194366,2.7047924504586263e-06,0.0,60,0.0
2,22,0.0193538051098585,0.0134040564298629,0.0059461314231157,3.619746621552622e-06,0.0,60,0.0,0.01451837457716465,0.011410616338253021,0.0031053421553224325,2.4178525563911535e-06,0.0,60,0.0
3,24,0.0187670402228832,0.0128323379904031,0.0059308568015694,3.844365892291535e-06,0.0,60,0.0,0.0136253135278821,0.010546804405748844,0.003074697218835354,3.8123296235426096e-06,0.0,60,0.0
4,12,0.1490920484066009,0.1431311219930648,0.0059564094990491,4.508048277784837e-06,0.0,60,0.0,0.1411599963903427,0.13804729282855988,0.003108964767307043,3.736687858690857e-06,0.0,60,0.0
5,17,0.0290217474102973,0.0230618566274642,0.0059583070687949,1.583811354066711e-06,0.0,60,0.0,0.020638110116124153,0.01752394437789917,0.0031090190168470144,5.146895091456827e-06,0.0,60,0.0
6,22,0.0199963878840208,0.0140468552708625,0.0059475717134773,1.9618926216935506e-06,0.0,60,0.0,0.01364338118582964,0.01059134304523468,0.0030460800044238567,5.9578810578386765e-06,0.0,60,0.0
7,24,0.0195518434047698,0.0136100612580776,0.0059382189065217,3.5623149869934423e-06,0.0,60,0.0,0.009575911797583103,0.006753922440111637,0.0028151278384029865,6.861303518235218e-06,0.0,60,0.0
8,12,0.1626173555850982,0.1566543132066726,0.0059564094990491,6.6165357566205785e-06,0.0,60,0.0,0.15019507706165314,0.14708030223846436,0.003108951263129711,5.82696247874992e-06,0.0,60,0.0
9,17,0.0312494784593582,0.0252889189869165,0.0059564602561295,4.100534169992898e-06,0.0,60,0.0,0.02952658385038376,0.026417016983032227,0.00310690188780427,2.6666639314498752e-06,0.0,60,0.0
10,22,0.0200715493410825,0.0141238626092672,0.0059438459575176,3.840450062853051e-06,0.0,60,0.0,0.012430110946297646,0.009461604990065098,0.0029655795078724623,2.9268212529132143e-06,0.0,60,0.0
11,24,0.019287085160613,0.0133751016110181,0.0059082806110382,3.705136350617977e-06,0.0,60,0.0,0.008413257077336311,0.0055933427065610886,0.0028157788328826427,4.134930350119248e-06,0.0,60,0.0
12,12,0.1599388718605041,0.1539776921272277,0.0059564001858234,4.776883542945143e-06,0.0,60,0.0,0.14093245565891266,0.1378214806318283,0.0031089480035007,2.0331910945969867e-06,0.0,60,0.0
13,17,0.035819835960865,0.0298576392233371,0.0059585282579064,3.665985786938109e-06,0.0,60,0.0,0.019562585279345512,0.016449367627501488,0.0031109408009797335,2.2763908873457694e-06,0.0,60,0.0
14,22,0.0199264902621507,0.0139770545065402,0.0059471051208674,2.3302350200538058e-06,0.0,60,0.0,0.014227659441530704,0.011117936111986637,0.003107888624072075,1.8342723251407733e-06,0.0,60,0.0
15,24,0.0190166477113962,0.0131041388958692,0.0059099341742694,2.573868187027984e-06,0.0,60,0.0,0.01338278315961361,0.010297685861587524,0.0030824141576886177,2.6838717985810945e-06,0.0,60,0.0
16,12,0.159074604511261,0.1531119048595428,0.0059564132243394,6.290929377428256e-06,0.0,60,0.0,0.12949010729789734,0.12637583911418915,0.0031089577823877335,5.3021581152279396e-06,0.0,60,0.0
17,17,0.0334766134619712,0.0275166556239128,0.005955166183412,4.793696916749468e-06,0.0,60,0.0,0.02023993991315365,0.017125749960541725,0.003108968259766698,5.221520495979348e-06,0.0,60,0.0
18,22,0.0199784226715564,0.0140194613486528,0.0059545431286096,4.418735443323385e-06,0.0,60,0.0,0.014104010537266731,0.011000502854585648,0.0030973153188824654,6.192080945766065e-06,0.0,60,0.0
19,24,0.019539825618267,0.0135842077434062,0.0059512248262763,4.392080427351175e-06,0.0,60,0.0,0.011744094081223011,0.008794231340289116,0.0029409308917820454,8.932662240113132e-06,0.0,60,0.0
