,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2
0,0.0,0.2831975817680359,0.005744470749050379,7.999999797903001e-05,0.0,60,0.0,0.2898392081260681,0.00888817198574543,7.999999797903001e-05,0.0,60,0.0,0.2979618310928345,0.010055738501250744,7.999999797903001e-05,0.0,60,0.0
1,50.0,0.017386168241500854,0.0057204351760447025,6.371248309733346e-05,0.0,60,0.0,0.02214977517724037,0.00706217996776104,6.738901720382273e-05,0.0,60,0.0,0.03029858134686947,0.0090244235470891,6.607026443816721e-05,0.0,60,0.0
2,100.0,0.005454589147120714,0.002875332487747073,6.248612044146284e-05,0.0,55,1.0,0.007667341269552708,0.006067072041332722,6.126413791207597e-05,0.0,58,0.0,0.01757047325372696,0.007697003893554211,6.203667726367712e-05,0.0,60,0.0
3,150.0,0.004328330513089895,0.0017393927555531263,6.527444929815829e-05,0.0,53,1.0,0.003276672912761569,0.0037108291871845722,5.916331065236591e-05,0.0,50,0.0,0.006145356222987175,0.005278421100229025,6.181924982229248e-05,0.0,60,0.0
4,200.0,0.0035424421075731516,0.0013317405246198177,6.597337778657675e-05,0.0,52,1.0,0.002188648097217083,0.001731890719383955,6.200880307005718e-05,0.0,48,1.0,0.0036085722967982292,0.0034690324682742357,6.14460077486001e-05,0.0,56,1.0
5,250.0,0.0029546739533543587,0.0011465962743386626,6.630621646763757e-05,0.0,51,1.0,0.001607621437869966,0.0013710709754377604,6.36890108580701e-05,0.0,47,1.0,0.002570994198322296,0.002762720687314868,6.197804032126442e-05,0.0,51,1.0
6,300.0,0.002283361041918397,0.0010583923431113362,6.621612556045875e-05,0.0,50,1.0,0.0013004415668547153,0.0012129296083003283,6.478334398707375e-05,0.0,46,1.0,0.0019083606312051415,0.0023667681962251663,6.347097223624587e-05,0.0,48,1.0
7,350.0,0.001754720346070826,0.0009766214061528444,6.515160202980042e-05,0.0,49,1.0,0.0011025674175471067,0.001101193018257618,6.571609992533922e-05,0.0,46,1.0,0.0015590674011036754,0.0020157205872237682,6.547639350173995e-05,0.0,46,1.0
8,400.0,0.0014307880774140358,0.0009418543777428567,6.388788460753858e-05,0.0,49,1.0,0.0009704375988803804,0.0010178813245147467,6.65373881929554e-05,0.0,45,1.0,0.0013489829143509269,0.0017947307787835598,6.721850513713434e-05,0.0,44,2.0
9,450.0,0.0012572837295010686,0.0009334082715213299,6.294751074165106e-05,0.0,46,3.0,0.0008553876541554928,0.000942002166993916,6.722829857608303e-05,0.0,44,2.0,0.0012020114809274673,0.0015827140305191278,6.843174924142659e-05,0.0,44,2.0
