,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0
0,0.0,0.038841765373945236,0.001149152871221304,9.999999747378752e-06,0.0,60,0.0
1,50.0,0.007528282236307859,0.0011609275825321674,9.282801329391077e-06,0.0,60,0.0
2,100.0,0.004033227451145649,0.0011388837592676282,8.953572432801593e-06,0.0,60,0.0
3,150.0,0.0036148030776530504,0.0009543074411340058,8.912351404433139e-06,0.0,60,0.0
4,200.0,0.0031839520670473576,0.0008225176716223359,8.852555765770376e-06,0.0,60,0.0
5,250.0,0.0019232238410040736,0.0008336979662999511,8.698875717527699e-06,0.0,60,0.0
6,300.0,0.0012464468600228429,0.0006505021010525525,8.619051186542492e-06,0.0,60,0.0
7,350.0,0.0009565288200974464,0.0004948655259795487,8.50093420012854e-06,0.0,60,0.0
8,400.0,0.000745094905141741,0.0004041755455546081,8.3382446973701e-06,0.0,59,0.0
9,450.0,0.0005880254902876914,0.00032081687822937965,8.144756066030823e-06,0.0,59,1.0
10,500.0,0.0004744285251945257,0.00026464342954568565,8.038472515181638e-06,0.0,54,1.0
11,550.0,0.00039359397487714887,0.00022449385141953826,7.894637747085653e-06,0.0,54,1.0
12,600.0,0.00033544606412760913,0.00019809184595942497,7.741417903162073e-06,0.0,51,1.0
13,650.0,0.00029324935167096555,0.00017780529742594808,7.616438779223245e-06,0.0,51,1.0
14,700.0,0.0002614864497445524,0.00016163963300641626,7.512679985666182e-06,0.0,43,1.0
15,750.0,0.00023827471886761487,0.00015096156857907772,7.510443538194522e-06,0.0,43,1.0
16,800.0,0.00022056294255889952,0.00014249864034354687,7.511122475989396e-06,0.0,41,1.0
17,850.0,0.0002042032137978822,0.00013548717834055424,7.551380349468673e-06,0.0,41,1.0
18,900.0,0.00019031109695788473,0.00012968061491847038,7.616506991325878e-06,0.0,40,1.0
19,950.0,0.0001784546475391835,0.0001242866419488564,7.681691386096645e-06,0.0,40,1.0
20,1000.0,0.0001670372294029221,0.0001193107309518382,7.749543328827713e-06,0.0,38,1.0
21,1050.0,0.00015657726908102632,0.00011449078010628,7.843093953852076e-06,0.0,38,1.0
22,1100.0,0.00014702150656376034,0.00011024661944247782,7.938713679322973e-06,0.0,36,1.0
23,1150.0,0.00013833233970217407,0.00010603416740195826,8.036084182094783e-06,0.0,36,1.0
24,1200.0,0.00013034799485467374,0.00010215228394372389,8.132123184623197e-06,0.0,36,1.0
25,1250.0,0.00012297213834244758,9.838899859460071e-05,8.224540579249151e-06,0.0,36,1.0
26,1300.0,0.00011593528324738145,9.483033500146121e-05,8.311074452649336e-06,0.0,36,1.0
27,1350.0,0.00010950201249215752,9.154620784102008e-05,8.389474714931566e-06,0.0,36,1.0
28,1400.0,0.00010312251833966002,8.853644249029458e-05,8.457079275103752e-06,0.0,36,1.0
29,1450.0,9.812899224925786e-05,8.583399903727695e-05,8.515485205862205e-06,0.0,36,1.0
30,1500.0,9.27193759707734e-05,8.326631359523162e-05,8.563957635487895e-06,0.0,36,1.0
31,1550.0,8.763058576732874e-05,8.106508903438225e-05,8.602554771641735e-06,0.0,36,1.0
32,1600.0,8.368203998543322e-05,7.909170381026343e-05,8.631441232864745e-06,0.0,35,1.0
33,1650.0,7.848670793464407e-05,7.670509512536228e-05,8.662085747346282e-06,0.0,35,1.0
34,1700.0,7.502268272219226e-05,7.457637548213825e-05,8.687517038197257e-06,0.0,34,1.0
35,1750.0,7.102880044840276e-05,7.229962648125365e-05,8.708993846084923e-06,0.0,34,1.0
36,1800.0,6.670067523373291e-05,7.037823525024578e-05,8.72608052304713e-06,0.0,33,1.0
37,1850.0,6.366681191138923e-05,6.841465801699087e-05,8.747789252083749e-06,0.0,33,1.0
38,1900.0,6.050996671547182e-05,6.992989801801741e-05,8.770137355895713e-06,0.0,31,1.0
39,1950.0,5.717190288123675e-05,6.529911479447037e-05,8.771766260906588e-06,0.0,31,1.0
40,2000.0,5.5050939408829436e-05,6.990621477598324e-05,8.800182513368782e-06,0.0,30,1.0
41,2050.0,5.203555338084698e-05,6.229586142580956e-05,8.843202522257343e-06,0.0,30,1.0
42,2100.0,4.975318006472662e-05,6.063278851797804e-05,8.87491387402406e-06,0.0,30,1.0
43,2150.0,4.761926538776606e-05,5.906611113459803e-05,8.905496542865876e-06,0.0,30,1.0
44,2200.0,4.528644058154896e-05,5.7810000726021826e-05,8.936041012930218e-06,0.0,30,1.0
45,2250.0,4.335045377956703e-05,5.639919618261047e-05,8.965406777861062e-06,0.0,30,1.0
46,2300.0,4.178244489594363e-05,5.4974934755591676e-05,8.996376891445834e-06,0.0,30,1.0
47,2350.0,4.0989751141751185e-05,5.3673873480875045e-05,9.025823601405136e-06,0.0,30,1.0
48,2400.0,3.972342165070586e-05,5.2740364480996504e-05,9.053318535734434e-06,0.0,30,1.0
49,2450.0,3.9142043533502147e-05,5.144720125827007e-05,9.079439223569352e-06,0.0,30,1.0
50,2500.0,3.5915571061195806e-05,5.007713843951933e-05,9.104611308430322e-06,0.0,30,1.0
51,2550.0,3.417362677282654e-05,4.8980116844177246e-05,9.128096280619502e-06,0.0,30,1.0
