,epoch,total_0,decoder_0,sindy_x_0,latent_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,total_1,decoder_1,sindy_x_1,latent_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,total_2,decoder_2,sindy_x_2,latent_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2
0,0,0.1449756026268005,0.1400007158517837,0.0049612461589276,9.73402347881347e-06,3.896266662195558e-06,0.0,60,0.0,0.1242144033312797,0.1189481616020202,0.0052581364288926,5.203960881772218e-06,2.9018940495006973e-06,0.0,60,0.0,0.18373601138591766,0.17810525000095367,0.005622196942567825,4.7941921366145834e-06,3.7676218198612332e-06,0.0,60,0.0
1,5,0.0483039282262325,0.0432774499058723,0.0049611283466219,6.165347440401092e-05,3.696350404425175e-06,0.0,60,0.0,0.0426708571612834,0.0373258739709854,0.0052581629715859,8.414190233452246e-05,2.681569640117232e-06,0.0,60,0.0,0.046754445880651474,0.040985602885484695,0.00562229473143816,0.00014309186371974647,3.4540157685114536e-06,0.0,60,0.0
2,10,0.0443031750619411,0.0392853654921054,0.0049613113515079,5.30012694071047e-05,3.49837978319556e-06,0.0,60,0.0,0.0408192239701747,0.0354665070772171,0.0052578756585717,9.235821198672056e-05,2.4810663035168545e-06,0.0,60,0.0,0.044650230556726456,0.03896413743495941,0.005622219294309616,6.072901305742562e-05,3.143505637126509e-06,0.0,60,0.0
3,15,0.0435022227466106,0.0385022386908531,0.0049615385942161,3.513781484798528e-05,3.3091216664615786e-06,0.0,60,0.0,0.0296550709754228,0.023804847151041,0.0052560064941644,0.00059185619466,2.3612808490725e-06,0.0,60,0.0,0.03798223286867142,0.031930550932884216,0.005622112192213535,0.0004266655305400491,2.9017940050835023e-06,0.0,60,0.0
4,20,0.0406740978360176,0.0356593690812587,0.0049618859775364,4.974551484338008e-05,3.101058155152714e-06,0.0,60,0.0,0.0217351987957954,0.0161076355725526,0.0052557131275534,0.0003695903578773,2.259465645693126e-06,0.0,60,0.0,0.029279474169015884,0.023152971640229225,0.005621221382170916,0.0005025231512263417,2.7577289074542932e-06,0.0,60,0.0
5,25,0.0331423208117485,0.0280505511909723,0.0049619139172136,0.000126917133457,2.937841145467246e-06,0.0,60,0.0,0.0192729644477367,0.0138000547885894,0.0052483445033431,0.0002222566981799,2.309934643562883e-06,0.0,60,0.0,0.024781741201877594,0.018861323595046997,0.005618072580546141,0.000299625942716375,2.71858857558982e-06,0.0,60,0.0
6,30,0.0278169848024845,0.0227004010230302,0.0049585136584937,0.0001551326859043,2.9366426588239847e-06,0.0,60,0.0,0.0183303859084844,0.0129258800297975,0.0052282339893281,0.0001734617835609,2.81103962151974e-06,0.0,60,0.0,0.022820528596639633,0.01699499413371086,0.005614662077277899,0.00020812361617572606,2.748159886323265e-06,0.0,60,0.0
7,35,0.0246932487934827,0.0196137446910142,0.0049575306475162,0.000119032432849,2.94167011816171e-06,0.0,60,0.0,0.0176221095025539,0.0122784571722149,0.0051700100302696,0.000169739825651,3.902120170096168e-06,0.0,60,0.0,0.021894369274377823,0.016122031956911087,0.005609549582004547,0.00015995305147953331,2.833456392181688e-06,0.0,60,0.0
8,40,0.0229738317430019,0.0179286058992147,0.0049551376141607,8.712262933840975e-05,2.967849923152244e-06,0.0,60,0.0,0.0160191189497709,0.0107899019494652,0.0050388551317155,0.0001849389809649,5.423899892775808e-06,0.0,60,0.0,0.0213470458984375,0.01561304833739996,0.005599526688456535,0.00013147175195626915,2.9979278224345762e-06,0.0,60,0.0
9,45,0.0220247767865657,0.0170050114393234,0.0049485806375741,6.806469900766388e-05,3.120965857306146e-06,0.0,60,0.0,0.0124763250350952,0.0073279915377497,0.0048961117863655,0.000245957984589,6.263444447540678e-06,0.0,60,0.0,0.020952653139829636,0.01525607518851757,0.005578507669270039,0.00011474949133116752,3.3210708352271467e-06,0.0,60,0.0
10,50,0.0214465409517288,0.0164458509534597,0.0049392217770218,5.805983528262004e-05,3.4087427138729254e-06,0.0,60,0.0,0.0105969877913594,0.0056927474215626,0.0046801082789897,0.0002172794338548,6.853238119219896e-06,0.0,60,0.0,0.0205942764878273,0.014949203468859196,0.005535709671676159,0.00010553013999015093,3.835831648757448e-06,0.0,60,0.0
11,55,0.0210187025368213,0.0160405375063419,0.0049219978973269,5.227680230746046e-05,3.88959915653686e-06,0.0,60,0.0,0.0095270359888672,0.0048252316191792,0.0044925855472683,0.0002016327780438,7.5850298344448674e-06,0.0,60,0.0,0.02016596682369709,0.014598468318581581,0.005460552871227264,0.00010237119568046182,4.574457761918893e-06,0.0,60,0.0
