,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,total_4,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4
10,500,0.000568604446016252,0.00017737457528710365,0.0003869032661896199,4.326578164182138e-06,0.0,26,0.0012930078664794564,0.0005524884327314794,0.0007352190441451967,5.300359134707833e-06,0.0,31,0.0009815669618546963,0.0005077174864709377,0.00046946658403612673,4.382930455903988e-06,0.0,21,0.0005005050334148109,0.00019879554747603834,0.0002970110217574984,4.698466909758281e-06,0.0,31,0.0005515748634934425,0.0002015246864175424,0.0003451916272751987,4.858534339291509e-06,0.0,31
11,550,0.0005100495181977749,0.0001388963428325951,0.0003667935379780829,4.359632839623373e-06,0.0,25,0.001135258818976581,0.00045374903129413724,0.0006762991542927921,5.210680228628917e-06,0.0,31,0.0007864346844144166,0.0003997738240286708,0.00038220948772504926,4.4513449211081024e-06,0.0,19,0.00044902169611305,0.00016865333600435406,0.00027580285677686334,4.565517883747816e-06,0.0,29,0.0004905417445115745,0.00017230013327207416,0.00031356015824712813,4.681489372160286e-06,0.0,28
12,600,0.0004704923485405743,0.00011839407670777291,0.0003477360005490482,4.362244908406865e-06,0.0,25,0.0010325046023353934,0.0004123206890653819,0.0006150496774353087,5.13424629389192e-06,0.0,31,0.0006688324501737952,0.00032897578785195947,0.0003353772044647485,4.479426479520043e-06,0.0,19,0.00043142211507074535,0.00017303743516094983,0.00025396616547368467,4.418512617121451e-06,0.0,28,0.00041855694144032896,0.0001341750321444124,0.00027972098905593157,4.660913418774726e-06,0.0,26
13,650,0.00042807479621842504,9.548576781526208e-05,0.00032824266236275434,4.346356490714243e-06,0.0,25,0.000918458157684654,0.000353210634784773,0.000560239888727665,5.007688741898164e-06,0.0,29,0.0006088580121286213,0.00029309967067092657,0.00031127178226597607,4.486600118980277e-06,0.0,18,0.0003800294070970267,0.000141938726301305,0.00023385288659483194,4.237777375237783e-06,0.0,28,0.00036818126682192087,0.00011560660641407594,0.00024794417549856007,4.630488547263667e-06,0.0,25
14,700,0.0003914496919605881,7.941788499010727e-05,0.0003076987632084638,4.333033302827971e-06,0.0,24,0.0008653174736537039,0.0003434139071032405,0.0005170170916244388,4.886460374109447e-06,0.0,27,0.0005348707200028002,0.00023261878232005984,0.00029777115560136735,4.4807675294578075e-06,0.0,17,0.00033850502222776413,0.00011475207429612055,0.00021960388403385878,4.14906935475301e-06,0.0,25,0.00033113788231275976,0.0001037267575156875,0.00022278200776781887,4.629102022590814e-06,0.0,22
15,750,0.0003591329441405833,6.790466431993991e-05,0.0002869323070626706,4.295945018384373e-06,0.0,23,0.0007864670478738844,0.00029616293613798916,0.00048544935998506844,4.854746748605976e-06,0.0,26,0.000496547669172287,0.00020528354798443615,0.0002867831790354103,4.48096352556604e-06,0.0,17,0.0003135618753731251,0.00010182019468629733,0.0002076352247968316,4.106459073227597e-06,0.0,24,0.0003057676658499986,9.333350317319855e-05,0.00020783355284947902,4.600625743478304e-06,0.0,20
16,800,0.0003361935378052294,6.061755266273394e-05,0.0002713125722948462,4.263426490069833e-06,0.0,23,0.0007402467308565974,0.0002763266384135932,0.00045911726192571223,4.802855983143672e-06,0.0,24,0.00046558829490095377,0.00018448855553288013,0.00027663519722409546,4.4645303205470555e-06,0.0,17,0.000296782556688413,9.381250129081309e-05,0.00019892596174031496,4.044082288601203e-06,0.0,23,0.00028153788298368454,8.213716500904411e-05,0.00019484154472593218,4.559159151540371e-06,0.0,20
17,850,0.00031945318914949894,5.9470647101989016e-05,0.00025577741325832903,4.205114237265661e-06,0.0,23,0.0006757273222319782,0.00023355123994406313,0.0004374516720417887,4.724398422695231e-06,0.0,22,0.00044362660264596343,0.00017230893718078732,0.0002668783417902887,4.439313670445699e-06,0.0,17,0.00027898175176233053,8.305051596835256e-05,0.0001919384958455339,3.992746314906981e-06,0.0,22,0.0003017680428456515,0.00011173501843586564,0.00018549613014329225,4.53690518043004e-06,0.0,19
18,900,0.00030302884988486767,5.8242789236828685e-05,0.00024062191369011998,4.1641551433713175e-06,0.0,21,0.0006361208506859839,0.00021165513317100704,0.00041977825458161533,4.687477485276759e-06,0.0,21,0.0004173282068222761,0.00015461874136235565,0.0002582987362984568,4.410738256410696e-06,0.0,17,0.00026627565966919065,7.549123256467283e-05,0.00018678951892070472,3.994918188254815e-06,0.0,22,0.00024587020743638277,6.530887185363099e-05,0.00017604522872716188,4.5160904846852645e-06,0.0,19
19,950,0.00028594682225957513,5.154193422640674e-05,0.00023022796085570008,4.176910806563683e-06,0.0,21,0.0006453406531363726,0.00023398864141199738,0.0004066657565999776,4.686256943386979e-06,0.0,20,0.0004016233724541962,0.00014687956718262285,0.00025036255829036236,4.381244707474252e-06,0.0,17,0.0002608726790640503,7.565374835394323e-05,0.0001812091941246763,4.009732037957292e-06,0.0,22,0.0002640097518451512,9.087338548852131e-05,0.00016863879864104092,4.49756407761015e-06,0.0,19
