,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1
10,500,0.0006127101369202137,0.0001746810448821634,0.0003672263119369745,9.426993528904859e-06,7.080278737703338e-05,47,0.0005941708222962916,0.0001504189131082967,0.0003873888053931296,8.807654921838548e-06,5.6363121984759346e-05,44
11,550,0.0005248813540674746,0.0001247284671990201,0.00033536841510795057,9.588660759618506e-06,6.478445720858872e-05,45,0.0005481566186062992,0.0001246288447873667,0.00037107913522049785,8.8411288743373e-06,5.24486240465194e-05,43
12,600,0.0005311265122145414,0.00016644499555695802,0.0003050956001970917,9.768245945451781e-06,5.958595284027979e-05,44,0.000521527137607336,0.00011385372636141255,0.00035790176480077207,8.974679076345637e-06,4.977162097929977e-05,38
13,650,0.00042085355380550027,8.756759052630514e-05,0.00027814420172944665,9.96704966382822e-06,5.51417724636849e-05,43,0.0004928845446556807,9.815915836952627e-05,0.0003473508113529533,9.171144483843818e-06,4.737460403703153e-05,37
14,700,0.0003802209685090929,6.939247396076098e-05,0.0002598667924758047,1.0219846444670111e-05,5.0961694796569645e-05,39,0.00047419973998330534,9.166187373921275e-05,0.00033734022872522473,9.397611393069383e-06,4.519763388088904e-05,37
15,750,0.0003483382170088589,5.909024184802547e-05,0.00024097957066260278,1.0583569746813737e-05,4.826838994631544e-05,36,0.00046099128667265177,9.029353532241657e-05,0.0003280269738752395,9.631916327634826e-06,4.267079202691093e-05,34
16,800,0.0003231008886359632,5.280122786643915e-05,0.00022448737581726164,1.0937299521174282e-05,4.5812299504177645e-05,36,0.00044621306005865335,8.400715159950778e-05,0.0003216079203411937,9.911228517012205e-06,4.0598006307845935e-05,33
17,850,0.00030915718525648117,5.985036477795802e-05,0.0002067029126919806,1.1308962712064385e-05,4.260390778654255e-05,34,0.00044196745147928596,9.03363834368065e-05,0.0003135847218800336,1.0197276424150914e-05,3.804633888648823e-05,33
18,900,0.00029671177617274225,6.111534457886592e-05,0.00019486444944050163,1.1704125427058898e-05,4.0731978515395895e-05,33,0.0004191073530819267,7.898803596617654e-05,0.0003044059849344194,1.0488151019671932e-05,3.571333581930958e-05,32
19,950,0.0002613647375255823,4.0033726691035554e-05,0.00018237222684547305,1.2097557373635937e-05,3.8958802178967744e-05,33,0.00040927735972218215,7.891091809142381e-05,0.0002967454493045807,1.08192189145484e-05,3.362098868819885e-05,32
20,1000,0.0002649861853569746,5.4885833378648385e-05,0.00017275229038204998,1.2482900274335407e-05,3.734805795829743e-05,33,0.0004002334317192435,7.832353003323078e-05,0.00029060602537356317,1.1209320291527547e-05,3.130386539851315e-05,31
21,1050,0.00023215501278173178,3.395253952476196e-05,0.0001623856951482594,1.2883309864264447e-05,3.581678174668923e-05,32,0.0003854862879961729,7.285946776391938e-05,0.0002831670572049916,1.1591313523240387e-05,2.945976120827254e-05,31
22,1100,0.0002197045978391543,3.1772939109941944e-05,0.00015374095528386533,1.3267410395201296e-05,3.419070708332583e-05,32,0.0003986098454333842,9.429132478544489e-05,0.000276472739642486,1.1966637430305127e-05,2.784579737635795e-05,31
23,1150,0.00027553740073926747,9.578305616742e-05,0.00014730921247974038,1.3629285604110919e-05,3.24451393680647e-05,32,0.0003803822910413146,8.435848576482385e-05,0.0002696629089768976,1.2343767593847588e-05,2.6360899937571958e-05,31
24,1200,0.00022808436187915504,5.7983550505014136e-05,0.00013948444393463433,1.3959837815491483e-05,3.0616367439506575e-05,32,0.00035727006616070867,6.936697900528088e-05,0.0002629064838401973,1.2719873666355852e-05,2.4996592401294038e-05,31
