,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1
0,0.0,0.32726889848709106,0.0012637443142011762,9.999999747378752e-06,7.23040602679248e-06,60,0.3510315418243408,0.0009022328886203468,9.999999747378752e-06,0.0017619188874959946,60
1,50.0,0.06589670479297638,0.0012656712206080556,9.789514479052741e-06,0.0011666415957733989,60,0.08681345731019974,0.0008993268711492419,9.732436410558876e-06,8.934371726354584e-05,60
2,100.0,0.03768383339047432,0.0012581050395965576,9.696373126644175e-06,0.0006573849241249263,60,0.0364435650408268,0.000900051963981241,9.628651241655461e-06,0.0004678074619732797,60
3,150.0,0.034025855362415314,0.0012304825941100717,9.686127668828703e-06,0.000544271431863308,60,0.029503753408789635,0.0009007178014144301,9.615050657885149e-06,0.0004135273629799485,60
4,200.0,0.021582629531621933,0.0011953602079302073,9.497734026808757e-06,0.00112677994184196,60,0.028070174157619476,0.0009002619772218168,9.603887519915588e-06,0.0003445728216320276,60
5,250.0,0.013310195878148079,0.0011038550874218345,9.280122867494356e-06,0.0007251949864439666,60,0.02570287324488163,0.0008987148175947368,9.575420335750096e-06,0.00043980139889754355,60
6,300.0,0.010721240192651749,0.0010314068058505654,9.230266186932568e-06,0.0005447650328278542,60,0.015248201787471771,0.0009305297862738371,9.132875675277319e-06,0.0007394633139483631,60
7,350.0,0.009551512077450752,0.0009634076850488782,9.225980647897813e-06,0.0004449533298611641,60,0.010181291028857231,0.0008414798649027944,8.718689059605822e-06,0.0005181143642403185,60
8,400.0,0.008595475926995277,0.0008862525573931634,9.225249414157588e-06,0.00038751025567762554,59,0.008372720330953598,0.0007838087039999664,8.46652255859226e-06,0.0003855802060570568,60
9,450.0,0.007221261505037546,0.0008004458504728973,9.210628377331886e-06,0.00040678094956092536,58,0.007442176807671785,0.0007474641897715628,8.313149919558782e-06,0.0003133784921374172,60
10,500.0,0.005691889673471451,0.000753966101910919,9.146371667156927e-06,0.0003968964738305658,57,0.006657834630459547,0.0007132362225092947,8.205742233258206e-06,0.00029605760937556624,58
11,550.0,0.00455319182947278,0.0007086330442689359,9.070644409803208e-06,0.000335229211486876,54,0.005431990139186382,0.0006591239362023771,8.117779543681536e-06,0.0003165187081322074,55
12,600.0,0.0037142967339605093,0.0006669994909316301,9.025300641951617e-06,0.0002842862159013748,52,0.003927438519895077,0.0006055372068658471,8.006901225598995e-06,0.00030045161838643253,53
13,650.0,0.003105032490566373,0.000629194313660264,9.003214472613763e-06,0.00024733348982408643,52,0.003050785046070814,0.0005709659890271723,7.926445505290758e-06,0.00025981300859712064,50
14,700.0,0.002653612522408366,0.0005970167694613338,8.984509804577101e-06,0.00021773586922790855,51,0.0024559488520026207,0.0005472926422953606,7.889283551776316e-06,0.00022611874737776816,47
15,750.0,0.0022986019030213356,0.000566857575904578,8.97310565051157e-06,0.00019714260997716337,50,0.002002608496695757,0.0005349692655727267,7.887547326390631e-06,0.00020131116616539657,47
16,800.0,0.002020874759182334,0.0005397336790338159,8.972507202997804e-06,0.00017894637130666524,50,0.001682046102359891,0.0005248736124485731,7.891114364610985e-06,0.0001813865383155644,44
17,850.0,0.0018088214565068483,0.0005118413828313351,8.9727618615143e-06,0.00016225571744143963,49,0.0014503593556582928,0.0005082848365418613,7.902627658040728e-06,0.00016381993191316724,43
18,900.0,0.0016407824587076902,0.000487886747578159,8.983774023363367e-06,0.0001484984823036939,48,0.0012341917026787996,0.0004966490669175982,7.925567842903547e-06,0.00015013417578302324,42
19,950.0,0.0014910263707861304,0.00046514676068909466,9.011750989884604e-06,0.00013492320431396365,46,0.001092408550903201,0.0004846842784900218,7.962041308928747e-06,0.00013985186524223536,42
20,1000.0,0.0013622629921883345,0.00044727997737936676,9.054991096490994e-06,0.00012630588025785983,46,0.0009846860775724053,0.00047229271149262786,8.00021462055156e-06,0.00013074750313535333,42
21,1050.0,0.0012574486900120974,0.0004315119585953653,9.098627742787357e-06,0.00011821789667010307,44,0.000900943239685148,0.00045637201401405036,8.039423846639693e-06,0.00012287635763641447,41
22,1100.0,0.001181894913315773,0.0004130324814468622,9.15367309062276e-06,0.00011189629003638402,44,0.0008357358747161925,0.00044174259528517723,8.092755706456956e-06,0.00011613766400841996,41
23,1150.0,0.0010884635848924518,0.0003972445847466588,9.214422789227683e-06,0.0001067068733391352,43,0.0007849668036215007,0.0004254831583239138,8.151421752700116e-06,0.00011028500011889264,39
24,1200.0,0.0010118443751707673,0.0003816998505499214,9.280832273361739e-06,0.00010188218584517017,43,0.0007469549891538918,0.00040834417450241745,8.217777576646768e-06,0.0001058764464687556,38
25,1250.0,0.0009479878935962915,0.00036536165862344205,9.34783474804135e-06,9.674839384388179e-05,42,0.0007124569965526462,0.00039258741890080273,8.286709999083541e-06,0.00010158226359635592,38
26,1300.0,0.0009073243709281087,0.0003537377924658358,9.422414223081432e-06,9.261110244551674e-05,39,0.0006790303741581738,0.0003782309649977833,8.353027624252718e-06,9.762293484527618e-05,37
27,1350.0,0.0008426277199760079,0.00034490975667722523,9.531753676128574e-06,8.946906018536538e-05,39,0.0006557745509780943,0.0003644667158368975,8.421885468123946e-06,9.426569886272773e-05,37
28,1400.0,0.0007892404100857675,0.00033585570054128766,9.644732017477509e-06,8.64624889800325e-05,39,0.0006417142576538026,0.0003504457708913833,8.487595550832339e-06,9.119653259404004e-05,36
