,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2
0,0.0,0.07696625590324402,0.002127607585862279,0.0,0.0,60,0.0,0.07277297973632812,0.0024358308874070644,0.0,0.0,60,0.0,0.07595068216323853,0.0026207915507256985,0.0,0.0,60,0.0
1,50.0,0.005503283813595772,0.0020773112773895264,0.0,0.0,60,0.0,0.006467588245868683,0.001945659052580595,0.0,0.0,60,0.0,0.006851134821772575,0.0021540536545217037,0.0,0.0,60,0.0
2,100.0,0.001620801049284637,0.0008340489584952593,0.0,0.0,60,0.0,0.003285869024693966,0.0013907976681366563,0.0,0.0,60,0.0,0.0017842566594481468,0.0011867479188367724,0.0,0.0,60,0.0
3,150.0,0.0011985453311353922,0.0005360154900699854,0.0,0.0,60,0.0,0.0013184911804273725,0.000961112673394382,0.0,0.0,60,0.0,0.0008296341402456164,0.0005656286957673728,0.0,0.0,60,0.0
4,200.0,0.0009954702109098434,0.00044286123011261225,0.0,0.0,60,0.0,0.0006269253790378571,0.0006473956163972616,0.0,0.0,60,0.0,0.0005722132045775652,0.00042393855983391404,0.0,0.0,60,0.0
5,250.0,0.0006778098759241402,0.0003536736185196787,0.0,0.0,60,0.0,0.00043140759225934744,0.00043390539940446615,0.0,0.0,60,0.0,0.0004472816945053637,0.00035331875551491976,0.0,0.0,60,0.0
6,300.0,0.00042111618677154183,0.00028532580472528934,0.0,0.0,60,0.0,0.0003321309050079435,0.0003555241273716092,0.0,0.0,60,0.0,0.000365623040124774,0.00031252315966412425,0.0,0.0,60,0.0
7,350.0,0.00028194623882882297,0.00023607304319739342,0.0,0.0,60,1.0,0.00025819093571044505,0.0002911383053287864,0.0,0.0,60,0.0,0.00030794698977842927,0.0002779708302114159,0.0,0.0,60,0.0
8,400.0,0.00020927356672473252,0.00019363414321560413,0.0,0.0,60,0.0,0.00020038826914969832,0.0002343237865716219,0.0,0.0,60,0.0,0.0002619485603645444,0.00024258058692794293,0.0,0.0,60,0.0
9,450.0,0.0001706808980088681,0.00016088734264485538,0.0,0.0,60,0.0,0.0001581558317411691,0.00019087002146989107,0.0,0.0,60,0.0,0.0002182267780881375,0.0002063074934994802,0.0,0.0,60,0.0
10,500.0,0.00014188390923663974,0.0001397596934111789,0.0,0.0,60,0.0,0.00012431097275111824,0.000161192481755279,0.0,0.0,60,0.0,0.00017934705829247832,0.00017539680993650109,0.0,0.0,60,0.0
11,550.0,0.00013041643251199275,0.00012372442870400846,0.0,0.0,60,0.0,9.975927241612226e-05,0.00013951852452009916,0.0,0.0,60,0.0,0.00014641592861153185,0.00015058919962029904,0.0,0.0,60,0.0
12,600.0,0.00011230814561713487,0.00010850855323951691,0.0,0.0,60,0.0,8.365912071894854e-05,0.00012210120621602982,0.0,0.0,60,0.0,0.00012289475125726312,0.0001316696871072054,0.0,0.0,60,0.0
13,650.0,0.0001010901978588663,9.716273052617908e-05,0.0,0.0,60,0.0,7.000901678111404e-05,0.00010751366062322631,0.0,0.0,60,0.0,0.00010543719690758735,0.00011656874266918749,0.0,0.0,60,0.0
14,700.0,9.346447041025385e-05,8.699238242115825e-05,0.0,0.0,60,0.0,5.87540926062502e-05,9.50866233324632e-05,0.0,0.0,60,0.0,8.987030014395714e-05,0.00010452813876327127,0.0,0.0,60,0.0
15,750.0,8.475389040540904e-05,7.860500772949308e-05,0.0,0.0,60,0.0,4.959759826306254e-05,8.433524635620415e-05,0.0,0.0,60,0.0,7.91190832387656e-05,9.417075489182025e-05,0.0,0.0,60,0.0
16,800.0,7.769890362396836e-05,7.114847539924085e-05,0.0,0.0,60,0.0,4.058294143760577e-05,7.402054325211793e-05,0.0,0.0,60,0.0,7.239438127726316e-05,8.516014349879697e-05,0.0,0.0,60,0.0
17,850.0,7.142873073462397e-05,6.587107054656371e-05,0.0,0.0,60,0.0,3.721248504007235e-05,6.538870366057381e-05,0.0,0.0,60,0.0,6.251557351788506e-05,7.62826603022404e-05,0.0,0.0,60,0.0
18,900.0,6.451489025494084e-05,6.17899204371497e-05,0.0,0.0,60,0.0,3.490105154924095e-05,5.7368597481399775e-05,0.0,0.0,60,0.0,5.6879471230786294e-05,6.910191586939618e-05,0.0,0.0,60,0.0
19,950.0,5.925047298660502e-05,5.774369492428377e-05,0.0,0.0,60,0.0,2.5517885660519823e-05,5.0287060730624944e-05,0.0,0.0,60,0.0,5.794542812509462e-05,6.367373862303793e-05,0.0,0.0,60,0.0
20,1000.0,5.2160034101689234e-05,5.3492767619900405e-05,0.0,0.0,60,0.0,2.1493526219273917e-05,4.430121771292761e-05,0.0,0.0,60,0.0,4.656072269426659e-05,5.753720324719325e-05,0.0,0.0,60,0.0
21,1050.0,4.6165128878783435e-05,5.022735786042176e-05,0.0,0.0,60,0.0,1.8393975551589392e-05,3.907846985384822e-05,0.0,0.0,60,0.0,4.238994006300345e-05,5.301037890603766e-05,0.0,0.0,60,0.0
22,1100.0,4.448892650543712e-05,4.7344503400381655e-05,0.0,0.0,60,0.0,1.6656929801683873e-05,3.4413817047607154e-05,0.0,0.0,60,0.0,3.772085619857535e-05,4.8361984227085486e-05,0.0,0.0,60,0.0
23,1150.0,3.72119466192089e-05,4.361665196483955e-05,0.0,0.0,60,0.0,2.0156661776127294e-05,3.090450991294347e-05,0.0,0.0,60,0.0,3.42738458130043e-05,4.428470128914341e-05,0.0,0.0,60,0.0
