,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2
0,0,0.07379700988531113,0.0716695785522461,0.00212742923758924,0.0,0.0,60,0.07773545384407043,0.07529962062835693,0.00243583251722157,0.0,0.0,60,0.07208800315856934,0.0694672241806984,0.0026207806076854467,0.0,0.0,60
1,50,0.006857097148895264,0.004791466053575277,0.0020656315609812737,0.0,0.0,60,0.008780533447861671,0.006388569250702858,0.0023919641971588135,0.0,0.0,60,0.009597864001989365,0.006983387283980846,0.0026144767180085182,0.0,0.0,60
2,100,0.003185886424034834,0.0015616868622601032,0.0016241997946053743,0.0,0.0,60,0.0030597951263189316,0.0015802932903170586,0.0014795016031712294,0.0,0.0,60,0.003675115294754505,0.0019874563440680504,0.0016876587178558111,0.0,0.0,60
3,150,0.0025195195339620113,0.001274015405215323,0.0012455041287466884,0.0,0.0,60,0.00163931620772928,0.0006212465232238173,0.0010180696845054626,0.0,0.0,60,0.002016336191445589,0.0010926653631031513,0.0009236707701347768,0.0,0.0,60
4,200,0.0016619840171188116,0.0010905660456046462,0.0005714178550988436,0.0,0.0,60,0.0012446765322238207,0.00037128644180484116,0.00087339011952281,0.0,0.0,60,0.0011542715365067124,0.0004555147315841168,0.0006987567758187652,0.0,0.0,60
5,250,0.0010955235920846462,0.000736940884962678,0.0003585826780181378,0.0,0.0,60,0.0009858926059678197,0.00027831789338961244,0.0007075747125782073,0.0,0.0,60,0.0008056426304392517,0.0003229944559279829,0.0004826481454074383,0.0,0.0,60
6,300,0.0007498012855648994,0.0004577182698994875,0.00029208295745775104,0.0,0.0,60,0.0008326629176735878,0.0002494172949809581,0.0005832455935887992,0.0,0.0,60,0.000635862466879189,0.0002622258907649666,0.00037363660521805286,0.0,0.0,60
7,350,0.0005468497984111309,0.00029994413489475846,0.00024690566351637244,0.0,0.0,60,0.0007120435475371778,0.00022564938990399241,0.0004863941576331854,0.0,0.0,60,0.00052408198826015,0.00022006842482369393,0.0003040135488845408,0.0,0.0,60
8,400,0.0004297085979487747,0.0002276125887874514,0.00020209602371323854,0.0,0.0,60,0.0006140759214758873,0.0002049182658083737,0.0004091576556675136,0.0,0.0,60,0.0004403647326398641,0.0001851228007581085,0.0002552419318817556,0.0,0.0,60
9,450,0.00033716161851771176,0.00017992351786233485,0.00015723811520729214,0.0,0.0,60,0.0005353181040845811,0.0001858705363702029,0.0003494475386105478,0.0,0.0,60,0.0003685288247652352,0.00015299959341064095,0.00021552923135459423,0.0,0.0,60
10,500,0.00025797064881771803,0.0001301184674957767,0.00012785219587385654,0.0,0.0,60,0.0004813098639715463,0.0001694670063443482,0.00031184288673102856,0.0,0.0,60,0.00031187987769953907,0.00012670517025981098,0.00018517469288781285,0.0,0.0,60
11,550,0.00021535092673730105,0.0001057053596014157,0.00010964555258397013,0.0,0.0,60,0.0004286198818590492,0.00014964395086281002,0.0002789759309962392,0.0,0.0,60,0.0002679796889424324,0.00010513301094761118,0.00016284665616694838,0.0,0.0,60
12,600,0.00018045349861495197,8.529681508662179e-05,9.515669080428779e-05,0.0,0.0,60,0.0003902154276147485,0.00013476211461238563,0.00025545331300236285,0.0,0.0,60,0.0002333456213818863,8.711007103556767e-05,0.00014623554307036102,0.0,0.0,60
13,650,0.00015926537162158638,7.36028523533605e-05,8.566252654418349e-05,0.0,0.0,60,0.0003563064965419471,0.00012042609887430444,0.0002358804049436003,0.0,0.0,60,0.0002073566138278693,7.268271292559803e-05,0.00013467388635035604,0.0,0.0,60
14,700,0.00014515058137476444,6.482367462012917e-05,8.032689947867766e-05,0.0,0.0,60,0.0003303776611573994,0.00010852550622075796,0.00022185215493664145,0.0,0.0,60,0.00018977245781570673,6.352963828248903e-05,0.00012624281225726008,0.0,0.0,60
15,750,0.00013229777687229216,5.7066030421992764e-05,7.523174281232059e-05,0.0,0.0,60,0.00030996857094578445,9.829307964537293e-05,0.00021167550585232675,0.0,0.0,60,0.000172987871337682,5.473261626320891e-05,0.00011825525143649429,0.0,0.0,60
16,800,0.00012607306416612118,5.690897523891181e-05,6.916409620316699e-05,0.0,0.0,60,0.00029718747828155756,8.926283044274896e-05,0.00020792463328689337,0.0,0.0,60,0.000164124314323999,5.106534081278369e-05,0.00011305898078717291,0.0,0.0,60
17,850,0.00011299018660793081,4.709463246399537e-05,6.589555414393544e-05,0.0,0.0,60,0.00027494417736306787,7.93967628851533e-05,0.00019554741447791457,0.0,0.0,60,0.0001473047013860196,4.367860310594551e-05,0.00010362609464209527,0.0,0.0,60
18,900,0.00010359239240642637,4.2951163777615875e-05,6.0641228628810495e-05,0.0,0.0,60,0.0002657333097886294,7.34751665731892e-05,0.00019225812866352499,0.0,0.0,60,0.00013792476966045797,3.794417716562748e-05,9.99805997707881e-05,0.0,0.0,60
19,950,9.673276508692652e-05,3.913497494067997e-05,5.759779014624655e-05,0.0,0.0,60,0.0002402552345301956,6.555386062245816e-05,0.0001747013593558222,0.0,0.0,60,0.0001256974646821618,3.54760377376806e-05,9.02214233065024e-05,0.0,0.0,60
20,1000,9.1835594503209e-05,3.7221798265818506e-05,5.4613799875369295e-05,0.0,0.0,60,0.000232540478464216,6.098379526520148e-05,0.0001715566759230569,0.0,0.0,60,0.00011945383448619395,3.204405220458284e-05,8.74097750056535e-05,0.0,0.0,60
