,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,decoder_avg,sindy_x_avg,reg_avg,sindy_z_avg,active_coeffs_avg
0,1.0,0.6849881410598755,0.0036702665966004133,1.9962291844421998e-05,0.0,60,0.6849881410598755,0.0036702665966004133,1.9962291844421998e-05,0.0,60.0
1,51.0,0.21017980575561523,0.003672717371955514,1.808259003155399e-05,0.0,60,0.21017980575561523,0.003672717371955514,1.808259003155399e-05,0.0,60.0
2,101.0,0.14488132297992706,0.0036777514033019543,1.714696736598853e-05,0.0,60,0.14488132297992706,0.0036777514033019543,1.714696736598853e-05,0.0,60.0
3,151.0,0.09864918142557144,0.0037694612983614206,1.647187309572473e-05,0.0,60,0.09864918142557144,0.0037694612983614206,1.647187309572473e-05,0.0,60.0
4,201.0,0.060905639082193375,0.004448006860911846,1.508797868154943e-05,0.0,60,0.060905639082193375,0.004448006860911846,1.508797868154943e-05,0.0,60.0
5,251.0,0.043609946966171265,0.003867245512083173,1.4056265172257554e-05,0.0,59,0.043609946966171265,0.003867245512083173,1.4056265172257554e-05,0.0,59.0
6,301.0,0.03817605972290039,0.003505821106955409,1.3313954696059227e-05,0.0,56,0.03817605972290039,0.003505821106955409,1.3313954696059227e-05,0.0,56.0
7,351.0,0.037623994052410126,0.0031752826180309057,1.2789253560185898e-05,0.0,55,0.037623994052410126,0.0031752826180309057,1.2789253560185898e-05,0.0,55.0
8,401.0,0.03733368217945099,0.002941406099125743,1.2433421034074854e-05,0.0,51,0.03733368217945099,0.002941406099125743,1.2433421034074854e-05,0.0,51.0
9,451.0,0.03683727979660034,0.002791354898363352,1.22928340715589e-05,0.0,48,0.03683727979660034,0.002791354898363352,1.22928340715589e-05,0.0,48.0
10,501.0,0.03783036395907402,0.0026739619206637144,1.2250072359165642e-05,0.0,45,0.03783036395907402,0.0026739619206637144,1.2250072359165642e-05,0.0,45.0
11,551.0,0.03360676020383835,0.0025343431625515223,1.18384787128889e-05,0.0,45,0.03360676020383835,0.0025343431625515223,1.18384787128889e-05,0.0,45.0
