,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,total_4,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4
10,500,9.431145736016333e-05,2.111568937834818e-05,6.963205669308081e-05,3.5637151540868217e-06,0.0,38,0.00015774898929521441,4.4968881411477923e-05,0.00010923085210379213,3.5492630559019744e-06,0.0,35,6.420924182748422e-05,1.852760397014208e-05,4.233626168570481e-05,3.3453782180004055e-06,0.0,35,7.656294474145398e-05,2.1275538529152982e-05,5.133247759658843e-05,3.954924977733754e-06,0.0,38,0.00011033230111934245,3.316688525956124e-05,7.437214662786573e-05,2.793270823531202e-06,0.0,32
11,550,8.735961455386132e-05,1.9302153305034153e-05,6.439982826123014e-05,3.6576318507286487e-06,0.0,36,0.0001418873725924641,3.823503720923327e-05,0.0001001306955004111,3.521630105751683e-06,0.0,34,6.71192683512345e-05,1.8176628145738505e-05,4.554483894025907e-05,3.397799446247518e-06,0.0,35,7.368131628027186e-05,1.8333228581468575e-05,5.1324157539056614e-05,4.023931069241371e-06,0.0,36,9.62063277256675e-05,2.8809632567572407e-05,6.456788833020255e-05,2.8288027351663914e-06,0.0,28
12,600,8.178471034625545e-05,1.745970075717196e-05,6.0614824178628623e-05,3.7101854104548693e-06,0.0,36,0.00010662544082151726,3.144924630760215e-05,7.160898530855775e-05,3.5672048852575244e-06,0.0,34,4.781304596690461e-05,1.4845603800495155e-05,2.9533970518969e-05,3.433472784308833e-06,0.0,35,6.927581853233278e-05,1.7157071852125227e-05,4.804233321920037e-05,4.076411642017774e-06,0.0,36,8.159499702742323e-05,2.211562605225481e-05,5.661953036906198e-05,2.8598392418643925e-06,0.0,28
13,650,7.79574183980003e-05,1.7024252883857116e-05,5.716653322451748e-05,3.766635245483485e-06,0.0,34,0.00010334260878153145,3.161787390126847e-05,6.811234197812155e-05,3.6123979043622967e-06,0.0,30,4.7377412556670606e-05,1.340049220743822e-05,3.049939732591156e-05,3.4775230233208276e-06,0.0,33,6.378171383403242e-05,1.6201867765630595e-05,4.347353024058975e-05,4.106315827812068e-06,0.0,36,7.6496166002471e-05,2.074124313367065e-05,5.282903657644056e-05,2.925887429228169e-06,0.0,27
14,700,7.471117714885622e-05,1.6707619579392485e-05,5.418770888354629e-05,3.815847321675392e-06,0.0,34,8.76356934895739e-05,2.7584754207055084e-05,5.639523078571074e-05,3.655713499028934e-06,0.0,30,5.497669553733431e-05,1.2075656741217244e-05,3.939295856980607e-05,3.5080806810583454e-06,0.0,33,5.9916408645221964e-05,1.5532261386397295e-05,4.024653389933519e-05,4.13761426898418e-06,0.0,36,7.116716005839407e-05,1.8933349565486424e-05,4.9273869080934674e-05,2.959936182378442e-06,0.0,27
15,750,6.750984903192148e-05,1.4696168364025652e-05,4.893983714282513e-05,3.8738417060812935e-06,0.0,31,7.725925388513133e-05,2.414650771243032e-05,4.940697181154974e-05,3.705775043272297e-06,0.0,29,6.487593782367185e-05,2.605705230962485e-05,3.531344555085525e-05,3.5054367799602915e-06,0.0,32,5.460998727357946e-05,1.3822858818457462e-05,3.661228402052075e-05,4.174846708338009e-06,0.0,36,7.698511763010174e-05,2.237145417893771e-05,5.1625160267576575e-05,2.9885034109611297e-06,0.0,27
16,800,6.492780812550336e-05,1.4399090105143841e-05,4.658978650695644e-05,3.938932877645129e-06,0.0,31,7.417502638418227e-05,2.3860087821958587e-05,4.6575285523431376e-05,3.7396553125290666e-06,0.0,29,6.004396345815621e-05,1.6616368156974204e-05,3.9910799387143925e-05,3.516792503432953e-06,0.0,32,5.4162901506060734e-05,1.299404539167881e-05,3.696492422022857e-05,4.203931439406006e-06,0.0,36,6.584001675946638e-05,1.7203205061377957e-05,4.5622677134815603e-05,3.014129561051959e-06,0.0,27
17,850,6.261070666369051e-05,1.5150776562222745e-05,4.345646811998449e-05,4.003461071988568e-06,0.0,30,6.894215766806155e-05,2.092460090352688e-05,4.426179293659516e-05,3.755761326829088e-06,0.0,29,6.79629883961752e-05,1.6803902326500975e-05,4.7623088903492317e-05,3.5360012589080725e-06,0.0,32,5.30003453604877e-05,1.2229293133714236e-05,3.653522799140774e-05,4.235822871123673e-06,0.0,35,6.311185279628262e-05,1.6465837688883767e-05,4.361804894870147e-05,3.027966840818408e-06,0.0,26
18,900,5.7393477618461475e-05,1.3587186003860552e-05,3.9739239582559094e-05,4.067053396283882e-06,0.0,30,6.508803926408291e-05,1.8665019524632953e-05,4.2633098928490654e-05,3.7899246763117844e-06,0.0,29,4.120233279536478e-05,1.256755058420822e-05,2.5081941203097813e-05,3.55283896169567e-06,0.0,32,5.156461338629015e-05,1.2450441317923833e-05,3.485353590804152e-05,4.260638434061548e-06,0.0,35,5.613949542748742e-05,1.3148331163392868e-05,3.9959297282621264e-05,3.031866526725935e-06,0.0,26
19,950,5.443537520477548e-05,1.2776205039699562e-05,3.7528407119680196e-05,4.130765319132479e-06,0.0,30,6.270354788284749e-05,1.8337297660764307e-05,4.053729207953438e-05,3.828957233054098e-06,0.0,28,5.3594754717778414e-05,1.5748732039355673e-05,3.42800522048492e-05,3.565968881957815e-06,0.0,32,5.565241735894233e-05,1.2316265383560676e-05,3.90577370126266e-05,4.2784149627550505e-06,0.0,34,5.334495290298946e-05,1.3147303434379864e-05,3.717335494002327e-05,3.0242940738389734e-06,0.0,25
