,epoch,total_0,decoder_0,sindy_x_0,latent_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,total_1,decoder_1,sindy_x_1,latent_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1
0,0,0.034903846681118,33.8263053894043,1.067541003227234,0.0,0.0099999997764825,0.0,60,0.0,0.034223586320877075,33.11897659301758,1.0946078300476074,0.0,0.009999999776482582,0.0,60,0.0
1,50,0.0103035010397434,9.223299980163574,1.0705854892730713,0.0,0.0096160229295492,0.0,60,0.0,0.01042562909424305,9.321782112121582,1.0943166017532349,0.0,0.009531215764582157,0.0,60,0.0
2,100,0.0096040545031428,8.527241706848145,1.0675128698349,0.0,0.0093000242486596,0.0,60,0.0,0.010076736100018024,8.972908020019531,1.0947657823562622,0.0,0.00906131137162447,0.0,60,0.0
3,150,0.0059393844567239,4.8625993728637695,1.0678057670593262,0.0,0.0089792441576719,0.0,60,0.0,0.006596829742193222,5.4514265060424805,1.1366859674453735,0.0,0.008717386983335018,0.0,60,0.0
4,200,0.0046497327275574,3.574118137359619,1.0669020414352417,0.0,0.0087123028934001,0.0,60,0.0,0.004922789987176657,3.819509267807007,1.0946764945983887,0.0,0.008604597300291061,0.0,60,0.0
5,250,0.0043015531264245,3.2280197143554688,1.065014123916626,0.0,0.0085193729028105,0.0,60,0.0,0.004506546072661877,3.4135866165161133,1.0844374895095825,0.0,0.00852186232805252,0.0,60,0.0
6,300,0.0041385511867702,3.072338104248047,1.0578138828277588,0.0,0.0083993477746844,0.0,60,0.0,0.0043085794895887375,3.2508280277252197,1.0492887496948242,0.0,0.008462763391435146,0.0,60,0.0
7,350,0.0039710830897092,2.94343376159668,1.0192899703979492,0.0,0.0083597656339406,0.0,60,0.0,0.004050837829709053,3.1402950286865234,0.9020986557006836,0.0,0.008444111794233322,0.0,60,0.0
8,400,0.0035809956025332,2.6979477405548096,0.8746393322944641,0.0,0.0084086237475276,0.0,60,0.0,0.0038081957027316093,2.94831919670105,0.8514559864997864,0.0,0.008420473895967007,0.0,60,0.0
9,450,0.0029129502363502,2.0434765815734863,0.8610442876815796,0.0,0.0084294043481349,0.0,60,0.0,0.003339651506394148,2.5023436546325684,0.8289339542388916,0.0,0.008373882621526718,0.0,60,0.0
10,500,0.0023854637984186,1.5841513872146606,0.7929291129112244,0.0,0.0083833970129489,0.0,60,0.0,0.002656347583979368,1.8294498920440674,0.8185792565345764,0.0,0.008318396285176277,0.0,60,0.0
11,550,0.0020398627966642,1.3028135299682615,0.7287124395370483,0.0,0.0083367833867669,0.0,60,0.0,0.0021202864591032267,1.3242878913879395,0.7877272963523865,0.0,0.008271297439932823,0.0,60,0.0
12,600,0.0017910070018842,1.1259154081344604,0.6567496061325073,0.0,0.008341928012669,0.0,58,0.0,0.0017970838816836476,1.0436714887619019,0.745185911655426,0.0,0.008226503618061543,0.0,60,0.0
13,650,0.0016091376310214,1.0136793851852417,0.5870931148529053,0.0,0.0083650508895516,0.0,57,0.0,0.0015797966625541449,0.8749217987060547,0.6967008113861084,0.0,0.008173994719982147,0.0,60,0.0
14,700,0.0014694317942485,0.9358903765678406,0.5251336097717285,0.0,0.0084078777581453,0.0,55,0.0,0.0014004574622958899,0.7566317915916443,0.635730504989624,0.0,0.008095163851976395,0.0,59,0.0
15,750,0.0013598174555227,0.875190019607544,0.4761638045310974,0.0,0.0084636565297842,0.0,53,0.0,0.0012377136154100299,0.6649060249328613,0.5648465752601624,0.0,0.00796110462397337,0.0,58,0.0
16,800,0.0012708944268524,0.8273847699165344,0.4350048005580902,0.0,0.0085047874599695,0.0,53,0.0,0.0010772041277959943,0.5909912586212158,0.4784146249294281,0.0,0.007798273116350174,0.0,57,0.0
17,850,0.0011933597270399,0.7879361510276794,0.3968924582004547,0.0,0.0085311448201537,0.0,53,0.0,0.0009302212856709957,0.5274508595466614,0.3951047360897064,0.0,0.0076657067984342575,0.0,56,0.0
18,900,0.0011277585290372,0.7538087368011475,0.3653940260410309,0.0,0.0085557708516716,0.0,52,0.0,0.0008161269361153245,0.4728860855102539,0.33568039536476135,0.0,0.007560494355857372,0.0,53,0.0
19,950,0.0010751801310107,0.7252641320228577,0.3413450419902801,0.0,0.0085709122940897,0.0,52,0.1428571428571428,0.000733905762899667,0.4277564287185669,0.2986857295036316,0.0,0.007463582791388035,0.0,50,0.0
20,1000,0.001029739389196,0.6977580189704895,0.3234032094478607,0.0,0.0085781216621398,0.0,51,0.1428571428571428,0.0006722318939864635,0.3884996771812439,0.2763668894767761,0.0,0.007365340832620859,0.0,50,0.14285714285714285
21,1050,0.0009919711155816,0.6745854616165161,0.308803528547287,0.0,0.0085821710526943,0.0,51,0.1428571428571428,0.0006237085908651352,0.3559333086013794,0.2605126202106476,0.0,0.007262678816914558,0.0,50,0.14285714285714285
22,1100,0.0009558412712067,0.6535668969154358,0.2936976552009582,0.0,0.0085766371339559,0.0,51,0.1428571428571428,0.0005831938469782472,0.32879960536956787,0.24723337590694427,0.0,0.007160883396863937,0.0,50,0.14285714285714285
23,1150,0.0009228152921423,0.6342893242835999,0.2799672484397888,0.0,0.0085587641224265,0.0,51,0.1428571428571428,0.0005470075993798673,0.3048284947872162,0.23510992527008057,0.0,0.007069187704473734,0.0,49,0.14285714285714285
24,1200,0.0008968422189354,0.6176970601081848,0.2706148326396942,0.0,0.0085303364321589,0.0,51,0.1428571428571428,0.0005172734381631017,0.28468334674835205,0.22560271620750427,0.0,0.006987371947616339,0.0,47,0.14285714285714285
