,epoch,total_0,decoder_0,sindy_x_0,latent_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,total_1,decoder_1,sindy_x_1,latent_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,total_2,decoder_2,sindy_x_2,latent_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2,total_3,decoder_3,sindy_x_3,latent_3,reg_3,sindy_z_3,active_coeffs_3,coeff_3,total_4,decoder_4,sindy_x_4,latent_4,reg_4,sindy_z_4,active_coeffs_4,coeff_4
0,0,0.0344743579626083,33.47088623046875,1.0034708976745603,0.0,0.0099999997764825,0.0,60,0.0,0.0365372747182846,35.500789642333984,1.0364881753921509,0.0,0.0099999997764825,0.0,60,0.0,0.0377983823418617,36.3840217590332,1.414363145828247,0.0,0.0099999997764825,0.0,60,0.0,0.0353441126644611,34.104305267333984,1.23980712890625,0.0,0.0099999997764825,0.0,60,0.0,0.03277871757745743,31.515949249267578,1.262768030166626,0.0,0.009999999776482582,0.0,60,0.0
1,10,0.0168184246867895,15.809282302856444,1.0091426372528076,0.0,0.0099983103573322,0.0,60,0.0,0.0177331082522869,16.697011947631836,1.0360970497131348,0.0,0.0100002977997064,0.0,60,0.0,0.0183965731412172,16.982067108154297,1.414506435394287,0.0,0.009996329434216,0.0,60,0.0,0.0178384575992822,16.594261169433594,1.2441976070404053,0.0,0.0099679911509156,0.0,60,0.0,0.01682288572192192,15.559890747070312,1.262993335723877,0.0,0.009992944076657295,0.0,60,0.0
2,20,0.0119062019512057,10.90542221069336,1.0007801055908203,0.0,0.0099927000701427,0.0,60,0.0,0.0119995819404721,10.96297836303711,1.0366034507751465,0.0,0.0099986214190721,0.0,60,0.0,0.0126766357570886,11.26145839691162,1.4151779413223269,0.0,0.0099819498136639,0.0,60,0.0,0.0125747201964259,11.336965560913086,1.2377550601959229,0.0,0.009910742752254,0.0,60,0.0,0.012222370132803917,10.958194732666016,1.2641767263412476,0.0,0.009969591163098812,0.0,60,0.0
3,30,0.0107283880934119,9.731443405151367,0.996944785118103,0.0,0.0099862813949584,0.0,60,0.0,0.0104886572808027,9.451748847961426,1.0369077920913696,0.0,0.0099953161552548,0.0,60,0.0,0.0114583587273955,10.04184913635254,1.4165092706680298,0.0,0.0099544553086161,0.0,60,0.0,0.011246358975768,10.010527610778809,1.2358309030532837,0.0,0.0098553970456123,0.0,60,0.0,0.011083675548434258,9.818860054016113,1.264815330505371,0.0,0.009936402551829815,0.0,60,0.0
4,40,0.010376738384366,9.380622863769531,0.9961166977882384,0.0,0.0099824648350477,0.0,60,0.0,0.0100874463096261,9.050603866577148,1.0368421077728271,0.0,0.0099923219531774,0.0,60,0.0,0.0111167430877685,9.699445724487305,1.417297601699829,0.0,0.0099184066057205,0.0,60,0.0,0.0107810217887163,9.545413970947266,1.2356081008911133,0.0,0.0098181469365954,0.0,60,0.0,0.010786803439259529,9.52285385131836,1.2639498710632324,0.0,0.009900931268930435,0.0,60,0.0
5,50,0.0102076493203639,9.211380004882812,0.9962689876556396,0.0,0.0099812978878617,0.0,60,0.0,0.0099490713328123,8.911723136901855,1.0373491048812866,0.0,0.0099889189004898,0.0,60,0.0,0.0109859034419059,9.56891632080078,1.4169867038726809,0.0,0.009879071265459,0.0,60,0.0,0.0105221131816506,9.286423683166504,1.235689640045166,0.0,0.0097923250868916,0.0,60,0.0,0.010638375766575336,9.375179290771484,1.263195276260376,0.0,0.009873908013105392,0.0,60,0.0
6,60,0.01001747418195,9.020696640014648,0.9967763423919678,0.0,0.0099830515682697,0.0,60,0.0,0.0098440032452344,8.805984497070312,1.038017749786377,0.0,0.0099850641563534,0.0,60,0.0,0.0109193101525306,9.502883911132812,1.416426658630371,0.0,0.0098413452506065,0.0,60,0.0,0.0102497059851884,9.013855934143066,1.2358503341674805,0.0,0.0097727961838245,0.0,60,0.0,0.010461091995239258,9.19801139831543,1.2630796432495117,0.0,0.009861665777862072,0.0,60,0.0
7,70,0.0096889194101095,8.691697120666504,0.9972227811813354,0.0,0.0099874287843704,0.0,60,0.0,0.0096970088779926,8.657591819763184,1.039416790008545,0.0,0.0099811777472496,0.0,60,0.0,0.0108566414564847,9.440444946289062,1.416196346282959,0.0,0.0098082534968853,0.0,60,0.0,0.0098279435187578,8.59166145324707,1.2362821102142334,0.0,0.009759952314198,0.0,60,0.0,0.01016225665807724,8.898529052734375,1.2637287378311157,0.0,0.00985310785472393,0.0,60,0.0
8,80,0.0091479960829019,8.150893211364746,0.9971033334732056,0.0,0.0099924067035317,0.0,60,0.0,0.0094402842223644,8.39716911315918,1.043115735054016,0.0,0.0099765704944729,0.0,60,0.0,0.0107511738315224,9.334735870361328,1.416438341140747,0.0,0.0097802672535181,0.0,60,0.0,0.0091997068375349,7.962366580963135,1.2373409271240234,0.0,0.009745811112225,0.0,60,0.0,0.009639004245400429,8.372711181640625,1.2662937641143799,0.0,0.009844928979873657,0.0,60,0.0
9,90,0.0084163174033164,7.420163154602051,0.9961540699005128,0.0,0.0099952816963195,0.0,60,0.0,0.0090044913813471,7.952816009521484,1.05167555809021,0.0,0.0099693872034549,0.0,60,0.0,0.010548242367804,9.130842208862305,1.4174001216888428,0.0,0.00975635740906,0.0,60,0.0,0.0084504336118698,7.211434364318848,1.238999605178833,0.0,0.0097206989303231,0.0,60,0.0,0.008889236487448215,7.618235111236572,1.2710015773773193,0.0,0.00984067004173994,0.0,60,0.0
10,100,0.0076503753662109,6.655200958251953,0.9951748847961426,0.0,0.009993864223361,0.0,60,0.0,0.0083436677232384,7.27644681930542,1.06722092628479,0.0,0.0099528180435299,0.0,60,0.0,0.0101824384182691,8.76253890991211,1.4198997020721436,0.0,0.0097360787913203,0.0,60,0.0,0.0077581573277711,6.518692970275879,1.2394647598266602,0.0,0.0096785277128219,0.0,60,0.0,0.008083352819085121,6.809151649475098,1.274200439453125,0.0,0.009842697530984879,0.0,60,0.0
11,110,0.0070136524736881,6.018391132354736,0.9952613115310668,0.0,0.0099912183359265,0.0,60,0.0,0.0075362739153206,6.453912734985352,1.082361102104187,0.0,0.0099325040355324,0.0,60,0.0,0.0095843151211738,8.158782958984375,1.4255313873291016,0.0,0.0097242025658488,0.0,60,0.0,0.0071842847391963,5.946506977081299,1.2377774715423584,0.0,0.0096381669864058,0.0,60,0.0,0.007460922002792358,6.1884613037109375,1.272460699081421,0.0,0.009851537644863129,0.0,60,0.0
12,120,0.0064967018552124,5.5013837814331055,0.9953179955482484,0.0,0.0099889189004898,0.0,60,0.0,0.0067844754084944,5.708134651184082,1.0763410329818726,0.0,0.0099165327847003,0.0,60,0.0,0.0087811145931482,7.3464436531066895,1.4346706867218018,0.0,0.0097209028899669,0.0,60,0.0,0.0066929343156516,5.456971168518066,1.2359633445739746,0.0,0.0096075823530554,0.0,60,0.0,0.006953750737011433,5.685468673706055,1.2682819366455078,0.0,0.009865730069577694,0.0,60,0.0
13,130,0.0060848500579595,5.089729309082031,0.9951207637786864,0.0,0.0099871782585978,0.0,60,0.0,0.0061816158704459,5.127561569213867,1.0540542602539062,0.0,0.0099024483934044,0.0,60,0.0,0.0079805459827184,6.540555953979492,1.4399895668029783,0.0,0.0097131840884685,0.0,60,0.0,0.0062731844373047,5.038822650909424,1.23436176776886,0.0,0.0095901852473616,0.0,60,0.0,0.006499310489743948,5.234114646911621,1.2651960849761963,0.0,0.00987956952303648,0.0,60,0.0
14,140,0.0057554319500923,4.76043176651001,0.9950002431869508,0.0,0.0099857747554779,0.0,60,0.0,0.0057046683505177,4.662837028503418,1.0418307781219482,0.0,0.0098893092945218,0.0,60,0.0,0.0073153255507349,5.882845878601074,1.432479977607727,0.0,0.0097009157761931,0.0,60,0.0,0.0059152655303478,4.682338714599609,1.232927322387695,0.0,0.0095863919705152,0.0,60,0.0,0.00614277645945549,4.879241943359375,1.2635347843170166,0.0,0.00988889578729868,0.0,60,0.0
15,150,0.0054799579083919,4.485240936279297,0.9947165846824646,0.0,0.0099841831251978,0.0,60,0.0,0.0053394814021885,4.300971031188965,1.03851056098938,0.0,0.0098771750926971,0.0,60,0.0,0.0067656440660357,5.3431501388549805,1.4224936962127686,0.0,0.00968908239156,0.0,60,0.0,0.0056214714422822,4.389590263366699,1.2318811416625977,0.0,0.0095918718725442,0.0,60,0.0,0.005855865310877562,4.593463897705078,1.262401819229126,0.0,0.009893353097140789,0.0,60,0.0
16,160,0.0052657769992947,4.271946430206299,0.9938300848007202,0.0,0.0099818324670195,0.0,60,0.0,0.005047223996371,4.01118278503418,1.0360409021377563,0.0,0.0098673747852444,0.0,60,0.0,0.0063414461910724,4.923892021179199,1.4175546169281006,0.0,0.0096797188743948,0.0,60,0.0,0.0053840205073356,4.15285062789917,1.2311701774597168,0.0,0.0095983268693089,0.0,60,0.0,0.005629893857985735,4.368260860443115,1.261633038520813,0.0,0.009894372895359993,0.0,60,0.0
17,170,0.0051003284752368,4.107418060302734,0.992910623550415,0.0,0.0099793262779712,0.0,60,0.0,0.0048113092780113,3.778137445449829,1.0331718921661377,0.0,0.0098591027781367,0.0,60,0.0,0.0060030273161828,4.588106155395508,1.4149208068847656,0.0,0.0096732778474688,0.0,60,0.0,0.0051960633136332,3.965364456176758,1.230699062347412,0.0,0.0096021723002195,0.0,60,0.0,0.005454897880554199,4.193563938140869,1.2613341808319092,0.0,0.009893020614981651,0.0,60,0.0
18,180,0.004971070215106,3.978719711303711,0.9923505783081056,0.0,0.0099766086786985,0.0,60,0.0,0.0046272054314613,3.596893072128296,1.030312418937683,0.0,0.0098515097051858,0.0,60,0.0,0.0057348795235157,4.3217620849609375,1.4131174087524414,0.0,0.0096693458035588,0.0,60,0.0,0.0050481837242841,3.81805157661438,1.2301321029663086,0.0,0.009606129489839,0.0,60,0.0,0.005320950411260128,4.059896469116211,1.2610538005828857,0.0,0.00989010464400053,0.0,60,0.0
19,190,0.0048714186996221,3.8797049522399902,0.9917138814926147,0.0,0.0099731003865599,0.0,60,0.0,0.0044849491678178,3.457651376724243,1.0272977352142334,0.0,0.0098448768258094,0.0,60,0.0,0.0055238930508494,4.111547470092773,1.4123454093933103,0.0,0.0096670854836702,0.0,60,0.0,0.004929362796247,3.700002431869507,1.229360580444336,0.0,0.0096125667914748,0.0,60,0.0,0.005217738449573517,3.956688404083252,1.2610504627227783,0.0,0.0098866643384099,0.0,60,0.0
20,200,0.0047904318198561,3.799829006195069,0.9906028509140016,0.0,0.0099697299301624,0.0,60,0.0,0.0043720039539039,3.34800124168396,1.0240027904510498,0.0,0.0098393373191356,0.0,60,0.0,0.0053643584251403,3.952231168746948,1.4121267795562744,0.0,0.0096656633540987,0.0,60,0.0,0.0048320265486836,3.6036319732666016,1.2283945083618164,0.0,0.0096222963184118,0.0,60,0.0,0.005136243067681789,3.875143527984619,1.2610998153686523,0.0,0.009882797487080097,0.0,60,0.0
21,210,0.0047223358415067,3.73322343826294,0.989112377166748,0.0,0.0099675226956605,0.0,60,0.0,0.0042795734480023,3.2597804069519043,1.0197927951812744,0.0,0.0098345912992954,0.0,60,0.0,0.0052412622608244,3.829925537109375,1.411336898803711,0.0,0.0096645494922995,0.0,60,0.0,0.0047516049817204,3.5245752334594727,1.227029800415039,0.0,0.0096337953582406,0.0,60,0.0,0.005070103332400322,3.808958053588867,1.2611448764801025,0.0,0.009878131560981274,0.0,60,0.0
22,220,0.004665941465646,3.6787185668945312,0.9872229695320128,0.0,0.00996651686728,0.0,60,0.0,0.0042019644752144,3.188063383102417,1.0139009952545166,0.0,0.0098306918516755,0.0,60,0.0,0.0051444508135318,3.7342705726623535,1.410179853439331,0.0,0.0096639357507228,0.0,60,0.0,0.0046857167035341,3.460702896118164,1.2250137329101562,0.0,0.0096465284004807,0.0,60,0.0,0.00501551479101181,3.7543845176696777,1.2611299753189087,0.0,0.00987300742417574,0.0,60,0.0
23,230,0.0046201320365071,3.6352133750915527,0.9849190711975098,0.0,0.0099666463211178,0.0,60,0.0,0.004133571870625,3.128211259841919,1.00536048412323,0.0,0.0098285200074315,0.0,60,0.0,0.0050665391609072,3.657479286193848,1.409059762954712,0.0,0.0096637159585952,0.0,60,0.0,0.0046315533109009,3.409249782562256,1.2223033905029297,0.0,0.0096609322354197,0.0,60,0.0,0.004970039241015911,3.7090530395507812,1.2609859704971313,0.0,0.009867963381111622,0.0,60,0.0
24,240,0.0045828684233129,3.600624084472656,0.9822441935539246,0.0,0.0099678691476583,0.0,60,0.0,0.004070003516972,3.0770909786224365,0.9929128885269164,0.0,0.009829482063651,0.0,60,0.0,0.0050029093399643,3.5951733589172363,1.407735824584961,0.0,0.0096635222434997,0.0,60,0.0,0.004585123155266,3.366211414337158,1.21891188621521,0.0,0.0096763931214809,0.0,60,0.0,0.00493241474032402,3.6716911792755127,1.260723352432251,0.0,0.0098632937297225,0.0,60,0.0
25,250,0.004551051184535,3.5718135833740234,0.9792374968528748,0.0,0.0099699180573225,0.0,60,0.0,0.0040069515816867,3.03249740600586,0.9744541645050048,0.0,0.0098349712789058,0.0,60,0.0,0.0049503054469823,3.544326066970825,1.4059793949127195,0.0,0.0096637178212404,0.0,60,0.0,0.0045425789430737,3.3276174068450928,1.2149620056152344,0.0,0.0096919061616063,0.0,60,0.0,0.004901407286524773,3.641132354736328,1.26027512550354,0.0,0.009859082289040089,0.0,60,0.0
26,260,0.0045214248821139,3.545513153076172,0.9759118556976318,0.0,0.0099725248292088,0.0,60,0.0,0.0039404728449881,2.992751359939575,0.9477214813232422,0.0,0.0098454151302576,0.0,60,0.0,0.0049062939360737,3.5027308464050293,1.4035632610321045,0.0,0.0096645448356866,0.0,60,0.0,0.004501124843955,3.2905361652374268,1.2105883359909058,0.0,0.0097058769315481,0.0,60,0.0,0.004875653423368931,3.616041660308838,1.2596116065979004,0.0,0.00985525269061327,0.0,60,0.0
27,270,0.0044915918260812,3.5193514823913574,0.9722404479980468,0.0,0.009975429624319,0.0,60,0.0,0.0038691852241754,2.9564359188079834,0.9127492904663086,0.0,0.0098602101206779,0.0,60,0.0,0.0048689604736864,3.468606948852539,1.4003534317016602,0.0,0.0096657946705818,0.0,60,0.0,0.0044587436132133,3.252904891967773,1.205838918685913,0.0,0.0097154630348086,0.0,60,0.0,0.0048533715307712555,3.594752788543701,1.2586188316345215,0.0,0.009851867333054543,0.0,60,0.0
28,280,0.0044598877429962,3.491727828979492,0.9681596755981444,0.0,0.0099782021716237,0.0,60,0.0,0.003798441728577,2.9220337867736816,0.8764079809188843,0.0,0.0098778530955314,0.0,60,0.0,0.0048363707028329,3.44022798538208,1.3961427211761477,0.0,0.0096671115607023,0.0,60,0.0,0.0044136838987469,3.213030338287353,1.2006535530090332,0.0,0.0097178723663091,0.0,60,0.0,0.004832953214645386,3.575817823410034,1.2571355104446411,0.0,0.009849082678556442,0.0,60,0.0
29,290,0.0044248523190617,3.461333751678467,0.9635187387466432,0.0,0.0099804224446415,0.0,60,0.0,0.0037375963293015,2.886614322662353,0.850982129573822,0.0,0.0098934844136238,0.0,60,0.0,0.0048065315932035,3.416020631790161,1.3905112743377686,0.0,0.0096683427691459,0.0,60,0.0,0.0043639224022626,3.1690235137939453,1.1948988437652588,0.0,0.009712022729218,0.0,60,0.0,0.004813097417354584,3.5582096576690674,1.2548880577087402,0.0,0.009847182780504227,0.0,60,0.0
30,300,0.0043846359476447,3.426414251327514,0.9582215547561646,0.0,0.0099819097667932,0.0,60,0.0,0.0036861952394247,2.848588466644287,0.8376069068908691,0.0,0.0099012339487671,0.0,60,0.0,0.0047773332335054,3.3945932388305664,1.382740139961243,0.0,0.0096696158871054,0.0,60,0.0,0.0043063014745712,3.117871761322021,1.1884300708770752,0.0,0.00969859957695,0.0,60,0.0,0.004792746622115374,3.541271209716797,1.2514755725860596,0.0,0.00984618254005909,0.0,60,0.0
31,310,0.0043363468721508,3.384164571762085,0.9521821737289428,0.0,0.0099828410893678,0.0,60,0.0,0.0036413040943443,2.8112480640411377,0.8300561904907227,0.0,0.0099029559642076,0.0,60,0.0,0.0047465162351727,3.3748602867126465,1.3716557025909424,0.0,0.0096710855141282,0.0,60,0.0,0.0042341668158769,3.05310606956482,1.181060791015625,0.0,0.0096774734556674,0.0,60,0.0,0.004770762752741575,3.5244832038879395,1.2462794780731201,0.0,0.009845336899161339,0.0,60,0.0
32,320,0.0042745396494865,3.329359531402588,0.9451798796653748,0.0,0.0099831875413656,0.0,60,0.0,0.0035971933975815,2.772526502609253,0.8246668577194214,0.0,0.0099021885544061,0.0,60,0.0,0.004711271263659,3.3559885025024414,1.3552827835083008,0.0,0.0096732908859848,0.0,60,0.0,0.0041299727745354,2.9577999114990234,1.1721725463867188,0.0,0.0096452143043279,0.0,60,0.0,0.004745591431856155,3.5073232650756836,1.2382681369781494,0.0,0.009843544103205204,0.0,60,0.0
33,330,0.0041890051215887,3.2520196437835693,0.9369856119155884,0.0,0.0099809877574443,0.0,60,0.0,0.0035514323972165,2.731703758239746,0.8197286128997803,0.0,0.0099001387134194,0.0,60,0.0,0.0046679992228746,3.337381362915039,1.330617904663086,0.0,0.0096774911507964,0.0,60,0.0,0.0039662569761276,2.8028297424316406,1.1634268760681152,0.0,0.0095987506210803,0.0,60,0.0,0.004715078976005316,3.489222526550293,1.2258565425872803,0.0,0.009839423932135105,0.0,60,0.0
34,340,0.0040661888197064,3.137333869934082,0.9288548231124878,0.0,0.0099721970036625,0.0,60,0.0,0.0035002049989998,2.6853318214416504,0.8148733377456665,0.0,0.0098966304212808,0.0,60,0.0,0.004613000433892,3.31864070892334,1.2943596839904783,0.0,0.0096848187968134,0.0,60,0.0,0.0037677101790905,2.6052041053771973,1.1625062227249146,0.0,0.0095411036163568,0.0,60,0.0,0.004676738288253546,3.469482421875,1.2072558403015137,0.0,0.009831240400671959,0.0,60,0.0
35,350,0.0039021051488816,2.975004434585572,0.9271005392074584,0.0,0.0099512673914432,0.0,60,0.0,0.0034411782398819,2.631266117095948,0.8099120855331421,0.0,0.0098915407434105,0.0,60,0.0,0.0045473063364624,3.299192428588867,1.2481136322021484,0.0,0.0096941841766238,0.0,60,0.0,0.0035673123784363,2.402346134185791,1.164966106414795,0.0,0.0094809243455529,0.0,60,0.0,0.004629135597497225,3.4470584392547607,1.182077169418335,0.0,0.009821577928960323,0.0,60,0.0
36,360,0.0037062671035528,2.7696266174316406,0.936640202999115,0.0,0.0099161705002188,0.0,60,0.0,0.0033724359236657,2.5673110485076904,0.8051247596740723,0.0,0.0098849693313241,0.0,60,0.0,0.0044860411435365,3.277063369750977,1.2089779376983645,0.0,0.009701294824481,0.0,60,0.0,0.0033999308943748,2.240322589874268,1.1596083641052246,0.0,0.0094246864318847,0.0,60,0.0,0.004575151950120926,3.4199585914611816,1.155193567276001,0.0,0.009814847260713577,0.0,60,0.0
37,370,0.0035061514936387,2.5576727390289307,0.9484788179397584,0.0,0.0098763154819607,0.0,60,0.0,0.0032928097061812,2.492120742797852,0.800689160823822,0.0,0.0098767979070544,0.0,60,0.0,0.0044421982020139,3.249911308288574,1.192286729812622,0.0,0.0097036687657237,0.0,60,0.0,0.0032453318126499,2.1028895378112797,1.1424421072006226,0.0,0.0093716653063893,0.0,60,0.0,0.004521727561950684,3.3850717544555664,1.136655330657959,0.0,0.009813283570110798,0.0,60,0.0
38,380,0.003336701542139,2.3809893131256104,0.9557123184204102,0.0,0.0098335249349474,0.0,60,0.0,0.0032034632749855,2.406716108322144,0.7967471480369568,0.0,0.0098666027188301,0.0,60,0.0,0.0044032684527337,3.219771146774292,1.183497190475464,0.0,0.0097026769071817,0.0,60,0.0,0.0031081293709576,1.989041447639465,1.1190879344940186,0.0,0.0093255033716559,0.0,60,0.0,0.00446522980928421,3.3398146629333496,1.1254152059555054,0.0,0.009820058941841125,0.0,60,0.0
39,390,0.003185958834365,2.233035087585449,0.9529238343238832,0.0,0.0097857816144824,0.0,60,0.0,0.0031084972433745,2.3144354820251465,0.7940616607666016,0.0,0.0098541174083948,0.0,60,0.0,0.004364869557321,3.189604997634888,1.1752647161483765,0.0,0.0097013050690293,0.0,60,0.0,0.0029823426157236,1.88756263256073,1.094780206680298,0.0,0.009289882145822,0.0,60,0.0,0.00439192820340395,3.280294418334961,1.1116337776184082,0.0,0.009833482094109058,0.0,60,0.0
40,400,0.0030575816053897,2.1138126850128174,0.9437687397003174,0.0,0.0097427936270833,0.0,60,0.0,0.0030126124620437,2.219555616378784,0.7930567264556885,0.0,0.0098396940156817,0.0,60,0.0,0.0043241549283266,3.15938687324524,1.1647682189941406,0.0,0.009700234979391,0.0,60,0.0,0.0028661326505243,1.7953271865844729,1.0708054304122925,0.0,0.0092647932469844,0.0,60,0.0,0.004287927411496639,3.1945700645446777,1.0933576822280884,0.0,0.009847764857113361,0.0,60,0.0
41,410,0.0029458655044436,2.013291358947754,0.9325741529464722,0.0,0.0097090024501085,0.0,60,0.0,0.0029174808878451,2.124509334564209,0.7929715514183044,0.0,0.009824289008975,0.0,60,0.0,0.0042819445952773,3.127768039703369,1.1541765928268433,0.0,0.00969850551337,0.0,60,0.0,0.0027581071481108,1.7106332778930664,1.0474739074707031,0.0,0.0092490576207637,0.0,60,0.0,0.0041326796635985374,3.0599570274353027,1.0727221965789795,0.0,0.009861418046057224,0.0,60,0.0
42,420,0.0028460193425416,1.924434185028076,0.9215850830078124,0.0,0.0096830502152442,0.0,60,0.0,0.0028201865497976,2.0265867710113525,0.7935997843742371,0.0,0.009808836504817,0.0,60,0.0,0.0042378613725304,3.093857288360596,1.1440043449401855,0.0,0.0096962098032236,0.0,60,0.0,0.0026576244272291,1.6328225135803225,1.0248019695281982,0.0,0.0092407781630754,0.0,60,0.0,0.003927832469344139,2.8718035221099854,1.0560290813446045,0.0,0.009876756928861141,0.0,60,0.0
43,430,0.0027557206340134,1.844538688659668,0.9111816883087158,0.0,0.0096626104786992,0.0,60,0.0,0.0027150525711476,1.918864369392395,0.7961883544921875,0.0,0.0097937788814306,0.0,60,0.0,0.0041912836022675,3.0575904846191406,1.1336930990219116,0.0,0.0096930963918566,0.0,60,0.0,0.0025644784327596,1.562579870223999,1.0018985271453855,0.0,0.0092379404231905,0.0,60,0.0,0.003687886521220207,2.639166831970215,1.0487196445465088,0.0,0.009891733527183533,0.0,60,0.0
44,440,0.0026724394410848,1.7711187601089478,0.9013206958770752,0.0,0.0096461698412895,0.0,60,0.0,0.0026050661690533,1.8052715063095093,0.799794614315033,0.0,0.0097789857536554,0.0,60,0.0,0.0041428515687584,3.019413948059082,1.1234381198883057,0.0,0.0096889631822705,0.0,60,0.0,0.0024779036175459,1.4998971223831177,0.9780064225196838,0.0,0.0092384470626711,0.0,60,0.0,0.0034631392918527126,2.421739101409912,1.04140043258667,0.0,0.009903332218527794,0.0,60,0.0
45,450,0.002594785997644,1.7022099494934082,0.8925759792327881,0.0,0.0096330195665359,0.0,60,0.0,0.0024944136384874,1.691920518875122,0.8024930953979492,0.0,0.009764140471816,0.0,60,0.0,0.004092548508197,2.9789376258850098,1.113610863685608,0.0,0.0096839778125286,0.0,60,0.0,0.0023972317576408,1.4444327354431152,0.9527990818023682,0.0,0.0092407595366239,0.0,60,0.0,0.00327251385897398,2.246206283569336,1.0263075828552246,0.0,0.009912748821079731,0.0,60,0.0
