,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2
0,0.0,0.30585363507270813,0.01270388811826706,7.999999797903001e-05,0.0,60,0.0,0.29739895462989807,0.007646598387509584,7.999999797903001e-05,0.0,60,0.0,0.25509461760520935,0.007082832977175713,7.999999797903001e-05,0.0,60,0.0
1,50.0,0.030084388330578804,0.010432500392198563,6.505881901830435e-05,0.0,60,0.0,0.025363873690366745,0.007585183717310429,6.358953396556899e-05,0.0,60,0.0,0.024479461833834648,0.0059116315096616745,6.726341234752908e-05,0.0,60,0.0
2,100.0,0.010628296062350273,0.007862426340579987,6.599998596357182e-05,0.0,57,0.0,0.011048795655369759,0.006211095955222845,6.108926027081907e-05,0.0,55,2.0,0.007554481737315655,0.0044773044064641,6.0709713579854e-05,0.0,58,0.0
3,150.0,0.0052643148228526115,0.0040854597464203835,6.737172225257382e-05,0.0,55,0.0,0.005580166820436716,0.00405854033306241,6.304203998297453e-05,0.0,51,2.0,0.0032689967192709446,0.0028142197988927364,5.701743430108763e-05,0.0,52,0.0
4,200.0,0.0038202188443392515,0.003163775196298957,6.635990575887263e-05,0.0,54,1.0,0.002852147677913308,0.00242959544993937,6.0661932366201654e-05,0.0,49,2.0,0.0021005081944167614,0.0018792295595631003,5.877321382286027e-05,0.0,45,0.0
5,250.0,0.0030856106895953417,0.002722835633903742,6.57181371934712e-05,0.0,51,1.0,0.001865705824457109,0.001745578134432435,5.949053229414858e-05,0.0,48,2.0,0.0013687402242794633,0.0014467911096289754,6.064557601348497e-05,0.0,44,0.0
6,300.0,0.0026733989361673594,0.0024185259826481342,6.543370545841753e-05,0.0,49,1.0,0.0014267779188230634,0.0014382351655513048,6.00693492742721e-05,0.0,46,2.0,0.0018864768790081143,0.0013337931595742702,6.252573075471446e-05,0.0,43,0.0
7,350.0,0.002386594656854868,0.002234355779364705,6.541527545778081e-05,0.0,48,1.0,0.001186360139399767,0.0013300895225256681,6.0786354879383e-05,0.0,43,2.0,0.0008280957117676735,0.0011424195254221559,6.391701026586816e-05,0.0,42,0.0
8,400.0,0.002165905898436904,0.002015785314142704,6.543217023136094e-05,0.0,47,1.0,0.001041474286466837,0.0012659119674935937,6.165995000628754e-05,0.0,43,2.0,0.0007092254236340523,0.0010557140922173858,6.512253457913175e-05,0.0,42,0.0
9,450.0,0.0019611099269241095,0.0018794629722833633,6.552137347171083e-05,0.0,46,1.0,0.0009600609773769975,0.001212619012221694,6.243021198315546e-05,0.0,42,2.0,0.0006506528588943183,0.000979191274382174,6.609754200326279e-05,0.0,41,0.0
