,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,total_4,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4
10,500,0.0002402128156973049,0.00013762674643658102,9.922347089741379e-05,3.362601546541555e-06,0.0,36,0.000209835430723615,4.644359796657227e-05,0.000159149756655097,4.242068825988099e-06,0.0,28,0.00024178190506063402,9.237517224391922e-05,0.0001454401935916394,3.966533313359832e-06,0.0,33,0.00025596650084480643,0.00011079131945734844,0.00014175893738865852,3.4162471820309293e-06,0.0,29,0.00023235511616803706,0.00010135696356883273,0.00012668063573073596,4.3175232349312864e-06,0.0,40
11,550,0.00021778768859803677,0.00011831976007670164,9.642185614211485e-05,3.0460578273050487e-06,0.0,34,0.00018689874559640884,3.916204514098354e-05,0.00014362655929289758,4.110152076464146e-06,0.0,28,0.00023136411618907005,8.83313114172779e-05,0.00013916415628045797,3.8686380321451e-06,0.0,33,0.00023017787316348404,9.828269685385749e-05,0.00012852232612203807,3.3728574635460973e-06,0.0,29,0.00020299020980019122,8.316709863720462e-05,0.00011573172378120944,4.091389200766571e-06,0.0,39
12,600,0.00020072660117875785,0.00010393278353149071,9.403922013007104e-05,2.7546013825485716e-06,0.0,30,0.00017000360821839422,3.3123647881438956e-05,0.0001329111837549135,3.968776582041755e-06,0.0,27,0.00022376974811777472,8.019251254154369e-05,0.0001398066960973665,3.770554030779749e-06,0.0,30,0.0002094836818287149,8.534279913874343e-05,0.00012081122258678079,3.3296644232905237e-06,0.0,28,0.0001707474875729531,6.511945684906095e-05,0.00010174750059377402,3.880529675370781e-06,0.0,37
13,650,0.00019465663353912532,9.535089338896796e-05,9.681611118139699e-05,2.4896219201764325e-06,0.0,24,0.00015846597671043128,3.0055749448365532e-05,0.0001245977182406932,3.812513568846043e-06,0.0,27,0.0002121146535500884,7.60866460041143e-05,0.00013235585356596857,3.672143975563813e-06,0.0,29,0.00019477475143503398,7.553351315436885e-05,0.00011597641423577443,3.2648181331751402e-06,0.0,27,0.00014900874521117657,5.436240098788403e-05,9.096557187149301e-05,3.6807778087677434e-06,0.0,35
14,700,0.00019437121227383614,8.96268684300594e-05,0.00010243131691822782,2.3130321551434463e-06,0.0,24,0.00014592192019335926,2.7122556275571696e-05,0.00011513481877045706,3.6645467389462283e-06,0.0,27,0.0002050706243608147,7.209840987343341e-05,0.00012938053987454623,3.591681434045313e-06,0.0,29,0.00019984632672276348,7.062476652208716e-05,0.00012602329661604017,3.198259491909994e-06,0.0,27,0.00012989205424673855,4.3886160710826516e-05,8.251818508142605e-05,3.487717322059325e-06,0.0,31
15,750,0.0001892332365969196,8.402736420975998e-05,0.00010303501767339185,2.1708476651838282e-06,0.0,22,0.00013427772501017898,2.540241985116154e-05,0.00010534685861784965,3.5284449495520676e-06,0.0,25,0.00019584585970733315,6.820786802563816e-05,0.00012410740600898862,3.530589538058848e-06,0.0,28,0.00018620232003740966,6.232494342839345e-05,0.00012074372352799401,3.133650125164422e-06,0.0,27,0.00012103962944820523,3.9545248000649735e-05,7.817510049790144e-05,3.319275492685847e-06,0.0,28
16,800,0.0001856605667853728,8.047869050642475e-05,0.00010312053927918896,2.061339500869508e-06,0.0,20,0.00013206117728259414,2.597972343210131e-05,0.00010267728066537529,3.4041797789541306e-06,0.0,24,0.00018917190027423203,6.578763714060187e-05,0.0001198866666527465,3.497602619972895e-06,0.0,27,0.00015551970864180475,5.23325361427851e-05,0.00010010350524680689,3.083673391302e-06,0.0,25,0.00010883941286010668,3.5087738069705665e-05,7.057708717184141e-05,3.174587618559599e-06,0.0,26
17,850,0.00018114208069164306,7.841891056159511e-05,0.00010077853221446276,1.9446483747742604e-06,0.0,20,0.00011781384819187224,2.2396319764084183e-05,9.210777352564037e-05,3.3097567211370915e-06,0.0,24,0.00017769487749319524,6.447902705986053e-05,0.00010976596968248487,3.4498825698392466e-06,0.0,26,0.00014694307174067944,4.831205296795815e-05,9.562839841237292e-05,3.002628318427014e-06,0.0,25,0.00010680627019610256,3.587313767638989e-05,6.79306176607497e-05,3.00250826512638e-06,0.0,26
18,900,0.000174353554029949,7.296274998225272e-05,9.953800326911733e-05,1.852786454037414e-06,0.0,19,0.00011018280201824382,2.1054935132269748e-05,8.591284858994186e-05,3.21501693179016e-06,0.0,24,0.0001709547796053812,6.224157550605014e-05,0.00010531965381233022,3.3935509691218613e-06,0.0,26,0.00013994182518217713,4.4583524868357927e-05,9.241339284926653e-05,2.9449211069731973e-06,0.0,24,9.362540731672198e-05,3.029187246283982e-05,6.0449314332799986e-05,2.8842207484558458e-06,0.0,26
19,950,0.00016914436127990484,6.86375133227557e-05,9.872602095128968e-05,1.7808381471695611e-06,0.0,17,0.00010523159289732575,2.2338148482958786e-05,7.977169298101217e-05,3.121746658507618e-06,0.0,24,0.00016453258285764605,6.142126949271187e-05,9.977290028473362e-05,3.338413534947904e-06,0.0,26,0.00013830504030920565,4.266334144631401e-05,9.278253855882213e-05,2.8591655336640542e-06,0.0,24,8.988208719529212e-05,2.927671630459372e-05,5.7826149713946506e-05,2.7792223136202665e-06,0.0,25
