,epoch,total_0,decoder_0,sindy_x_0,latent_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0
0,0,0.039503347128629684,38.434696197509766,1.0675251483917236,0.00046512746484950185,0.0006601955974474549,0.0,60,0.0
1,50,0.010256340727210045,9.188040733337402,1.0674567222595215,0.0002212827530456707,0.0006208232371136546,0.0,60,0.0
2,100,0.009335322305560112,8.267387390136719,1.0669918060302734,0.00015851172793190926,0.0007841236074455082,0.0,60,0.0
3,150,0.006179492454975843,5.112053871154785,1.066457986831665,0.00014954409562051296,0.0008312780410051346,0.0,60,0.0
4,200,0.004740918055176735,3.6755499839782715,1.064404845237732,7.735480176052079e-05,0.0008857328211888671,0.0,57,0.0
5,250,0.004302655812352896,3.2388553619384766,1.0626280307769775,6.679892976535484e-05,0.0011061766417697072,0.0,54,0.0
6,300,0.00409928010776639,3.044741153717041,1.053059697151184,5.499210601556115e-05,0.0014245639322325587,0.0,53,0.0
7,350,0.003811792004853487,2.805422782897949,1.0044481754302979,8.151796646416187e-05,0.001839589443989098,0.0,52,0.0
8,400,0.0029884311370551586,2.07428240776062,0.9119079113006592,6.515465793199837e-05,0.002175601664930582,0.0,52,0.0
9,450,0.0023799692280590534,1.5494352579116821,0.8280609846115112,6.548882811330259e-05,0.0024075068067759275,0.0,52,0.0
10,500,0.0019909602124243975,1.2569407224655151,0.7313159108161926,0.00010226659651380032,0.002601172775030136,0.0,52,0.0
11,550,0.0017121750861406326,1.0927937030792236,0.6165156960487366,0.00013963722449261695,0.002726104110479355,0.0,52,0.0
12,600,0.0014931493205949664,0.9924245476722717,0.49768418073654175,0.00014731637202203274,0.0028934101574122906,0.0,52,0.0
13,650,0.001338582020252943,0.917592465877533,0.41781631112098694,0.00011974052176810801,0.003053428838029504,0.0,51,0.0
14,700,0.001232806360349059,0.8593533635139465,0.37021297216415405,9.821585263125598e-05,0.0031418197322636843,0.0,51,0.0
15,750,0.001158847939223051,0.8143052458763123,0.34120815992355347,8.67721246322617e-05,0.003247795393690467,0.0,51,0.0
16,800,0.0011030443711206317,0.7789006233215332,0.32081425189971924,8.270049147540703e-05,0.0032467737328261137,0.0,50,0.0
17,850,0.0010579813970252872,0.7497811913490295,0.30483269691467285,7.954530883580446e-05,0.0032880872022360563,0.0,50,0.0
18,900,0.0010225267615169287,0.7252638339996338,0.293866902589798,7.69205144024454e-05,0.003319108160212636,0.0,50,0.0
19,950,0.000992006273008883,0.7035666704177856,0.28505268692970276,7.39808237995021e-05,0.003312967950478196,0.0,50,0.0
20,1000,0.0009649810963310301,0.6840125918388367,0.2776026129722595,7.066458056215197e-05,0.0032952227629721165,0.0,50,0.0
21,1050,0.0009432591614313424,0.6672786474227905,0.2725904881954193,6.310454773483798e-05,0.00332689774222672,0.0,49,0.0
22,1100,0.0009226868860423565,0.6518634557723999,0.26743295788764954,5.88986549701076e-05,0.003331559244543314,0.0,49,0.0
23,1150,0.0009043609024956822,0.6376438140869141,0.26333314180374146,5.438769221655093e-05,0.003329601138830185,0.0,49,0.0
24,1200,0.0008874354534782469,0.6246654391288757,0.25939828157424927,4.990656452719122e-05,0.0033218064345419407,0.0,49,0.0
25,1250,0.0008713231654837728,0.6122682690620422,0.2556701898574829,4.552090831566602e-05,0.0033391136676073074,0.0,49,0.0
26,1300,0.0008560807909816504,0.6004941463470459,0.2521878182888031,4.1239556594518945e-05,0.003357664914801717,0.0,49,0.0
27,1350,0.0008412057068198919,0.588852047920227,0.24893052875995636,3.711853423737921e-05,0.0033860234543681145,0.0,49,0.0
28,1400,0.0008268585661426187,0.5776264071464539,0.2457953244447708,3.3114254620159045e-05,0.003403667826205492,0.0,49,0.0
29,1450,0.0008119262056425214,0.5660130977630615,0.242472305893898,2.9118989914422855e-05,0.0034116629976779222,0.0,49,0.0
30,1500,0.0007967776618897915,0.5544854402542114,0.23883864283561707,2.520245652704034e-05,0.003428360680118203,0.0,49,0.0
31,1550,0.0007800841121934354,0.5416113138198853,0.2350153625011444,2.154469802917447e-05,0.0034358662087470293,0.0,49,0.0
32,1600,0.0007624312420375645,0.5277466773986816,0.23121801018714905,1.829142820497509e-05,0.003448279807344079,0.0,48,0.0
33,1650,0.0007437760359607637,0.5130506157875061,0.22722622752189636,1.5079664080985822e-05,0.003484122222289443,0.0,47,0.0
34,1700,0.0007250363123603165,0.49815869331359863,0.22335681319236755,1.2680231520789675e-05,0.0035081407986581326,0.0,47,0.0
35,1750,0.0007003028877079487,0.47769826650619507,0.21904811263084412,1.0478892363607883e-05,0.0035460120998322964,0.0,46,0.0
36,1800,0.0006759015959687531,0.4570043683052063,0.21532046794891357,9.018676792038605e-06,0.003567751031368971,0.0,45,0.0
37,1850,0.000649088469799608,0.4342985153198242,0.21118849515914917,8.072401215031277e-06,0.003593392902985215,0.0,45,0.0
38,1900,0.0006211319123394787,0.410232275724411,0.2072603702545166,7.382553576462669e-06,0.003631860949099064,0.0,45,0.0
39,1950,0.0005927356542088091,0.38574105501174927,0.20328575372695923,6.646827387157828e-06,0.0037021993193775415,0.0,44,0.0
40,2000,0.0005650094826705754,0.3621442914009094,0.19912204146385193,6.2684371187060606e-06,0.003736862214282155,0.0,43,0.0
41,2050,0.0005388263962231576,0.34093084931373596,0.19411854445934296,5.846331077918876e-06,0.003771135350689292,0.0,42,0.0
42,2100,0.0005126546020619571,0.32105469703674316,0.18775494396686554,5.385444637795445e-06,0.003839569166302681,0.0,40,0.0
43,2150,0.000489375670440495,0.3030952215194702,0.18237127363681793,4.98161625728244e-06,0.0039042062126100063,0.0,40,0.0
