,epoch,total_0,decoder_0,sindy_x_0,latent_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0
0,0,0.03490384668111801,33.8263053894043,1.0675410032272339,0.0,0.009999999776482582,0.0,60,0.0
1,50,0.010303501039743423,9.223299980163574,1.0705854892730713,0.0,0.009616022929549217,0.0,60,0.0
2,100,0.009604054503142834,8.527241706848145,1.0675128698349,0.0,0.00930002424865961,0.0,60,0.0
3,150,0.0059393844567239285,4.8625993728637695,1.0678057670593262,0.0,0.008979244157671928,0.0,60,0.0
4,200,0.004649732727557421,3.574118137359619,1.0669020414352417,0.0,0.008712302893400192,0.0,60,0.0
5,250,0.004301553126424551,3.2280197143554688,1.065014123916626,0.0,0.008519372902810574,0.0,60,0.0
6,300,0.004138551186770201,3.072338104248047,1.0578138828277588,0.0,0.00839934777468443,0.0,60,0.0
7,350,0.003971083089709282,2.9434337615966797,1.0192899703979492,0.0,0.008359765633940697,0.0,60,0.0
8,400,0.0035809956025332212,2.6979477405548096,0.8746393322944641,0.0,0.0084086237475276,0.0,60,0.0
9,450,0.002912950236350298,2.0434765815734863,0.8610442876815796,0.0,0.008429404348134995,0.0,60,0.0
10,500,0.002385463798418641,1.5841513872146606,0.7929291129112244,0.0,0.00838339701294899,0.0,60,0.0
11,550,0.002039862796664238,1.3028135299682617,0.7287124395370483,0.0,0.00833678338676691,0.0,60,0.0
12,600,0.0017910070018842816,1.1259154081344604,0.6567496061325073,0.0,0.008341928012669086,0.0,58,0.0
13,650,0.00160913763102144,1.0136793851852417,0.5870931148529053,0.0,0.00836505088955164,0.0,57,0.0
14,700,0.0014694317942485213,0.9358903765678406,0.5251336097717285,0.0,0.008407877758145332,0.0,55,0.0
15,750,0.001359817455522716,0.875190019607544,0.4761638045310974,0.0,0.008463656529784203,0.0,53,0.0
16,800,0.0012708944268524647,0.8273847699165344,0.4350048005580902,0.0,0.00850478745996952,0.0,53,0.0
17,850,0.0011933597270399332,0.7879361510276794,0.3968924582004547,0.0,0.008531144820153713,0.0,53,0.0
18,900,0.0011277585290372372,0.7538087368011475,0.3653940260410309,0.0,0.008555770851671696,0.0,52,0.0
19,950,0.0010751801310107112,0.7252641320228577,0.34134504199028015,0.0,0.008570912294089794,0.0,52,0.14285714285714285
20,1000,0.0010297393891960382,0.6977580189704895,0.3234032094478607,0.0,0.008578121662139893,0.0,51,0.14285714285714285
21,1050,0.0009919711155816913,0.6745854616165161,0.308803528547287,0.0,0.00858217105269432,0.0,51,0.14285714285714285
22,1100,0.0009558412712067366,0.6535668969154358,0.29369765520095825,0.0,0.008576637133955956,0.0,51,0.14285714285714285
23,1150,0.0009228152921423316,0.6342893242835999,0.2799672484397888,0.0,0.00855876412242651,0.0,51,0.14285714285714285
24,1200,0.0008968422189354897,0.6176970601081848,0.2706148326396942,0.0,0.008530336432158947,0.0,51,0.14285714285714285
25,1250,0.0008682255866006017,0.5963550209999084,0.263376384973526,0.0,0.008494190871715546,0.0,51,0.14285714285714285
26,1300,0.000843817659188062,0.5765974521636963,0.2587672173976898,0.0,0.00845297146588564,0.0,51,0.14285714285714285
27,1350,0.000819492619484663,0.557000458240509,0.2540840804576874,0.0,0.008408117108047009,0.0,51,0.14285714285714285
28,1400,0.0007946366677060723,0.5371649265289307,0.24910524487495422,0.0,0.008366558700799942,0.0,50,0.14285714285714285
29,1450,0.0007693357765674591,0.5173895359039307,0.24361976981163025,0.0,0.008326426148414612,0.0,50,0.14285714285714285
30,1500,0.0007443326758220792,0.49793511629104614,0.23810705542564392,0.0,0.008290528319776058,0.0,49,0.14285714285714285
31,1550,0.0007193764322437346,0.4786447584629059,0.23247653245925903,0.0,0.008255109190940857,0.0,49,0.14285714285714285
32,1600,0.0006955819553695619,0.4599181115627289,0.22744423151016235,0.0,0.008219603449106216,0.0,49,0.14285714285714285
33,1650,0.00067392602795735,0.4435598850250244,0.22218260169029236,0.0,0.008183547295629978,0.0,49,0.14285714285714285
34,1700,0.0006516226567327976,0.42495813965797424,0.21851837635040283,0.0,0.008146162144839764,0.0,49,0.14285714285714285
35,1750,0.0006310284952633083,0.4087600111961365,0.214161217212677,0.0,0.008107285015285015,0.0,48,0.14285714285714285
36,1800,0.0006117096054367721,0.39392077922821045,0.20970401167869568,0.0,0.008084826171398163,0.0,47,0.14285714285714285
37,1850,0.0005935542285442352,0.3801414370536804,0.20534731447696686,0.0,0.00806549284607172,0.0,47,0.14285714285714285
38,1900,0.0005772174336016178,0.3676910102367401,0.201478973031044,0.0,0.008047454059123993,0.0,47,0.14285714285714285
39,1950,0.0005602127639576793,0.3553970754146576,0.1967778503894806,0.0,0.008037849329411983,0.0,45,0.14285714285714285
40,2000,0.0005450905882753432,0.34416964650154114,0.19289375841617584,0.0,0.008027180097997189,0.0,45,0.14285714285714285
41,2050,0.0005309903644956648,0.33346936106681824,0.18950322270393372,0.0,0.008017831481993198,0.0,45,0.14285714285714285
42,2100,0.0005181148299016058,0.3237241804599762,0.18638256192207336,0.0,0.008008112199604511,0.0,45,0.14285714285714285
43,2150,0.0005059678805992007,0.3139248192310333,0.18404345214366913,0.0,0.007999592460691929,0.0,45,0.14285714285714285
44,2200,0.0004943805979564786,0.30458202958106995,0.1818082183599472,0.0,0.007990327663719654,0.0,45,0.14285714285714285
45,2250,0.00048286363016813993,0.295624315738678,0.17925652861595154,0.0,0.007982759736478329,0.0,44,0.14285714285714285
46,2300,0.0004721834266092628,0.2879607081413269,0.17624714970588684,0.0,0.007975566200911999,0.0,44,0.14285714285714285
