,0,1,2
0,0.663489,0.5018279,0.5925277
1,0.72999346,0.6892926,0.6827854
2,0.7382221,0.60425663,0.6553101
3,0.71076596,0.6546811,0.64041543
4,0.79488516,0.8547933,0.7851733
5,0.855955,0.6746234,0.79282045
6,0.78655183,0.81885827,0.7659644
7,0.8135358,0.6413518,0.7753887
8,0.8798196,0.64959157,0.7939898
9,0.8093793,0.79419446,0.7700622
10,0.80234283,0.95970464,0.7939328
11,0.9606981,0.74424046,0.95652306
12,0.80994534,0.94588894,0.79280204
13,0.7996399,0.8419324,0.77085626
14,0.96603936,0.7258918,0.95453787
15,0.8277354,0.9310839,0.80071014
16,0.86275876,0.7892663,0.8377275
17,0.7737957,0.8620807,0.73477453
18,0.9746999,0.7425318,0.947474
19,0.85534525,0.92215157,0.8240266
