,epoch,decoder_0,sindy_x_0,reg_0,corr_0,sindy_z_0,active_coeffs_0,decoder_1,sindy_x_1,reg_1,corr_1,sindy_z_1,active_coeffs_1,decoder_avg,sindy_x_avg,reg_avg,sindy_z_avg,active_coeffs_avg
10,501,0.0017800258938223124,0.0012622252106666565,1.5343506674980745e-05,-3.994059625256341e-06,0.0,45,0.0018425750313326716,0.001042986405082047,1.572195287735667e-05,-3.6372439353726804e-06,0.0,49,0.001811300462577492,0.0011526058078743517,1.5532729776168708e-05,0.0,47.0
11,551,0.0015252495650202036,0.0011868167202919722,1.529760265839286e-05,-4.087698471266776e-06,0.0,43,0.0016487978864461184,0.000990759814158082,1.583473931532353e-05,-3.7617539874190697e-06,0.0,48,0.001587023725733161,0.001088788267225027,1.5566170986858197e-05,0.0,45.5
12,601,0.0013076142640784383,0.0011222506873309612,1.528716711618472e-05,-4.2032470446429215e-06,0.0,41,0.0015069263754412532,0.0009388357866555452,1.5993509805412032e-05,-3.843258582492126e-06,0.0,43,0.0014072703197598457,0.0010305432369932532,1.5640338460798375e-05,0.0,42.0
13,651,0.0011255849385634065,0.0010616170475259423,1.5320687452913262e-05,-4.322504992160248e-06,0.0,39,0.001392017351463437,0.000882911030203104,1.6262078133877367e-05,-3.897452188539319e-06,0.0,39,0.0012588011450134218,0.0009722640388645232,1.5791382793395314e-05,0.0,39.0
14,701,0.000966643332503736,0.0009925513295456767,1.5393128705909476e-05,-4.387668923300225e-06,0.0,36,0.0012826044112443924,0.0008393723983317614,1.659376903262455e-05,-3.933903826691676e-06,0.0,39,0.0011246238718740642,0.000915961863938719,1.5993448869267013e-05,0.0,37.5
15,751,0.0008507831953465939,0.0009275645716115832,1.5488980352529325e-05,-4.445397280505858e-06,0.0,34,0.0011703786440193653,0.0007968159625306726,1.687652365944814e-05,-3.94037988371565e-06,0.0,39,0.0010105809196829796,0.0008621902670711279,1.6182752005988732e-05,0.0,36.5
16,801,0.0007587663130834699,0.0008746261009946465,1.556989627715666e-05,-4.490873834583908e-06,0.0,33,0.0010402105981484056,0.0007549079018644989,1.711368895485066e-05,-3.9323635974142235e-06,0.0,39,0.0008994884556159377,0.0008147670014295727,1.634179261600366e-05,0.0,36.0
17,851,0.0006979916943237185,0.0008186981431208551,1.5640665878891014e-05,-4.496842848311644e-06,0.0,31,0.0008948474423959851,0.0007089687278494239,1.730505027808249e-05,-3.921273673768155e-06,0.0,39,0.0007964195683598518,0.0007638334354851395,1.6472858078486752e-05,0.0,35.0
18,901,0.0006563393399119377,0.0007769145886413753,1.5733769032522105e-05,-4.4829184844275005e-06,0.0,31,0.0007576019270345569,0.0006586125819012523,1.7471871615271084e-05,-3.909133283741539e-06,0.0,39,0.0007069706334732473,0.0007177635852713138,1.6602820323896594e-05,0.0,35.0
19,951,0.0006302775582298636,0.0007384262280538678,1.5828522009542212e-05,-4.43512271885993e-06,0.0,29,0.0006604366935789585,0.000597323989495635,1.7612319425097667e-05,-3.879617906932253e-06,0.0,38,0.0006453571259044111,0.0006678751087747514,1.672042071731994e-05,0.0,33.5
20,1001,0.0005972749786451459,0.0007040103664621711,1.5918223652988672e-05,-4.359893864602782e-06,0.0,29,0.000582307402510196,0.0005449004238471389,1.7869977455120534e-05,-3.854485839838162e-06,0.0,36,0.0005897911905776709,0.000624455395154655,1.6894100554054603e-05,0.0,32.5
21,1051,0.000580312917008996,0.0006708580767735839,1.5970354070304893e-05,-4.2664228203648236e-06,0.0,29,0.0005295148002915084,0.0005021617980673909,1.8162259948439896e-05,-3.845674655167386e-06,0.0,36,0.0005549138586502522,0.0005865099374204874,1.7066307009372395e-05,0.0,32.5
22,1101,0.0005719532491639256,0.0006431335350498557,1.5994477507774718e-05,-4.160874141234672e-06,0.0,29,0.0004867922980338335,0.0004651465860661119,1.844258076744154e-05,-3.856697730952874e-06,0.0,35,0.0005293727735988796,0.0005541400605579838,1.721852913760813e-05,0.0,32.0
23,1151,0.0005598552525043488,0.0006135834264568985,1.599576535227243e-05,-4.056675606989302e-06,0.0,29,0.0004535511543508619,0.00042525274329818785,1.874792724265717e-05,-3.873863988701487e-06,0.0,35,0.0005067032034276053,0.0005194180848775432,1.73718462974648e-05,0.0,32.0
24,1201,0.0005491611082106829,0.0005880596581846476,1.5981866454239935e-05,-3.9610813473700546e-06,0.0,29,0.0004526450065895915,0.00039952952647581697,1.90364989975933e-05,-3.893116627295967e-06,0.0,34,0.0005009030574001372,0.0004937945923302323,1.7509182725916617e-05,0.0,31.5
