,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,epoch_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,decoder_avg,sindy_x_avg,reg_avg,sindy_z_avg,active_coeffs_avg
0,1.0,0.31652626395225525,0.0013918449403718114,9.990521903091576e-06,0.0,60.0,1.0,0.2973269820213318,0.0011676476569846272,9.990781109081581e-06,0.0,60.0,0.3069266229867935,0.0012797462986782193,9.990651506086579e-06,0.0,60.0
1,51.0,0.09749440848827362,0.0013915892923250794,9.522344043944031e-06,0.0,60.0,51.0,0.0974169671535492,0.0011911004548892379,9.703779142000712e-06,0.0,60.0,0.09745568782091141,0.0012913448736071587,9.613061592972372e-06,0.0,60.0
2,101.0,0.0852295532822609,0.0013934168964624405,9.059622243512422e-06,0.0,60.0,101.0,0.08379921317100525,0.0011878343066200614,9.543740816297941e-06,0.0,60.0,0.08451438322663307,0.001290625601541251,9.301681529905181e-06,0.0,60.0
3,151.0,0.05159211903810501,0.001405053655616939,8.673613592691254e-06,0.0,60.0,151.0,0.05120137333869934,0.0011727748205885291,9.487654097029008e-06,0.0,60.0,0.051396746188402176,0.001288914238102734,9.080633844860131e-06,0.0,60.0
4,201.0,0.03887198865413666,0.0013966761762276292,7.947396625240799e-06,0.0,60.0,201.0,0.04112318903207779,0.0011713383719325066,9.393478649144527e-06,0.0,60.0,0.039997588843107224,0.0012840072740800679,8.670437637192663e-06,0.0,60.0
5,251.0,0.03268890455365181,0.0014213636750355363,7.736525731161237e-06,0.0,60.0,251.0,0.03670848533511162,0.0011762584326788783,9.301558748120442e-06,0.0,60.0,0.034698694944381714,0.0012988110538572073,8.51904223964084e-06,0.0,60.0
6,261.0,0.03231937810778618,0.001397419604472816,7.09624373484985e-06,0.0,60.0,261.0,0.036636631935834885,0.0011639063013717532,9.177472747978754e-06,0.0,60.0,0.03447800502181053,0.0012806629529222846,8.136858241414302e-06,0.0,60.0
7,311.0,0.029084831476211548,0.001461211359128356,6.811793355154805e-06,0.0,60.0,311.0,0.03399929404258728,0.001167772919870913,9.075530215341132e-06,0.0,60.0,0.031542062759399414,0.0013144921394996345,7.943661785247969e-06,0.0,60.0
8,321.0,0.0274223480373621,0.0013958759373053908,5.477109425555682e-06,0.0,50.0,321.0,0.03310374543070793,0.00114345527254045,8.867621545505244e-06,0.0,60.0,0.030263046734035015,0.0012696656049229205,7.172365485530463e-06,0.0,55.0
9,371.0,0.0170560572296381,0.0015104352496564388,5.17755324835889e-06,0.0,50.0,371.0,0.026996063068509102,0.0012070926604792476,8.780399184615817e-06,0.0,60.0,0.0220260601490736,0.0013587639550678432,6.978976216487354e-06,0.0,55.0
10,381.0,0.016014892607927322,0.0013844376662746072,4.189285391476005e-06,0.0,40.0,381.0,0.025084948167204857,0.0011371884029358625,8.389397407881916e-06,0.0,56.0,0.02054992038756609,0.0012608130346052349,6.2893413996789604e-06,0.0,48.0
11,431.0,0.012458442710340023,0.0013864014763385057,4.009620624856325e-06,0.0,40.0,431.0,0.015580041334033012,0.001132710138335824,8.34907314128941e-06,0.0,56.0,0.014019242022186518,0.0012595558073371649,6.179346883072867e-06,0.0,48.0
12,441.0,0.015671616420149803,0.001318041468039155,3.280155851825839e-06,0.0,33.0,441.0,0.016141662374138832,0.001090067788027227,7.894614100223407e-06,0.0,52.0,0.015906639397144318,0.001204054628033191,5.587384976024623e-06,0.0,42.5
13,491.0,0.011240148916840553,0.0013016711454838514,3.146022208966315e-06,0.0,33.0,491.0,0.012893774546682835,0.001080852234736085,7.760881089780014e-06,0.0,52.0,0.012066961731761694,0.0011912616901099682,5.453451649373164e-06,0.0,42.5
14,501.0,0.012870963662862778,0.0012877618428319693,2.78509014606243e-06,0.0,24.0,501.0,0.01752600260078907,0.001057570450939238,7.4630675044318195e-06,0.0,47.0,0.015198483131825924,0.0011726661468856037,5.124078825247125e-06,0.0,35.5
15,551.0,0.010293150320649147,0.0012812832137569785,2.750173962340341e-06,0.0,24.0,551.0,0.012035228312015533,0.0010430108522996306,7.369458671746543e-06,0.0,47.0,0.01116418931633234,0.0011621470330283046,5.059816317043442e-06,0.0,35.5
16,561.0,0.014070599339902401,0.001258077914826572,2.5924246074282564e-06,0.0,21.0,561.0,0.015366246923804283,0.0010190035682171583,7.25886684449506e-06,0.0,44.0,0.014718423131853342,0.0011385407415218651,4.925645725961658e-06,0.0,32.5
17,611.0,0.009787391871213913,0.0012687800917774439,2.5809249564190395e-06,0.0,21.0,611.0,0.011433984152972698,0.0010067812399938703,7.198715593403904e-06,0.0,44.0,0.010610688012093306,0.001137780665885657,4.889820274911472e-06,0.0,32.5
18,621.0,0.01411740668118,0.001279614632949233,2.570395508882939e-06,0.0,20.0,621.0,0.015269475989043713,0.0009890659712255,7.236076271510683e-06,0.0,41.0,0.014693441335111856,0.0011343403020873666,4.903235890196811e-06,0.0,30.5
19,671.0,0.009444165974855423,0.0012631287099793553,2.565442173363408e-06,0.0,20.0,671.0,0.010859359055757523,0.0009753325139172375,7.204029316199012e-06,0.0,41.0,0.010151762515306473,0.0011192306119482964,4.88473574478121e-06,0.0,30.5
20,681.0,0.014459381811320782,0.00124842650257051,2.529313178456505e-06,0.0,17.0,681.0,0.01430706400424242,0.0009648709092289209,7.3989585871458985e-06,0.0,41.0,0.014383222907781601,0.0011066487058997154,4.964135882801202e-06,0.0,29.0
21,731.0,0.009199902415275574,0.0012526747304946184,2.587916242191568e-06,0.0,17.0,731.0,0.01040870975703001,0.0009537816513329744,7.368367278104415e-06,0.0,41.0,0.009804306086152792,0.0011032281909137964,4.978141760147992e-06,0.0,29.0
22,741.0,0.013835961930453777,0.0012393429642543197,2.673466042324435e-06,0.0,17.0,741.0,0.014257592149078846,0.0009419138659723103,7.551246653747512e-06,0.0,37.0,0.014046777039766312,0.001090628415113315,5.1123563480359735e-06,0.0,27.0
23,791.0,0.009015869349241257,0.0012439964339137077,2.717860297707375e-06,0.0,17.0,791.0,0.01010850165039301,0.0009313912014476955,7.544943400716875e-06,0.0,37.0,0.009562185499817133,0.0010876938176807016,5.131401849212125e-06,0.0,27.0
