,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,coeff_3
0,0.0,0.03865402564406395,0.0015347639564424753,9.999999747378752e-06,0.0,60,0.0,0.039203573018312454,0.001613292028196156,9.999999747378752e-06,0.0,60,0.0,0.040415070950984955,0.0012465848121792078,9.999999747378752e-06,0.0,60,0.0,0.03755602985620499,0.0010313154198229313,9.999999747378752e-06,0.0,60,0.0
1,50.0,0.009175004437565804,0.0015439303824678063,9.002408660307992e-06,0.0,60,0.0,0.008708841167390347,0.001615740591660142,9.04310309124412e-06,0.0,60,0.0,0.008355523459613323,0.0012811716878786683,9.118595698964782e-06,0.0,60,0.0,0.006652425974607468,0.001038022106513381,9.167676580545958e-06,0.0,60,0.0
2,100.0,0.00444769999012351,0.0016655887011438608,7.985858246684074e-06,0.0,60,0.0,0.004545475356280804,0.0016115056350827217,8.542913747078273e-06,0.0,60,0.0,0.00393654964864254,0.0012584897922351956,8.704692845640238e-06,0.0,60,0.0,0.003362529445439577,0.0010278667323291302,8.732916285225656e-06,0.0,60,0.0
3,150.0,0.003714999882504344,0.0015320491511374712,7.875248229538556e-06,0.0,60,0.0,0.004003791604191065,0.0015924019971862435,8.360969331988599e-06,0.0,60,0.0,0.0032781523186713457,0.0011535005178302526,8.612294550403021e-06,0.0,60,0.0,0.0027860470581799746,0.000907215173356235,8.452532711089589e-06,0.0,60,0.0
4,200.0,0.00347082014195621,0.0013373874826356769,8.047427400015295e-06,0.0,60,0.0,0.0037850060034543276,0.0014055088395252824,8.341698048752733e-06,0.0,60,0.0,0.002486931160092354,0.0009933800902217627,8.56576571095502e-06,0.0,60,0.0,0.002028112532570958,0.0007519369828514755,8.35141236166237e-06,0.0,60,0.0
5,250.0,0.0027972182724624872,0.0012627701507881284,7.957881280162837e-06,0.0,60,0.0,0.003094007959589362,0.001292058383114636,8.223993972933386e-06,0.0,60,0.0,0.0014679584419354796,0.0009154574363492429,8.561334652767982e-06,0.0,60,0.0,0.0011309318942949176,0.0007078988128341734,8.290619007311761e-06,0.0,60,0.0
6,300.0,0.001949879340827465,0.0012480001896619797,7.905250640760642e-06,0.0,60,0.0,0.0017270994139835238,0.0011847747955471277,8.10186338640051e-06,0.0,59,0.0,0.0011105972807854414,0.0007934773457236588,8.507588063366711e-06,0.0,59,0.0,0.0008728177635930479,0.0005893863271921873,8.216396054194774e-06,0.0,58,0.0
7,350.0,0.0013333804672583938,0.0011689141392707825,7.85009342507692e-06,0.0,60,0.0,0.0012829620391130447,0.0009518091101199389,8.036977305891924e-06,0.0,59,0.0,0.0009134585270658135,0.000679315475281328,8.48725267132977e-06,0.0,59,0.0,0.0007110605365596712,0.0004136164207011461,8.168692147592083e-06,0.0,58,0.0
8,400.0,0.0010218119714409113,0.0010436283191666007,7.659940820303746e-06,0.0,57,0.0,0.0010216761147603393,0.0006520678289234638,8.09387620392954e-06,0.0,54,0.0,0.0007465814123861492,0.0005702182534150779,8.547706784156617e-06,0.0,57,0.0,0.0005692834383808076,0.00033035126398317516,8.024773705983534e-06,0.0,52,0.0
9,450.0,0.0008067922899499536,0.0008573287632316351,7.4703675636556e-06,0.0,57,0.0,0.0008213387918658555,0.0004883196670562029,8.043488378461916e-06,0.0,54,0.0,0.0005987162003293633,0.00044384622015058994,8.657256330479868e-06,0.0,57,0.0,0.00045075753587298095,0.00028287997702136636,7.785073648847174e-06,0.0,52,1.0
10,500.0,0.0006616892642341554,0.0006255299667827785,7.339204330492066e-06,0.0,56,0.0,0.0006770988693460822,0.00041569065069779754,7.959283720992971e-06,0.0,51,1.0,0.00048393403994850814,0.000337414036039263,8.64705452841008e-06,0.0,55,1.0,0.0003669713332783431,0.00024885660968720913,7.588364496768918e-06,0.0,51,0.0
11,550.0,0.0005520362756215036,0.0004831685801036656,7.241928415169241e-06,0.0,56,0.0,0.0005768963019363582,0.00036950164940208197,7.855065632611513e-06,0.0,51,1.0,0.00040138987242244184,0.000268959382083267,8.517947208019905e-06,0.0,55,1.0,0.0003121114568784833,0.00022191228345036507,7.43269356462406e-06,0.0,51,0.0
12,600.0,0.00047409572289325297,0.0003943464544136077,7.157680101954611e-06,0.0,49,0.0,0.0005062239360995591,0.00033839058596640825,7.736295629001688e-06,0.0,45,2.0,0.0003420645953156054,0.00023292162222787738,8.356791113328654e-06,0.0,53,1.0,0.0002730524865910411,0.00020089653844479471,7.38203561923001e-06,0.0,49,1.0
13,650.0,0.00042039339314214885,0.0003485096385702491,7.111534159776056e-06,0.0,49,0.0,0.00045241726911626756,0.0003139051841571927,7.700485184614081e-06,0.0,45,2.0,0.00029699146398343146,0.00021078638383187354,8.211283784476109e-06,0.0,53,1.0,0.00024344581470359117,0.0001849577238317579,7.382953754131449e-06,0.0,49,1.0
14,700.0,0.0003803535073529929,0.00031449904781766236,7.0746359597251285e-06,0.0,48,0.0,0.00041015996248461306,0.0002968492335639894,7.693859515711665e-06,0.0,44,2.0,0.0002637827710714191,0.00019686436280608177,8.137278200592846e-06,0.0,49,1.0,0.0002211939572589472,0.00017069933528546244,7.423617262247717e-06,0.0,46,1.0
15,750.0,0.0003482000611256808,0.00029417811310850084,7.044935045996681e-06,0.0,48,0.0,0.00037631229497492313,0.0002834913320839405,7.690874554100446e-06,0.0,44,2.0,0.00023709337983746082,0.00018391119374427944,8.120096936181653e-06,0.0,49,1.0,0.0002019574458245188,0.00016032964049372822,7.472633569705067e-06,0.0,46,1.0
16,800.0,0.0003213319869246334,0.0002816248161252588,7.014363291091286e-06,0.0,46,0.0,0.0003484229964669794,0.00027223039069212973,7.695917702221777e-06,0.0,42,2.0,0.0002147110499208793,0.00017541252600494772,8.13670612842543e-06,0.0,44,1.0,0.00018754623306449503,0.00015169504331424832,7.527215075242566e-06,0.0,44,1.0
17,850.0,0.0002992318768519908,0.00027001596754416823,6.988891982473433e-06,0.0,46,0.0,0.00032479988294653594,0.00026127949240617454,7.698741683270782e-06,0.0,42,2.0,0.00019645786960609257,0.0001681916619418189,8.182009878510144e-06,0.0,44,1.0,0.00017492617189418525,0.00014489120803773403,7.590712812088896e-06,0.0,44,1.0
18,900.0,0.0002805481490213424,0.00026170266210101545,6.982036211411469e-06,0.0,42,0.0,0.00030475531821139157,0.00025080362684093416,7.777728569635656e-06,0.0,40,2.0,0.0001808252272894606,0.0001622234412934631,8.217562935897149e-06,0.0,42,1.0,0.00016468990361317992,0.00013737226254306734,7.651527084817644e-06,0.0,40,1.0
19,950.0,0.00026394863380119205,0.00025376779376529157,6.9984630499675404e-06,0.0,42,0.0,0.00028783685411326587,0.0002408473374089226,7.849833309592213e-06,0.0,40,2.0,0.00016798332217149436,0.0001575186033733189,8.258014531747904e-06,0.0,42,1.0,0.0001554583286633715,0.00013237108942121267,7.730741344857961e-06,0.0,40,1.0
20,1000.0,0.0002494432555977255,0.0002471760381013155,7.0228588811005466e-06,0.0,40,0.0,0.00027204357320442796,0.00023057358339428902,7.914823981991503e-06,0.0,38,2.0,0.00015585374785587192,0.0001531742891529575,8.284951036330312e-06,0.0,42,1.0,0.00014737692254129797,0.00012764704297296703,7.803197149769403e-06,0.0,40,1.0
21,1050.0,0.00023642774613108486,0.00024231318093370646,7.063801149342908e-06,0.0,40,0.0,0.00025853418628685176,0.00022025791986379772,7.983631803654134e-06,0.0,38,2.0,0.0001460602943552658,0.00014904105046298355,8.299306500703096e-06,0.0,42,1.0,0.00013987813144922256,0.0001239681150764227,7.861878657422494e-06,0.0,40,1.0
22,1100.0,0.00022518790501635522,0.00023661760496906936,7.0975220296531916e-06,0.0,37,1.0,0.00024539619334973395,0.00021034824021626264,8.070933290582616e-06,0.0,37,2.0,0.00014119916886556894,0.00014520254626404494,8.305477422254626e-06,0.0,42,1.0,0.00013388336810749024,0.00012087921641068533,7.935112989798654e-06,0.0,39,1.0
23,1150.0,0.00021514292166102678,0.00023036931816022843,7.141268724808469e-06,0.0,37,1.0,0.00023416154726874083,0.0001998876832658425,8.148914275807329e-06,0.0,37,2.0,0.00012886612967122346,0.0001400250766891986,8.302688002004288e-06,0.0,42,1.0,0.0001268039341084659,0.00011693298438331112,7.985819138411898e-06,0.0,39,1.0
24,1200.0,0.00020489483722485602,0.00022410570818465203,7.179925887612626e-06,0.0,36,1.0,0.00022392370738089085,0.00018996694416273385,8.22014408186078e-06,0.0,37,2.0,0.00012110677926102653,0.00013516258331947029,8.293643986689858e-06,0.0,40,1.0,0.00012062997848261148,0.00011398102651583031,8.02750037109945e-06,0.0,38,1.0
25,1250.0,0.00019563469686545432,0.00021837223903276026,7.223926786537049e-06,0.0,36,1.0,0.00021429981279652566,0.0001808706729207188,8.286669071821962e-06,0.0,37,2.0,0.0001143978806794621,0.00013097567716613412,8.290995538118295e-06,0.0,40,1.0,0.00011522970453370363,0.00011072439519921318,8.07556261861464e-06,0.0,38,1.0
26,1300.0,0.0001878727343864739,0.00021126912906765938,7.257523975567892e-06,0.0,35,1.0,0.000205344200367108,0.0001745673071127385,8.350415555469226e-06,0.0,34,2.0,0.0001083881506929174,0.0001271395740332082,8.286781849164981e-06,0.0,38,1.0,0.00011041772086173296,0.00010785349149955437,8.120983693515882e-06,0.0,37,1.0
