,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,decoder_avg,sindy_x_avg,reg_avg,sindy_z_avg,active_coeffs_avg
12,600,0.0008433721959590912,0.0004244412702973932,0.00041493482422083616,3.996077339252224e-06,0.0,21,0.0007373980479314923,0.0003949995443690568,0.000338777550496161,3.620978759499849e-06,0.0,20,0.0006214535096660256,0.0002535282983444631,0.0003639547503553331,3.970433226641035e-06,0.0,25,0.0005828498979099095,0.00022540742065757513,0.00035366162774153054,3.780881570492056e-06,0.0,24,0.00032459413341712207,0.0003678321882034652,3.842092723971291e-06,0.0,22.5
13,650,0.0007663170690648258,0.0003591562563087791,0.0004031758289784193,3.984941940871067e-06,0.0,21,0.0006809718906879425,0.00034645822597667575,0.00033088764757849276,3.62596051672881e-06,0.0,20,0.0005855579511262476,0.0002386468113400042,0.0003429781354498118,3.933057541871676e-06,0.0,24,0.0005422598915174603,0.000204827927518636,0.0003336977679282427,3.734213123607333e-06,0.0,24,0.00028727230528602377,0.00035268484498374164,3.819543280769722e-06,0.0,22.25
14,700,0.0007584391860291362,0.00036621291656047106,0.00038823834620416164,3.987911441072356e-06,0.0,21,0.0006604890804737806,0.0003313060733489692,0.00032556269434280694,3.6202629871695535e-06,0.0,20,0.0005606251652352512,0.0002239568711956963,0.00033274636371061206,3.921942607121309e-06,0.0,24,0.0005269398679956794,0.00021558403386734426,0.0003076641005463898,3.691785877890652e-06,0.0,22,0.0002842649737431202,0.0003385528762009926,3.8054757283134677e-06,0.0,21.75
15,750,0.0007278023986145854,0.000348627072526142,0.00037519788020290434,3.9774236029188614e-06,0.0,21,0.0006286046700552106,0.0003028894425369799,0.0003221163642592728,3.5988916806672933e-06,0.0,20,0.0005352293374016881,0.00021076349366921932,0.00032059612567536533,3.869695774483262e-06,0.0,23,0.00048293755389750004,0.00019645702559500933,0.00028282159473747015,3.6589294722944032e-06,0.0,21,0.00026468425858183764,0.00032518299121875316,3.776235132590955e-06,0.0,21.25
16,800,0.0006859160494059324,0.0003165584057569504,0.00036538392305374146,3.973716502514435e-06,0.0,20,0.0006064252811484039,0.00028610037406906486,0.00031674845376983285,3.5764535368798533e-06,0.0,18,0.0005106544704176486,0.0001969671866390854,0.00030986947240307927,3.817769083980238e-06,0.0,23,0.00046862688031978905,0.00020185924950055778,0.0002631396346259862,3.6280046060710447e-06,0.0,21,0.0002503713039914146,0.00031378537096315995,3.7489859323613928e-06,0.0,20.5
17,850,0.000671874382533133,0.00031126453541219234,0.00035665923496708274,3.950601239921525e-06,0.0,20,0.0006218255148269236,0.0003022999153472483,0.0003160273772664368,3.498197202134179e-06,0.0,17,0.0004803475458174944,0.00017727665544953197,0.00029929165611974895,3.7792442526551895e-06,0.0,22,0.0004504878306761384,0.0002001661923713982,0.00024669687263667583,3.6247799926059088e-06,0.0,21,0.0002477518246450927,0.0003046687852474861,3.7132056718292006e-06,0.0,20.0
18,900,0.0006640499923378229,0.0003126631781924516,0.0003474664699751884,3.920350536645856e-06,0.0,20,0.0005888264277018607,0.0002756503236014396,0.00030972264357842505,3.4534564292698633e-06,0.0,17,0.00045589276123791933,0.00016422540647909045,0.0002878704108297825,3.796950295509305e-06,0.0,21,0.0004262146831024438,0.0001917143090395257,0.00023089443857315928,3.60593344339577e-06,0.0,21,0.00023606330432812683,0.0002939884907391388,3.6941726762051985e-06,0.0,19.75
19,950,0.0006608422263525426,0.0003124206850770861,0.00034451467217877507,3.906849087798037e-06,0.0,20,0.0005721407360397279,0.0002657783916220069,0.0003029403160326183,3.4220081488456344e-06,0.0,17,0.0004313098615966737,0.00015409555635415018,0.0002734299923758954,3.784305135923205e-06,0.0,21,0.0004077714984305203,0.0001873010623967275,0.00021690096764359623,3.5694727102963952e-06,0.0,21,0.00022989892386249267,0.00028444648705772124,3.670658770715818e-06,0.0,19.75
20,1000,0.0006601473432965577,0.00032114252098836005,0.00033511390211060643,3.890898824465694e-06,0.0,20,0.0005621691234409809,0.00026271535898558795,0.0002960788260679692,3.3749201975297183e-06,0.0,17,0.00041380224865861237,0.0001489668502472341,0.0002610702649690211,3.765135716093937e-06,0.0,21,0.0003894225519616157,0.00018104728951584548,0.00020483712432906032,3.538118107826449e-06,0.0,21,0.0002284680049342569,0.00027427502936916426,3.6422682114789495e-06,0.0,19.75
21,1050,0.0006554197752848268,0.00032845124951563776,0.00032309896778315306,3.8695397961419076e-06,0.0,20,0.0005728396354243159,0.0002798635105136782,0.00028965025558136404,3.3258770599786658e-06,0.0,17,0.00039519622805528343,0.00014222122263163328,0.00024922998272813857,3.7450097352120792e-06,0.0,21,0.0003736217331606895,0.00017605233006179333,0.0001940615475177765,3.5078596738458145e-06,0.0,20,0.00023164707818068564,0.00026401018840260804,3.6120715662946168e-06,0.0,19.5
22,1100,0.0006407223409041762,0.0003244170220568776,0.00031245488207787275,3.850421308015939e-06,0.0,20,0.0005464412388391793,0.0002627092762850225,0.0002804079558700323,3.323990313219838e-06,0.0,17,0.00038880459032952785,0.0001469683920731768,0.00023812979634385556,3.7063991840113886e-06,0.0,20,0.0003600066702347249,0.0001688434713287279,0.00018767127767205238,3.491904863039963e-06,0.0,20,0.0002257345404359512,0.00025466597799095325,3.593178917071782e-06,0.0,19.25
23,1150,0.000638470402918756,0.00033552577951923013,0.00029909759177826345,3.847073003271362e-06,0.0,19,0.0005486697773449123,0.0002716956951189786,0.00027363369008526206,3.3403530323994346e-06,0.0,17,0.00037040174356661737,0.0001392662525177002,0.0002274869621032849,3.6485548662312794e-06,0.0,20,0.0003508871013764292,0.00016585784032940865,0.00018155260477215052,3.476641950328485e-06,0.0,20,0.0002280863918713294,0.00024544271218474023,3.5781557130576402e-06,0.0,19.0
24,1200,0.0006231290171854198,0.0003290273598395288,0.00029025718686170876,3.844432740152115e-06,0.0,18,0.0005474918289110065,0.00027608493110165,0.0002680419129319489,3.3649666875135154e-06,0.0,16,0.000367457396350801,0.00014685567293781787,0.00021698986529372633,3.6118426578468643e-06,0.0,19,0.0003468535724096,0.00016714110097382218,0.00017624700558371842,3.4654528917599237e-06,0.0,20,0.0002297772662132047,0.0002378839926677756,3.5716737443181046e-06,0.0,18.25
25,1250,0.0006168455583974719,0.0003327886515762657,0.0002802231174428016,3.833778919215547e-06,0.0,17,0.0005474736099131405,0.0002804262039717287,0.0002636551798786968,3.392227881704457e-06,0.0,16,0.00034826385672204196,0.0001366402575513348,0.00020803041115868837,3.5931975617131684e-06,0.0,19,0.00033684802474454045,0.0001630590413697064,0.000170342274941504,3.4467034311091993e-06,0.0,19,0.0002282285386172589,0.0002305627458554227,3.566476948435593e-06,0.0,17.75
26,1300,0.0005743136280216277,0.0002961319696623832,0.00027433811919763684,3.843523245450342e-06,0.0,16,0.0005570374196395278,0.00029835858731530607,0.000255263177677989,3.41561394634482e-06,0.0,14,0.0003633236337918788,0.00015843225992284715,0.0002013080520555377,3.58333613803552e-06,0.0,18,0.0003307695733383298,0.00016092463920358568,0.0001664042501943186,3.4406846225465415e-06,0.0,19,0.00022846186402603053,0.00022432839978137054,3.570789488094306e-06,0.0,16.75
27,1350,0.000576758582610637,0.00030597427394241095,0.00026692592655308545,3.8584253161388915e-06,0.0,15,0.0005619777366518974,0.0003083439660258591,0.00025019521126523614,3.438557087065419e-06,0.0,14,0.00033213107963092625,0.00013629348541144282,0.00019225462165195495,3.58297438651789e-06,0.0,17,0.0003255009069107473,0.0001593660854268819,0.0001626963639864698,3.4384499940642854e-06,0.0,19,0.0002274944527016487,0.00021801803086418658,3.5796016959466215e-06,0.0,16.25
28,1400,0.0005426437710411847,0.0002821598609443754,0.0002566095208749175,3.874384219670901e-06,0.0,15,0.0005639501614496112,0.0003131307603325695,0.00024735991610214114,3.459541403572075e-06,0.0,14,0.0003263492544647306,0.00013546385162044317,0.00018729646399151534,3.5889445371140027e-06,0.0,17,0.0003260657249484211,0.00016341573791578412,0.0001592169573996216,3.43302485816821e-06,0.0,19,0.00022354255270329304,0.0002126207145920489,3.588973754631297e-06,0.0,16.25
29,1450,0.0005338946357369423,0.0002788773854263127,0.0002511347411200404,3.882510554831242e-06,0.0,15,0.0005814662436023355,0.0003331758489366621,0.0002448171144351363,3.473227025097003e-06,0.0,13,0.0003296518698334694,0.00014431177987717092,0.000181737937964499,3.6021594951307634e-06,0.0,16,0.0003186908143106848,0.00015951857494655997,0.0001557468785904348,3.425373051868519e-06,0.0,19,0.0002289708972966764,0.00020835916802752763,3.595817531731882e-06,0.0,15.75
30,1500,0.0005207460490055382,0.0002708757820073515,0.00024598860181868076,3.881667453242699e-06,0.0,15,0.0005914564244449139,0.0003458655846770853,0.0002421101089566946,3.4806948860932607e-06,0.0,13,0.0003559202014002949,0.00017427159764338285,0.00017803710943553597,3.611488637034199e-06,0.0,16,0.00032157491659745574,0.00016512088768649846,0.00015303857799153775,3.4154572858824395e-06,0.0,19,0.00023903346300357953,0.00020479359955061227,3.5973270655631495e-06,0.0,15.75
31,1550,0.0005068347090855241,0.0002659415767993778,0.00023701803002040833,3.875115908158477e-06,0.0,15,0.0006048313807696104,0.0003604742814786732,0.0002408736472716555,3.4834392863558605e-06,0.0,13,0.00032251281663775444,0.00014437708887271583,0.00017453497275710106,3.600765921873972e-06,0.0,15,0.0003376025415491313,0.00018641135829966515,0.00014779233606532216,3.3988210361712845e-06,0.0,17,0.000239301076362608,0.00020005474652862176,3.5895355381398986e-06,0.0,15.0
32,1600,0.0004895080346614122,0.00025864061899483204,0.00022700575937051326,3.861698587570572e-06,0.0,15,0.0006057870341464877,0.00036414407077245414,0.0002381616795901209,3.4812894682545448e-06,0.0,13,0.00031583503005094826,0.00014157296391204,0.00017065358406398445,3.608487531892024e-06,0.0,15,0.00032542957342229784,0.00017888138245325536,0.00014317894238047302,3.3692708711896557e-06,0.0,15,0.00023580975903314538,0.0001947499913512729,3.580186614726699e-06,0.0,14.5
33,1650,0.00046422891318798065,0.00024625950027257204,0.00021414228831417859,3.827125055977376e-06,0.0,14,0.0006181708886288106,0.00037821877049282193,0.0002364763931836933,3.4757506455207476e-06,0.0,13,0.00030929388594813645,0.0001362423790851608,0.00016945271636359394,3.598770945245633e-06,0.0,14,0.00031779109849594533,0.0001742722379276529,0.00014014601765666157,3.372833134562825e-06,0.0,15,0.00023374822194455191,0.00019005435387953185,3.5686199453266454e-06,0.0,14.0
34,1700,0.0004543874238152057,0.000242711539613083,0.0002078914549201727,3.784442696996848e-06,0.0,13,0.0006166232633404434,0.00038004369707778096,0.00023311309632845223,3.4664337817957858e-06,0.0,13,0.00030700210481882095,0.00013619383389595896,0.0001672300713835284,3.5782099985226523e-06,0.0,14,0.0003085691132582724,0.00016758409037720412,0.00013761332957074046,3.371685579622863e-06,0.0,15,0.00023163329024100676,0.00018646198805072345,3.5501930142345373e-06,0.0,13.75
35,1750,0.0004465001402422786,0.00024120061425492167,0.0002015138161368668,3.7857012102904264e-06,0.0,13,0.0006083900225348771,0.00037442438770085573,0.0002305119705852121,3.4536433304310776e-06,0.0,13,0.0003065726486966014,0.00013861343904864043,0.00016438202874269336,3.5771865896094823e-06,0.0,14,0.0003065138007514179,0.00016776756092440337,0.00013538013445213437,3.3660803637758363e-06,0.0,15,0.0002305015004822053,0.00018294698747922666,3.5456528735267057e-06,0.0,13.75
36,1800,0.00043770988122560084,0.00023878917272668332,0.00019514808082021773,3.7726365462731337e-06,0.0,12,0.0006130590918473899,0.0003817002580035478,0.0002279198815813288,3.4389408938295674e-06,0.0,13,0.00029969331808388233,0.00013457160093821585,0.00016154599143192172,3.5757129808189347e-06,0.0,14,0.00030102807795628905,0.00016379797307308763,0.00013388239312916994,3.347689471411286e-06,0.0,14,0.00022971475118538365,0.00017962408674065955,3.5337449730832304e-06,0.0,13.25
37,1850,0.0004320569278206676,0.00023806776152923703,0.00019022512424271554,3.764017492358107e-06,0.0,12,0.0006244805408641696,0.00039515976095572114,0.00022589425498154014,3.4265194699401036e-06,0.0,13,0.00029533132328651845,0.00013367980136536062,0.00015807966701686382,3.5718660456041107e-06,0.0,14,0.0002990260545630008,0.00016337890701834112,0.0001322951866313815,3.351965233377996e-06,0.0,14,0.00023257155771716498,0.00017662355821812525,3.5285920603200793e-06,0.0,13.25
38,1900,0.0004244083247613162,0.00023682598839513958,0.0001838286261772737,3.753712007892318e-06,0.0,12,0.0006208513514138758,0.00039424034184776247,0.00022319196432363242,3.4190611586382147e-06,0.0,13,0.00029504395206458867,0.00013551177107729018,0.0001559641386847943,3.568056172298384e-06,0.0,14,0.0002904354769270867,0.00015640842320863158,0.0001306744379689917,3.352619842189597e-06,0.0,14,0.00023074663113220595,0.00017341479178867303,3.5233622952546284e-06,0.0,13.25
39,1950,0.00041390478145331144,0.00022984070528764278,0.00018032376829069108,3.7402965062938165e-06,0.0,12,0.000635124568361789,0.0004110020527150482,0.0002207113866461441,3.4111224067601142e-06,0.0,13,0.0002961863065138459,0.00013936679170001298,0.000153257860802114,3.561679704944254e-06,0.0,14,0.0002933268260676414,0.00016048738325480372,0.0001294886169489473,3.3507994885439985e-06,0.0,14,0.00023517423323937692,0.00017094540817197412,3.5159745266355458e-06,0.0,13.25
40,2000,0.00040735770016908646,0.0002272609854117036,0.00017637285054661334,3.7238730783428764e-06,0.0,12,0.0006424874300137162,0.0004208513128105551,0.00021823460701853037,3.4015306482615415e-06,0.0,13,0.0002893892815336585,0.00013565154222305864,0.00015018167323432863,3.556067213139613e-06,0.0,14,0.00029202320729382336,0.00016033925930969417,0.00012833665823563933,3.3473040730314096e-06,0.0,14,0.00023602577493875287,0.00016828144725877792,3.50719375319386e-06,0.0,13.25
41,2050,0.0004021403437945992,0.00022596659255214036,0.00017246983770746738,3.703890342876548e-06,0.0,12,0.000649383058771491,0.00043018549331463873,0.00021580762404482812,3.3899843856488587e-06,0.0,13,0.0002894495555665344,0.00013698665134143084,0.00014891456521581858,3.548333324943087e-06,0.0,14,0.000284865585854277,0.00015377641830127686,0.000127746956422925,3.342208174217376e-06,0.0,14,0.0002367287888773717,0.00016623474584775977,3.4961040569214674e-06,0.0,13.25
42,2100,0.0003858678392134607,0.0002134318056050688,0.00016875547589734197,3.6805556646868354e-06,0.0,12,0.0006583908689208329,0.00044158147647976875,0.00021343299886211753,3.3764110867195996e-06,0.0,13,0.00028690160252153873,0.0001352738036075607,0.0001480871724197641,3.5406192182563245e-06,0.0,14,0.0002835200575646013,0.00015313050244003534,0.000127078834339045,3.3106919090641895e-06,0.0,13,0.0002358543970331084,0.00016433862037956715,3.4770694696817372e-06,0.0,13.0
43,2150,0.00037210650043562055,0.00020374964515212923,0.00016470243281219155,3.6544179238262586e-06,0.0,12,0.0006673625903204083,0.00045295385643839836,0.00021104776533320546,3.3609771890041884e-06,0.0,13,0.00028395780827850103,0.00013669420150108635,0.00014373216254170984,3.531471293172217e-06,0.0,14,0.00028316109091974795,0.00015355896903201938,0.00012629303091671318,3.3090668694057968e-06,0.0,13,0.00023673916803090833,0.000161443847900955,3.463983318852115e-06,0.0,13.0
44,2200,0.00036927926703356206,0.000203387564397417,0.0001622662675799802,3.6254368751542643e-06,0.0,12,0.0006745689315721393,0.00046260972158052027,0.00020861541270278394,3.343777962072636e-06,0.0,13,0.0002847899741027504,0.00013779907021671534,0.0001434690348105505,3.5218813536630478e-06,0.0,14,0.0002818083739839494,0.00015270287985913455,0.00012579152826219797,3.3139569950435543e-06,0.0,13,0.0002391248090134468,0.00016003556083887815,3.4512632964833756e-06,0.0,13.0
45,2250,0.0003572386340238154,0.00019366310152690858,0.0001599813549546525,3.59419095730118e-06,0.0,12,0.0006808568141423166,0.000471252657007426,0.00020627988851629198,3.3242918107134756e-06,0.0,13,0.00028208180447109044,0.0001376433065161109,0.00014092847413849086,3.5100188142678235e-06,0.0,14,0.0002885076974052936,0.00016016210429370403,0.0001250287314178422,3.316889660709421e-06,0.0,13,0.00024068029233603738,0.00015805461225681938,3.436347810747975e-06,0.0,13.0
