,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,coeff_3,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,coeff_4,decoder_5,sindy_x_5,reg_5,sindy_z_5,active_coeffs_5,coeff_5
0,0.0,1.785210371017456,0.0072126202285289764,4.999999873689376e-05,0.0,60,0.0,1.5593366622924805,0.005310994107276201,4.999999873689376e-05,0.0,60,0.0,1.7994599342346191,0.0067448606714606285,4.999999873689376e-05,0.0,60,0.0,1.667731761932373,0.005439153406769037,4.999999873689376e-05,0.0,60,0.0,2.1082005500793457,0.006014435086399317,4.999999873689376e-05,0.0,60,0.0,1.8387571573257446,0.004470936954021454,4.999999873689376e-05,0.0,60,0.0
1,50.0,0.07502366602420807,0.006989669054746628,2.2775933757657185e-05,0.0,60,2.0,0.05526112765073776,0.004388198722153902,4.069137139595114e-05,0.0,60,0.0,0.05416768416762352,0.005143450107425451,4.030182753922418e-05,0.0,60,0.0,0.04937432333827019,0.004967749584466219,3.535649011610076e-05,0.0,60,1.0,0.059336643666028976,0.004800993483513594,4.0748389437794685e-05,0.0,60,0.0,0.04042040556669235,0.003778899786993861,3.28211608575657e-05,0.0,60,0.0
2,100.0,0.04197763651609421,0.005410023033618927,2.6342666387790814e-05,0.0,52,0.0,0.035303615033626556,0.002997645875439048,4.779420487466268e-05,0.0,56,0.0,0.03629230707883835,0.003472785232588649,4.451844870345667e-05,0.0,56,0.0,0.033055223524570465,0.004053185228258371,3.899174407706596e-05,0.0,55,0.0,0.0352746918797493,0.0027120672166347504,4.513611565926112e-05,0.0,56,0.0,0.025987135246396065,0.002475879853591323,3.232420567655936e-05,0.0,56,0.0
3,150.0,0.03257923945784569,0.0036820045206695795,3.0380369935301133e-05,0.0,51,1.0,0.024866454303264618,0.00230286899022758,4.9781308916863054e-05,0.0,56,0.0,0.031123630702495575,0.0029615690000355244,4.5110617065802217e-05,0.0,56,1.0,0.02708934247493744,0.003455648897215724,4.589352465700358e-05,0.0,55,0.0,0.011242588981986046,0.002803559647873044,4.48985883849673e-05,0.0,56,1.0,0.02059186063706875,0.0018698459025472403,2.8238766390131786e-05,0.0,56,0.0
4,200.0,0.011110559105873108,0.002805087249726057,3.4452008549124e-05,0.0,47,1.0,0.0070816874504089355,0.0022934447042644024,5.205176057643257e-05,0.0,53,0.0,0.027456745505332947,0.002667779801413417,4.5661901822313666e-05,0.0,52,1.0,0.02424098737537861,0.0028898436576128006,4.9886359192896634e-05,0.0,51,0.0,0.005931306164711714,0.0023529143072664738,4.421387711772695e-05,0.0,49,1.0,0.013236107304692268,0.001814594492316246,2.667899025254883e-05,0.0,46,1.0
5,250.0,0.0067751104943454266,0.002400699770078063,3.823657607426867e-05,0.0,47,2.0,0.004772997461259365,0.0019559015054255724,5.379674257710576e-05,0.0,53,0.0,0.007990213111042976,0.00256317644380033,4.485158933675848e-05,0.0,52,1.0,0.008377447724342346,0.0022958850022405386,5.23860908288043e-05,0.0,51,0.0,0.004496750421822071,0.0019281553104519844,4.7727502533234656e-05,0.0,48,1.0,0.0036264159716665745,0.002000318607315421,2.85289715975523e-05,0.0,46,1.0
6,300.0,0.005396890453994274,0.002120479941368103,4.1533479816280305e-05,0.0,44,1.0,0.003827569540590048,0.0016448072856292129,5.6384400522802025e-05,0.0,47,0.0,0.005521494895219803,0.0022055094595998526,4.482175791054033e-05,0.0,48,1.0,0.005689653102308512,0.0017635682597756386,5.432707257568836e-05,0.0,48,0.0,0.0038031996227800846,0.0016350067453458905,5.37040650669951e-05,0.0,44,1.0,0.0023474479094147682,0.0018738447688519955,3.020690019184258e-05,0.0,43,1.0
7,350.0,0.005096983630210161,0.0018929133657366037,4.449726111488417e-05,0.0,44,1.0,0.003339058253914118,0.0014232860412448645,5.908893945161253e-05,0.0,47,0.0,0.004597350023686886,0.001942778006196022,4.590563548845239e-05,0.0,48,2.0,0.00483324471861124,0.001464166445657611,5.759748091804795e-05,0.0,48,0.0,0.0033388114534318447,0.0014584636082872748,5.972680082777515e-05,0.0,44,1.0,0.001995495753362775,0.0017093420028686523,3.178614497301169e-05,0.0,43,2.0
8,400.0,0.004205005709081888,0.001731076743453741,4.73792570119258e-05,0.0,44,1.0,0.002902755979448557,0.0012478117132559419,6.168214895296842e-05,0.0,44,1.0,0.003968505188822746,0.0017032087780535221,4.7673252993263304e-05,0.0,44,1.0,0.004493359476327896,0.001286617829464376,6.055625271983445e-05,0.0,48,0.0,0.002873834688216448,0.0013463216600939631,6.46497355774045e-05,0.0,44,1.0,0.0016737233381718397,0.001550148706883192,3.42592247761786e-05,0.0,38,2.0
9,450.0,0.003690930549055338,0.0015787547454237938,5.026194412494078e-05,0.0,44,1.0,0.0027001299895346165,0.0011127061443403363,6.39180580037646e-05,0.0,44,1.0,0.0031822980381548405,0.0015030080685392022,4.9460977606941015e-05,0.0,44,2.0,0.0038873611483722925,0.0011640103766694665,6.249426951399073e-05,0.0,48,0.0,0.0023528847377747297,0.0012167872628197074,6.869525532238185e-05,0.0,44,1.0,0.0014644062612205744,0.0014269030652940273,3.689097138703801e-05,0.0,38,2.0
