,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1
29,1450,0.0006705848500132561,0.0006705848500132561,0.0,0.0,0.0,60,0.00010766164632514119,0.00010766164632514119,0.0,0.0,0.0,60
30,1500,0.0007319087162613869,0.0007319087162613869,0.0,0.0,0.0,60,0.00010570250742603093,0.00010570250742603093,0.0,0.0,0.0,60
31,1550,0.0008433667244389653,0.0008433667244389653,0.0,0.0,0.0,60,0.00011107352474937215,0.00011107352474937215,0.0,0.0,0.0,60
32,1600,0.0005734045407734811,0.0005734045407734811,0.0,0.0,0.0,60,0.00014285690849646926,0.00014285690849646926,0.0,0.0,0.0,60
33,1650,0.0005528980400413275,0.0005528980400413275,0.0,0.0,0.0,60,9.605386003386229e-05,9.605386003386229e-05,0.0,0.0,0.0,60
34,1700,0.0005291194538585842,0.0005291194538585842,0.0,0.0,0.0,60,9.629510168451816e-05,9.629510168451816e-05,0.0,0.0,0.0,60
35,1750,0.0005121423164382577,0.0005121423164382577,0.0,0.0,0.0,60,8.853981853462756e-05,8.853981853462756e-05,0.0,0.0,0.0,60
36,1800,0.0005009319866076112,0.0005009319866076112,0.0,0.0,0.0,60,8.606655319454148e-05,8.606655319454148e-05,0.0,0.0,0.0,60
37,1850,0.0005127876647748053,0.0005127876647748053,0.0,0.0,0.0,60,0.00011090567568317056,0.00011090567568317056,0.0,0.0,0.0,60
38,1900,0.00046789227053523064,0.00046789227053523064,0.0,0.0,0.0,60,0.00010153715265914798,0.00010153715265914798,0.0,0.0,0.0,60
39,1950,0.0004562217218335718,0.0004562217218335718,0.0,0.0,0.0,60,0.0002273720019729808,0.0002273720019729808,0.0,0.0,0.0,60
40,2000,0.00046170048881322145,0.00046170048881322145,0.0,0.0,0.0,60,7.397242006845772e-05,7.397242006845772e-05,0.0,0.0,0.0,60
41,2050,0.0004496086039580405,0.0004496086039580405,0.0,0.0,0.0,60,7.128153811208904e-05,7.128153811208904e-05,0.0,0.0,0.0,60
42,2100,0.00048048427561298013,0.00048048427561298013,0.0,0.0,0.0,60,6.937374564586207e-05,6.937374564586207e-05,0.0,0.0,0.0,60
43,2150,0.000424577941885218,0.000424577941885218,0.0,0.0,0.0,60,6.765424768673256e-05,6.765424768673256e-05,0.0,0.0,0.0,60
44,2200,0.000512810074724257,0.000512810074724257,0.0,0.0,0.0,60,0.000108462329080794,0.000108462329080794,0.0,0.0,0.0,60
45,2250,0.000416018592659384,0.000416018592659384,0.0,0.0,0.0,60,6.573216523975134e-05,6.573216523975134e-05,0.0,0.0,0.0,60
46,2300,0.00043171667493879795,0.00043171667493879795,0.0,0.0,0.0,60,9.646316175349057e-05,9.646316175349057e-05,0.0,0.0,0.0,60
47,2350,0.00041290302760899067,0.00041290302760899067,0.0,0.0,0.0,60,6.501883763121441e-05,6.501883763121441e-05,0.0,0.0,0.0,60
48,2400,0.00039546663174405694,0.00039546663174405694,0.0,0.0,0.0,60,8.50109281600453e-05,8.50109281600453e-05,0.0,0.0,0.0,60
49,2450,0.00039103819290176034,0.00039103819290176034,0.0,0.0,0.0,60,0.00033031043130904436,0.00033031043130904436,0.0,0.0,0.0,60
50,2500,0.0003825690655503422,0.0003825690655503422,0.0,0.0,0.0,60,5.8060271840076894e-05,5.8060271840076894e-05,0.0,0.0,0.0,60
51,2550,0.000374815717805177,0.000374815717805177,0.0,0.0,0.0,60,6.005917748552747e-05,6.005917748552747e-05,0.0,0.0,0.0,60
52,2600,0.0003892828826792538,0.0003892828826792538,0.0,0.0,0.0,60,7.289245695574209e-05,7.289245695574209e-05,0.0,0.0,0.0,60
53,2650,0.00036693981382995844,0.00036693981382995844,0.0,0.0,0.0,60,5.447499279398471e-05,5.447499279398471e-05,0.0,0.0,0.0,60
54,2700,0.00036212801933288574,0.00036212801933288574,0.0,0.0,0.0,60,5.059531395090744e-05,5.059531395090744e-05,0.0,0.0,0.0,60
55,2750,0.0003605809761211276,0.0003605809761211276,0.0,0.0,0.0,60,9.688008140074089e-05,9.688008140074089e-05,0.0,0.0,0.0,60
56,2800,0.0003748814342543483,0.0003748814342543483,0.0,0.0,0.0,60,7.199158426374197e-05,7.199158426374197e-05,0.0,0.0,0.0,60
57,2850,0.000405626546125859,0.000405626546125859,0.0,0.0,0.0,60,5.0121863750973716e-05,5.0121863750973716e-05,0.0,0.0,0.0,60
58,2900,0.00035851067514158785,0.00035851067514158785,0.0,0.0,0.0,60,4.819474634132348e-05,4.819474634132348e-05,0.0,0.0,0.0,60
59,2950,0.0003828378103207797,0.0003828378103207797,0.0,0.0,0.0,60,5.081147173768841e-05,5.081147173768841e-05,0.0,0.0,0.0,60
60,3000,0.0004082455416209996,0.0004082455416209996,0.0,0.0,0.0,60,5.007720392313786e-05,5.007720392313786e-05,0.0,0.0,0.0,60
61,3050,0.0003380058042239398,0.0003380058042239398,0.0,0.0,0.0,60,4.452373832464218e-05,4.452373832464218e-05,0.0,0.0,0.0,60
62,3100,0.0003302052500657737,0.0003302052500657737,0.0,0.0,0.0,60,9.664935350883752e-05,9.664935350883752e-05,0.0,0.0,0.0,60
63,3150,0.0003623182710725814,0.0003623182710725814,0.0,0.0,0.0,60,4.157618968747556e-05,4.157618968747556e-05,0.0,0.0,0.0,60
64,3200,0.0003259680524934083,0.0003259680524934083,0.0,0.0,0.0,60,5.956355016678572e-05,5.956355016678572e-05,0.0,0.0,0.0,60
65,3250,0.0003179600462317467,0.0003179600462317467,0.0,0.0,0.0,60,4.136329152970575e-05,4.136329152970575e-05,0.0,0.0,0.0,60
66,3300,0.0003113359853159636,0.0003113359853159636,0.0,0.0,0.0,60,8.600234286859632e-05,8.600234286859632e-05,0.0,0.0,0.0,60
67,3350,0.0005082382704131305,0.0005082382704131305,0.0,0.0,0.0,60,3.948627636418678e-05,3.948627636418678e-05,0.0,0.0,0.0,60
68,3400,0.00032909243600443006,0.00032909243600443006,0.0,0.0,0.0,60,3.7901350879110396e-05,3.7901350879110396e-05,0.0,0.0,0.0,60
69,3450,0.0003004217869602144,0.0003004217869602144,0.0,0.0,0.0,60,8.706306107342243e-05,8.706306107342243e-05,0.0,0.0,0.0,60
70,3500,0.000304910761769861,0.000304910761769861,0.0,0.0,0.0,60,4.334673212724738e-05,4.334673212724738e-05,0.0,0.0,0.0,60
71,3550,0.00029808346880599856,0.00029808346880599856,0.0,0.0,0.0,60,4.5118275011191145e-05,4.5118275011191145e-05,0.0,0.0,0.0,60
72,3600,0.000294209603453055,0.000294209603453055,0.0,0.0,0.0,60,3.736438520718366e-05,3.736438520718366e-05,0.0,0.0,0.0,60
73,3650,0.0002905662404373288,0.0002905662404373288,0.0,0.0,0.0,60,3.845836909022182e-05,3.845836909022182e-05,0.0,0.0,0.0,60
