,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,coeff_3
10,500,1.2635871171951294,5.656267148879124e-06,1.2616615295410156,0.00192002649419,0.0,42,0.0,0.8201726078987122,5.356023848435143e-06,0.8184407353401184,0.0017264791531488,0.0,43,0.0,0.9864265322685242,1.8306593574379804e-06,0.9843742847442628,0.0020503981504589,0.0,36,0.0,0.8779219388961792,2.5293313683505403e-06,0.8762682676315308,0.0016511807916685939,0.0,27,0.14285714285714285
11,550,1.244766354560852,9.322111509391108e-06,1.2427886724472046,0.0019683856517076,0.0,41,0.0,0.8207517266273499,4.559205535770161e-06,0.8189806342124939,0.0017665699124336,0.0,42,0.0,0.9859084486961364,1.1725190915967687e-06,0.9838250875473022,0.002082179300487,0.0,34,0.0,0.8789907693862915,1.872423467830231e-06,0.8773198127746582,0.0016691081691533327,0.0,27,0.14285714285714285
12,600,1.2705920934677124,4.206873654766241e-06,1.2685757875442505,0.0020121538545936,0.0,41,0.1428571428571428,0.822601854801178,4.299265583540546e-06,0.8207957744598389,0.001801790902391,0.0,42,0.0,0.98196142911911,1.6137327065735008e-06,0.9798576831817628,0.002102150581777,0.0,34,0.0,0.8780938982963562,1.5402220014948398e-06,0.8764090538024902,0.0016832686960697174,0.0,26,0.14285714285714285
13,650,1.273525595664978,3.5711980217456585e-06,1.2714719772338867,0.0020500856917351,0.0,41,0.1428571428571428,0.8192402720451355,3.8926186789467465e-06,0.8174033761024475,0.0018329940503463,0.0,41,0.0,0.9899863600730896,1.057374220181373e-06,0.9878708720207214,0.0021144300699234,0.0,34,0.0,0.8806138634681702,3.247473387091304e-06,0.8789140582084656,0.001696583698503673,0.0,25,0.14285714285714285
14,700,1.2693686485290527,3.2820521482790355e-06,1.2672817707061768,0.0020835865288972,0.0,41,0.1428571428571428,0.8116745948791504,4.772475676873e-06,0.8098064661026001,0.0018633601721376,0.0,39,0.0,0.9894534945487976,9.209424547407252e-07,0.9873314499855042,0.0021211570128798,0.0,34,0.0,0.8799813389778137,2.614025333969039e-06,0.8782778382301331,0.0017008533468469977,0.0,25,0.14285714285714285
15,750,1.2760065793991089,2.9465695661201607e-06,1.273890256881714,0.0021133709233254,0.0,41,0.1428571428571428,0.817982017993927,3.575595201255055e-06,0.8160901069641113,0.0018883231095969,0.0,39,0.0,0.9929865598678588,1.152969730355835e-06,0.9908588528633118,0.0021266029216349,0.0,34,0.0,0.8773100972175598,1.2188774007881875e-06,0.8756076097488403,0.0017013218021020293,0.0,25,0.14285714285714285
16,800,1.2727980613708496,3.030814468729659e-06,1.2706551551818848,0.002139886142686,0.0,41,0.1428571428571428,0.8131170868873596,3.6555325095832818e-06,0.8112035989761353,0.001909879501909,0.0,39,0.0,0.9891437888145448,8.030187927943189e-07,0.9870102405548096,0.0021327571012079,0.0,33,0.0,0.8777973651885986,1.6275962479994632e-06,0.8760954737663269,0.0017002868698909879,0.0,25,0.14285714285714285
17,850,1.2794915437698364,2.996029934365652e-06,1.2773247957229614,0.0021637522149831,0.0,41,0.1428571428571428,0.8195750117301941,3.402631818971713e-06,0.817642867565155,0.0019287499599158,0.0,39,0.0,0.9867925047874452,7.013657068455359e-07,0.9846537113189696,0.0021380882244557,0.0,32,0.0,0.8772337436676025,1.0462566706337384e-06,0.8755349516868591,0.0016977126942947507,0.0,25,0.14285714285714285
18,900,1.278267502784729,2.4161352030205308e-06,1.2760783433914185,0.0021868245676159,0.0,40,0.1428571428571428,0.8173756003379822,3.3004132546921028e-06,0.8154274225234985,0.001944919116795,0.0,38,0.0,0.987067699432373,6.629754238929308e-07,0.9849296808242798,0.0021373387426137,0.0,32,0.0,0.8735293745994568,2.5264371288358234e-06,0.8718326687812805,0.0016941779758781195,0.0,25,0.14285714285714285
19,950,1.2957890033721924,7.36861102268449e-06,1.293576955795288,0.0022046151570975,0.0,40,0.1428571428571428,0.8140468597412109,3.153618763462873e-06,0.8120841979980469,0.0019595192279666,0.0,38,0.0,0.9892429709434508,8.887110993782699e-07,0.98710697889328,0.0021350965835154,0.0,32,0.0,0.8778903484344482,1.2431163440851378e-06,0.8761991858482361,0.0016899171750992537,0.0,25,0.14285714285714285
20,1000,1.2795398235321045,2.152220304196817e-06,1.2773174047470093,0.0022203319240361,0.0,40,0.1428571428571428,0.8102880716323853,3.7504166812141193e-06,0.8083112239837646,0.0019731002394109,0.0,38,0.0,0.984122395515442,6.796708476031199e-07,0.981978714466095,0.0021430172491818,0.0,31,0.0,0.8787468075752258,9.661130206950475e-07,0.8770607113838196,0.0016851384425535798,0.0,25,0.14285714285714285
21,1050,1.269806146621704,4.007729785371339e-06,1.2675650119781494,0.0022371176164597,0.0,38,0.1428571428571428,0.8176007866859436,2.964676923511433e-06,0.8156120181083679,0.0019857750739902,0.0,38,0.0,0.9863765239715576,6.740265234839171e-07,0.9842324256896972,0.0021434177178889,0.0,31,0.0,0.8753713965415955,9.525481914351985e-07,0.8736864328384399,0.0016840206226333976,0.0,24,0.14285714285714285
