,epoch,total_0,decoder_0,sindy_x_0,latent_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,total_1,decoder_1,sindy_x_1,latent_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,total_2,decoder_2,sindy_x_2,latent_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2,total_3,decoder_3,sindy_x_3,latent_3,reg_3,sindy_z_3,active_coeffs_3,coeff_3
0,0,0.0354249663650989,33.98625183105469,1.4366387128829956,0.0003997051971964,0.0016748856287449,0.0,60,0.0,0.0377910397946834,36.8367919921875,0.9526596069335938,0.0004183678538538,0.0011710877297446,0.0,60,0.0,0.039825577288866,38.57219696044922,1.251509666442871,0.0004685941967181,0.0014029663288965,0.0,60,0.0,0.04448176175355911,42.769065856933594,1.7107748985290527,0.0004921517102047801,0.001427589450031519,0.0,60.0,0.0
1,50,0.0054822824895381,4.046523094177246,1.4349031448364258,3.344656579429284e-05,0.0008229101076722,0.0,60,0.0,0.003189897397533,2.262308120727539,0.9265739917755128,8.700833132024854e-05,0.0009279766236431,0.0,60,0.0,0.0044712573289871,3.2539966106414795,1.216105580329895,9.250906441593544e-05,0.0010626908624544,0.0,60,0.0,0.004999718628823757,3.3874406814575195,1.6110401153564453,0.00012708373833447695,0.001110761077143252,0.0,60.0,0.0
2,100,0.0032954532653093,2.0700478553771973,1.223175883293152,4.221069320919924e-05,0.0021872958168387,0.0,60,0.0,0.0014947713352739,1.0057950019836426,0.4859798550605774,0.0001876170135801,0.0028086917009204,0.0,60,0.0,0.0018428965704515,1.048515796661377,0.7904456257820129,0.001022511627525,0.0029126526787877,0.0,60,0.0,0.0021150182001292706,1.3492485284805298,0.7621320486068726,0.0004816735163331032,0.003155887359753251,0.0,60.0,0.0
3,150,0.0020651647355407,1.1477497816085815,0.9142712950706482,0.0001190381371998,0.0030245347879827,0.0,39,0.0,0.0008770290878601,0.5371123552322388,0.3372498750686645,2.917627352871932e-05,0.0026376782916486,0.0,46,0.0,0.0012688362039625,0.8026479482650757,0.4612836837768554,0.001585551071912,0.0033189933747053,0.0,51,0.0,0.001476579811424017,0.8770221471786499,0.596050500869751,0.0002301426138728857,0.003276935312896967,0.0,52.0,0.0
4,200,0.0016487386310473,0.9006525278091431,0.7450940012931824,7.59629620006308e-05,0.0029160280246287,0.0,33,0.1428571428571428,0.0006211906438693,0.369174599647522,0.2491489201784134,8.30379667604575e-06,0.0028588615823537,0.0,43,0.0,0.0010504906531423,0.6516733765602112,0.3939917683601379,0.0011481520486995,0.003677389351651,0.0,49,0.0,0.0012052864767611027,0.6753295063972473,0.5265641808509827,9.911261440720409e-05,0.0032936271745711565,0.0,50.0,0.0
5,250,0.0014176906552165,0.7533823251724243,0.661497950553894,4.3088773963972926e-05,0.0027673277072608,0.0,28,0.1428571428571428,0.000439836847363,0.2379732280969619,0.1986205875873565,3.3967032777582062e-06,0.0032396162860095,0.0,40,0.1428571428571428,0.0008875840576365,0.5525370836257935,0.3302119076251983,0.0008704911451786,0.003964515402913,0.0,48,0.0,0.0009718970395624638,0.4534572958946228,0.5148553848266602,3.84806735382881e-05,0.003545940387994051,0.0,49.0,0.0
6,300,0.0012498152209445,0.6522065997123718,0.5949618816375732,2.566272269177716e-05,0.0026209903880953,0.0,27,0.2857142857142857,0.000385415245546,0.1982896625995636,0.1835219413042068,2.868207502615405e-06,0.00360076315701,0.0,37,0.1428571428571428,0.0007737255073152,0.4910885989665985,0.27775639295578,0.0007295166724361,0.0041510188020765,0.0,44,0.0,0.0008742650970816612,0.3703359365463257,0.5000059008598328,1.0766849300125614e-05,0.003912534099072218,0.0,46.0,0.0
7,350,0.0011331861605867,0.5862528085708618,0.5444197654724121,1.6513095033587888e-05,0.0024970767553895,0.0,25,0.2857142857142857,0.000354477961082,0.1742081344127655,0.1763637214899063,2.5737995201779995e-06,0.0039035594090819,0.0,37,0.1428571428571428,0.0006999471806921,0.4583029747009277,0.2367823421955108,0.0006874371320009,0.0041744713671505,0.0,44,0.0,0.0007994452607817948,0.317240834236145,0.478012353181839,5.9732456065830775e-06,0.004186114761978388,0.0,43.0,0.0
8,400,0.0010280177230015,0.5292882919311523,0.4962906837463379,1.2536807844298892e-05,0.0024261581711471,0.0,25,0.4285714285714285,0.0003312717890366,0.1538304984569549,0.1732895076274871,2.6679358597903047e-06,0.0041491175070405,0.0,35,0.1428571428571428,0.0006638985942117,0.444409430027008,0.2146786600351333,0.0006712374160997,0.0041392818093299,0.0,44,0.0,0.0007346427883021533,0.27276211977005005,0.45758727192878723,4.664220796257723e-06,0.004288773983716965,0.0,41.0,0.14285714285714285
9,450,0.0009484614711254,0.4581121802330017,0.4879376888275146,8.085331501206383e-06,0.002403492340818,0.0,23,0.4285714285714285,0.000323556625517,0.1363703161478042,0.1828840374946594,2.686486595848692e-06,0.0042995791882276,0.0,35,0.1428571428571428,0.0006271360907703,0.4225686192512512,0.1997397989034652,0.0006626064423471,0.0041651055216789,0.0,43,0.0,,,,,,,,
10,500,0.0009041860466822,0.4188560247421264,0.4829664826393127,5.373099156713579e-06,0.0023580861743539,0.0,22,0.5714285714285714,0.0003078920999541,0.124208778142929,0.1792876571416854,2.7587186650634976e-06,0.0043928902596235,0.0,35,0.1428571428571428,0.000583050888963,0.3898747861385345,0.1883999854326248,0.0006739376112818,0.0041022053919732,0.0,40,0.0,,,,,,,,
