,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,decoder_avg,sindy_x_avg,reg_avg,sindy_z_avg,active_coeffs_avg
0,1,0.4451135993003845,0.0017782737268134952,1.9965747924288735e-05,0.0,60,0.43334898352622986,0.0019933246076107025,1.9965764295193367e-05,0.0,60,0.3484688997268677,0.0024887239560484886,1.9965682440670207e-05,0.0,60,0.4914777874946594,0.002506048884242773,1.9965944375144318e-05,0.0,60,0.42960231751203537,0.002191592793678865,1.9965784758824157e-05,0.0,60.0
1,51,0.05049068480730057,0.0021353340707719326,1.7374723029206507e-05,0.0,60,0.061129555106163025,0.001999393105506897,1.897253969218582e-05,0.0,60,0.07358236610889435,0.00288761337287724,1.8141801774618216e-05,0.0,60,0.07018648833036423,0.0025672863703221083,1.9297491235192865e-05,0.0,60,0.06384727358818054,0.0023974067298695445,1.8446638932800852e-05,0.0,60.0
2,101,0.01615079864859581,0.0017807029653340578,1.6495610907441005e-05,0.0,60,0.016161561012268066,0.0017439902294427156,1.8920074580819346e-05,0.0,60,0.022099584341049194,0.0028489872347563505,1.7004434994305484e-05,0.0,60,0.024821855127811432,0.002370599890127778,1.9269342374172993e-05,0.0,60,0.019808449782431126,0.0021860700799152255,1.7922365714184707e-05,0.0,60.0
3,151,0.013372514396905899,0.0012921964516863227,1.642365168663673e-05,0.0,60,0.012553962878882885,0.001182082574814558,1.8872991859097965e-05,0.0,60,0.015108561143279076,0.0024593453854322433,1.6528343621757813e-05,0.0,60,0.017063332721590996,0.002154105808585882,1.9275195882073604e-05,0.0,60,0.014524592785164714,0.0017719325551297516,1.7775045762391528e-05,0.0,60.0
4,201,0.007993843406438828,0.000983422389253974,1.6264197256532498e-05,0.0,60,0.00488215871155262,0.0013194321654736996,1.8413307770970277e-05,0.0,60,0.007928558625280857,0.0022902372293174267,1.62461928994162e-05,0.0,60,0.01084650307893753,0.001967434771358967,1.9199500457034446e-05,0.0,60,0.007912765955552459,0.0016401316388510168,1.7530799595988356e-05,0.0,60.0
5,251,0.0037975809536874294,0.0010904793161898851,1.5893176168901846e-05,0.0,57,0.0027559048030525446,0.0012699918588623405,1.7513541024527512e-05,0.0,60,0.004398024175316095,0.0020996590610593557,1.6016027075238526e-05,0.0,60,0.004406202118843794,0.0020401431247591972,1.8433585864841007e-05,0.0,60,0.003839428012724966,0.0016250683402176946,1.6964082533377223e-05,0.0,59.25
6,301,0.002537754364311695,0.0011279198806732893,1.5509689546888694e-05,0.0,55,0.00202164682559669,0.0010576574131846428,1.6814839909784496e-05,0.0,57,0.0030830404721200466,0.001989224459975958,1.5888774214545265e-05,0.0,57,0.002752450294792652,0.0020213264506310225,1.7555243175593205e-05,0.0,56,0.002598722989205271,0.001549032051116228,1.6442136711702915e-05,0.0,56.25
7,351,0.0019312776857987046,0.0010421493789181113,1.527136191725731e-05,0.0,51,0.0016589928418397903,0.0008588174823671579,1.6462332496303134e-05,0.0,54,0.002394890645518899,0.0019007432274520397,1.5792767953826115e-05,0.0,55,0.0021500808652490377,0.0019060395425185561,1.6968162526609376e-05,0.0,55,0.002033810509601608,0.0014269374078139663,1.6123656223498983e-05,0.0,53.75
8,401,0.0015887545887380838,0.0009669543942436576,1.5148727470659651e-05,0.0,50,0.0014700862811878324,0.0007072107400745153,1.629110556677915e-05,0.0,50,0.002011391334235668,0.001771654118783772,1.5747891666251235e-05,0.0,52,0.00185307115316391,0.0017632399685680866,1.64743196364725e-05,0.0,55,0.0017308258393313736,0.0013022648054175079,1.5915511085040634e-05,0.0,51.75
9,451,0.0013870224356651306,0.000919187965337187,1.505886120867217e-05,0.0,48,0.0013481295900419354,0.0006340644904412329,1.6361607777071185e-05,0.0,42,0.0017756742890924215,0.0016930990386754274,1.5781881302245893e-05,0.0,50,0.0016538482159376144,0.0016055104788392782,1.6101033907034434e-05,0.0,53,0.0015411686326842755,0.0012129654933232814,1.582584604875592e-05,0.0,48.25
