,0,1,2
0,-2.903629,-0.9052752,-2.40593
1,-2.1642737,-0.58992326,6.980136
2,-1.4487798,0.9538304,-1.0156202
3,-2.0345402,9.290537,-0.946011
4,-2.5194292,-0.2448781,2.719349
5,-1.746805,-0.82778287,4.8844676
6,-1.4414856,-0.5532087,0.034165755
7,0.2845531,-0.55160034,-0.45873523
8,7.6777277,0.6756258,-0.91578436
9,-0.9945401,-0.22336096,-0.96293914
10,-0.9522216,0.5128784,0.4277072
11,-1.0557046,-0.6604389,-0.34604797
12,-1.3702192,-0.72999763,-0.44532347
13,-0.020435587,0.9231435,-0.22073162
14,-1.6103485,0.36325297,1.542407
15,-1.3526515,-0.35724807,-0.5812093
16,-0.27966338,0.6490116,0.6156601
17,-0.4457791,-0.061917406,-0.2637875
18,-0.49515247,-0.52423203,-0.16006775
19,-0.50204444,-0.05894202,-0.19209585
