,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,decoder_avg,sindy_x_avg,reg_avg,sindy_z_avg,active_coeffs_avg
0,1.0,0.2894507050514221,0.0014061183901503682,9.982015399145894e-06,0.0,60,0.33211463689804077,0.0010385490022599697,9.980808499676641e-06,0.0,60,0.3233058452606201,0.0012515425914898515,9.981118637369946e-06,0.0,60,0.2930639982223511,0.0008447300642728806,9.98113137029577e-06,0.0,60,0.292003333568573,0.0011236893478780985,9.981104994949419e-06,0.0,60,0.30598770380020146,0.0011329258792102338,9.981235780287535e-06,0.0,60.0
1,51.0,0.08782481402158737,0.0014069059398025274,9.142702765529975e-06,0.0,60,0.07503063231706619,0.0010357244173064828,9.317125659435987e-06,0.0,60,0.06996121257543564,0.0012660383945330977,9.121500625042245e-06,0.0,60,0.07981009036302567,0.0008776361937634647,9.081893040274736e-06,0.0,60,0.0764501616358757,0.0011293807765468955,9.251586561731528e-06,0.0,60,0.07781538218259812,0.0011431371443904937,9.182961730402895e-06,0.0,60.0
2,101.0,0.040400560945272446,0.0014665323542430997,8.752784196985886e-06,0.0,60,0.041182421147823334,0.0010353026445955038,9.008734195958823e-06,0.0,60,0.037421271204948425,0.001263958984054625,8.784452802501619e-06,0.0,60,0.03501996397972107,0.001453902805224061,7.856001502659637e-06,0.0,60,0.03188057988882065,0.0011253139236941934,8.997140866995323e-06,0.0,60,0.03718095943331719,0.0012690021423622966,8.679822713020258e-06,0.0,60.0
3,151.0,0.03458620607852936,0.0014505429426208138,8.383287422475405e-06,0.0,60,0.0364806205034256,0.0010297440458089113,8.793662345851772e-06,0.0,60,0.03455177694559097,0.001262023812159896,8.46925195219228e-06,0.0,60,0.028991399332880974,0.0011631204979494214,6.916170150361722e-06,0.0,60,0.026790520176291466,0.001121934619732201,8.75749083206756e-06,0.0,60,0.03228010460734367,0.0012054731836542488,8.263972540589748e-06,0.0,60.0
4,201.0,0.021386798471212387,0.0015809700125828385,8.128772606141865e-06,0.0,60,0.032428476959466934,0.0009722377290017903,8.750474080443382e-06,0.0,60,0.03150761500000954,0.0012710271403193474,8.111577699310146e-06,0.0,60,0.01757877692580223,0.001077538705430925,6.302903784671798e-06,0.0,60,0.018797194585204124,0.0011488654417917132,8.47723913466325e-06,0.0,60,0.024339772388339044,0.001210127805825323,7.95419346104609e-06,0.0,60.0
5,251.0,0.014467512257397175,0.0014388199197128415,7.58103487896733e-06,0.0,60,0.019062822684645653,0.000952111033257097,8.508554856234696e-06,0.0,60,0.020183447748422623,0.0013248393079265952,7.819611710147001e-06,0.0,60,0.01017726305872202,0.000883493572473526,5.773780230811099e-06,0.0,60,0.011545530520379543,0.0010549110593274236,7.728716809651814e-06,0.0,60,0.015087315253913403,0.0011308349785394967,7.482339697162388e-06,0.0,60.0
6,301.0,0.011853031814098358,0.0013107727281749249,7.1300737545243464e-06,0.0,60,0.013240164145827293,0.0008529862971045077,8.326046554429922e-06,0.0,60,0.013832279480993748,0.0012144544161856174,7.450406428688439e-06,0.0,57,0.008228636346757412,0.0008085576118901372,5.350754236133071e-06,0.0,59,0.009411685168743134,0.0009885916952043772,7.443416052410612e-06,0.0,57,0.01131315939128399,0.0010350725497119129,7.140139405237279e-06,0.0,58.6
7,351.0,0.010570861399173737,0.0011909231543540955,6.841884896857664e-06,0.0,54,0.010618012398481369,0.0007899558986537158,8.249307938967831e-06,0.0,55,0.010977602563798428,0.0011626819614320993,7.162128440540982e-06,0.0,53,0.007292116992175579,0.0007596923387609422,5.088545549369883e-06,0.0,54,0.008496983908116817,0.000942646584007889,7.305275175895076e-06,0.0,53,0.009591115452349187,0.0009691799874417484,6.929428400326288e-06,0.0,53.800000000000004
8,401.0,0.009701456874608994,0.001091255689971149,6.750531611032784e-06,0.0,52,0.009134246967732906,0.0007440029294230044,8.268536475952715e-06,0.0,51,0.009571785107254982,0.0011266065994277596,7.035185717541026e-06,0.0,51,0.006694640964269638,0.0007229301263578236,4.918940248899162e-06,0.0,51,0.007916259579360485,0.000907307316083461,7.208602710306877e-06,0.0,52,0.008603677898645402,0.0009184205322526396,6.836359352746513e-06,0.0,51.400000000000006
9,451.0,0.00902647990733385,0.0009991253027692437,6.711786681989906e-06,0.0,50,0.008048519492149353,0.000706369464751333,8.29877444630256e-06,0.0,51,0.008708465844392776,0.0011032517068088055,7.010323770373361e-06,0.0,50,0.006232198793441057,0.0006908991490490735,4.835928848478943e-06,0.0,44,0.0074919722974300385,0.0008769132546149194,7.083841865096474e-06,0.0,50,0.007901527266949416,0.0008753117755986751,6.788131122448249e-06,0.0,49.0
10,501.0,0.008494265377521515,0.0009268882567994297,6.7293294705450535e-06,0.0,49,0.007010617759078741,0.0006840421701781452,8.282227099698503e-06,0.0,49,0.008085076697170734,0.0010824297787621617,7.052854016365018e-06,0.0,48,0.005855961237102747,0.0006659491918981075,4.823357812711038e-06,0.0,42,0.007155534811317921,0.0008524511358700693,6.965760803723242e-06,0.0,48,0.007320291176438332,0.0008423521067015827,6.770705840608571e-06,0.0,47.2
