,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,epoch_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,epoch_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,epoch_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,decoder_avg,sindy_x_avg,reg_avg,sindy_z_avg,active_coeffs_avg
0,1.0,0.2975916564464569,0.0011096878442913294,9.990538273996208e-06,0.0,60.0,1.0,0.3165900409221649,0.001069725607521832,9.99052917904919e-06,0.0,60.0,1.0,0.38424062728881836,0.00118271354585886,9.990884791477583e-06,0.0,60.0,1.0,0.3042740523815155,0.0012545965146273375,9.990571925300173e-06,0.0,60.0,0.3256740942597389,0.0011541808780748397,9.990631042455789e-06,0.0,60.0
1,51.0,0.09133297204971313,0.001129106734879315,9.595708434062544e-06,0.0,60,51.0,0.09109707176685333,0.001070906757377088,9.528529517410789e-06,0.0,60,51.0,0.09526905417442322,0.0011824830435216427,9.52758091443684e-06,0.0,60,51.0,0.09552005678415298,0.0012611665297299623,9.638814844947774e-06,0.0,60,0.09330478869378567,0.001160915766377002,9.572658427714487e-06,0.0,60.0
2,101.0,0.08618703484535217,0.0011216216953471303,9.39154142542975e-06,0.0,60,101.0,0.08138648420572281,0.0011487529845908284,9.075285561266355e-06,0.0,60,101.0,0.0727258250117302,0.0011828505666926503,9.119642527366523e-06,0.0,60,101.0,0.08298446238040924,0.0012662921799346805,9.430249519937206e-06,0.0,60,0.0808209516108036,0.0011798793566413224,9.254179758499959e-06,0.0,60.0
3,151.0,0.053446799516677856,0.0011227978393435478,9.12930045160465e-06,0.0,60,151.0,0.04839840531349182,0.002303107874467969,8.086436537269037e-06,0.0,60,151.0,0.049050137400627136,0.0011808149283751845,8.819414688332472e-06,0.0,60,151.0,0.052377957850694656,0.001302463235333562,9.238565326086245e-06,0.0,60,0.05081832502037287,0.0014772959693800658,8.818429250823101e-06,0.0,60.0
4,201.0,0.039508745074272156,0.0011153497034683824,8.884292583388742e-06,0.0,60,201.0,0.03669150918722153,0.0016297727124765515,7.494779765693238e-06,0.0,60,201.0,0.039174214005470276,0.001179683837108314,8.618309038865846e-06,0.0,60,201.0,0.03786679729819298,0.0012619952904060483,9.072963621292729e-06,0.0,60,0.038310316391289234,0.001296700385864824,8.517586252310139e-06,0.0,60.0
5,251.0,0.034920770674943924,0.001112755504436791,8.734904440643732e-06,0.0,60,251.0,0.03284535929560661,0.001405669143423438,7.1223435043066274e-06,0.0,60,251.0,0.03580480441451073,0.0011778558837249875,8.466940926155075e-06,0.0,60,251.0,0.033466290682554245,0.001258249394595623,8.908551535569131e-06,0.0,60,0.03425930626690388,0.0012386324815452099,8.308185101668641e-06,0.0,60.0
6,301.0,0.032911814749240875,0.001109951175749302,8.609078577137552e-06,0.0,60,301.0,0.030872752889990807,0.0013221187982708216,6.809591013734462e-06,0.0,60,301.0,0.03434251621365547,0.0011678190203383565,8.372406227863394e-06,0.0,60,301.0,0.03192457929253578,0.0012528945226222277,8.77737420523772e-06,0.0,60,0.032512915786355734,0.001213195879245177,8.142112505993282e-06,0.0,60.0
7,351.0,0.03165777027606964,0.0011056256480515003,8.485192665830255e-06,0.0,60,351.0,0.02876395732164383,0.0012689261930063367,6.503158601844916e-06,0.0,60,351.0,0.03272783011198044,0.0011322073405608535,8.344773959834129e-06,0.0,60,351.0,0.0305046197026968,0.0012365739094093442,8.653923941892572e-06,0.0,60,0.030913544353097677,0.0011858332727570087,7.996762292350468e-06,0.0,60.0
8,401.0,0.030255747959017754,0.0010932843433693051,8.371544026886113e-06,0.0,60,401.0,0.022228233516216278,0.0012533897534012794,6.24332596999011e-06,0.0,60,401.0,0.025990303605794907,0.0011043405393138528,8.33666399557842e-06,0.0,60,401.0,0.028411444276571274,0.0011997236870229244,8.586616786487866e-06,0.0,60,0.026721432339400053,0.0011626845807768404,7.884537694735627e-06,0.0,60.0
9,451.0,0.02778663858771324,0.0010499809868633747,8.279439498437569e-06,0.0,60,451.0,0.016064494848251343,0.0011752976570278406,5.8930590967065655e-06,0.0,60,451.0,0.01781301759183407,0.001024705241434276,8.285458534373902e-06,0.0,60,451.0,0.022284382954239845,0.0011332801077514887,8.527919817424845e-06,0.0,60,0.020987133495509624,0.001095815998269245,7.74646923673572e-06,0.0,60.0
10,501.0,0.020174510776996613,0.0010430607944726944,8.202685421565548e-06,0.0,60,501.0,0.013235261663794518,0.0010740372817963362,5.602219971478917e-06,0.0,60,501.0,0.014503322541713715,0.0009475066908635199,8.290997357107699e-06,0.0,60,501.0,0.01707223430275917,0.0011068112216889858,8.495985639456194e-06,0.0,60,0.016246332321316004,0.001042853997205384,7.64797209740209e-06,0.0,60.0
11,551.0,0.014902385883033276,0.0010064884554594755,8.125622116494924e-06,0.0,60,551.0,0.011521758511662483,0.0010276853572577238,5.390526894188952e-06,0.0,60,551.0,0.012729055248200893,0.0009026799816638231,8.277913366327994e-06,0.0,59,551.0,0.0142118651419878,0.0010683501604944468,8.432466529484373e-06,0.0,60,0.013341266196221113,0.0010013009887188673,7.55663222662406e-06,0.0,59.75
12,601.0,0.012376843020319939,0.0009647644474171102,8.079218787315767e-06,0.0,60,601.0,0.010448811575770378,0.0009980093454942107,5.232272997091059e-06,0.0,59,601.0,0.011697144247591496,0.0008650836534798145,8.272375453088898e-06,0.0,58,601.0,0.012566450983285904,0.001028334954753518,8.353273187822197e-06,0.0,59,0.011772312456741929,0.0009640481002861634,7.48428510632948e-06,0.0,59.0
