,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,decoder_5,sindy_x_5,reg_5,sindy_z_5,active_coeffs_5,decoder_6,sindy_x_6,reg_6,sindy_z_6,active_coeffs_6,decoder_7,sindy_x_7,reg_7,sindy_z_7,active_coeffs_7,decoder_8,sindy_x_8,reg_8,sindy_z_8,active_coeffs_8,decoder_9,sindy_x_9,reg_9,sindy_z_9,active_coeffs_9
0,0.0,0.36774536967277527,0.001033581094816327,9.999999747378752e-06,0.0,60,0.39500531554222107,0.0013465980300679803,9.999999747378752e-06,0.0,60,0.3449808359146118,0.0014540442498400807,9.999999747378752e-06,0.0,60,0.3380924165248871,0.0011135669192299247,9.999999747378752e-06,0.0,60,0.3815547525882721,0.0015419312985613942,9.999999747378752e-06,0.0,60,0.38051363825798035,0.0009901069570332766,9.999999747378752e-06,0.0,60,0.3306114375591278,0.0012446666369214654,9.999999747378752e-06,0.0,60,0.37133875489234924,0.0012642225483432412,9.999999747378752e-06,0.0,60,0.33655592799186707,0.0013213111087679863,9.999999747378752e-06,0.0,60,0.3412357270717621,0.001242815051227808,9.999999747378752e-06,0.0,60
1,50.0,0.0796697586774826,0.0010834985878318548,9.133777894021478e-06,0.0,60,0.0813199058175087,0.0013997270725667477,9.369048711960204e-06,0.0,60,0.08331562578678131,0.0015609319088980556,8.99599035619758e-06,0.0,60,0.08008256554603577,0.0011424212716519833,9.293009497923777e-06,0.0,60,0.0888347327709198,0.0015470781363546848,9.1207593868603e-06,0.0,60,0.09213700890541077,0.0009905630722641945,9.105484423344024e-06,0.0,60,0.08959422260522842,0.0013837497681379318,8.803171112958807e-06,0.0,60,0.08219268172979355,0.0014748292742297053,9.23054994927952e-06,0.0,60,0.07090070843696594,0.0016452401177957654,8.977872312243562e-06,0.0,60,0.07653743773698807,0.001833468209952116,8.931012416724116e-06,0.0,60
2,100.0,0.03598595783114433,0.0010675075463950634,8.752621397434268e-06,0.0,60,0.044132452458143234,0.0013921380741521716,9.169983968604356e-06,0.0,60,0.03851921111345291,0.0020502193365246058,7.66877656133147e-06,0.0,60,0.036996666342020035,0.0011253299890086055,8.889888704288751e-06,0.0,60,0.04276549071073532,0.0015402291901409626,8.828619684209116e-06,0.0,60,0.04310989752411842,0.0009998062159866095,8.360917490790598e-06,0.0,60,0.04243466258049011,0.0018815104849636555,7.066582384140929e-06,0.0,60,0.04357118904590607,0.0014922174159437418,8.478647032461595e-06,0.0,60,0.03757824748754501,0.001443652086891234,8.658837032271549e-06,0.0,60,0.04020048305392265,0.0018280001822859049,7.858382559788879e-06,0.0,60
3,150.0,0.029883168637752533,0.001032295636832714,8.696914846950676e-06,0.0,60,0.03878994658589363,0.0014053800841793418,8.930025614972692e-06,0.0,60,0.034639835357666016,0.0017468491569161415,7.13946337782545e-06,0.0,60,0.030030788853764534,0.001113989856094122,8.62342585605802e-06,0.0,60,0.038062579929828644,0.0015348615124821663,8.627346687717363e-06,0.0,60,0.034789733588695526,0.0009972257539629936,7.944953722471837e-06,0.0,60,0.03723950311541557,0.0015390830812975764,6.4447035583725665e-06,0.0,60,0.03918662667274475,0.0013635774375870824,8.428411092609167e-06,0.0,60,0.03314219415187836,0.0013716941466555,8.729829460207839e-06,0.0,60,0.035533711314201355,0.0015316340140998363,7.343689503613859e-06,0.0,60
4,200.0,0.01896992139518261,0.001091935788281262,8.564897143514827e-06,0.0,60,0.032563842833042145,0.0013865955406799912,8.562221410102211e-06,0.0,60,0.03292858228087425,0.0016245562583208084,6.7524479163694195e-06,0.0,60,0.017203088849782944,0.0010235861409455538,8.450195309706032e-06,0.0,60,0.03604648634791374,0.0015134563436731696,8.460704520985018e-06,0.0,60,0.030920039862394333,0.0009711975581012666,7.6000778790330514e-06,0.0,60,0.030910149216651917,0.0014091774355620146,6.024760295986198e-06,0.0,60,0.036770377308130264,0.0013086406979709864,8.401510058320127e-06,0.0,60,0.02753162756562233,0.0014149128692224622,8.648165930935647e-06,0.0,60,0.020334109663963318,0.0016063747461885214,6.829435278632445e-06,0.0,60
5,250.0,0.01176212914288044,0.0009813331998884678,8.43878024170408e-06,0.0,60,0.017136074602603912,0.0014686903450638056,7.916864888102282e-06,0.0,60,0.023299651220440865,0.0017204007599502802,6.372602456394816e-06,0.0,60,0.011456507258117199,0.0009141736663877964,8.340220119862352e-06,0.0,59,0.02518468350172043,0.0013905821833759546,8.380575309274718e-06,0.0,60,0.017259245738387108,0.0009074971894733608,7.420264410029631e-06,0.0,60,0.017246004194021225,0.0013485916424542665,5.530692305910634e-06,0.0,60,0.02294127829372883,0.0014388636918738484,8.169589818862732e-06,0.0,60,0.01558537594974041,0.001503880717791617,7.932118933240417e-06,0.0,60,0.012892771512269974,0.0013194461353123188,6.397265224222792e-06,0.0,60
6,300.0,0.009381341747939587,0.0009235086035914719,8.341269676748198e-06,0.0,60,0.012401144951581955,0.0013078685151413083,7.379871476587141e-06,0.0,58,0.015107041224837303,0.0014695045538246632,5.959484951745253e-06,0.0,57,0.009474118240177631,0.000807951029855758,8.350228199560661e-06,0.0,56,0.016400795429944992,0.0012705194531008601,8.270162652479485e-06,0.0,58,0.01169764343649149,0.0008290555560961366,7.346451184275793e-06,0.0,57,0.012368978932499886,0.0012472259113565087,5.290808985591866e-06,0.0,59,0.014915937557816505,0.0011867386056110263,7.928174454718828e-06,0.0,60,0.012043925002217293,0.001315838424488902,7.382286185020348e-06,0.0,59,0.01041307020932436,0.0011951524065807462,6.105668489908567e-06,0.0,59
7,350.0,0.008302493020892143,0.0008896472863852978,8.251498911704402e-06,0.0,60,0.010505054146051407,0.0011781500652432442,7.032821031316416e-06,0.0,56,0.012129349634051323,0.0013586895074695349,5.71654663872323e-06,0.0,57,0.008417964912950993,0.0007132647442631423,8.453936061414424e-06,0.0,56,0.01279553584754467,0.0011513007339090109,8.262930350610986e-06,0.0,54,0.00963965430855751,0.0007712486549280584,7.379503131232923e-06,0.0,54,0.010147306136786938,0.0011864100815728307,5.152585345058469e-06,0.0,58,0.01192670501768589,0.0010897935135290027,7.757418643450364e-06,0.0,59,0.010682037100195885,0.0012377670500427485,7.030198503343854e-06,0.0,57,0.00927497074007988,0.0011464873095974326,5.924121978750918e-06,0.0,56
8,400.0,0.007614040747284889,0.000858029059600085,8.172690286301076e-06,0.0,60,0.009426075965166092,0.0011033030459657311,6.830866823293036e-06,0.0,53,0.010745422914624214,0.0012882541632279754,5.53563040739391e-06,0.0,56,0.0076976376585662365,0.0006435263203456998,8.461991455988027e-06,0.0,54,0.011073185130953789,0.0010132314637303352,8.31487250252394e-06,0.0,50,0.008455979637801647,0.0007210909388959408,7.4826534728344996e-06,0.0,52,0.00890869926661253,0.0011358355404809117,5.047264949098462e-06,0.0,56,0.0104365861043334,0.0010387947550043464,7.721703696006443e-06,0.0,59,0.00988961011171341,0.00119215517770499,6.7914252213086e-06,0.0,56,0.008556818589568138,0.0011107937898486853,5.821834747621324e-06,0.0,55
9,450.0,0.0071043530479073524,0.0008245124481618404,8.133794835885055e-06,0.0,58,0.008654097095131874,0.0010584230767562985,6.732323981850641e-06,0.0,51,0.009867479093372822,0.001223594299517572,5.399853307608282e-06,0.0,50,0.007170001044869423,0.0005846612039022148,8.43562520458363e-06,0.0,50,0.009900709614157677,0.0009051968227140605,8.300071385747287e-06,0.0,49,0.007465739268809557,0.0006655487231910229,7.613653451699065e-06,0.0,46,0.008049676194787025,0.0010912860743701458,4.994746632291935e-06,0.0,51,0.009492527693510056,0.0009953927947208285,7.700356945861131e-06,0.0,56,0.009247995913028717,0.0011540086707100272,6.624175512115471e-06,0.0,54,0.008032451383769512,0.001083242241293192,5.740245342167327e-06,0.0,51
