,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3
12,600,0.0007213887292891741,0.000288360781269148,0.00042919552652165294,3.83240558221587e-06,0.0,20,0.0005521264974959195,0.00015984878700692207,0.0003870774817187339,5.200188752496615e-06,0.0,29,0.0004110952140763402,0.0001233439688803628,0.00028264624415896833,5.104996034788201e-06,0.0,28,0.0008473476627841592,0.0003450729127507657,0.0004986675921827555,3.6071269278181717e-06,0.0,19
13,650,0.0006750394240953028,0.0002493641513865441,0.00042178339208476245,3.891868345817784e-06,0.0,19,0.0005235511343926191,0.0001514715695520863,0.00036685640225186944,5.223139396548504e-06,0.0,28,0.0003442554152570665,7.82232018536888e-05,0.00026094086933881044,5.091344519314589e-06,0.0,28,0.0008194683468900621,0.0003289218002464622,0.00048688348033465445,3.6630874546972336e-06,0.0,19
14,700,0.0006058101425878704,0.00018971037934534252,0.0004121816891711205,3.9180763451440725e-06,0.0,18,0.0005244295462034643,0.0001697624975349754,0.0003493974800221622,5.26961957802996e-06,0.0,28,0.00034074581344611943,9.055498230736703e-05,0.0002450949978083372,5.095830601931084e-06,0.0,28,0.0006937452708370984,0.0002173588436562568,0.0004726566548924893,3.7297704693628475e-06,0.0,19
15,750,0.0005698100430890918,0.00016479307669214904,0.00040103920036926866,3.977788310294272e-06,0.0,18,0.00047055684262886643,0.00013071834109723568,0.0003345273726154119,5.311114819050999e-06,0.0,27,0.00030055930255912244,6.475402187788859e-05,0.00023070804309099913,5.097248958918499e-06,0.0,27,0.0007406019140034914,0.0002770605497062206,0.0004597486404236406,3.7926934055576567e-06,0.0,19
16,800,0.0005382280214689672,0.00014443977852351964,0.0003897698479704559,4.01835950469831e-06,0.0,18,0.0004535720217972994,0.0001278986455872655,0.00032029859721660614,5.374780812417157e-06,0.0,27,0.0002759131311904639,5.117537875776179e-05,0.00021964771440252662,5.090015292807948e-06,0.0,27,0.0005965898744761944,0.00014690427633468062,0.0004458302864804864,3.855303475575056e-06,0.0,19
17,850,0.0005173051031306386,0.00013488653348758817,0.00037837508716620505,4.0434470065520145e-06,0.0,18,0.00044456092291511595,0.00013166315329726785,0.0003074543201364577,5.4434376579592936e-06,0.0,27,0.00026938688824884593,5.4970794735709205e-05,0.00020935837528668344,5.057732778368518e-06,0.0,26,0.0005598249845206738,0.0001260273129446432,0.00042988083441741765,3.916861260222504e-06,0.0,19
18,900,0.0005128852790221572,0.00014155267854221165,0.0003672788152471185,4.053804332215805e-06,0.0,18,0.00041759441955946386,0.00011872974573634565,0.0002933515061158687,5.513164978765417e-06,0.0,27,0.000267280382104218,6.211568688740954e-05,0.0002001484390348196,5.016244358557742e-06,0.0,26,0.0005216124118305743,0.00010705808381317183,0.00041059154318645597,3.96279256165144e-06,0.0,18
19,950,0.00047626602463424206,0.00011531866766745225,0.00035689552896656096,4.051831638207659e-06,0.0,18,0.0003790934570133686,9.314865747001022e-05,0.0002803578390739858,5.586959105130518e-06,0.0,27,0.00023651828814763576,3.881557495333254e-05,0.0001927253615576774,4.977344815415563e-06,0.0,25,0.0004988432629033923,9.627561667002738e-05,0.00039853842463344336,4.029265255667269e-06,0.0,17
20,1000,0.00045857069198973477,0.00010843312338693067,0.0003460992593318224,4.038300630782032e-06,0.0,18,0.0003621733339969069,8.713073475519195e-05,0.00026939655072055757,5.646062163577881e-06,0.0,26,0.00022432352125179023,3.458591163507663e-05,0.00018480169819667935,4.935910510539543e-06,0.0,25,0.0004794964916072786,9.123798372456804e-05,0.00038417556788772345,4.082959094375838e-06,0.0,17
21,1050,0.0004424726066645235,0.00010288948396919295,0.00033556873677298427,4.014382284367457e-06,0.0,18,0.00035184057196602225,8.820726361591369e-05,0.00025794925750233233,5.684044026565971e-06,0.0,25,0.00023185137251857668,4.9199177738046274e-05,0.00017774244770407677,4.909748895443045e-06,0.0,24,0.00045394618064165115,7.977301720529795e-05,0.0003700426605064422,4.130501110921614e-06,0.0,17
22,1100,0.0004277067200746387,9.853053779806942e-05,0.00032519488013349473,3.981323516200064e-06,0.0,18,0.0003403068985790014,8.570799400331452e-05,0.00024889694759622216,5.701971986127319e-06,0.0,24,0.00022413207625504583,4.7423360229004174e-05,0.00017179248970933259,4.916228135698475e-06,0.0,22,0.000435708265285939,7.374201959464699e-05,0.0003577855241019279,4.180702944722725e-06,0.0,17
23,1150,0.0004156189097557217,9.682776726549491e-05,0.00031487064552493393,3.920499239029596e-06,0.0,16,0.0003191379946656525,7.390287646558136e-05,0.00023947465524543077,5.76045340494602e-06,0.0,24,0.00026319868629798293,9.214056626660749e-05,0.00016615085769444704,4.907243692287011e-06,0.0,22,0.00041830071131698787,6.95515118422918e-05,0.0003445230540819466,4.226139481033897e-06,0.0,17
24,1200,0.00040744009311310947,9.82489000307396e-05,0.00030530261574313045,3.888595074386103e-06,0.0,16,0.00033492056536488235,9.75759030552581e-05,0.0002315143938176334,5.830292593600461e-06,0.0,24,0.00019218017405364662,2.7481826691655442e-05,0.00015980219177436084,4.896153313893592e-06,0.0,22,0.00041357273585163057,7.471010758308694e-05,0.00033460475970059633,4.257852197042666e-06,0.0,16
25,1250,0.00039973636739887297,9.922395838657394e-05,0.0002966341271530837,3.878283223457402e-06,0.0,16,0.0003129666147287935,8.395930490223691e-05,0.00022311386419460177,5.8934515436703805e-06,0.0,24,0.00019729416817426682,3.8265978218987584e-05,0.00015414395602419972,4.884226655121893e-06,0.0,22,0.00041613198118284345,8.794387395028025e-05,0.00032390496926382184,4.283162979845656e-06,0.0,16
26,1300,0.00037493600393645465,8.305334631586447e-05,0.00028802623273804784,3.856420335068833e-06,0.0,15,0.0002817811327986419,6.033899626345374e-05,0.00021549650409724563,5.945623342995532e-06,0.0,24,0.00021023325098212808,5.5856846302049235e-05,0.00014951244520489126,4.863966751145199e-06,0.0,21,0.00038304534973576665,6.52934395475313e-05,0.0003134414437226951,4.310458280087914e-06,0.0,16
27,1350,0.00037899662856943905,9.50309622567147e-05,0.000280103791737929,3.861867298837751e-06,0.0,15,0.0002730762353166938,5.791420699097216e-05,0.00020917729125358164,5.9847325246664695e-06,0.0,24,0.00018055767577607185,3.148881296510808e-05,0.00014422634558286518,4.842519501835341e-06,0.0,21,0.00037014370900578797,6.24066378804855e-05,0.0003034007386304438,4.33632112617488e-06,0.0,16
28,1400,0.000356734060915187,7.921671931399032e-05,0.00027364713605493307,3.870197360811289e-06,0.0,15,0.000267668190645054,5.8216308389091864e-05,0.00020344041695352644,6.0114521147625055e-06,0.0,24,0.000172135274624452,2.6983463612850755e-05,0.00014029508747626096,4.856729901803192e-06,0.0,20,0.0003555243310984224,5.711589255952276e-05,0.0002940478443633765,4.360607817943674e-06,0.0,16
29,1450,0.0003511659160722047,7.95640007709153e-05,0.00026772351702675223,3.878406005242141e-06,0.0,15,0.00026052133762277663,5.4975484090391546e-05,0.0001995189959416166,6.026846676832065e-06,0.0,24,0.0001694772654445842,2.9177715987316333e-05,0.00013544567627832294,4.853883638133993e-06,0.0,20,0.0003438672283664346,5.484459688887e-05,0.00028463982744142413,4.38280312664574e-06,0.0,16
30,1500,0.00034442346077412367,7.812662079231814e-05,0.0002624115440994501,3.88531543649151e-06,0.0,15,0.0003031958476640284,0.00010168654989684,0.0001954788458533585,6.030470558471279e-06,0.0,24,0.00016328781202901155,2.702434539969545e-05,0.00013142482202965766,4.838637778448174e-06,0.0,20,0.00033491503563709557,5.44940703548491e-05,0.0002760172646958381,4.403696493682219e-06,0.0,16
31,1550,0.0003318556409794837,7.055683090584353e-05,0.00025740786804817617,3.890951120411046e-06,0.0,15,0.0002606974740047008,6.410321657313034e-05,0.0001905685057863593,6.025758011674043e-06,0.0,24,0.00016087089898064733,2.8492931960499845e-05,0.00012755737407132983,4.820591584575595e-06,0.0,20,0.00032310030655935407,5.0870356062659994e-05,0.00026780818006955087,4.42175951320678e-06,0.0,16
32,1600,0.00032836163882166147,7.075088797137141e-05,0.00025371540687046945,3.895329427905381e-06,0.0,15,0.0003336202644277364,0.00014004213153384626,0.0001875600719358772,6.018061412760289e-06,0.0,24,0.00018093375547323376,5.17598855367396e-05,0.00012436539691407233,4.808476660400629e-06,0.0,20,0.000318613339914009,5.44032191100996e-05,0.00025977191398851573,4.438222276803572e-06,0.0,16
33,1650,0.0003361747076269239,8.289638935821131e-05,0.00024937992566265166,3.898408522218233e-06,0.0,15,0.0002551361103542149,6.31851507932879e-05,0.0001858752511907369,6.075714736653026e-06,0.0,23,0.00016438444436062127,3.790857226704247e-05,0.00012167944805696607,4.7964226723706815e-06,0.0,20,0.00030742931994609535,5.079315815237351e-05,0.00025218320661224425,4.452948360267328e-06,0.0,16
34,1700,0.00034614664036780596,9.649282583268359e-05,0.00024575338466092944,3.9004330574243795e-06,0.0,15,0.00026042043464258313,7.458736945409328e-05,0.00017973905778490007,6.09397920925403e-06,0.0,23,0.00014806317631155252,2.425472303002607e-05,0.00011902498954441398,4.783464646607172e-06,0.0,20,0.0003372760256752372,8.716372394701466e-05,0.0002456463407725096,4.4659559534920845e-06,0.0,16
35,1750,0.00031265366123989224,6.67092899675481e-05,0.00024204299552366138,3.901369382219855e-06,0.0,15,0.00023863770184107125,5.638559741782956e-05,0.00017615407705307007,6.098029643908376e-06,0.0,22,0.00014687572547700256,2.479347494954709e-05,0.00011731022095773369,4.772021384269465e-06,0.0,19,0.0003118443419225514,6.89457738189958e-05,0.0002384207909926772,4.4777680159313604e-06,0.0,16
36,1800,0.0003082842449657619,6.574429426109418e-05,0.0002386382984695956,3.901669060724089e-06,0.0,15,0.0002314091834705323,5.417959619080648e-05,0.00017115708033088595,6.072511041566031e-06,0.0,22,0.00014628004282712936,2.630494418554008e-05,0.00011521617852849886,4.758918748848373e-06,0.0,19,0.00028191166347824037,4.5775559556204826e-05,0.00023164767480921,4.48841728939442e-06,0.0,16
