,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1
0,0,0.4011705815792084,0.4001087248325348,0.0010518485214561224,9.999999747378752e-06,0.0,60,0.3157292902469635,0.31451770663261414,0.0012015835382044315,9.999999747378752e-06,0.0,60
1,50,0.011099529452621937,0.009831028059124947,0.001261145225726068,7.356499736488331e-06,0.0,60,0.01444843877106905,0.013316876254975796,0.0011236767750233412,7.885568265919574e-06,0.0,60
2,100,0.003950160462409258,0.0030555955599993467,0.0008876855717971921,6.8790682234975975e-06,0.0,60,0.008196614682674408,0.00723160058259964,0.0009577280725352466,7.285708761628484e-06,0.0,60
3,150,0.002089236630126834,0.0012276897905394435,0.0008550461498089135,6.5007257035176735e-06,0.0,59,0.003739515319466591,0.002852880395948887,0.0008801158401183784,6.518931968457764e-06,0.0,60
4,200,0.00160704564768821,0.0008025376009754837,0.0007983452524058521,6.162775662232889e-06,0.0,56,0.0026034461334347725,0.001866305130533874,0.0007312490488402545,5.891934961255174e-06,0.0,51
5,250,0.0013307711342349648,0.0006339838728308678,0.0006908998475410044,5.8874234127870295e-06,0.0,50,0.0020486810244619846,0.001422701752744615,0.0006204820238053799,5.497103757079458e-06,0.0,44
6,300,0.0011186301708221436,0.0005447316216304898,0.0005682962946593761,5.602300007012673e-06,0.0,45,0.001702573848888278,0.001132081844843924,0.0005653448170050979,5.147201136423973e-06,0.0,38
7,350,0.0009277965291403234,0.0004643088614102453,0.00045817927457392216,5.308343133947346e-06,0.0,41,0.00145199173130095,0.0009113565320149064,0.00053577427752316,4.860959506913787e-06,0.0,33
8,400,0.0007219758117571473,0.0003543244965840131,0.0003625660901889205,5.085257726022974e-06,0.0,36,0.0012652365257963538,0.000747832003980875,0.0005128234042786062,4.5810770643583965e-06,0.0,30
9,450,0.0005759440246038139,0.00024450692581012845,0.0003265460836701095,4.891027856501751e-06,0.0,33,0.0011269721435382962,0.0006093655829317868,0.0005131190409883857,4.487462774704909e-06,0.0,26
10,500,0.0005198580329306424,0.0002049316099146381,0.0003101725596934557,4.753903340315446e-06,0.0,28,0.001023592776618898,0.0005153726669959724,0.0005037634982727468,4.4566277210833505e-06,0.0,25
11,550,0.0004375024000182748,0.00013508361007552594,0.0002978052943944931,4.613486453308724e-06,0.0,28,0.0009569573448970914,0.0004514385655056685,0.00050108612049371,4.432653895491967e-06,0.0,25
12,600,0.0004074268217664212,0.00011487468145787716,0.0002880179090425372,4.5342185330810025e-06,0.0,27,0.0009268320281989872,0.00042259597103111446,0.0004998268559575081,4.409167104313383e-06,0.0,23
13,650,0.0003859011339955032,0.00010102881788043305,0.0002803556271828711,4.516693934419891e-06,0.0,25,0.0008848778088577092,0.00037494610296562314,0.0005054933135397732,4.438390078576049e-06,0.0,23
14,700,0.00038864059024490416,0.0001109891600208357,0.0002731276908889413,4.523752068053e-06,0.0,24,0.000840119319036603,0.000340779050020501,0.0004948626738041639,4.477538823266514e-06,0.0,23
15,750,0.0003493005351629108,7.8370634582825e-05,0.00026636896654963493,4.560960860544583e-06,0.0,24,0.0008116612443700433,0.000319622311508283,0.0004875240265391767,4.514960437518312e-06,0.0,22
16,800,0.00033321461523883045,6.959766324143857e-05,0.000259019696386531,4.597264705807902e-06,0.0,23,0.0007780282758176327,0.0003089543606620282,0.0004645011213142425,4.572807029035175e-06,0.0,22
17,850,0.0003331280604470521,7.761814049445093e-05,0.0002508791512809694,4.630773673852673e-06,0.0,23,0.0007489912095479667,0.0002835300110746175,0.00046082213521003723,4.639106919057667e-06,0.0,22
18,900,0.0003136401646770537,6.63419850752689e-05,0.0002426398277748376,4.658371835830621e-06,0.0,23,0.0007269749185070395,0.00027568594668991864,0.0004465886449906975,4.700312274508178e-06,0.0,22
19,950,0.0003108968958258629,7.234773511299863e-05,0.00023386944667436182,4.679729954659706e-06,0.0,23,0.0007231035851873457,0.0002719769545365125,0.00044636771781370044,4.758892373502022e-06,0.0,22
20,1000,0.00028889483655802906,5.918275564908981e-05,0.00022497128520626575,4.740796157420846e-06,0.0,23,0.000693277979735285,0.0002567838237155229,0.0004316825361456722,4.811600774701219e-06,0.0,22
21,1050,0.0002746532263699919,5.46273440704681e-05,0.00021523155737668276,4.7943399295036215e-06,0.0,22,0.0006909866933710873,0.0002573004749137908,0.0004288303607609123,4.855845418205718e-06,0.0,22
22,1100,0.00026581936981529,5.30662655364722e-05,0.00020793509611394256,4.818028173758648e-06,0.0,22,0.000663021404761821,0.0002496282395441085,0.00040850084042176604,4.892269771517022e-06,0.0,22
23,1150,0.00025244313292205334,4.7227167669916525e-05,0.00020037293143104762,4.843020178668667e-06,0.0,22,0.0006234559696167707,0.00022738325060345232,0.00039115475374273956,4.917937530990457e-06,0.0,22
24,1200,0.0002456411602906883,4.7434506996069103e-05,0.0001933449093485251,4.861730303673539e-06,0.0,22,0.0005910364561714232,0.00021664284577127546,0.0003694605838973075,4.933039235766046e-06,0.0,22
25,1250,0.00025808284408412874,6.646934343734756e-05,0.0001867386745288968,4.87482748212642e-06,0.0,22,0.0005582839949056506,0.0002096493699355051,0.0003436954866629094,4.939142854709644e-06,0.0,21
26,1300,0.000235978135606274,4.9859987484524027e-05,0.00018122210167348385,4.89604963149759e-06,0.0,21,0.0005355118191801012,0.00020200447761453688,0.000328588648699224,4.918694230582332e-06,0.0,21
