,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0
55,2750,4.024842564831488e-05,1.6766663975431584e-05,2.0311899788794108e-05,3.1698618840891868e-06,0.0,20
56,2800,4.0073791751638055e-05,1.7086673324229196e-05,1.9817656720988452e-05,3.1694635254098102e-06,0.0,20
57,2850,3.973861021222547e-05,1.6865609723026864e-05,1.9703680663951673e-05,3.1693200526206056e-06,0.0,20
58,2900,3.8986247091088444e-05,1.672243161010556e-05,1.909922866616398e-05,3.1645877243136056e-06,0.0,19
59,2950,3.720114546013065e-05,1.6111995137180202e-05,1.7927432054420933e-05,3.1617196327715646e-06,0.0,19
60,3000,3.876502887578681e-05,1.6646081348881125e-05,1.89622187463101e-05,3.1567301448376384e-06,0.0,19
61,3050,3.826957254204899e-05,1.671787140367087e-05,1.8403579815640114e-05,3.148120867990656e-06,0.0,19
62,3100,3.629917046055198e-05,1.5934805560391396e-05,1.7225200281245634e-05,3.139165755783324e-06,0.0,19
63,3150,3.5304943594383076e-05,1.538023934699595e-05,1.67850885191001e-05,3.139614136671298e-06,0.0,19
64,3200,3.6862878914689645e-05,1.60534618771635e-05,1.7669490262051113e-05,3.139929503959138e-06,0.0,19
65,3250,3.646797631517984e-05,1.60205800057156e-05,1.7305130313616246e-05,3.14226463160594e-06,0.0,18
66,3300,3.6339162761578336e-05,1.6491327187395655e-05,1.670771962380968e-05,3.1401179967360804e-06,0.0,18
67,3350,3.4494176361477e-05,1.5497162166866474e-05,1.586299913469702e-05,3.1340118766820524e-06,0.0,18
68,3400,3.558061143849045e-05,1.584891833772417e-05,1.660138150327839e-05,3.1303152354666963e-06,0.0,18
69,3450,3.518793164403178e-05,1.5958657968440093e-05,1.609788159839809e-05,3.1313948056777008e-06,0.0,18
70,3500,3.574988659238443e-05,1.5907806300674565e-05,1.6709536794223823e-05,3.1325444069807418e-06,0.0,18
71,3550,3.322132761240937e-05,1.5104303201951552e-05,1.4983695109549444e-05,3.1333297556557227e-06,0.0,18
72,3600,3.410300632822327e-05,1.5225295101117808e-05,1.57438716996694e-05,3.1338374810729874e-06,0.0,18
73,3650,3.496256613289006e-05,1.581416290719062e-05,1.6013642380130477e-05,3.134763801426743e-06,0.0,18
74,3700,3.302576078567654e-05,1.5192063983704429e-05,1.4698161976411939e-05,3.1355334613181185e-06,0.0,18
