,epoch,total_0,decoder_0,sindy_x_0,latent_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,total_1,decoder_1,sindy_x_1,latent_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,total_2,decoder_2,sindy_x_2,latent_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2,total_3,decoder_3,sindy_x_3,latent_3,reg_3,sindy_z_3,active_coeffs_3,coeff_3,total_4,decoder_4,sindy_x_4,latent_4,reg_4,sindy_z_4,active_coeffs_4,coeff_4
0,0,0.035817950963974,35.81795120239258,0.8053301572799683,0.0,0.0099999997764825,0.0,60,0.0,0.0298502035439014,29.850202560424805,1.447542428970337,0.0,0.0099999997764825,0.0,60,0.0,0.0386322736740112,38.63227081298828,1.0788919925689695,0.0,0.0099999997764825,0.0,60,0.0,0.030079461634159,30.07946014404297,1.0612115859985352,0.0,0.0099999997764825,0.0,60,0.0,0.03443630784749985,34.43630599975586,0.943482518196106,0.0,0.009999999776482582,0.0,60,0.0
1,10,0.0170267559587955,17.026756286621094,0.8053162097930908,0.0,0.0099999997764825,0.0,60,0.0,0.0150265637785196,15.02656364440918,1.4472663402557373,0.0,0.0099999997764825,0.0,60,0.0,0.0186287946999073,18.628795623779297,1.0949690341949463,0.0,0.0099999997764825,0.0,60,0.0,0.0141852814704179,14.185280799865724,1.0611073970794678,0.0,0.0099999997764825,0.0,60,0.0,0.01635848730802536,16.35848617553711,0.9459720849990845,0.0,0.009999999776482582,0.0,60,0.0
2,20,0.0108671151101589,10.867115020751951,0.8054966926574707,0.0,0.0099999997764825,0.0,60,0.0,0.0112000629305839,11.200063705444336,1.4477459192276,0.0,0.0099999997764825,0.0,60,0.0,0.0122925657778978,12.292566299438477,1.131080985069275,0.0,0.0099999997764825,0.0,60,0.0,0.0102940984070301,10.294097900390623,1.061096429824829,0.0,0.0099999997764825,0.0,60,0.0,0.011136554181575775,11.136554718017578,0.9481964111328125,0.0,0.009999999776482582,0.0,60,0.0
3,30,0.0090649640187621,9.064964294433594,0.8056583404541016,0.0,0.0099999997764825,0.0,60,0.0,0.0104866959154605,10.486696243286133,1.4485474824905396,0.0,0.0099999997764825,0.0,60,0.0,0.0102036241441965,10.20362377166748,1.1778260469436646,0.0,0.0099999997764825,0.0,60,0.0,0.0093513820320367,9.351381301879885,1.061146259307861,0.0,0.0099999997764825,0.0,60,0.0,0.009756829589605331,9.756830215454102,0.9486247301101685,0.0,0.009999999776482582,0.0,60,0.0
4,40,0.0086823757737874,8.68237590789795,0.8054908514022827,0.0,0.0099999997764825,0.0,60,0.0,0.0102671962231397,10.26719570159912,1.449138045310974,0.0,0.0099999997764825,0.0,60,0.0,0.0092958677560091,9.295867919921877,1.2245051860809326,0.0,0.0099999997764825,0.0,60,0.0,0.0091186501085758,9.11864948272705,1.0612977743148804,0.0,0.0099999997764825,0.0,60,0.0,0.009368186816573143,9.368186950683594,0.9493662714958191,0.0,0.009999999776482582,0.0,60,0.0
5,50,0.0085983946919441,8.598394393920898,0.8054201602935791,0.0,0.0099999997764825,0.0,60,0.0,0.0102110151201486,10.211015701293944,1.450371503829956,0.0,0.0099999997764825,0.0,60,0.0,0.0089846681803464,8.984668731689453,1.2544225454330444,0.0,0.0099999997764825,0.0,60,0.0,0.008988307788968,8.98830795288086,1.061443567276001,0.0,0.0099999997764825,0.0,60,0.0,0.00922314915806055,9.223148345947266,0.951758861541748,0.0,0.009999999776482582,0.0,60,0.0
6,60,0.0085200648754835,8.520064353942871,0.8055287599563599,0.0,0.0099999997764825,0.0,60,0.0,0.010171846486628,10.171846389770508,1.45305335521698,0.0,0.0099999997764825,0.0,60,0.0,0.0088582262396812,8.85822582244873,1.2846932411193848,0.0,0.0099999997764825,0.0,60,0.0,0.0087390122935175,8.739011764526367,1.061789631843567,0.0,0.0099999997764825,0.0,60,0.0,0.009148034267127514,9.14803409576416,0.9566997289657593,0.0,0.009999999776482582,0.0,60,0.0
7,70,0.0084257815033197,8.42578125,0.8059558868408203,0.0,0.0099999997764825,0.0,60,0.0,0.0100815296173095,10.08152961730957,1.4603674411773682,0.0,0.0099999997764825,0.0,60,0.0,0.0087159387767314,8.71593952178955,1.348747491836548,0.0,0.0099999997764825,0.0,60,0.0,0.0082610752433538,8.261075973510742,1.0630158185958862,0.0,0.0099999997764825,0.0,60,0.0,0.009040623903274536,9.04062271118164,0.9682263135910034,0.0,0.009999999776482582,0.0,60,0.0
8,80,0.0082808686420321,8.280868530273438,0.8076688051223755,0.0,0.0099999997764825,0.0,60,0.0,0.0099067296832799,9.906730651855469,1.483529567718506,0.0,0.0099999997764825,0.0,60,0.0,0.0084694139659404,8.469413757324219,1.4899053573608398,0.0,0.0099999997764825,0.0,60,0.0,0.0074918451718986,7.49184513092041,1.066784381866455,0.0,0.0099999997764825,0.0,60,0.0,0.00886262021958828,8.86262035369873,0.9977753162384033,0.0,0.009999999776482582,0.0,60,0.0
9,90,0.0080068819224834,8.006881713867188,0.8153793811798096,0.0,0.0099999997764825,0.0,60,0.0,0.0095545463263988,9.554546356201172,1.5611867904663086,0.0,0.0099999997764825,0.0,60,0.0,0.0080516403540968,8.051640510559082,1.819295644760132,0.0,0.0099999997764825,0.0,60,0.0,0.0065877381712198,6.587738037109375,1.0750006437301636,0.0,0.0099999997764825,0.0,60,0.0,0.008560242131352425,8.56024169921875,1.0780762434005737,0.0,0.009999999776482582,0.0,60,0.0
