,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,coeff_3,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,coeff_4
10,500.0,0.007075521629303694,0.0009641278302296996,1.7673496586212423e-06,0.0,10,15.0,0.011541328392922878,0.0015001740539446473,2.0198476704536006e-06,0.0,12,15.0,0.0071368589997291565,0.0012251611333340406,8.662346431265178e-07,0.0,6,11.0,0.008532263338565826,0.000926956650801003,1.7853224107966525e-06,0.0,11,12.0,0.0073721022345125675,0.0010228590108454227,1.9015001271327492e-06,0.0,11,10.0
11,550.0,0.0066821700893342495,0.0009494252735748887,1.8784494386636652e-06,0.0,10,15.0,0.011047258973121643,0.0014369339914992452,2.0992661120544653e-06,0.0,12,15.0,0.0057465685531497,0.001204277970828116,8.659122840981581e-07,0.0,6,11.0,0.007981181144714355,0.0009183640358969569,1.8814745317285997e-06,0.0,11,12.0,0.007074514403939247,0.000994700356386602,1.9138653897243785e-06,0.0,9,12.0
12,600.0,0.006383187603205442,0.00092888850485906,1.99104806597461e-06,0.0,10,15.0,0.010629532858729362,0.0013813178520649672,2.1755627130914945e-06,0.0,12,15.0,0.004916342906653881,0.0011948022292926908,8.761061280893045e-07,0.0,5,10.0,0.007533264812082052,0.0009103446500375867,1.975399300135905e-06,0.0,11,12.0,0.006821031216531992,0.0009747524745762348,1.9614838038251037e-06,0.0,9,12.0
13,650.0,0.006104470696300268,0.0009027642081491649,2.1069811282359296e-06,0.0,10,15.0,0.010264833457767963,0.00133906293194741,2.2411365989682963e-06,0.0,12,15.0,0.004275478422641754,0.0011899920646101236,9.077475056074036e-07,0.0,4,9.0,0.007154090795665979,0.0009023278253152966,2.0677664451795863e-06,0.0,11,12.0,0.006603054702281952,0.0009576155571267009,2.006257773246034e-06,0.0,9,12.0
14,700.0,0.005894949659705162,0.0008745907689444721,2.2238925794226816e-06,0.0,10,15.0,0.009938830509781837,0.0013085942482575774,2.288767518621171e-06,0.0,12,15.0,0.0037571063730865717,0.0011880251113325357,9.455141025682678e-07,0.0,4,9.0,0.00682768365368247,0.0008945580921135843,2.1567061594396364e-06,0.0,11,12.0,0.006410165224224329,0.0009410408674739301,2.0529632820398547e-06,0.0,8,11.0
15,750.0,0.00575106730684638,0.0008532642386853695,2.3344732653640676e-06,0.0,10,15.0,0.009641059674322605,0.0012851760257035494,2.318164888492902e-06,0.0,12,15.0,0.003350253915414214,0.0011831448646262288,9.80093773250701e-07,0.0,4,9.0,0.0065248943865299225,0.0008853572653606534,2.237273520222516e-06,0.0,11,12.0,0.006237731780856848,0.0009246343397535384,2.1014770936744753e-06,0.0,8,11.0
16,800.0,0.005591571796685457,0.0008363986853510141,2.433305553495302e-06,0.0,10,15.0,0.00937206856906414,0.0012652261648327112,2.3324946596403606e-06,0.0,12,15.0,0.003007154678925872,0.001174388686195016,1.013013729789236e-06,0.0,4,9.0,0.006163864862173796,0.0008727876702323556,2.3096943095879396e-06,0.0,11,12.0,0.006078648380935192,0.0009073325782082975,2.148022986148135e-06,0.0,8,11.0
17,850.0,0.00545509485527873,0.0008188741630874574,2.525374611650477e-06,0.0,10,15.0,0.009125807322561741,0.0012471684021875262,2.333541260668426e-06,0.0,12,15.0,0.002734363777562976,0.0011629466898739338,1.044959844875848e-06,0.0,4,9.0,0.0054111173376441,0.0008631208911538124,2.3721297566225985e-06,0.0,11,12.0,0.005936179775744677,0.0008897322695702314,2.190887926190044e-06,0.0,8,11.0
18,900.0,0.005337418057024479,0.000800051202531904,2.6226236968796e-06,0.0,10,15.0,0.008892986923456192,0.0012299495283514261,2.3213556232803967e-06,0.0,12,15.0,0.0025477269664406776,0.0011489192256703973,1.0757357813417912e-06,0.0,4,9.0,0.0036156377755105495,0.000889369344804436,2.4135742933140136e-06,0.0,11,12.0,0.0057980772107839584,0.0008712523267604411,2.2300816908682464e-06,0.0,8,11.0
19,950.0,0.005212740041315556,0.0007776612183079123,2.730333108047489e-06,0.0,10,15.0,0.008665493689477444,0.0012133230920881033,2.2966792130318936e-06,0.0,12,15.0,0.0023241869639605284,0.0011300946353003383,1.1052134141209535e-06,0.0,4,9.0,0.002579270163550973,0.000884109758771956,2.4507737634849036e-06,0.0,11,12.0,0.005674424581229687,0.0008517274400219321,2.266380079163355e-06,0.0,8,11.0
20,1000.0,0.005061766132712364,0.0007497066981159151,2.8522972570499405e-06,0.0,10,15.0,0.008456594310700893,0.0011961852433159947,2.2595654627366457e-06,0.0,12,15.0,0.002150449203327298,0.001106344279833138,1.1321620831949986e-06,0.0,4,9.0,0.0020004468970000744,0.0008632663520984352,2.4982073227874935e-06,0.0,10,11.0,0.005543317645788193,0.0008311696001328528,2.297294031450292e-06,0.0,8,11.0
21,1050.0,0.004635559394955635,0.00071284658042714,2.983645117637934e-06,0.0,10,15.0,0.008233240805566311,0.0011776955798268318,2.2103788523963885e-06,0.0,12,15.0,0.002019105479121208,0.0010790179949253798,1.1558674941625213e-06,0.0,4,9.0,0.001625599223189056,0.0008405343978665769,2.550855697336374e-06,0.0,9,10.0,0.005410586949437857,0.0008093973738141358,2.3216537101689028e-06,0.0,8,11.0
22,1100.0,0.003490822622552514,0.0006805818411521614,3.08618973576813e-06,0.0,10,15.0,0.008003713563084602,0.001156030921265483,2.1509547423193e-06,0.0,12,15.0,0.001890653744339943,0.0010513991583138704,1.1742799870262388e-06,0.0,4,9.0,0.00138007418718189,0.0008247904479503632,2.6170985165663296e-06,0.0,9,10.0,0.005270096473395824,0.000786517804954201,2.339755610591965e-06,0.0,8,11.0
23,1150.0,0.0025373094249516726,0.0006689113797619939,3.1251802283804864e-06,0.0,10,15.0,0.007767184171825647,0.0011305283987894654,2.0832330847042613e-06,0.0,12,15.0,0.0017772250575944781,0.0010242637945339084,1.1873260064021451e-06,0.0,4,9.0,0.0012127008521929383,0.0008101719431579113,2.6871250611293362e-06,0.0,9,10.0,0.005111143458634615,0.0007631478947587311,2.3532338673248887e-06,0.0,8,11.0
24,1200.0,0.002071851398795843,0.0006501416210085154,3.142740297334967e-06,0.0,10,15.0,0.00753961643204093,0.0011013085022568703,2.0121035504416795e-06,0.0,12,15.0,0.0016813136171549559,0.0009967285441234708,1.1975901088590035e-06,0.0,4,9.0,0.0011000069789588451,0.0007959111826494336,2.766434818113339e-06,0.0,9,10.0,0.004896192811429501,0.0007427721284329891,2.3674410840612836e-06,0.0,8,11.0
25,1250.0,0.0017986714374274015,0.0006399087142199278,3.1529395982943242e-06,0.0,9,14.0,0.007311542984098196,0.0010703876614570618,1.950626483449014e-06,0.0,11,14.0,0.00160287378821522,0.0009689407306723297,1.2058401352987858e-06,0.0,4,9.0,0.0010013801511377096,0.0007801037281751633,2.8552356070576934e-06,0.0,9,10.0,0.004421157296746969,0.0007222732529044151,2.402781774435425e-06,0.0,8,11.0
