,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,coeff_3,total_4,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,coeff_4
0,0,0.0352990478277206,0.0342570282518863,0.0010420097969472,1.1725321158451152e-08,0.0,60,0.0,0.0374706760048866,0.0361208021640777,0.0013498575426638,1.4622629329608117e-08,0.0,60,0.0,0.0375616997480392,0.036027405411005,0.0015342769911512,1.7622660664073922e-08,0.0,60,0.0,0.0390356183052063,0.0375348851084709,0.0015007210895419,1.2840287944015928e-08,0.0,60,0.0,0.03891298547387123,0.03761393949389458,0.0012990322429686785,1.370412494594575e-08,0.0,60,0.0
1,50,0.0011702424380928,0.0005081633571535,0.0006619750638492,1.0401937089454805e-07,0.0,60,0.0,0.0010747477645054,0.0005858486401848,0.0004887855029664,1.1359665563759337e-07,0.0,60,0.0,0.0015507867792621,0.0007908975821919,0.0007597802905365,1.0886606105486862e-07,0.0,60,0.0,0.0018292277818545,0.0008089282782748,0.0010201880941167,1.114095340426502e-07,0.0,60,0.0,0.0015081451274454594,0.0006309992168098688,0.0008770279819145799,1.1797897769838528e-07,0.0,60,0.0
2,100,0.0008727746317163,0.0003248509310651,0.0005478039383888,1.1979800262906792e-07,0.0,60,0.0,0.0002534188970457,0.0001201275372295,0.0001331121020484,1.7924155315540704e-07,0.0,58,0.0,0.001183638582006,0.0005761321517638,0.0006073915283195,1.1488944551274473e-07,0.0,60,0.0,0.0014370051212608,0.0005947726313024,0.0008421076345257,1.2480002453685304e-07,0.0,60,0.0,0.0010618859669193625,0.00040380944847129285,0.0006579319015145302,1.4459889996487618e-07,0.0,60,0.0
3,150,0.0008104194421321,0.0003314852947369,0.0004788041405845,1.300523848613011e-07,0.0,60,0.0,0.0001111431774916,4.896361133432947e-05,6.195369496708736e-05,2.25877386128559e-07,0.0,57,0.0,0.0013157475041225,0.0007285058381967,0.0005871020839549,1.395519149127722e-07,0.0,59,0.0,0.0019665975123643,0.0011599709978327,0.0008064934518188,1.3309035296060756e-07,0.0,60,0.0,0.0010038032196462154,0.0004284090537112206,0.0005752289434894919,1.6513747880253504e-07,0.0,60,0.0
4,200,0.0007910403073765,0.0003494452394079,0.0004414501891005,1.4490154853774584e-07,0.0,60,0.0,6.57040363876149e-05,2.3688951841904785e-05,4.174489004071802e-05,2.7019419235330133e-07,0.0,54,0.0,0.0016623570118099,0.0009997737361118,0.0006624002126045,1.8299273563116008e-07,0.0,58,0.0,0.0036767190322279,0.0027761682868003,0.0009003939339891,1.5687675158915226e-07,0.0,60,0.0,0.0010414987336844206,0.0004838137829210609,0.0005574941751547158,1.908301783259958e-07,0.0,59,0.0
5,250,0.0007941120420582,0.0003761899424716,0.0004177576047368,1.6450806583634408e-07,0.0,60,0.0,4.473423177842051e-05,1.4207104868546594e-05,3.022587225132156e-05,3.0125241323730734e-07,0.0,51,0.0,0.0024567644577473,0.0015934025868773,0.0008631351520307,2.2682277744934254e-07,0.0,58,0.0,0.0060521000996232,0.0048885671421885,0.0011633440153673,1.8896622577813105e-07,0.0,59,0.0,0.0012413867516443133,0.0006378146354109049,0.0006033584359101951,2.1366638236486324e-07,0.0,59,0.0
6,300,0.0008853367180563,0.0004522815870586,0.0004328728537075,1.8222459630123922e-07,0.0,60,0.0,3.295794522273354e-05,9.742131624079777e-06,2.289424446644261e-05,3.2156978591046936e-07,0.0,51,0.0,0.003764797700569,0.0025913417339324,0.0011731962440535,2.594971135749802e-07,0.0,57,0.0,0.0090562691912055,0.0075020901858806,0.0015539593296125,2.197009365545455e-07,0.0,59,0.0,0.001550600049085915,0.0008856884087435901,0.0006646770634688437,2.3454109054910077e-07,0.0,58,0.0
7,350,0.0011247071670368,0.0006568211247213,0.00046768510947,2.009533943692077e-07,0.0,60,0.0,2.548376687627752e-05,7.161568646552041e-06,1.798806079023052e-05,3.341374963383714e-07,0.0,48,0.0,0.0048165437765419,0.003395123174414,0.0014211382949724,2.8240066285434295e-07,0.0,57,0.0,0.0123326471075415,0.0102669028565287,0.0020654939580708,2.502794984593493e-07,0.0,59,0.0,0.0018793940544128418,0.001143562258221209,0.0007355802226811647,2.5159934580187837e-07,0.0,58,0.0
8,400,0.0014046945143491,0.0009124405914917,0.0004920332576148,2.207614073768127e-07,0.0,60,0.0,2.071591552521568e-05,5.29025692230789e-06,1.5084508959262166e-05,3.411498141758784e-07,0.0,48,0.0,0.0055240946821868,0.003962505608797,0.0015612917486578,2.975838242491591e-07,0.0,56,0.0,0.014982296153903,0.0123981880024075,0.002583832712844,2.756324590791337e-07,0.0,59,0.0,0.0021834669169038534,0.0013683340512216091,0.0008148670895025134,2.655793309713772e-07,0.0,58,0.0
9,450,0.0015975167043507,0.0010905608069151,0.0005067191668786,2.3677581850733986e-07,0.0,60,0.0,1.7547070456203073e-05,4.222577899781754e-06,1.2978192899026908e-05,3.462992026470602e-07,0.0,47,0.0,0.0059638461098074,0.0043282262049615,0.0016353131504729,3.067186469252192e-07,0.0,53,0.0,0.0176801532506942,0.0146191865205764,0.0030606721993535,2.941828256552981e-07,0.0,59,0.0,0.0024680872447788715,0.0015745306154713035,0.0008932785713113844,2.7807030278381717e-07,0.0,57,0.0
