,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,coeff_3,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,coeff_4,decoder_5,sindy_x_5,reg_5,sindy_z_5,active_coeffs_5,coeff_5,decoder_6,sindy_x_6,reg_6,sindy_z_6,active_coeffs_6,coeff_6,decoder_7,sindy_x_7,reg_7,sindy_z_7,active_coeffs_7,coeff_7,decoder_8,sindy_x_8,reg_8,sindy_z_8,active_coeffs_8,coeff_8,decoder_9,sindy_x_9,reg_9,sindy_z_9,active_coeffs_9,coeff_9
0,0.0,0.03434225544333458,0.0010408306261524558,9.999999747378752e-06,0.0,60,0.0,0.04069596156477928,0.0013038187753409147,9.999999747378752e-06,0.0,60,0.0,0.037264302372932434,0.001340672024525702,9.999999747378752e-06,0.0,60,0.0,0.03424602374434471,0.0011391927255317569,9.999999747378752e-06,0.0,60,0.0,0.03602828457951546,0.0018419986590743065,9.999999747378752e-06,0.0,60,0.0,0.03209949657320976,0.0011912782210856676,9.999999747378752e-06,0.0,60,0.0,0.03665986657142639,0.0019879587925970554,9.999999747378752e-06,0.0,60,0.0,0.03161797672510147,0.001762188272550702,9.999999747378752e-06,0.0,60,0.0,0.040398478507995605,0.0013690049527212977,9.999999747378752e-06,0.0,60,0.0,0.034923769533634186,0.0013769061770290136,9.999999747378752e-06,0.0,60,0.0
1,50.0,0.00030823799897916615,0.00022298662224784493,7.834752068447415e-06,0.0,55,0.0,0.000533631828147918,0.0003466315392870456,8.430401976511348e-06,0.0,56,0.0,0.00037301387055777013,0.00021437964460346848,8.241548130172305e-06,0.0,55,0.14285714285714285,0.0003055199922528118,0.0002376538177486509,7.090951839927584e-06,0.0,56,0.0,0.0005248193047009408,0.0004464560770429671,8.501818228978664e-06,0.0,56,0.0,0.000525713141541928,0.000529652286786586,6.1659252423851285e-06,0.0,52,0.0,0.0005920826806686819,0.0004619006940629333,6.894026228110306e-06,0.0,49,0.0,0.0004896006430499256,0.0004128343425691128,7.637706403329503e-06,0.0,56,0.14285714285714285,0.0007453716243617237,0.0006412744987756014,8.168276508513372e-06,0.0,55,0.0,0.00042125696199946105,0.0004243384173605591,8.818830792733934e-06,0.0,57,0.0
2,100.0,0.00015423774311784655,0.00014606387412641197,8.23493792267982e-06,0.0,51,0.0,0.0002115549286827445,0.00015525909839197993,9.398175279784482e-06,0.0,53,0.0,0.00014106395246926695,0.0001356467982986942,8.797464943199884e-06,0.0,53,0.14285714285714285,0.00012998042802792042,0.0001277116680284962,8.356796570296865e-06,0.0,52,0.0,0.00017687460058368742,0.0001890940184239298,9.467431482335087e-06,0.0,55,0.0,0.00017442763783037663,0.00021658498735632747,7.24979190636077e-06,0.0,51,0.0,0.00025514388107694685,0.00023162800061982125,7.908580300863832e-06,0.0,47,0.0,0.00023092352785170078,0.00021475872199516743,8.111585884762462e-06,0.0,52,0.14285714285714285,0.0001792975963326171,0.00014028363511897624,7.571107744297478e-06,0.0,48,0.14285714285714285,0.00015172973508015275,0.00014673979603685439,9.518077604298014e-06,0.0,53,0.14285714285714285
3,150.0,8.55279722600244e-05,9.052587847691029e-05,9.428214070794638e-06,0.0,47,0.14285714285714285,0.00013389578089118004,9.437652624910697e-05,1.0641429980751127e-05,0.0,48,0.0,6.591358396690339e-05,8.488656021654606e-05,9.899060387397185e-06,0.0,48,0.14285714285714285,6.714696792187169e-05,7.593118061777204e-05,9.66723746387288e-06,0.0,45,0.0,8.857343345880508e-05,9.855216194409877e-05,1.0524076969886664e-05,0.0,55,0.0,0.000122309269499965,0.00013077212497591972,8.016406354727224e-06,0.0,50,0.0,0.00014506830484606326,0.00014843055396340787,8.754972441238351e-06,0.0,42,0.14285714285714285,0.00014202405873220414,0.00013029096589889377,9.086227692023385e-06,0.0,47,0.14285714285714285,9.7279240435455e-05,7.031689892755821e-05,8.787621482042596e-06,0.0,43,0.14285714285714285,9.338763629784808e-05,8.04466035333462e-05,1.0509911589906551e-05,0.0,51,0.14285714285714285
4,200.0,4.7585712309228256e-05,5.951495768385939e-05,1.0432589988340624e-05,0.0,43,0.14285714285714285,8.26389150461182e-05,5.644523480441421e-05,1.160944430012023e-05,0.0,45,0.14285714285714285,3.094135536230169e-05,6.320700776996091e-05,1.0867966921068728e-05,0.0,47,0.14285714285714285,3.3445830922573805e-05,4.453115980140865e-05,1.027577218337683e-05,0.0,40,0.0,5.1854476623702794e-05,6.344809662550688e-05,1.1349445230735e-05,0.0,51,0.0,8.885541319614276e-05,8.235331915784627e-05,8.386396984860767e-06,0.0,50,0.0,8.731942943995818e-05,9.434881940251216e-05,9.512558790447656e-06,0.0,39,0.2857142857142857,8.6190142610576e-05,8.934078505262733e-05,9.840610800893046e-06,0.0,46,0.14285714285714285,5.643771146424115e-05,4.438797986949794e-05,9.316750947618857e-06,0.0,41,0.14285714285714285,5.466809307108633e-05,5.0527243729447946e-05,1.0844116332009435e-05,0.0,47,0.14285714285714285
5,250.0,3.0383884222828783e-05,4.207191523164511e-05,1.1239051673328504e-05,0.0,41,0.14285714285714285,5.004206468584016e-05,4.101237573195249e-05,1.2560180948639754e-05,0.0,44,0.14285714285714285,2.0301547920098528e-05,5.114444502396509e-05,1.1581772014324088e-05,0.0,46,0.14285714285714285,1.9651155525934882e-05,3.138256579404697e-05,1.0916325663856696e-05,0.0,39,0.0,3.424517490202561e-05,4.32231645390857e-05,1.2076915481884498e-05,0.0,48,0.0,6.565122021129355e-05,6.858121196273714e-05,8.53499113873113e-06,0.0,47,0.14285714285714285,5.971513382974081e-05,6.75355113344267e-05,1.004046862362884e-05,0.0,37,0.2857142857142857,5.504503133124672e-05,6.700693484162912e-05,1.0586323696770705e-05,0.0,45,0.14285714285714285,3.5619683330878615e-05,3.0362676625372842e-05,9.60754641710082e-06,0.0,41,0.14285714285714285,3.2692001695977524e-05,3.6898243706673384e-05,1.103459726436995e-05,0.0,43,0.14285714285714285
6,300.0,2.1393634597188793e-05,3.1747345929034054e-05,1.1885265848832205e-05,0.0,39,0.14285714285714285,3.32330928358715e-05,3.0769617296755314e-05,1.337383218924515e-05,0.0,43,0.14285714285714285,1.626312587177381e-05,4.3169446144020185e-05,1.212344977830071e-05,0.0,41,0.14285714285714285,1.3374368791119196e-05,2.288928590132855e-05,1.1480605280667078e-05,0.0,38,0.0,2.5696183001855388e-05,3.268926593591459e-05,1.2683721251960378e-05,0.0,47,0.0,4.9086880608228967e-05,6.218931230250746e-05,8.62877095642034e-06,0.0,46,0.14285714285714285,4.172432090854272e-05,5.01266767969355e-05,1.0465649211255368e-05,0.0,35,0.2857142857142857,3.758200546144508e-05,5.477868762682192e-05,1.1429179721744731e-05,0.0,45,0.14285714285714285,2.2289064872893505e-05,2.408988802926615e-05,9.778984349395614e-06,0.0,41,0.14285714285714285,2.181396666856017e-05,2.3676766431890428e-05,1.1038328011636622e-05,0.0,41,0.2857142857142857
7,350.0,1.5142318261496257e-05,2.3623460947419517e-05,1.2354219506960362e-05,0.0,38,0.14285714285714285,2.2248181267059408e-05,2.2106885808170773e-05,1.4031853424967267e-05,0.0,42,0.14285714285714285,1.3149957339919638e-05,3.357429159223102e-05,1.2583881471073255e-05,0.0,40,0.14285714285714285,9.904725629894529e-06,1.6149449947988614e-05,1.1845957487821579e-05,0.0,37,0.0,1.8970085875480436e-05,2.5233366613974795e-05,1.3142645002517384e-05,0.0,47,0.0,3.692763493745588e-05,3.68461842299439e-05,8.687073204782791e-06,0.0,45,0.2857142857142857,3.1314120860770345e-05,3.889049548888579e-05,1.0814895176736172e-05,0.0,33,0.2857142857142857,2.8679296519840136e-05,4.693499795394018e-05,1.2104765119147487e-05,0.0,43,0.14285714285714285,1.6488551409565844e-05,3.081143586314283e-05,9.900310942612123e-06,0.0,38,0.14285714285714285,1.600852920091711e-05,1.864685873442795e-05,1.103991689888062e-05,0.0,40,0.2857142857142857
8,400.0,1.0844402822840493e-05,1.863922989286948e-05,1.2732821232930291e-05,0.0,37,0.14285714285714285,1.5626334061380476e-05,1.77597703441279e-05,1.452088872611057e-05,0.0,42,0.14285714285714285,1.0209248102910351e-05,2.5923549401341006e-05,1.2938517102156766e-05,0.0,39,0.14285714285714285,7.572813956358004e-06,1.1716205335687846e-05,1.20331069410895e-05,0.0,37,0.0,1.4995151104812976e-05,1.997521576413419e-05,1.3468503311742097e-05,0.0,47,0.0,2.789813697745558e-05,3.1331182981375605e-05,8.741826604818925e-06,0.0,45,0.2857142857142857,2.535651219659485e-05,3.038217982975766e-05,1.1097866263298783e-05,0.0,32,0.2857142857142857,2.2788595742895268e-05,4.2966687033185735e-05,1.2668162526097149e-05,0.0,42,0.14285714285714285,1.3468502402247395e-05,1.7899363228934817e-05,9.98444465949433e-06,0.0,38,0.14285714285714285,1.1582898878259584e-05,1.6128678907989524e-05,1.1019254998245742e-05,0.0,39,0.2857142857142857
9,450.0,8.291686754091643e-06,1.4118078070168849e-05,1.300958865613211e-05,0.0,36,0.14285714285714285,1.2248062375874724e-05,1.4862877833365928e-05,1.4835219189990312e-05,0.0,41,0.14285714285714285,7.939625902508851e-06,1.901686846395023e-05,1.3162676623323932e-05,0.0,37,0.14285714285714285,6.905838290549582e-06,9.141496775555424e-06,1.2084758964192588e-05,0.0,36,0.0,1.2938697182107717e-05,1.6355133993783966e-05,1.3677236893272493e-05,0.0,47,0.0,2.1286698029143736e-05,3.897007627529092e-05,8.77634829521412e-06,0.0,44,0.2857142857142857,2.2998325221124105e-05,2.4597638912382536e-05,1.1333779184496962e-05,0.0,32,0.2857142857142857,2.07323428185191e-05,3.3340103982482105e-05,1.313177290285239e-05,0.0,40,0.14285714285714285,1.152653476310661e-05,1.5704512406955473e-05,1.0001356713473797e-05,0.0,37,0.14285714285714285,9.719847184896935e-06,1.3520332686312031e-05,1.0982565981976222e-05,0.0,38,0.2857142857142857
