,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,coeff_3
0,0.0,0.03649560734629631,0.0010572983883321285,9.999999747378752e-06,0.0,60,0.0,0.03213926777243614,0.000850777025334537,9.999999747378752e-06,0.0,60,0.0,0.03534451872110367,0.0012130095856264234,9.999999747378752e-06,0.0,60,0.0,0.0340115912258625,0.0010591030586510897,9.999999747378752e-06,0.0,60,0.0
1,50.0,0.008053946308791637,0.0011278301244601607,9.07013782125432e-06,0.0,60,0.0,0.006853439845144749,0.0009700052905827761,9.11528059077682e-06,0.0,60,0.0,0.007744140457361937,0.001219849567860365,9.171691999654286e-06,0.0,60,0.0,0.008048026822507381,0.0010750311193987727,9.047046660271008e-06,0.0,60,0.0
2,100.0,0.003563579870387912,0.0010903389193117619,8.361804248124827e-06,0.0,60,0.0,0.0030139165464788675,0.000873778248205781,8.43735870148521e-06,0.0,60,0.0,0.004096778575330973,0.0012093160767108202,8.694186362845358e-06,0.0,60,0.0,0.0033792804460972548,0.0010517605114728212,8.566511496610474e-06,0.0,60,0.0
3,150.0,0.00297167943790555,0.0009316823561675847,8.412286661041435e-06,0.0,60,0.0,0.0025824718177318573,0.0007101776427589357,8.476247785438318e-06,0.0,60,0.0,0.0036801998503506184,0.0012009412748739123,8.34256843518233e-06,0.0,60,0.0,0.0024592874106019735,0.0009819198166951537,8.505572623107582e-06,0.0,60,0.0
4,200.0,0.0018640311900526285,0.0008400958031415939,8.335709026141558e-06,0.0,60,0.0,0.0018912559607997537,0.0007170646567828953,8.334264748555142e-06,0.0,60,0.0,0.003462515538558364,0.000965755432844162,8.101153071038425e-06,0.0,60,0.0,0.0013970190193504095,0.0008219636511057615,8.42424742586445e-06,0.0,60,0.0
5,250.0,0.0012007324257865548,0.0007707597105763853,8.277288543467876e-06,0.0,60,0.0,0.0010197580559179187,0.0006707702996209264,8.229268132708967e-06,0.0,60,0.0,0.0029666859190911055,0.0008752690046094358,7.911033208074514e-06,0.0,60,0.0,0.0010906636016443372,0.0006712228641845286,8.448566404695157e-06,0.0,60,0.0
6,300.0,0.0009061258169822395,0.000651537615340203,8.206061465898529e-06,0.0,60,0.0,0.0007366979843936861,0.0005202037282288074,8.171218723873608e-06,0.0,59,0.0,0.0017933661583811045,0.0008652781252749264,7.552796887466684e-06,0.0,59,0.0,0.0009552433039061725,0.0005642539472319186,8.461676770821214e-06,0.0,60,0.0
7,350.0,0.0007065646350383759,0.0005099824047647417,8.033959602471441e-06,0.0,60,0.0,0.0005656266584992409,0.0003810795897152275,8.101624189293943e-06,0.0,59,0.0,0.001085011987015605,0.0007518349448218942,7.351626663876232e-06,0.0,59,0.0,0.0008661188185214996,0.0004565404378809035,8.425378837273456e-06,0.0,60,0.0
8,400.0,0.0005715279257856309,0.0004071749572176486,7.750499207759276e-06,0.0,59,0.0,0.00042410410242155194,0.0002906773879658431,7.919160452729557e-06,0.0,57,0.0,0.0007468421244993806,0.0005510275950655341,7.467254818038782e-06,0.0,51,1.0,0.0007928929408080876,0.00039952941006049514,8.396174052904826e-06,0.0,57,1.0
9,450.0,0.0004841637273784727,0.0003484753833618015,7.490663392673014e-06,0.0,59,0.0,0.00033408531453460455,0.00022206470021046698,7.706708856858313e-06,0.0,57,0.0,0.0005944095901213586,0.00035150590701960027,7.650805855519138e-06,0.0,51,1.0,0.000727865903172642,0.00036770052975043654,8.375654942938127e-06,0.0,57,1.0
10,500.0,0.0004233831714373082,0.00031028088415041566,7.305919552891282e-06,0.0,53,1.0,0.00027049737400375307,0.00018100849410984665,7.507780992455082e-06,0.0,53,1.0,0.0005049798055551946,0.0002708875108510256,7.735368853900582e-06,0.0,49,2.0,0.0006522687035612762,0.00035369087709113955,8.339734449691605e-06,0.0,54,1.0
11,550.0,0.0003786601300816983,0.0002879938983824104,7.244603239087155e-06,0.0,53,1.0,0.00022694798826705664,0.00015597535821143538,7.344970072153956e-06,0.0,53,1.0,0.0004271360521670431,0.00023725535720586777,7.752555575279985e-06,0.0,49,2.0,0.0005346134421415627,0.00034847919596359134,8.301942216348834e-06,0.0,54,1.0
12,600.0,0.00034379822318442166,0.0002701450139284134,7.216647190944059e-06,0.0,48,1.0,0.00019559050269890577,0.00013934957678429782,7.248423116834601e-06,0.0,52,1.0,0.00037751536001451313,0.00021408505563158542,7.738161912129726e-06,0.0,46,2.0,0.00042498917900957167,0.00032750287209637463,8.254666681750678e-06,0.0,50,1.0
13,650.0,0.00031467669759877026,0.000258453976130113,7.209140676422976e-06,0.0,48,1.0,0.00017206229676958174,0.00012691003212239593,7.15192891220795e-06,0.0,52,1.0,0.0003311529872007668,0.0001991247700061649,7.724819624854717e-06,0.0,46,2.0,0.00035855453461408615,0.0002860956301447004,8.226281352108344e-06,0.0,50,1.0
14,700.0,0.0002908744791056961,0.00024866682360880077,7.197435479611158e-06,0.0,45,1.0,0.0001547586143715307,0.00011798964260378852,7.056521099002566e-06,0.0,49,1.0,0.0002950206690002233,0.00018972756515722722,7.755875230941456e-06,0.0,42,2.0,0.000315837882226333,0.00024916999973356724,8.143391823978163e-06,0.0,48,1.0
15,750.0,0.0002702123601920903,0.00024154697894118726,7.225305125757586e-06,0.0,45,1.0,0.00013971595035400242,0.00011061362602049485,7.005973657214781e-06,0.0,49,1.0,0.0002658772573340684,0.00018201830971520394,7.78611774876481e-06,0.0,42,2.0,0.0002785890828818083,0.00022631458705291152,8.065365364018362e-06,0.0,48,1.0
16,800.0,0.0002531265781726688,0.0002343399537494406,7.2882235144788865e-06,0.0,43,1.0,0.00012844844604842365,0.00010561816452536732,6.9674497353844345e-06,0.0,46,1.0,0.00024104454496409744,0.00017720891628414392,7.807416295690928e-06,0.0,41,2.0,0.0002504225412849337,0.00020749210671056062,8.00313864601776e-06,0.0,48,1.0
17,850.0,0.0002380747173447162,0.00022778741549700499,7.367051694018301e-06,0.0,43,1.0,0.00011831349547719583,0.00010150170419365168,6.966366072447272e-06,0.0,46,1.0,0.0002194685657741502,0.0001721006992738694,7.822674888302572e-06,0.0,41,2.0,0.0002321243955520913,0.00019150151638314128,7.954402462928556e-06,0.0,48,1.0
18,900.0,0.00022479896142613143,0.00022212232579477131,7.453945272573037e-06,0.0,43,1.0,0.0001106040072045289,9.795637743081897e-05,6.9874399741820525e-06,0.0,41,1.0,0.00020142934226896614,0.00016792991664260626,7.82872211857466e-06,0.0,38,2.0,0.00020881998352706432,0.0001822714548325166,7.935143912618514e-06,0.0,46,1.0
19,950.0,0.0002126847393810749,0.00021652239956893027,7.544349955423968e-06,0.0,43,1.0,0.00010262591968057677,9.505266643827781e-05,7.057727543724468e-06,0.0,41,1.0,0.00019055632583331317,0.00016576786583755165,7.857506716391072e-06,0.0,38,2.0,0.00019141487427987158,0.00017438478244002908,7.945867764647119e-06,0.0,46,1.0
20,1000.0,0.00020061316899955273,0.00021056432160548866,7.636517693754286e-06,0.0,43,1.0,9.620797209208831e-05,9.289218724006787e-05,7.124825970095117e-06,0.0,38,1.0,0.00017257643048651516,0.00016103383677545935,7.8806060628267e-06,0.0,37,2.0,0.00017635611584410071,0.00016784925537649542,7.983707291714381e-06,0.0,43,1.0
21,1050.0,0.00019003318448085338,0.0002039829414570704,7.72893508838024e-06,0.0,43,1.0,9.269815200241283e-05,9.047163621289656e-05,7.212935088318773e-06,0.0,38,1.0,0.0001604203716851771,0.00015807450108695775,7.907155122666154e-06,0.0,37,2.0,0.00016413070261478424,0.00016125981346704066,8.045934009714983e-06,0.0,43,1.0
22,1100.0,0.00017946404113899916,0.00019759264250751585,7.819914571882691e-06,0.0,42,1.0,8.849291043588892e-05,8.721715857973322e-05,7.295045634236885e-06,0.0,38,1.0,0.00016204576240852475,0.00015494156104978174,7.930518222565297e-06,0.0,37,2.0,0.00015501263260375708,0.000154801644384861,8.127773980959319e-06,0.0,42,1.0
23,1150.0,0.0001694555685389787,0.00019033154239878058,7.913746230769902e-06,0.0,42,1.0,8.074390643741935e-05,8.466980216326192e-05,7.375664154096739e-06,0.0,38,1.0,0.00013999831571709365,0.00015055402764119208,7.952268788358197e-06,0.0,37,3.0,0.0001466248359065503,0.00014921311230864376,8.216448804887477e-06,0.0,42,1.0
24,1200.0,0.00015932972019072622,0.00018313300097361207,8.002020877029281e-06,0.0,41,1.0,7.605988503200933e-05,8.255910506704822e-05,7.453084435837809e-06,0.0,38,1.0,0.00013078624033369124,0.0001467835099902004,7.983428076840937e-06,0.0,33,3.0,0.00014004242257215083,0.00014319168985821307,8.305188202939462e-06,0.0,40,1.0
25,1250.0,0.00015018005797173828,0.00017576423124410212,8.09646735433489e-06,0.0,41,2.0,7.155111234169453e-05,8.020059613045305e-05,7.5276452662365045e-06,0.0,38,1.0,0.00012351085024420172,0.00014277329319156706,8.023609552765265e-06,0.0,33,3.0,0.00013950954598840326,0.00013733225932810456,8.412564966420177e-06,0.0,40,1.0
26,1300.0,0.0001419442123733461,0.00016798291471786797,8.207475730159786e-06,0.0,39,2.0,6.727169966325164e-05,7.770915544824675e-05,7.597851436003111e-06,0.0,38,1.0,0.0001140020540333353,0.00013842554471921176,8.05751551524736e-06,0.0,33,3.0,0.00012937531573697925,0.00013181367830839008,8.505434379912913e-06,0.0,39,1.0
27,1350.0,0.00013362991739995778,0.00016176432836800814,8.313670150528196e-06,0.0,39,2.0,6.529638631036505e-05,7.537756027886644e-05,7.663772521482315e-06,0.0,38,2.0,0.00010604448470985517,0.00013435435539577156,8.084015462372918e-06,0.0,33,3.0,0.00012449498171918094,0.00012671519652940333,8.597646228736266e-06,0.0,39,1.0
28,1400.0,0.00012606574455276132,0.00015650059503968805,8.430196430708747e-06,0.0,38,2.0,6.013459642417729e-05,7.316120172617957e-05,7.726182957412675e-06,0.0,37,2.0,9.951627725968137e-05,0.0001294231478823349,8.107840585580561e-06,0.0,32,3.0,0.00012266017438378185,0.00012083335604984313,8.68350707605714e-06,0.0,38,1.0
29,1450.0,0.00011935472866753116,0.00015045073814690113,8.519130460626911e-06,0.0,38,2.0,5.9201214753556997e-05,7.14530615368858e-05,7.796276804583613e-06,0.0,37,2.0,9.273331670556217e-05,0.00012536710710264742,8.128789886541199e-06,0.0,32,3.0,0.0001156115104095079,0.00011581795115489513,8.759262527746614e-06,0.0,38,1.0
30,1500.0,0.00011322757927700877,0.0001454978046240285,8.593772690801416e-06,0.0,38,2.0,5.550299465539865e-05,6.917844439158216e-05,7.865573934395798e-06,0.0,36,2.0,8.668228110764176e-05,0.00012110818352084607,8.140036698023323e-06,0.0,30,3.0,0.00011118410475319251,0.0001110282028093934,8.853516192175448e-06,0.0,37,1.0
31,1550.0,0.00010685612505767494,0.00014099899271968752,8.656605132273398e-06,0.0,38,2.0,5.1168532081646845e-05,6.731888424837962e-05,7.944930985104293e-06,0.0,36,2.0,8.289326069643721e-05,0.00011679560702759773,8.16051851870725e-06,0.0,30,3.0,0.00010763154568849131,0.00010604374256217852,8.94513232196914e-06,0.0,37,1.0
32,1600.0,0.00010188226588070393,0.0001367251534247771,8.706979315320496e-06,0.0,35,2.0,4.8681038606446236e-05,6.724845297867432e-05,8.008565600903239e-06,0.0,35,2.0,7.652168278582394e-05,0.00011576876568142325,8.182434612535872e-06,0.0,28,3.0,0.00010256597306579351,0.00010171061148867011,9.0291905507911e-06,0.0,37,1.0
33,1650.0,9.568547102389857e-05,0.00013175465574022382,8.749045264266897e-06,0.0,35,2.0,4.6223507524700835e-05,6.411492358893156e-05,8.064084795478266e-06,0.0,35,2.0,7.577719952678308e-05,0.00011076116061303765,8.215442903747316e-06,0.0,28,3.0,9.813863289309666e-05,9.754626807989553e-05,9.111614417633973e-06,0.0,37,1.0
34,1700.0,9.098258306039497e-05,0.00012756457726936787,8.802066076896153e-06,0.0,34,2.0,4.48526261607185e-05,6.253385072341189e-05,8.124372470774688e-06,0.0,35,2.0,6.771978951292112e-05,0.00010878001194214448,8.23876052891137e-06,0.0,28,3.0,9.389386104885489e-05,9.365921141579747e-05,9.191528079099953e-06,0.0,37,1.0
35,1750.0,8.637175051262602e-05,0.00012282580428291112,8.860751222528052e-06,0.0,34,2.0,4.2096547986147925e-05,6.081685205572285e-05,8.178931238944642e-06,0.0,35,2.0,6.365520675899461e-05,0.00010619269596645609,8.258570233010687e-06,0.0,28,3.0,8.961650019045919e-05,9.0307294158265e-05,9.267660061595961e-06,0.0,37,1.0
