,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,coeff_3,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,coeff_4
0,0.0,0.03556407243013382,0.0009700144291855395,2.450397005304694e-06,0.0,60,53.0,0.032609183341264725,0.0013629688182845712,2.3394024992740015e-06,0.0,60,53.0,0.039516620337963104,0.001280925702303648,2.4981816295621684e-06,0.0,60,53.0,0.03605283424258232,0.0016755923861637712,2.3829675228626e-06,0.0,60,53.0,0.03298112377524376,0.001151389442384243,2.7355986276234034e-06,0.0,60,53.0
1,50.0,0.008645403198897839,0.000969844579230994,1.6342356730092433e-06,0.0,35,32.0,0.008951572701334953,0.0013635094510391355,1.5138741673581535e-06,0.0,33,32.0,0.006952312774956226,0.0012803813442587852,1.7307313555647852e-06,0.0,40,35.0,0.007563343737274408,0.0016761199804022908,1.7793528286347282e-06,0.0,39,34.0,0.008117266930639744,0.0011531217023730278,1.913728738145437e-06,0.0,43,38.0
2,100.0,0.003950293641537428,0.0009708034340292215,1.173554210254224e-06,0.0,26,25.0,0.004004413262009621,0.001361260307021439,1.1017114047717769e-06,0.0,26,27.0,0.0034908007364720106,0.0012798910029232502,1.2475620678742416e-06,0.0,31,30.0,0.004315160680562258,0.0016729268245398998,1.4260804164223373e-06,0.0,32,31.0,0.0037560828495770693,0.0011446893913671374,1.4831758790023741e-06,0.0,30,29.0
3,150.0,0.003270829562097788,0.0009668643469922245,9.496128541286453e-07,0.0,19,18.0,0.0034187622368335724,0.0013572897296398878,8.883147302185534e-07,0.0,19,24.0,0.003052429063245654,0.00126169272698462,9.808616141526727e-07,0.0,18,23.0,0.0037982016801834106,0.0016207578592002392,1.4189074590831297e-06,0.0,25,28.0,0.0031418506987392902,0.0010894335573539138,1.5482222579521476e-06,0.0,22,21.0
4,200.0,0.002285753609612584,0.0009076399728655815,1.0317885426047724e-06,0.0,17,16.0,0.003088888479396701,0.0013111993903294206,8.930867920753371e-07,0.0,11,16.0,0.002675351221114397,0.001117217936553061,1.12309703581559e-06,0.0,13,20.0,0.0028192957397550344,0.0014790389686822891,1.6189731013582787e-06,0.0,21,24.0,0.0015689472202211618,0.0009517924045212567,1.8298754866918898e-06,0.0,19,20.0
5,250.0,0.0012419639388099313,0.0008194064721465111,1.1904977554877405e-06,0.0,14,15.0,0.0016372277168557048,0.001217809971421957,9.95955701910134e-07,0.0,9,16.0,0.0015212430153042078,0.0010440860642120242,1.2921728966830415e-06,0.0,13,20.0,0.001750195981003344,0.00133116589859128,1.8948924207506934e-06,0.0,19,22.0,0.0010337874991819263,0.0008099538390524685,2.1068969999760156e-06,0.0,19,20.0
6,300.0,0.0009577512973919511,0.0007598225492984056,1.4226779967430048e-06,0.0,13,14.0,0.0011658306466415524,0.001149986288510263,1.083012762137514e-06,0.0,9,16.0,0.0010501823853701353,0.0008918321109376848,1.3763508377451217e-06,0.0,13,20.0,0.0013885954394936562,0.0010189367458224297,2.1515947992156725e-06,0.0,18,21.0,0.000752947002183646,0.0006880273576825857,2.2445212835009443e-06,0.0,19,20.0
7,350.0,0.0008298559114336967,0.0006972498958930373,1.6828263369461638e-06,0.0,13,14.0,0.0009977291338145733,0.0010743538150563836,1.2263355984032387e-06,0.0,9,16.0,0.0007810442475602031,0.0007455470040440559,1.469384869778878e-06,0.0,12,19.0,0.0012247352860867977,0.0007818502490408719,2.2151712073537055e-06,0.0,16,19.0,0.0005789282149635255,0.0005710163968615234,2.3866248284321046e-06,0.0,18,19.0
8,400.0,0.0007489548879675567,0.0006376829696819186,1.9215469819755526e-06,0.0,13,14.0,0.0009076219866983593,0.0009353983914479613,1.3916323950979859e-06,0.0,9,16.0,0.0006123899365775287,0.0006440241704694927,1.5500752397201722e-06,0.0,12,19.0,0.00112488295417279,0.0006434329552575946,2.158246388717089e-06,0.0,16,19.0,0.0004714584501925856,0.0004631095798686147,2.535648263801704e-06,0.0,18,19.0
9,450.0,0.000690892746206373,0.0006001456058584154,2.1093399027449777e-06,0.0,13,14.0,0.0008090931223705411,0.0007410888210870326,1.475457565902616e-06,0.0,9,16.0,0.0005144508904777467,0.0005229905364103615,1.603297278052196e-06,0.0,11,18.0,0.0010517638875171542,0.0005476472433656454,2.119558303093072e-06,0.0,16,19.0,0.000394554779632017,0.00041637325193732977,2.635475539136678e-06,0.0,18,19.0
10,500.0,0.0006501206662505865,0.0005776789621450007,2.258903805341106e-06,0.0,13,14.0,0.0006428278866223991,0.0006603039801120758,1.513706138212001e-06,0.0,9,16.0,0.0004532633756753057,0.0004480357456486672,1.6488949086124194e-06,0.0,11,18.0,0.0009898253483697772,0.0004802820913027972,2.1100584035593783e-06,0.0,16,19.0,0.00034149811835959554,0.0003981320187449455,2.7059575131715974e-06,0.0,18,19.0
11,550.0,0.0006209000130183995,0.0005574555834755301,2.386221922279219e-06,0.0,13,14.0,0.00048527447506785393,0.0006194564630277455,1.566647824802203e-06,0.0,9,16.0,0.0004091705195605755,0.0004086616390850395,1.6870368426680216e-06,0.0,11,18.0,0.0009336283546872437,0.00043588652624748647,2.1177118014747975e-06,0.0,16,19.0,0.0003044739714823663,0.00038570998003706336,2.754837169050006e-06,0.0,18,19.0
