,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,epoch_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,epoch_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,epoch_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,epoch_4,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,decoder_avg,sindy_x_avg,reg_avg,sindy_z_avg,active_coeffs_avg
0,1.0,0.3000279366970062,0.0011582013685256243,9.99056010186905e-06,0.0,60.0,1.0,0.36746761202812195,0.0008497571689076722,9.990566468331963e-06,0.0,60.0,1.0,0.3619029223918915,0.0015436153626069427,9.990528269554488e-06,0.0,60.0,1.0,0.3229614794254303,0.0007694333326071501,9.990565558837261e-06,0.0,60.0,1.0,0.32414600253105164,0.0018132199766114354,9.991053957492113e-06,0.0,60.0,0.3353011906147003,0.001226845441851765,9.990654871216976e-06,0.0,60.0
1,51.0,0.08295454829931259,0.001160564017482102,9.519108061795123e-06,0.0,60.0,51.0,0.08703378587961197,0.0008506057783961296,9.521137144474778e-06,0.0,60.0,51.0,0.0979197695851326,0.0015444658929482102,9.55863288254477e-06,0.0,60.0,51.0,0.08599235862493515,0.0007697093533352017,9.518990736978594e-06,0.0,60.0,51.0,0.10590578615665436,0.001805048668757081,9.56884650804568e-06,0.0,60.0,0.09196124970912933,0.001226078742183745,9.53734306676779e-06,0.0,60.0
2,101.0,0.057348668575286865,0.0015224730595946312,9.160602530755568e-06,0.0,60.0,101.0,0.058617301285266876,0.0010631135664880276,9.169172699330375e-06,0.0,60.0,101.0,0.07577808946371078,0.0015492946840822697,9.214003512170166e-06,0.0,60.0,101.0,0.0660380944609642,0.0007715664687566459,9.096434041566681e-06,0.0,60.0,101.0,0.09235665202140808,0.0018961377209052444,8.968119800556451e-06,0.0,60.0,0.07002776116132736,0.0013605170999653638,9.121666516875849e-06,0.0,60.0
3,151.0,0.03861122950911522,0.0012033439707010984,9.082750693778507e-06,0.0,60.0,151.0,0.03652014210820198,0.0009538071462884545,9.158114153251518e-06,0.0,60.0,151.0,0.04863547906279564,0.0015439825365319848,8.977742254501209e-06,0.0,60.0,151.0,0.039007410407066345,0.000771420425735414,8.914362297218759e-06,0.0,60.0,151.0,0.060855209827423096,0.002295747399330139,7.9693527368363e-06,0.0,60.0,0.04472589418292046,0.0013536602957174182,8.82046442711726e-06,0.0,60.0
4,201.0,0.03292134031653404,0.0011600832222029567,8.224847078963649e-06,0.0,60.0,201.0,0.029910197481513023,0.0008568530902266502,7.777588507451583e-06,0.0,60.0,201.0,0.039558783173561096,0.0015380040276795626,7.651638952665962e-06,0.0,60.0,201.0,0.02976054884493351,0.0007733139209449291,7.37406890038983e-06,0.0,60.0,201.0,0.04753395915031433,0.0019690576009452343,6.367925834638299e-06,0.0,60.0,0.0359369657933712,0.0012594623723998666,7.479213854821865e-06,0.0,60.0
5,251.0,0.030061449855566025,0.0011500311084091663,8.18262833490735e-06,0.0,60.0,251.0,0.025291040539741516,0.0008701971964910626,7.709273631917313e-06,0.0,60.0,251.0,0.03337123990058899,0.0015204099472612143,7.550006102974294e-06,0.0,60.0,251.0,0.023194417357444763,0.0009442388545721769,7.128021479729796e-06,0.0,60.0,251.0,0.04109244793653488,0.001884081051684916,6.217433110577986e-06,0.0,60.0,0.030602119117975238,0.0012737916316837073,7.357472532021348e-06,0.0,60.0
6,261.0,0.029588915407657623,0.0011442244285717607,7.206101145129651e-06,0.0,60.0,261.0,0.024920567870140076,0.0008474277565255761,7.0879773375054356e-06,0.0,60.0,261.0,0.03281186893582344,0.001484149950556457,7.091065072017955e-06,0.0,60.0,261.0,0.020893488079309464,0.0008517621899954975,5.682457413058728e-06,0.0,60.0,261.0,0.040520958602428436,0.0018206288805231452,5.22589198226342e-06,0.0,60.0,0.02974715977907181,0.0012296386412344873,6.458698589995038e-06,0.0,60.0
7,311.0,0.02579793706536293,0.0011324896477162838,7.196110345830675e-06,0.0,60.0,311.0,0.020815618336200714,0.000839399523101747,7.012568403297337e-06,0.0,60.0,311.0,0.025628747418522835,0.0014408269198611379,7.0719925133744255e-06,0.0,60.0,311.0,0.010377876460552216,0.0008177395793609321,5.40823430128512e-06,0.0,60.0,311.0,0.035196948796510696,0.00180152733810246,5.106942353449995e-06,0.0,60.0,0.02356342561542988,0.0012063966016285122,6.359169583447511e-06,0.0,60.0
8,321.0,0.024734359234571457,0.0011101334821432829,6.360703537211521e-06,0.0,57.0,321.0,0.019167708232998848,0.0007984108524397016,6.299932920228457e-06,0.0,55.0,321.0,0.023107420653104782,0.0013977473136037588,6.75078081258107e-06,0.0,58.0,321.0,0.011927305720746517,0.0007185419672168791,4.61455647382536e-06,0.0,51.0,321.0,0.033180102705955505,0.001751888426952064,4.128939963266021e-06,0.0,44.0,0.022423379309475425,0.0011553444084711373,5.6309827414224856e-06,0.0,53.0
9,371.0,0.016479894518852234,0.0011238805018365383,6.293279966484988e-06,0.0,57.0,371.0,0.010791394859552383,0.0007996202912181616,6.231782208487857e-06,0.0,55.0,371.0,0.014641105197370052,0.001361569738946855,6.751301043550484e-06,0.0,58.0,371.0,0.008821005932986736,0.0007092991727404296,4.5135434447729494e-06,0.0,51.0,371.0,0.02090732380747795,0.0017765668453648686,4.1271619011240546e-06,0.0,44.0,0.014328144863247872,0.0011541873100213706,5.583413712884067e-06,0.0,53.0
