,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,decoder_avg,sindy_x_avg,reg_avg,sindy_z_avg,active_coeffs_avg
0,1,0.15762275457382202,0.0012300130911171436,9.883884558803402e-06,0.0,60,0.15762275457382202,0.0012300130911171436,9.883884558803402e-06,0.0,60.0
1,51,0.009546791203320026,0.001095933374017477,7.813281627022661e-06,0.0,60,0.009546791203320026,0.001095933374017477,7.813281627022661e-06,0.0,60.0
2,101,0.006702503189444542,0.0008974235388450325,6.71520501782652e-06,0.0,57,0.006702503189444542,0.0008974235388450325,6.71520501782652e-06,0.0,57.0
3,151,0.0021504187025129795,0.00083397445268929,5.799457994726254e-06,0.0,47,0.0021504187025129795,0.00083397445268929,5.799457994726254e-06,0.0,47.0
4,201,0.0012588907266035676,0.0008336263708770275,5.59098725716467e-06,0.0,40,0.0012588907266035676,0.0008336263708770275,5.59098725716467e-06,0.0,40.0
5,251,0.000967067782767117,0.0007847395609132946,5.9078506637888495e-06,0.0,33,0.000967067782767117,0.0007847395609132946,5.9078506637888495e-06,0.0,33.0
6,301,0.0007882791105657816,0.0008313970174640417,6.561306690855417e-06,0.0,29,0.0007882791105657816,0.0008313970174640417,6.561306690855417e-06,0.0,29.0
7,351,0.0006323637790046632,0.0008336598984897137,7.307053238037042e-06,0.0,25,0.0006323637790046632,0.0008336598984897137,7.307053238037042e-06,0.0,25.0
8,401,0.0005064864526502788,0.0008042766130529344,7.4973654591303784e-06,0.0,24,0.0005064864526502788,0.0008042766130529344,7.4973654591303784e-06,0.0,24.0
9,451,0.0004257620603311807,0.0007171756587922573,7.716554137005005e-06,0.0,23,0.0004257620603311807,0.0007171756587922573,7.716554137005005e-06,0.0,23.0
10,501,0.0003658109053503722,0.0006440424476750195,7.87623503128998e-06,0.0,21,0.0003658109053503722,0.0006440424476750195,7.87623503128998e-06,0.0,21.0
11,551,0.000329119386151433,0.0005929075996391475,7.986263881321065e-06,0.0,21,0.000329119386151433,0.0005929075996391475,7.986263881321065e-06,0.0,21.0
12,601,0.00030599971069023013,0.000547948235180229,8.078560313151684e-06,0.0,19,0.00030599971069023013,0.000547948235180229,8.078560313151684e-06,0.0,19.0
13,651,0.00027853058418259025,0.0005289186374284327,8.176283699867781e-06,0.0,19,0.00027853058418259025,0.0005289186374284327,8.176283699867781e-06,0.0,19.0
14,701,0.00027582477196119726,0.0004973475588485599,8.260844879259821e-06,0.0,17,0.00027582477196119726,0.0004973475588485599,8.260844879259821e-06,0.0,17.0
15,751,0.00026040381635539234,0.0004758047580253333,8.339864507433958e-06,0.0,17,0.00026040381635539234,0.0004758047580253333,8.339864507433958e-06,0.0,17.0
16,801,0.000245011382503435,0.00046121643390506506,8.412393071921542e-06,0.0,17,0.000245011382503435,0.00046121643390506506,8.412393071921542e-06,0.0,17.0
17,851,0.00024864691658876836,0.0004482700605876744,8.479511052428279e-06,0.0,17,0.00024864691658876836,0.0004482700605876744,8.479511052428279e-06,0.0,17.0
18,901,0.00023348793911281973,0.00043413173989392817,8.542687282897532e-06,0.0,17,0.00023348793911281973,0.00043413173989392817,8.542687282897532e-06,0.0,17.0
19,951,0.00022406238713301718,0.000417303410358727,8.599773536843713e-06,0.0,17,0.00022406238713301718,0.000417303410358727,8.599773536843713e-06,0.0,17.0
20,1001,0.00022279369295574725,0.000402864592615515,8.648740731587168e-06,0.0,17,0.00022279369295574725,0.000402864592615515,8.648740731587168e-06,0.0,17.0
21,1051,0.00021985835337545723,0.0003630720020737499,8.688159141456708e-06,0.0,16,0.00021985835337545723,0.0003630720020737499,8.688159141456708e-06,0.0,16.0
22,1101,0.000219966474105604,0.00034334941301494837,8.76617559697479e-06,0.0,15,0.000219966474105604,0.00034334941301494837,8.76617559697479e-06,0.0,15.0
23,1151,0.00021364256099332124,0.0003375786473043263,8.82391759660095e-06,0.0,15,0.00021364256099332124,0.0003375786473043263,8.82391759660095e-06,0.0,15.0
24,1201,0.0002121568686561659,0.0003290438908152282,8.874333616404328e-06,0.0,15,0.0002121568686561659,0.0003290438908152282,8.874333616404328e-06,0.0,15.0
25,1251,0.00021852449572179466,0.00031620252411812544,8.91762556420872e-06,0.0,14,0.00021852449572179466,0.00031620252411812544,8.91762556420872e-06,0.0,14.0
26,1301,0.0002211946848547086,0.0003104336210526526,8.95091852726182e-06,0.0,14,0.0002211946848547086,0.0003104336210526526,8.95091852726182e-06,0.0,14.0
27,1351,0.00021646599634550512,0.00030474597588181496,8.980182428786065e-06,0.0,14,0.00021646599634550512,0.00030474597588181496,8.980182428786065e-06,0.0,14.0
28,1401,0.00022089752019383013,0.00030037513351999223,9.00723989616381e-06,0.0,14,0.00022089752019383013,0.00030037513351999223,9.00723989616381e-06,0.0,14.0
29,1451,0.00021833967184647918,0.00029568836907856166,9.031025001604576e-06,0.0,14,0.00021833967184647918,0.00029568836907856166,9.031025001604576e-06,0.0,14.0
30,1501,0.00021723045210819691,0.0002905963046941906,9.055002919922117e-06,0.0,14,0.00021723045210819691,0.0002905963046941906,9.055002919922117e-06,0.0,14.0
31,1551,0.00021691076108254492,0.00028676033252850175,9.07648336578859e-06,0.0,14,0.00021691076108254492,0.00028676033252850175,9.07648336578859e-06,0.0,14.0
32,1601,0.00021551681857090443,0.00028202045359648764,9.098287591768894e-06,0.0,14,0.00021551681857090443,0.00028202045359648764,9.098287591768894e-06,0.0,14.0
33,1651,0.00021638245380017906,0.0002765801327768713,9.119146852754056e-06,0.0,14,0.00021638245380017906,0.0002765801327768713,9.119146852754056e-06,0.0,14.0
34,1701,0.0002168075297959149,0.00027264037635177374,9.138980203715619e-06,0.0,14,0.0002168075297959149,0.00027264037635177374,9.138980203715619e-06,0.0,14.0
35,1751,0.0002182741300202906,0.0002668264787644148,9.158287866739556e-06,0.0,14,0.0002182741300202906,0.0002668264787644148,9.158287866739556e-06,0.0,14.0
36,1801,0.00021759375522378832,0.00026136988890357316,9.176093044516165e-06,0.0,14,0.00021759375522378832,0.00026136988890357316,9.176093044516165e-06,0.0,14.0
37,1851,0.00022174345212988555,0.00025604464462958276,9.192238394462038e-06,0.0,14,0.00022174345212988555,0.00025604464462958276,9.192238394462038e-06,0.0,14.0
38,1901,0.00022096824250184,0.00025025149807333946,9.206648428516928e-06,0.0,14,0.00022096824250184,0.00025025149807333946,9.206648428516928e-06,0.0,14.0
39,1951,0.000216966713196598,0.0002449847524985671,9.218593731930014e-06,0.0,14,0.000216966713196598,0.0002449847524985671,9.218593731930014e-06,0.0,14.0
40,2001,0.0002165616024285555,0.00024067751655820757,9.230489013134502e-06,0.0,14,0.0002165616024285555,0.00024067751655820757,9.230489013134502e-06,0.0,14.0
41,2051,0.0002172444510506466,0.0002359975769650191,9.239568498742301e-06,0.0,14,0.0002172444510506466,0.0002359975769650191,9.239568498742301e-06,0.0,14.0
42,2101,0.00021722790552303195,0.00023123218852560967,9.245510227628984e-06,0.0,14,0.00021722790552303195,0.00023123218852560967,9.245510227628984e-06,0.0,14.0
43,2151,0.00022336818801704794,0.00022735375387128443,9.249922186427284e-06,0.0,14,0.00022336818801704794,0.00022735375387128443,9.249922186427284e-06,0.0,14.0
44,2201,0.00021929523791186512,0.00022501892817672342,9.252232302969787e-06,0.0,14,0.00021929523791186512,0.00022501892817672342,9.252232302969787e-06,0.0,14.0
45,2251,0.00022162622190080583,0.00022227839508559555,9.252997188013978e-06,0.0,14,0.00022162622190080583,0.00022227839508559555,9.252997188013978e-06,0.0,14.0
46,2301,0.0002249158569611609,0.00021860055858269334,9.252002200810239e-06,0.0,14,0.0002249158569611609,0.00021860055858269334,9.252002200810239e-06,0.0,14.0
47,2351,0.00022376092965714633,0.0002149743086192757,9.248427886632271e-06,0.0,14,0.00022376092965714633,0.0002149743086192757,9.248427886632271e-06,0.0,14.0
48,2401,0.0002207190409535542,0.00021228319383226335,9.244310604117345e-06,0.0,14,0.0002207190409535542,0.00021228319383226335,9.244310604117345e-06,0.0,14.0
49,2451,0.00021913813543505967,0.00020955881336703897,9.238652637577616e-06,0.0,14,0.00021913813543505967,0.00020955881336703897,9.238652637577616e-06,0.0,14.0
50,2501,0.0002269983961014077,0.00020714011043310165,9.23203697311692e-06,0.0,14,0.0002269983961014077,0.00020714011043310165,9.23203697311692e-06,0.0,14.0
51,2551,0.00023778971808496863,0.00020452789613045752,9.224646419170313e-06,0.0,14,0.00023778971808496863,0.00020452789613045752,9.224646419170313e-06,0.0,14.0
52,2601,0.00022876581351738423,0.0002018189843511209,9.214548299496528e-06,0.0,14,0.00022876581351738423,0.0002018189843511209,9.214548299496528e-06,0.0,14.0
53,2651,0.00022431316028814763,0.0001983541587833315,9.212237273459323e-06,0.0,13,0.00022431316028814763,0.0001983541587833315,9.212237273459323e-06,0.0,13.0
54,2701,0.0002219152811449021,0.00019422850164119154,9.21374885365367e-06,0.0,13,0.0002219152811449021,0.00019422850164119154,9.21374885365367e-06,0.0,13.0
55,2751,0.0002125742321368307,0.00019344994507264346,9.213787052431144e-06,0.0,13,0.0002125742321368307,0.00019344994507264346,9.213787052431144e-06,0.0,13.0
56,2801,0.00021127467334736139,0.0001899756316561252,9.213460543833207e-06,0.0,13,0.00021127467334736139,0.0001899756316561252,9.213460543833207e-06,0.0,13.0
57,2851,0.0002085153537336737,0.00018706244009081274,9.212929398927372e-06,0.0,13,0.0002085153537336737,0.00018706244009081274,9.212929398927372e-06,0.0,13.0
