,0,1,2
0,0.68095016,0.72662157,0.41721526
1,0.67286533,0.6866538,0.5576963
2,0.67380714,0.68170327,0.59748554
3,0.55264556,0.57051414,0.5375519
4,0.89479274,0.94802386,0.83611965
5,0.792439,0.91140884,0.83039856
6,0.7691713,0.8005366,0.46544266
7,0.7088578,0.7305722,0.7988295
8,0.7988481,0.82043344,0.5686268
9,0.85499954,0.8763785,0.6473926
10,0.7795604,0.7839942,0.74253696
11,0.7788809,0.78116417,0.74879956
12,0.75601053,0.781791,0.7016666
13,0.77910966,0.7798149,0.7619243
14,0.7748925,0.78971213,0.7566778
15,0.6208828,0.635518,0.66019875
16,0.77761745,0.7772429,0.780557
17,0.7870309,0.7933338,0.8159726
18,0.6279918,0.6327175,0.7279175
19,0.5934208,0.6072022,0.6299464
