,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,decoder_avg,sindy_x_avg,reg_avg,sindy_z_avg,active_coeffs_avg
0,1.0,0.30306878685951233,0.001188226044178009,9.981130460801069e-06,0.0,60,0.30306878685951233,0.001188226044178009,9.981130460801069e-06,0.0,60.0
1,51.0,0.08688121289014816,0.001194270676933229,9.154146937362384e-06,0.0,60,0.08688121289014816,0.001194270676933229,9.154146937362384e-06,0.0,60.0
2,101.0,0.042105503380298615,0.001188892056234181,8.765863640292082e-06,0.0,60,0.042105503380298615,0.001188892056234181,8.765863640292082e-06,0.0,60.0
3,151.0,0.03692261129617691,0.0011807028204202652,8.55408507050015e-06,0.0,60,0.03692261129617691,0.0011807028204202652,8.55408507050015e-06,0.0,60.0
4,201.0,0.029770251363515854,0.0010996111668646336,8.389460163016338e-06,0.0,60,0.029770251363515854,0.0010996111668646336,8.389460163016338e-06,0.0,60.0
5,251.0,0.015202425420284271,0.001065154792740941,8.238213013100903e-06,0.0,60,0.015202425420284271,0.001065154792740941,8.238213013100903e-06,0.0,60.0
6,301.0,0.011162357404828072,0.0010103671811521053,8.165075087163132e-06,0.0,57,0.011162357404828072,0.0010103671811521053,8.165075087163132e-06,0.0,57.0
7,351.0,0.009460979141294956,0.0009745004354044795,8.211995009332895e-06,0.0,55,0.009460979141294956,0.0009745004354044795,8.211995009332895e-06,0.0,55.0
8,401.0,0.00843996275216341,0.000930807669647038,8.319539119838737e-06,0.0,51,0.00843996275216341,0.000930807669647038,8.319539119838737e-06,0.0,51.0
9,451.0,0.007766552735120058,0.0008782217628322542,8.435226845904253e-06,0.0,50,0.007766552735120058,0.0008782217628322542,8.435226845904253e-06,0.0,50.0
10,501.0,0.007313673850148916,0.0008242927142418921,8.454165254079271e-06,0.0,47,0.007313673850148916,0.0008242927142418921,8.454165254079271e-06,0.0,47.0
11,551.0,0.006982140243053436,0.0007729409262537956,8.422020073339809e-06,0.0,46,0.006982140243053436,0.0007729409262537956,8.422020073339809e-06,0.0,46.0
12,601.0,0.006703153718262911,0.0007471764110960066,8.394653377763461e-06,0.0,42,0.006703153718262911,0.0007471764110960066,8.394653377763461e-06,0.0,42.0
13,651.0,0.00643521873280406,0.0006995431613177061,8.405106200370938e-06,0.0,41,0.00643521873280406,0.0006995431613177061,8.405106200370938e-06,0.0,41.0
14,701.0,0.006021893583238125,0.0006796343368478119,8.441797035629861e-06,0.0,39,0.006021893583238125,0.0006796343368478119,8.441797035629861e-06,0.0,39.0
15,751.0,0.004775633569806814,0.0006896708509884775,8.50462765811244e-06,0.0,39,0.004775633569806814,0.0006896708509884775,8.50462765811244e-06,0.0,39.0
16,801.0,0.0032762521877884865,0.0007153102196753025,8.44282749312697e-06,0.0,37,0.0032762521877884865,0.0007153102196753025,8.44282749312697e-06,0.0,37.0
17,851.0,0.0025438209995627403,0.0007116503547877073,8.271283149952069e-06,0.0,37,0.0025438209995627403,0.0007116503547877073,8.271283149952069e-06,0.0,37.0
18,901.0,0.0021198063623160124,0.0007061724318191409,8.023948794289026e-06,0.0,36,0.0021198063623160124,0.0007061724318191409,8.023948794289026e-06,0.0,36.0
19,951.0,0.0018494784599170089,0.0006965213688090444,7.79166839492973e-06,0.0,35,0.0018494784599170089,0.0006965213688090444,7.79166839492973e-06,0.0,35.0
20,1001.0,0.0016349719371646643,0.0006825410528108478,7.5923394433630165e-06,0.0,35,0.0016349719371646643,0.0006825410528108478,7.5923394433630165e-06,0.0,35.0
21,1051.0,0.0015154032735154033,0.0006665531545877457,7.425079274980817e-06,0.0,33,0.0015154032735154033,0.0006665531545877457,7.425079274980817e-06,0.0,33.0
22,1101.0,0.0014086122391745448,0.0006421973230317235,7.338878276641481e-06,0.0,30,0.0014086122391745448,0.0006421973230317235,7.338878276641481e-06,0.0,30.0
23,1151.0,0.0013212434714660048,0.000623160507529974,7.2993425419554114e-06,0.0,30,0.0013212434714660048,0.000623160507529974,7.2993425419554114e-06,0.0,30.0
24,1201.0,0.0012543726479634643,0.0006039055879227817,7.272700258909026e-06,0.0,29,0.0012543726479634643,0.0006039055879227817,7.272700258909026e-06,0.0,29.0
25,1251.0,0.0011935853399336338,0.0005862640682607889,7.257282959471922e-06,0.0,29,0.0011935853399336338,0.0005862640682607889,7.257282959471922e-06,0.0,29.0
26,1301.0,0.0011384108802303672,0.0005703180213458836,7.2465682023903355e-06,0.0,28,0.0011384108802303672,0.0005703180213458836,7.2465682023903355e-06,0.0,28.0
27,1351.0,0.0011019159574061632,0.0005548912449739873,7.255978289322229e-06,0.0,27,0.0011019159574061632,0.0005548912449739873,7.255978289322229e-06,0.0,27.0
28,1401.0,0.0010507293045520782,0.0005418434157036245,7.280882982740877e-06,0.0,26,0.0010507293045520782,0.0005418434157036245,7.280882982740877e-06,0.0,26.0
29,1451.0,0.0010285557946190238,0.0005310380947776139,7.320375061681261e-06,0.0,25,0.0010285557946190238,0.0005310380947776139,7.320375061681261e-06,0.0,25.0
30,1501.0,0.0009848438203334808,0.0005222634645178914,7.369970717263641e-06,0.0,25,0.0009848438203334808,0.0005222634645178914,7.369970717263641e-06,0.0,25.0
31,1551.0,0.0009546601213514805,0.0005142604350112379,7.424847808579216e-06,0.0,25,0.0009546601213514805,0.0005142604350112379,7.424847808579216e-06,0.0,25.0
32,1601.0,0.0009244888206012547,0.0005065737059339881,7.48354113966343e-06,0.0,25,0.0009244888206012547,0.0005065737059339881,7.48354113966343e-06,0.0,25.0
