,0,1,2
0,6.6711836,-1.6112349,-1.7014418
1,-1.0977201,-1.0890261,-0.9282848
2,5.6606865,-1.9948788,-1.5308917
3,-0.9647319,-1.27208,-0.934512
4,3.2319858,-0.55703986,-0.5134957
5,-0.45971942,6.3696423,3.872274
6,6.705597,-0.9341481,-1.3800328
7,-0.70160383,-0.35359842,0.6389911
8,-0.7763368,-1.1418407,-1.6295638
9,-0.59021914,-0.9252025,-0.6978078
10,-0.4065025,-0.35760888,0.6193992
11,1.693162,-0.15833455,-0.49355423
12,-0.5994662,-0.43893322,-0.41810983
13,-0.71869123,-0.8570571,-0.59148955
14,-0.5456573,-0.45109248,-0.4531842
15,0.42045483,-0.70670724,-0.9309591
16,-0.011705957,-0.8669736,-0.74442995
17,-0.67731893,2.5456388,-0.76039284
18,-0.36904323,-0.94127125,-0.7336952
19,-0.40719184,-0.5736774,-0.4299379
