,0,1,2
0,-2.5051627,-1.922338,-2.1698668
1,-2.0016868,6.5056524,8.848842
2,-1.6517978,-1.6489133,-1.3099942
3,-1.701827,-1.904476,-1.4749613
4,-1.8474144,-0.54270166,1.145012
5,3.7094111,2.2913115,0.5306155
6,-1.9709986,-1.1425529,-1.4350173
7,2.5914533,-0.59556866,-0.7900994
8,7.3758764,1.5844578,-0.8395432
9,-0.43891817,2.8435504,-1.0835586
10,-0.6258625,-0.4950751,0.13025774
11,0.06819323,-0.6994381,-0.65883946
12,-1.491466,-0.46770668,-0.024279287
13,-0.93543,0.40569073,-0.57188785
14,1.3086994,-0.22275464,1.0849496
15,-1.4502252,-0.6608513,1.1195123
16,-0.43097913,-0.46621627,0.44199008
17,-0.5245942,-1.0967679,1.1850834
18,-0.36565435,-0.6801481,-0.68301314
19,-0.5773079,-0.6634793,-0.40199107
