,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,epoch_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,epoch_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,epoch_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,epoch_4,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,decoder_avg,sindy_x_avg,reg_avg,sindy_z_avg,active_coeffs_avg
0,1.0,0.317945659160614,0.0013936195755377412,9.990054968511686e-05,0.0,60.0,1.0,0.33197566866874695,0.0011407647980377078,9.990060061682016e-05,0.0,60.0,1.0,0.33836302161216736,0.001018932438455522,9.990058606490493e-05,0.0,60.0,1.0,0.34088677167892456,0.001445238827727735,9.990058606490493e-05,0.0,60.0,1.0,0.38895371556282043,0.0011548525653779507,9.990058606490493e-05,0.0,60.0,0.3436249673366547,0.0012306816410273314,9.990058169933036e-05,0.0,60.0
1,51.0,0.09920523315668106,0.001413055113516748,9.47061344049871e-05,0.0,60,51.0,0.09664313495159149,0.0011422843672335148,9.492023673374206e-05,0.0,60,51.0,0.0932474434375763,0.0010188588639721274,9.49326204136014e-05,0.0,60,51.0,0.09571423381567001,0.0014446558197960258,9.493679681327194e-05,0.0,60,51.0,0.10217779874801636,0.0011549110058695078,9.49328241404146e-05,0.0,60,0.09739756882190705,0.0012347530340775848,9.488572250120342e-05,0.0,60.0
2,101.0,0.08555341511964798,0.0014352225698530674,9.000419231597334e-05,0.0,60,101.0,0.08276382833719254,0.0012999235186725855,8.949432958615944e-05,0.0,60,101.0,0.08265844732522964,0.0010322300950065255,8.994684321805835e-05,0.0,60,101.0,0.07502022385597229,0.001454238430596888,8.998097473522648e-05,0.0,60,101.0,0.09415330737829208,0.0011549515184015036,8.997393888421357e-05,0.0,60,0.08402984440326691,0.0012753132265061141,8.988005574792624e-05,0.0,60.0
3,151.0,0.05369587242603302,0.0014597036642953753,8.613439422333613e-05,0.0,60,151.0,0.04923899844288826,0.0020580042619258165,8.167538180714473e-05,0.0,60,151.0,0.05147000029683113,0.0011456618085503578,8.596263796789572e-05,0.0,60,151.0,0.0488848052918911,0.0014515140792354941,8.650532981846482e-05,0.0,60,151.0,0.06118335947394371,0.0011589351342990994,8.530416380381212e-05,0.0,60,0.052894607186317444,0.0014547637896612287,8.51163815241307e-05,0.0,60.0
4,201.0,0.04221513867378235,0.0014390724245458841,8.377581980312243e-05,0.0,60,201.0,0.037773385643959045,0.0017714127898216248,7.635486690560356e-05,0.0,60,201.0,0.03824593871831894,0.0010678624967113137,8.241760224336758e-05,0.0,60,201.0,0.04032960906624794,0.0014454995980486274,8.339924534084275e-05,0.0,60,201.0,0.04407477751374245,0.0011548766633495688,8.098168473225087e-05,0.0,60,0.040527769923210145,0.0013757447944954039,8.138584380503745e-05,0.0,60.0
5,251.0,0.03905823826789856,0.0014209155924618244,8.130736387101933e-05,0.0,60,251.0,0.03428681567311287,0.0015765383141115308,7.217106758616865e-05,0.0,60,251.0,0.03417524695396423,0.001032480737194419,7.950970029924065e-05,0.0,60,251.0,0.03728542476892471,0.0014427764108404517,8.028431329876184e-05,0.0,60,251.0,0.03872562572360039,0.0011534030782058835,7.669204205740243e-05,0.0,60,0.036706270277500154,0.001325222826562822,7.799289742251859e-05,0.0,60.0
6,301.0,0.03758947178721428,0.0014172871597111225,7.854815339669585e-05,0.0,60,301.0,0.02925584651529789,0.001443667570129037,6.878273416077718e-05,0.0,60,301.0,0.03217301517724991,0.001017934293486178,7.66725861467421e-05,0.0,60,301.0,0.03590625524520874,0.0014382487861439586,7.70270053180866e-05,0.0,60,301.0,0.03645090386271477,0.0011521120322868228,7.231299969134852e-05,0.0,60,0.03427509851753712,0.001293849968351424,7.466869574273005e-05,0.0,60.0
7,351.0,0.03563447669148445,0.001422771834768355,7.57680245442316e-05,0.0,60,351.0,0.021031491458415985,0.0014846117701381445,6.580568151548505e-05,0.0,60,351.0,0.025120003148913383,0.0009979052701964974,7.439115142915398e-05,0.0,60,351.0,0.03467994183301926,0.0014282710617408156,7.381306204479188e-05,0.0,60,351.0,0.035097505897283554,0.0011479894164949656,6.803510041208938e-05,0.0,60,0.030312683805823328,0.0012963098706677556,7.156260398915038e-05,0.0,60.0
8,401.0,0.02888064831495285,0.001401526271365583,7.323882164200768e-05,0.0,60,401.0,0.016245562583208084,0.0012887358898296952,6.347328599076718e-05,0.0,60,401.0,0.016198428347706795,0.0009683837415650487,7.284797902684659e-05,0.0,60,401.0,0.03247983381152153,0.001398322288878262,7.095036562532187e-05,0.0,60,401.0,0.03355490043759346,0.0011356065515428782,6.415741518139839e-05,0.0,60,0.025471874698996547,0.0012385149486362935,6.893357349326835e-05,0.0,60.0
9,451.0,0.021093297749757767,0.0013589732116088271,7.096595800248906e-05,0.0,60,451.0,0.013422945514321327,0.0011842782841995358,6.16528996033594e-05,0.0,60,451.0,0.012073374353349209,0.000897798512596637,7.137999637052417e-05,0.0,60,451.0,0.025316577404737473,0.0013877038145437837,6.883149035274982e-05,0.0,60,451.0,0.030282163992524147,0.0010952128795906901,6.089855378377251e-05,0.0,60,0.020437671802937984,0.0011847933405078948,6.674577962257899e-05,0.0,60.0
