,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,epoch_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,decoder_avg,sindy_x_avg,reg_avg,sindy_z_avg,active_coeffs_avg
0,1.0,0.3416951596736908,0.0010419855825603008,9.99056464934256e-06,0.0,60.0,1.0,0.31826236844062805,0.0013878067256882787,9.992490049626213e-06,0.0,60.0,0.3299787640571594,0.0012148961541242898,9.991527349484386e-06,0.0,60.0
1,51.0,0.0918208584189415,0.0010530451545491815,9.621800018067006e-06,0.0,60.0,51.0,0.09541787207126617,0.001387092750519514,9.578293429512996e-06,0.0,60.0,0.09361936524510384,0.0012200689525343478,9.600046723790001e-06,0.0,60.0
2,101.0,0.07916977256536484,0.001183943822979927,9.366028280055616e-06,0.0,60.0,101.0,0.07690377533435822,0.0013864901848137379,9.205339665641077e-06,0.0,60.0,0.07803677394986153,0.0012852170038968325,9.285683972848346e-06,0.0,60.0
3,151.0,0.05013039708137512,0.0018924168543890119,8.705318577995058e-06,0.0,60.0,151.0,0.04589923098683357,0.0013869948452338576,8.914185855246615e-06,0.0,60.0,0.04801481403410435,0.0016397058498114347,8.809752216620836e-06,0.0,60.0
4,201.0,0.03879084438085556,0.0012103650951758027,7.287754215212772e-06,0.0,60.0,201.0,0.03635821491479874,0.0013799058506265283,7.768770046823192e-06,0.0,60.0,0.03757452964782715,0.0012951354729011655,7.528262131017982e-06,0.0,60.0
5,251.0,0.03276066854596138,0.001105619827285409,7.138053206290351e-06,0.0,60.0,251.0,0.029942305758595467,0.0013395976275205612,7.682264367758762e-06,0.0,60.0,0.03135148715227842,0.001222608727402985,7.410158787024557e-06,0.0,60.0
6,261.0,0.03371218964457512,0.0010557981440797448,6.206825219123857e-06,0.0,60.0,261.0,0.027941735461354256,0.0012884614989161491,7.2168809310824145e-06,0.0,60.0,0.030826962552964687,0.001172129821497947,6.711853075103136e-06,0.0,60.0
7,311.0,0.029722027480602264,0.0010396208381280303,6.089393536967691e-06,0.0,60.0,311.0,0.01592334918677807,0.0012434273958206177,7.163402642618166e-06,0.0,60.0,0.022822688333690166,0.001141524116974324,6.626398089792929e-06,0.0,60.0
8,321.0,0.02960287407040596,0.0010107537964358926,5.174852049094625e-06,0.0,45.0,321.0,0.014462502673268318,0.001192412688396871,6.7821997618011665e-06,0.0,58.0,0.02203268837183714,0.0011015832424163818,5.978525905447896e-06,0.0,51.5
9,371.0,0.02128414623439312,0.0009855733951553702,5.17654234499787e-06,0.0,45.0,371.0,0.011427965946495533,0.001152321812696755,6.757207302143797e-06,0.0,58.0,0.016356056090444326,0.0010689476039260626,5.9668748235708335e-06,0.0,51.5
10,381.0,0.018390795215964317,0.0009537926525808871,4.812443421542412e-06,0.0,40.0,381.0,0.015169323422014713,0.0011020968668162823,6.518446753034368e-06,0.0,51.0,0.016780059318989515,0.0010279447596985847,5.66544508728839e-06,0.0,45.5
11,431.0,0.012179708108305931,0.0009803344728425145,4.796386292582611e-06,0.0,40.0,431.0,0.01037136185914278,0.0010716899996623397,6.580650733667426e-06,0.0,51.0,0.011275534983724356,0.001026012236252427,5.688518513125018e-06,0.0,45.5
12,441.0,0.012864354997873306,0.0009590315748937428,4.4356715989124496e-06,0.0,38.0,441.0,0.015064677223563194,0.0010497994953766465,6.605827820749255e-06,0.0,50.0,0.01396451611071825,0.0010044155351351947,5.520749709830852e-06,0.0,44.0
13,491.0,0.010650087147951126,0.0009382521384395659,4.3847803681273945e-06,0.0,38.0,491.0,0.009804422035813332,0.0010249249171465635,6.671805749647319e-06,0.0,50.0,0.010227254591882229,0.0009815885277930647,5.528293058887357e-06,0.0,44.0
14,501.0,0.011677823960781097,0.0009103547781705856,4.202438503853045e-06,0.0,36.0,501.0,0.01432241965085268,0.001004683435894549,6.74780540066422e-06,0.0,45.0,0.013000121805816889,0.0009575191070325673,5.4751219522586325e-06,0.0,40.5
15,551.0,0.009916686452925205,0.0008994514937512577,4.213294232613407e-06,0.0,36.0,551.0,0.009407483041286469,0.0009790435433387756,6.8465933509287424e-06,0.0,45.0,0.009662084747105837,0.0009392475185450166,5.529943791771075e-06,0.0,40.5
16,561.0,0.012122608721256256,0.0008776908507570624,4.156091108598048e-06,0.0,31.0,561.0,0.012991921976208687,0.0009630300337448716,7.01981343809166e-06,0.0,45.0,0.012557265348732471,0.000920360442250967,5.587952273344854e-06,0.0,38.0
17,611.0,0.009455224499106407,0.0008680243045091629,4.237157099851174e-06,0.0,31.0,611.0,0.009044394828379154,0.0009342646226286888,7.131684469641186e-06,0.0,45.0,0.00924980966374278,0.0009011444635689259,5.68442078474618e-06,0.0,38.0
18,621.0,0.01609632559120655,0.0008535286760888994,4.387160515761934e-06,0.0,30.0,621.0,0.01271884050220251,0.0009273909381590784,7.240923878271133e-06,0.0,44.0,0.01440758304670453,0.0008904598071239889,5.8140421970165335e-06,0.0,37.0
19,671.0,0.009255899116396904,0.0008409786969423294,4.4839953261544e-06,0.0,30.0,671.0,0.008822632022202015,0.0008931306656450033,7.3525247898942325e-06,0.0,44.0,0.00903926556929946,0.0008670546812936664,5.918260058024316e-06,0.0,37.0
20,681.0,0.013529147021472454,0.0008345681708306074,4.623344466381241e-06,0.0,29.0,681.0,0.012569347396492958,0.0008762680809013546,7.416705102514243e-06,0.0,41.0,0.013049247208982706,0.000855418125865981,6.020024784447742e-06,0.0,35.0
