,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,total_4,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,total_5,decoder_5,sindy_x_5,reg_5,sindy_z_5,active_coeffs_5,total_6,decoder_6,sindy_x_6,reg_6,sindy_z_6,active_coeffs_6,total_7,decoder_7,sindy_x_7,reg_7,sindy_z_7,active_coeffs_7
10,500,0.0006419903365895152,0.00022486905800178647,0.0004149113956373185,2.20993319999252e-06,0.0,19,0.0005246897344477475,0.00017477842629887164,0.000347364810295403,2.5465342332608998e-06,0.0,21,0.0005794891621917486,0.00014426051347982138,0.0004330798110459,2.1488460788532393e-06,0.0,15,0.000951228488702327,0.0002769593265838921,0.0006717090727761388,2.560098209869466e-06,0.0,18,0.0011024036211892962,0.00041460865759290755,0.0006857248372398317,2.0701550056401175e-06,0.0,16,0.0006780200055800378,0.0002696664887480438,0.0004062311490997672,2.12237364394241e-06,0.0,16,0.0008250938844867051,0.0003333243657834828,0.0004897352773696184,2.034267026829184e-06,0.0,13,0.0010237620444968343,0.000358268734999001,0.000662479957100004,3.013375362570514e-06,0.0,23
11,550,0.0005761179490946233,0.0001722501910990104,0.00040159549098461866,2.272251776958001e-06,0.0,19,0.00044971020543016493,0.00011132618237752467,0.00033576961141079664,2.6144211915379856e-06,0.0,20,0.0005505640874616802,0.00013799211592413485,0.00041027020779438317,2.301781705682515e-06,0.0,15,0.0008580952999182045,0.00021054496755823493,0.0006449294742196798,2.620857912916108e-06,0.0,17,0.0009799627587199211,0.0003083969932049513,0.0006694395560771227,2.126181925632409e-06,0.0,16,0.0006320751854218543,0.0002400176163064316,0.00038988201413303614,2.1755570287496084e-06,0.0,15,0.0007509415154345334,0.0002756998874247074,0.0004730331420432776,2.2084414013079368e-06,0.0,13,0.0009477782296016812,0.00030014131334610283,0.0006445467588491738,3.0901439913577633e-06,0.0,22
12,600,0.0005271569825708866,0.00013549155846703798,0.00038934467011131346,2.3207505819300422e-06,0.0,19,0.0004354561388026923,0.00010605066927382722,0.00032674227259121835,2.6631932996679097e-06,0.0,19,0.0004981783567927778,0.00011155577522004023,0.00038417489849962294,2.447664655846893e-06,0.0,15,0.0007997342618182302,0.0001774706324795261,0.0006196040194481611,2.65964354184689e-06,0.0,17,0.0008895164937712252,0.00023322828928939998,0.0006540918257087469,2.19633398046426e-06,0.0,15,0.0005596308037638664,0.00018035437096841633,0.00037702699773944914,2.249440285595483e-06,0.0,15,0.0006737271905876696,0.00021395740623120219,0.0004573967889882624,2.373033794356161e-06,0.0,13,0.0008934207144193351,0.00026226683985441923,0.0006279857479967177,3.168136800013599e-06,0.0,21
13,650,0.0004881127970293164,0.00011036549403797835,0.0003754318749997765,2.315443680345197e-06,0.0,18,0.0003844414895866066,6.401890277629718e-05,0.00031772287911735475,2.6997076929546893e-06,0.0,19,0.0004675490490626544,0.00011114735389128327,0.00035382635542191565,2.5753424779395573e-06,0.0,15,0.0007416902808472514,0.00014829973224550486,0.0005907121230848134,2.678431883396115e-06,0.0,17,0.0008567827171646059,0.00021501192532014102,0.0006394892116077244,2.281589331687428e-06,0.0,15,0.0005175492842681706,0.00015192707360256463,0.0003632968582678586,2.3253223844221793e-06,0.0,15,0.0006131698028184474,0.000168093218235299,0.00044255313696339726,2.52347035711864e-06,0.0,13,0.0008725535008125007,0.0002572306839283556,0.0006120583857409656,3.2644545626681065e-06,0.0,21
14,700,0.00048734070151112974,0.00012000880087725818,0.00036503569572232664,2.2961939976084977e-06,0.0,17,0.00036509186611510813,5.3716325055575e-05,0.000308621529256925,2.754010210992419e-06,0.0,19,0.00043260076199658215,0.00011092473869211972,0.0003190126153640449,2.663418626980274e-06,0.0,15,0.0006855797837488353,0.00012972847616765648,0.0005531770875677466,2.6742213776742574e-06,0.0,16,0.0007796065765433013,0.00015183592040557414,0.000625412561930716,2.358111487410497e-06,0.0,14,0.00048062673886306584,0.00012874988897237927,0.00034948482061736286,2.3920131297927583e-06,0.0,14,0.0005885526188649237,0.0001570440799696371,0.00042885055881924927,2.6580016765365144e-06,0.0,13,0.0008681374019943178,0.0002717201132327318,0.0005930790794081986,3.338223905302584e-06,0.0,19
15,750,0.0004396056174300611,8.235552377300337e-05,0.0003549329412635416,2.31716103371582e-06,0.0,17,0.00034805707400664687,4.5132761442800984e-05,0.00030011418857611716,2.8101062525820453e-06,0.0,18,0.0003776060766540468,8.754456939641386e-05,0.00028736930107697845,2.6922273264062824e-06,0.0,15,0.0006563497008755803,0.00013948359992355108,0.0005141285946592689,2.737521526796627e-06,0.0,15,0.0007475628517568111,0.000132679459056817,0.0006124565843492746,2.426783566988888e-06,0.0,14,0.0004546758718788624,0.00011668357910821214,0.0003355283406563103,2.463972123223357e-06,0.0,14,0.0005435822531580925,0.00012541822798084468,0.00041538767982274294,2.776328301479225e-06,0.0,13,0.0007732671801932156,0.00019549424177967012,0.0005743505316786468,3.4224335649923887e-06,0.0,19
16,800,0.00042326858965680003,7.470619311789051e-05,0.0003462338063400239,2.3285831503017107e-06,0.0,17,0.00033760094083845615,4.284702299628407e-05,0.0002918773388955742,2.8765657589246985e-06,0.0,17,0.00034013891126960516,7.751180964987725e-05,0.0002599579456727952,2.669171863090014e-06,0.0,15,0.0005958076799288392,0.00013363573816604912,0.0004594014899339527,2.7704747935786145e-06,0.0,15,0.0007764650508761406,0.00017449301958549768,0.0005994730745442212,2.4989440134959295e-06,0.0,14,0.0004187829326838255,9.394390508532524e-05,0.00032229511998593807,2.5439044293307234e-06,0.0,14,0.0005280199111439288,0.00012442891602404416,0.00040070980321615934,2.8812282835133374e-06,0.0,13,0.0007357906433753669,0.00017754761211108416,0.0005547510227188468,3.491971028779517e-06,0.0,18
17,850,0.0004144264676142484,7.290997018571943e-05,0.0003391911741346121,2.325307832506951e-06,0.0,17,0.0003537364536896348,6.612922879867256e-05,0.0002846723946277052,2.9348336738621583e-06,0.0,17,0.00030934708775021136,6.764283898519352e-05,0.00023907514696475118,2.6291054382454604e-06,0.0,14,0.000528990407474339,0.00013170768215786666,0.0003945100761484355,2.7726694042939926e-06,0.0,14,0.0007066676043905318,0.00011531152267707512,0.0005887875449843705,2.568554918980226e-06,0.0,14,0.00039810879388824105,8.519778202753514e-05,0.000310291739879176,2.619272663650918e-06,0.0,14,0.00048607640201225877,9.693759784568101e-05,0.0003861568693537265,2.981922307299101e-06,0.0,12,0.000707782746758312,0.0001689584896666929,0.0005352727603167295,3.5515038234734675e-06,0.0,18
18,900,0.0004004294751212001,6.505868805106729e-05,0.00033306246041320264,2.3083300675352803e-06,0.0,17,0.0003133176942355931,3.292989276815206e-05,0.0002773973683360964,2.990414941450581e-06,0.0,17,0.0002897448430303484,6.05301174800843e-05,0.000226601492613554,2.6132186121685663e-06,0.0,13,0.00047393550630658865,0.00012392268399707973,0.00034719856921583414,2.8142496830696473e-06,0.0,13,0.0006844226736575365,0.00010386030771769583,0.0005779282655566931,2.6341133434470976e-06,0.0,14,0.00038579097599722445,8.40033171698451e-05,0.00029909732984378934,2.6903376237896737e-06,0.0,14,0.00048491513007320464,0.00010822567855939269,0.00037359941052272916,3.090037580477656e-06,0.0,12,0.0006739392993040383,0.0001525917905382812,0.0005177197745069861,3.6277588151278906e-06,0.0,18
19,950,0.0003904194454662502,6.304367707343772e-05,0.00032509444281458855,2.281335810039309e-06,0.0,17,0.000304606044664979,3.0868148314766586e-05,0.0002706939703784883,3.0438991416303907e-06,0.0,17,0.00029382359934970737,7.339214062085375e-05,0.0002178241848014295,2.6072680157085415e-06,0.0,12,0.00043668702710419893,0.00011642953904811293,0.000317396130412817,2.8613744689209852e-06,0.0,13,0.0006637393380515277,9.33253177208826e-05,0.000567717885132879,2.696147475944599e-06,0.0,14,0.00035924234543927014,6.844409654149786e-05,0.00028804020257666707,2.7580567802942824e-06,0.0,14,0.0004440115299075842,7.854419527575374e-05,0.00036227269447408617,3.1946262879500864e-06,0.0,12,0.0006477945717051625,0.00014247515355236828,0.0005016138893552125,3.70547900274687e-06,0.0,18
