,epoch,total_0,decoder_0,sindy_x_0,latent_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,total_1,decoder_1,sindy_x_1,latent_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1
0,0,0.0382970385253429,36.88106918334961,1.4059704542160034,0.0,0.0099999997764825,0.0,60,0.0,0.03260927274823189,31.1799259185791,1.4193485975265503,0.0,0.009999999776482582,0.0,60.0,0.0
1,50,0.0109165590256452,9.501063346862791,1.4059675931930542,0.0,0.0095284208655357,0.0,60,0.0,0.010995082557201385,9.565885543823242,1.4196728467941284,0.0,0.009525006636977196,0.0,60.0,0.0
2,100,0.0105448300018906,9.129400253295898,1.406375527381897,0.0,0.0090542901307344,0.0,60,0.0,0.008633024990558624,7.186621189117432,1.4372984170913696,0.0,0.009105116128921509,0.0,60.0,0.0
3,150,0.007547166198492,6.117926597595215,1.4205249547958374,0.0,0.008715072646737,0.0,60,0.0,0.0059958756901323795,4.568626880645752,1.418324589729309,0.0,0.008923811838030815,0.0,60.0,0.0
4,200,0.0057208947837352,4.309249401092529,1.4030873775482178,0.0,0.008558040484786,0.0,60,0.0,0.005277527496218681,3.8702476024627686,1.3984261751174927,0.0,0.008853582665324211,0.0,60.0,0.0
5,250,0.0051716240122914,3.766637325286865,1.3965110778808594,0.0,0.0084754088893532,0.0,60,0.0,0.004957012366503477,3.650244951248169,1.2979176044464111,0.0,0.008849937468767166,0.0,60.0,0.0
6,300,0.0049243466928601,3.542111873626709,1.3737897872924805,0.0,0.0084453951567411,0.0,60,0.0,0.0046396562829613686,3.4703545570373535,1.1604702472686768,0.0,0.008831942453980446,0.0,60.0,0.0
7,350,0.0046493750996887,3.373696804046631,1.2672271728515625,0.0,0.0084514869377017,0.0,60,0.0,0.004296836908906698,3.171863555908203,1.1162002086639404,0.0,0.00877313781529665,0.0,60.0,0.0
8,400,0.0042106420733034,3.069261312484741,1.1329106092453003,0.0,0.0084701254963874,0.0,60,0.0,0.0037730662152171135,2.6722424030303955,1.0922057628631592,0.0,0.008618015795946121,0.0,60.0,0.0
9,450,0.0034840938169509,2.3822576999664307,1.093411922454834,0.0,0.0084241107106208,0.0,60,0.0,0.0031201685778796673,2.0708813667297363,1.0408401489257812,0.0,0.008447119034826756,0.0,60.0,0.0
