,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,coeff_3,total_4,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,coeff_4,total_5,decoder_5,sindy_x_5,reg_5,sindy_z_5,active_coeffs_5,coeff_5,total_6,decoder_6,sindy_x_6,reg_6,sindy_z_6,active_coeffs_6,coeff_6,total_7,decoder_7,sindy_x_7,reg_7,sindy_z_7,active_coeffs_7,coeff_7,total_8,decoder_8,sindy_x_8,reg_8,sindy_z_8,active_coeffs_8,coeff_8,total_9,decoder_9,sindy_x_9,reg_9,sindy_z_9,active_coeffs_9,coeff_9,total_10,decoder_10,sindy_x_10,reg_10,sindy_z_10,active_coeffs_10,coeff_10,total_11,decoder_11,sindy_x_11,reg_11,sindy_z_11,active_coeffs_11,coeff_11
10,500,9.759818931343034e-05,3.311290856800042e-05,5.732702629757114e-05,7.158256721595535e-06,0.0,41,0.0,0.0001418180036125,7.390188693534583e-05,5.913255154155195e-05,8.783563316683285e-06,0.0,39,0.0,3.477589780231938e-05,9.363538083562162e-06,1.890280873340089e-05,6.509552804345731e-06,0.0,48,0.0,0.0001166262227343,5.403644900070504e-05,5.584019163507037e-05,6.749583462806186e-06,0.0,46,0.0,2.4545206542825326e-05,7.03164323567762e-06,7.020640168775572e-06,1.0492923138372134e-05,0.0,43,0.0,4.913812153972685e-05,1.8806529624271207e-05,2.395573574176524e-05,6.375855718943058e-06,0.0,50,0.0,3.650686630862765e-05,9.947616490535438e-06,2.001747816393617e-05,6.541773018398089e-06,0.0,42,0.0,2.7698068151948974e-05,4.469305622478714e-06,1.2676327060034964e-05,1.0552435014687944e-05,0.0,37,0.1428571428571428,2.145758867263794,1.0354240657761691e-05,2.1451640129089355,0.000584497465752,0.0,48,0.0,1.9989447593688965,2.4791032046778128e-05,1.9984827041625977,0.000437240145402,0.0,48,0.0,2.0442094802856445,2.4005119485082105e-05,2.043766975402832,0.0004183069977443,0.0,46,0.0,2.169769287109375,9.156190935755149e-05,2.169269561767578,0.0004080606740899384,0.0,42,0.0
11,550,8.821749361231923e-05,3.096198997809552e-05,4.9999103794107214e-05,7.256399840116501e-06,0.0,41,0.0,0.0001319518778473,6.860154826426879e-05,5.436609353637323e-05,8.984243322629482e-06,0.0,38,0.0,3.703211768879555e-05,1.239254925167188e-05,1.802895531000104e-05,6.610612672375282e-06,0.0,48,0.0,0.0001114607512135,5.056534064351581e-05,5.4086569434730336e-05,6.808838861616096e-06,0.0,45,0.0,2.3282244001165964e-05,6.54474888506229e-06,6.168495474412339e-06,1.0568999641691336e-05,0.0,42,0.0,4.420232289703563e-05,1.7037271391018294e-05,2.074359690595884e-05,6.421454600058496e-06,0.0,50,0.0,3.307689257781021e-05,8.697857083461713e-06,1.7726319128996693e-05,6.652717274846509e-06,0.0,41,0.0,2.699080869206228e-05,4.5627925828739535e-06,1.1778952284657862e-05,1.0649063369783107e-05,0.0,37,0.1428571428571428,2.1663193702697754,7.136855856515467e-06,2.1657214164733887,0.0005909036844968,0.0,48,0.0,2.014567375183105,2.0074330677744e-05,2.0141031742095947,0.0004440920602064,0.0,48,0.0,2.054863691329956,1.9507468095980585e-05,2.0544188022613525,0.0004254337691236,0.0,45,0.0,2.173999071121216,8.584687020629644e-05,2.1734962463378906,0.00041703847819007933,0.0,42,0.0
12,600,7.509302668040618e-05,2.330879760847893e-05,4.444485966814682e-05,7.339367584791034e-06,0.0,41,0.0,0.0001248734770342,6.524319906020537e-05,5.0490794819779694e-05,9.13948861125391e-06,0.0,37,0.0,3.0797436920693144e-05,7.399955393339042e-06,1.6704403606127016e-05,6.693077466479736e-06,0.0,47,0.0,0.0001106716736103,4.777722278959118e-05,5.604464240605012e-05,6.849810233688913e-06,0.0,44,0.0,2.163145472877659e-05,5.533990133699263e-06,5.477500053530093e-06,1.061996317730518e-05,0.0,42,0.0,3.6871460906695575e-05,1.262498972209869e-05,1.778629666659981e-05,6.460174972744426e-06,0.0,50,0.0,3.058878792217001e-05,7.763999747112393e-06,1.6102547306218185e-05,6.722242233081488e-06,0.0,41,0.0,2.575770122348331e-05,3.893168923241319e-06,1.1145667485834563e-05,1.0718865269154776e-05,0.0,37,0.1428571428571428,2.163168430328369,6.264111107157078e-06,2.1625661849975586,0.0005960696144029,0.0,48,0.0,2.0124435424804688,1.7158768969238736e-05,2.0119762420654297,0.0004500193172134,0.0,47,0.0,2.0587315559387207,1.748143768054433e-05,2.058281421661377,0.00043248446309,0.0,45,0.0,2.173337697982788,8.123100269585848e-05,2.1728312969207764,0.0004252085345797241,0.0,42,0.0
13,650,6.833616498624906e-05,2.060376209556125e-05,4.0324659494217485e-05,7.407744305965025e-06,0.0,41,0.0,0.0001191053088405,6.244807445909828e-05,4.7375488065881655e-05,9.281744496547615e-06,0.0,36,0.0,2.925710577983409e-05,6.728133939759573e-06,1.5759540474391542e-05,6.7694309109356254e-06,0.0,47,0.0,0.0001054177701007,4.486540274228901e-05,5.365773904486559e-05,6.8946246756240726e-06,0.0,44,0.0,2.080216836475301e-05,5.190884166950127e-06,4.949356480210554e-06,1.0661928172339684e-05,0.0,41,0.0,3.368912803125568e-05,1.1112603715446312e-05,1.6078309272415936e-05,6.498217317130184e-06,0.0,50,0.0,2.9291119062691e-05,7.1758340709493496e-06,1.533722024760209e-05,6.7780661083816085e-06,0.0,41,0.0,2.496602974133566e-05,3.684132707348908e-06,1.0504089914320502e-05,1.0777806892292574e-05,0.0,37,0.1428571428571428,2.1465415954589844,5.761923603131436e-06,2.14593505859375,0.0006005669129081,0.0,47,0.0,2.007068634033203,1.6679165128152817e-05,2.00659704208374,0.0004550523299258,0.0,47,0.0,2.068840503692627,1.5709279978182167e-05,2.068385362625122,0.0004393264534883,0.0,45,0.0,2.168638229370117,7.731812365818769e-05,2.16812801361084,0.00043276508222334087,0.0,41,0.0
14,700,6.437611591536552e-05,1.983826768992003e-05,3.708925214596093e-05,7.448591986758402e-06,0.0,40,0.0,0.0001149300660472,6.004556416883133e-05,4.549208824755624e-05,9.392419997311665e-06,0.0,36,0.0,2.8094964363845065e-05,6.323237357719336e-06,1.4930180441297123e-05,6.8415465648286045e-06,0.0,47,0.0,0.0001022967844619,4.273259764886461e-05,5.261959449853748e-05,6.944589586055372e-06,0.0,44,0.0,2.0474279153859243e-05,5.20025787409395e-06,4.562132744467817e-06,1.0711889444792178e-05,0.0,41,0.0,3.1963900255505e-05,1.0536934496485628e-05,1.4897174878569786e-05,6.529791789944284e-06,0.0,49,0.0,2.906788904510904e-05,7.53683571019792e-06,1.4707248737977352e-05,6.823804596933769e-06,0.0,41,0.0,2.3394219169858843e-05,2.7478611173137324e-06,9.812304597289769e-06,1.083405368262902e-05,0.0,37,0.1428571428571428,2.172471046447754,5.9416797739686444e-06,2.171860456466675,0.0006046027992852,0.0,47,0.0,2.014216423034668,1.566504215588793e-05,2.013740062713623,0.0004605528956744,0.0,46,0.0,2.0638670921325684,1.4555684174411e-05,2.0634067058563232,0.000445948971901,0.0,45,0.0,2.169224262237549,7.354392437264323e-05,2.1687119007110596,0.000438813614891842,0.0,41,0.0
15,750,6.051481614122167e-05,1.778026307874825e-05,3.523064515320584e-05,7.503905180783477e-06,0.0,39,0.0,0.0001112633253796,5.738382606068626e-05,4.439817712409422e-05,9.481324013904668e-06,0.0,36,0.0,2.683680213522166e-05,5.734074420615798e-06,1.419345699105179e-05,6.909271178301424e-06,0.0,47,0.0,0.0001015649395412,4.182660632068291e-05,5.274220529827289e-05,6.996134288783651e-06,0.0,44,0.0,2.0214542018948123e-05,5.174595116841374e-06,4.2854921957768966e-06,1.075445379683515e-05,0.0,41,0.0,3.066007047891617e-05,1.0008255230786745e-05,1.40461825139937e-05,6.605631369893672e-06,0.0,47,0.0,2.774605491140392e-05,6.809778369643027e-06,1.4073067177378109e-05,6.863209364382783e-06,0.0,41,0.0,2.3192133085103706e-05,3.04691002384061e-06,9.257683814212214e-06,1.088753833755618e-05,0.0,37,0.1428571428571428,2.163217067718506,4.412365797179518e-06,2.162604570388794,0.0006080776220187,0.0,47,0.0,2.0147640705108643,1.4080786058912054e-05,2.014285087585449,0.0004647997557185,0.0,46,0.0,2.061009407043457,1.2353286365396343e-05,2.0605435371398926,0.0004537455388344,0.0,43,0.0,2.1669256687164307,6.948495865799487e-05,2.166412353515625,0.00044368693488650024,0.0,41,0.0
16,800,5.905232683289796e-05,1.856385642895475e-05,3.293946429039352e-05,7.549004749307642e-06,0.0,39,0.0,0.0001081576774595,5.506552042788826e-05,4.354654083726928e-05,9.545620741846506e-06,0.0,35,0.0,3.028399078175425e-05,9.44740077102324e-06,1.3862032574252224e-05,6.97455743647879e-06,0.0,47,0.0,0.0001024429584504,4.104281470063143e-05,5.435200728243217e-05,7.048139195831027e-06,0.0,44,0.0,2.058678364846856e-05,5.713462996936869e-06,4.078797701367876e-06,1.079452249541646e-05,0.0,41,0.0,2.834160659404006e-05,8.522852112946566e-06,1.3169540579838213e-05,6.649214356002631e-06,0.0,47,0.0,2.710771332203876e-05,6.7526484599511605e-06,1.3455673979478888e-05,6.899389973114012e-06,0.0,41,0.0,2.234146995760966e-05,2.5970675778808072e-06,8.805207471596077e-06,1.0939194908132777e-05,0.0,37,0.1428571428571428,2.171833276748657,5.744833288190421e-06,2.171216487884521,0.0006111617549322,0.0,47,0.0,2.024935245513916,1.512293965788558e-05,2.024452209472656,0.0004680709680542,0.0,46,0.0,2.0675466060638428,1.1852192983496934e-05,2.0670735836029053,0.0004611159092746,0.0,42,0.0,2.1654930114746094,6.489225779660046e-05,2.164980173110962,0.00044783056364394724,0.0,40,0.0
17,850,5.336752292350866e-05,1.5056054508022498e-05,3.0726736440556124e-05,7.584729701193282e-06,0.0,39,0.0,0.0001046687757479,5.253899871604517e-05,4.251669088262133e-05,9.613087968318725e-06,0.0,35,0.0,2.5510580599075183e-05,5.389083526097238e-06,1.3087848856230266e-05,7.033647762000328e-06,0.0,46,0.0,0.0001001280979835,4.003313006251119e-05,5.2994597353972495e-05,7.100369202817092e-06,0.0,44,0.0,2.1298266801750287e-05,6.165744252939476e-06,4.31174385084887e-06,1.082077869796194e-05,0.0,40,0.0,2.751777901721653e-05,8.142931619659066e-06,1.2679041901719756e-05,6.6958050410903525e-06,0.0,47,0.0,2.712287459871732e-05,7.315667517104885e-06,1.285813868889818e-05,6.949068847461604e-06,0.0,40,0.0,2.125946775777265e-05,2.060563701888896e-06,8.186810191546101e-06,1.101209272746928e-05,0.0,36,0.1428571428571428,2.1610727310180664,4.379203346616123e-06,2.160454511642456,0.0006139366887509,0.0,46,0.0,2.0231194496154785,1.300371513934806e-05,2.022635698318481,0.0004708815249614,0.0,46,0.0,2.0936479568481445,2.7315978513797745e-05,2.093153715133667,0.0004667647299356,0.0,42,0.0,2.16438627243042,6.045715417712927e-05,2.163872718811035,0.00045291861169971526,0.0,38,0.0
18,900,5.179181243875064e-05,1.5044240171846468e-05,2.913337266363669e-05,7.614199148520129e-06,0.0,39,0.0,0.0001024539087666,5.124468225403689e-05,4.15334761783015e-05,9.67575306276558e-06,0.0,35,0.0,2.4362449039472267e-05,4.772375632455805e-06,1.2491321285779122e-05,7.0987516664899886e-06,0.0,45,0.0,9.853330993792042e-05,3.9181275496957824e-05,5.219933154876344e-05,7.152702437451808e-06,0.0,44,0.0,2.162278542527929e-05,6.736608611390693e-06,4.0504000935470685e-06,1.083577717508888e-05,0.0,40,0.0,2.7156029318575747e-05,7.856918273319025e-06,1.2562386473291554e-05,6.736723662470467e-06,0.0,45,0.0,2.464945828251075e-05,5.334356956154807e-06,1.2334585335338488e-05,6.9805150815227535e-06,0.0,40,0.0,2.075428346870467e-05,1.9383739982004045e-06,7.750602890155278e-06,1.1065305443480613e-05,0.0,35,0.1428571428571428,2.166743278503418,3.626703346526483e-06,2.166123867034912,0.0006157422321848,0.0,46,0.0,2.015500545501709,1.229946246894542e-05,2.015014886856079,0.0004734437679871,0.0,46,0.0,2.0587620735168457,1.030214571073884e-05,2.0582799911499023,0.0004718442505691,0.0,42,0.0,2.1683435440063477,5.827220593346283e-05,2.1678271293640137,0.0004579343949444592,0.0,38,0.0
19,950,5.015672286390327e-05,1.4776394891669042e-05,2.774253698589746e-05,7.637790076842066e-06,0.0,39,0.0,0.0001013630244415,5.085718657937832e-05,4.076954792253673e-05,9.736295396578498e-06,0.0,35,0.0,2.353836862312164e-05,4.500715022004442e-06,1.1875703421537764e-05,7.161951089074137e-06,0.0,45,0.0,9.748287266120316e-05,3.797197132371366e-05,5.230683018453419e-05,7.204067514976487e-06,0.0,44,0.0,1.8926497432403263e-05,4.139419615967199e-06,3.907224254362518e-06,1.0879854926315602e-05,0.0,39,0.0,2.8155753170722164e-05,7.512297543144086e-06,1.3932774891145527e-05,6.710680736432551e-06,0.0,44,0.0,2.4187927920138463e-05,5.468313702294836e-06,1.172097381640924e-05,6.998639491939684e-06,0.0,39,0.0,2.020778993028216e-05,1.8470072973286733e-06,7.245793767651776e-06,1.111498841055436e-05,0.0,34,0.1428571428571428,2.166228771209717,3.4737031455733813e-06,2.165607452392578,0.0006176788010634,0.0,45,0.0,2.013566970825196,1.1904518032679334e-05,2.013079166412353,0.0004758290015161,0.0,46,0.0,2.065053939819336,9.837280231295152e-06,2.0645670890808105,0.0004769754013977,0.0,42,0.0,2.1642956733703613,5.626499478239566e-05,2.1637773513793945,0.0004619855899363756,0.0,38,0.0
