,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3
0,0.0,0.34740132093429565,0.001695157028734684,7.032581379462499e-06,0.0,60,0.29354432225227356,0.0012387599563226104,9.811084055399988e-06,0.0,60,0.3054351508617401,0.0010226474842056632,8.081686246441677e-06,0.0,60,0.3594554364681244,0.001769399270415306,8.566742508264724e-06,0.0,60
1,50.0,0.09268394857645035,0.001699499087408185,6.281660716922488e-06,0.0,43,0.06674211472272873,0.001298515242524445,9.04309763427591e-06,0.0,54,0.06701938062906265,0.0010599748929962516,7.26571533959941e-06,0.0,51,0.09229163825511932,0.0017772195860743523,8.004336450539995e-06,0.0,53
2,100.0,0.04582361504435539,0.001763992477208376,5.933904049015837e-06,0.0,40,0.03999963775277138,0.0012724872212857008,8.889892342267558e-06,0.0,54,0.03506570681929588,0.001060820766724646,6.8118952185614035e-06,0.0,48,0.045628808438777924,0.0017942573176696897,7.5610860221786425e-06,0.0,51
3,150.0,0.03956504538655281,0.0017504460411146283,5.718840839108452e-06,0.0,37,0.0340132899582386,0.0012330831959843636,8.744593287701719e-06,0.0,52,0.02969287894666195,0.0010318995919078588,6.6395900830684695e-06,0.0,43,0.04066253453493118,0.0018017436377704144,7.435123279719846e-06,0.0,48
4,200.0,0.028601061552762985,0.0020367500837892294,5.393801984610036e-06,0.0,36,0.017970096319913864,0.0012342589907348156,8.68816005095141e-06,0.0,48,0.013095661997795105,0.0009138999739661813,6.43118301013601e-06,0.0,43,0.03283463045954704,0.002016232116147876,7.358373295573983e-06,0.0,46
5,250.0,0.01871303841471672,0.0016944142989814281,4.922929747408489e-06,0.0,31,0.01266423612833023,0.0011407295241951942,8.6982090579113e-06,0.0,47,0.009357037022709846,0.0008395931799896061,6.188218321767636e-06,0.0,39,0.019377712160348892,0.0021482801530510187,7.349172847170848e-06,0.0,42
6,300.0,0.014649956487119198,0.001533310511149466,4.644701675715623e-06,0.0,28,0.010549127124249935,0.0010433936258777976,8.719748620933387e-06,0.0,46,0.008006232790648937,0.0007958612986840308,6.178616331453668e-06,0.0,37,0.014838488772511482,0.0020037563517689705,7.38652943255147e-06,0.0,41
7,350.0,0.01266503892838955,0.001465040841139853,4.4555140448210295e-06,0.0,27,0.009291201829910278,0.0009696201304905117,8.745525519771036e-06,0.0,46,0.007245081942528486,0.0007644932484254241,6.266554464673391e-06,0.0,37,0.01285604853183031,0.0018660272471606731,7.431578524119686e-06,0.0,41
8,400.0,0.011404966935515404,0.0014162299921736121,4.3145428207935765e-06,0.0,25,0.00839218683540821,0.0008889589225873351,8.769117812335026e-06,0.0,45,0.0067297653295099735,0.0007423232309520245,6.359809503919678e-06,0.0,36,0.011661939322948456,0.001785214408300817,7.472250672435621e-06,0.0,40
9,450.0,0.010474487207829952,0.0013727183686569333,4.222065854264656e-06,0.0,24,0.0076841069385409355,0.0008008371223695576,8.791241270955652e-06,0.0,45,0.006349481176584959,0.0007286212639883161,6.4557943915133364e-06,0.0,36,0.010795324109494686,0.00173010746948421,7.495284080505371e-06,0.0,40
10,500.0,0.009726440533995628,0.0013313981471583247,4.165778591413982e-06,0.0,24,0.007097222842276096,0.0007085831020958722,8.79072194948094e-06,0.0,43,0.006064464338123798,0.0007175056962296367,6.540568847412942e-06,0.0,36,0.010132168419659138,0.0016904002986848354,7.503610049752751e-06,0.0,39
11,550.0,0.009133766405284405,0.0012939072912558913,4.121645361010451e-06,0.0,22,0.0063595096580684185,0.0006142969359643757,8.754193913773634e-06,0.0,41,0.00583114568144083,0.000707513012457639,6.617318376811454e-06,0.0,36,0.009621677920222282,0.0016589618753641844,7.5233715506328736e-06,0.0,39
12,600.0,0.008674167096614838,0.0012369718169793487,4.104093932255637e-06,0.0,21,0.00464380020275712,0.0006066220812499523,8.727590284252074e-06,0.0,40,0.005631200969219208,0.0006977843586355448,6.6851948758994695e-06,0.0,36,0.009222627617418766,0.0016308915801346302,7.551664111815626e-06,0.0,38
13,650.0,0.008267367258667946,0.0011866086861118674,4.0816657929099165e-06,0.0,21,0.003334800712764263,0.0005895484937354922,8.6483978520846e-06,0.0,39,0.005453768186271191,0.0006873998790979385,6.7436044446367305e-06,0.0,36,0.008913503959774971,0.001600457588210702,7.596021077915793e-06,0.0,37
14,700.0,0.007922112010419369,0.001139798085205257,4.048514711030293e-06,0.0,20,0.0025905403308570385,0.0005649793311022222,8.575058018323034e-06,0.0,39,0.0052964636124670506,0.0006757093360647559,6.791822670493275e-06,0.0,36,0.008668296970427036,0.0015780883841216564,7.648835889995098e-06,0.0,36
15,750.0,0.007580930832773447,0.0010990950977429748,4.019928837806219e-06,0.0,19,0.002096169162541628,0.0005617319256998599,8.524227268935647e-06,0.0,39,0.005162876099348068,0.0006622775108553469,6.827640845585847e-06,0.0,36,0.008466986007988453,0.0015531968092545867,7.707767508691177e-06,0.0,36
16,800.0,0.0071059600450098515,0.0010791139211505651,3.990121967945015e-06,0.0,19,0.0017876632045954466,0.0005515312077477574,8.48961735755438e-06,0.0,39,0.00503502506762743,0.0006452306406572461,6.857983862573747e-06,0.0,33,0.008296084590256214,0.0015246330294758081,7.764902875351254e-06,0.0,35
